         MJD         m       dm   uJy  duJy F  err   chi/N       RA      Dec       x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57716.368801 19.696897      NaN   -10    16 c    0    0.94 17.84719 13.16014 3685.84  6682.49 3.85 3.76  66.8 -0.394    19.53 21.43 02a57716o0365c 0x000000  -0.625000
57716.383548 19.631075      NaN    -2    17 c    0    0.91 17.84719 13.16014 3667.76  6644.03 4.37 4.20  10.1 -0.356    19.48 21.56 02a57716o0393c 0x000000  -0.117647
57716.398368 19.631075      NaN   -16    17 c    0    1.00 17.84719 13.16014 3726.26  6720.86 4.23 4.07  14.2 -0.367    19.49 21.52 02a57716o0421c 0x000000  -0.941176
57716.414202 19.569016      NaN   -12    18 c    0    1.18 17.84719 13.16014 3747.02  6602.97 4.14 3.96  11.8 -0.371    19.36 21.35 02a57716o0450c 0x000000  -0.666667
57716.429597 19.351140      NaN   -12    22 c    0    1.06 17.84719 13.16014 3709.37  6660.46 4.02 3.94  19.5 -0.377    19.23 21.16 02a57716o0479c 0x000000  -0.545455
57744.302836 19.766969      NaN   -10    15 c    0    0.98 17.84719 13.16014 5485.05  5419.59 3.76 3.59 -89.2 -0.391    19.60 21.43 02a57744o0229c 0x000000  -0.666667
57744.315269 19.631075      NaN   -17    17 c    0    0.82 17.84719 13.16014 5467.53  5379.42 3.95 3.79  86.2 -0.383    19.53 21.40 02a57744o0253c 0x000000  -1.000000
57744.341041 19.549093      NaN     7    16 c    0    1.16 17.84719 13.16014 5544.52  5340.09 3.78 3.62 -89.7 -0.389    19.54 21.34 02a57744o0302c 0x000000   0.437500
57744.354218 19.384550      NaN    10    18 c    0    0.95 17.84719 13.16014 5509.01  5396.34 3.79 3.68  86.1 -0.391    19.52 21.33 02a57744o0327c 0x000000   0.555556
57752.278886 16.922529      NaN    90   176 c    0    0.90 17.84719 13.16014 4194.46  6402.81 3.89 3.76  80.4 -0.409    16.87 18.49 02a57752o0137c 0x100002   0.511364
57752.293653 16.424153      NaN  -735   326 c    0    0.89 17.84719 13.16014 4177.80  6362.50 3.91 3.81  79.7 -0.399    16.30 17.94 02a57752o0166c 0x100002  -2.254601
57752.308458 16.554952      NaN  -171   289 c    0    1.08 17.84719 13.16014 4234.39  6438.89 3.95 3.80  79.5 -0.392    16.21 17.73 02a57752o0195c 0x100002  -0.591696
57752.322825 15.994336      NaN   238   405 c    0    1.45 17.84719 13.16014 4254.12  6321.23 3.92 3.77  90.0 -0.380    15.79 17.26 02a57752o0223c 0x100002   0.587654
57756.251980 19.766969      NaN   -24    15 c    0    1.12 17.84719 13.16014 6464.10  5056.20 3.80 3.57  88.4 -0.389    19.51 21.25 02a57756o0118c 0x000000  -1.600000
57756.265219 19.631075      NaN   -37    17 c    0    0.67 17.84719 13.16014 6445.83  5017.04 3.74 3.53 -89.8 -0.398    19.51 21.23 02a57756o0142c 0x000000  -2.176471
