         MJD         m       dm   uJy  duJy F  err  chi/N       RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57700.396069 18.649074      NaN    45    27 o    0   1.08 17.84719 13.16014  5385.59  5296.56 3.64 3.53 -86.5 -0.431    18.89 20.13 02a57700o0174o 0x000000   1.666667
57700.408386 19.014394      NaN    15    25 o    0   1.13 17.84719 13.16014  5368.02  5256.21 3.56 3.44 -79.8 -0.443    18.93 20.16 02a57700o0198o 0x000000   0.600000
57700.429082 18.640491      NaN    28    33 o    0   0.94 17.84719 13.16014  5426.78  5334.11 3.54 3.43 -77.1 -0.448    18.75 19.98 02a57700o0238o 0x000000   0.848485
57700.462144 19.051202      NaN   -93    29 o    0   0.97 17.84719 13.16014  5410.29  5274.30 3.55 3.44 -77.6 -0.440    18.86 20.23 02a57700o0302o 0x000000  -3.206897
57712.437880 18.094452      NaN  -124    70 o    0   0.98 17.84719 13.16014  6213.68  8335.28 4.04 3.97  29.9 -0.426    17.93 19.24 02a57712o0054o 0x100002  -1.771429
57736.315212 18.786693      NaN   -29    37 o    0   1.09 17.84719 13.16014  5489.14  5085.22 3.53 3.42 -84.9 -0.440    18.45 19.13 02a57736o0246o 0x000000  -0.783784
57736.328781 18.702047      NaN   -44    40 o    0   0.98 17.84719 13.16014  5471.53  5045.79 3.53 3.49 -58.6 -0.423    18.42 19.11 02a57736o0272o 0x100002  -1.100000
57736.342287 18.675237      NaN   -61    41 o    0   0.99 17.84719 13.16014  5528.83  5122.08 3.51 3.39 -80.2 -0.439    18.41 19.06 02a57736o0298o 0x100002  -1.487805
57736.355771 18.675237      NaN   -54    41 o    0   0.96 17.84719 13.16014  5549.50  5006.44 3.51 3.38 -80.6 -0.437    18.38 19.01 02a57736o0324o 0x100002  -1.317073
57764.199727 15.908869      NaN   519   351 o    0   0.86 17.84719 13.16014  5509.18  7916.86 3.49 3.26 -15.9 -0.533    17.61 17.70 02a57764o0023o 0x100002   1.478632
57764.200231 17.303777      NaN   -30   145 o    0   1.77 17.84719 13.16014  5490.32  7878.00 3.50 3.29  -9.6 -0.498    17.47 17.66 02a57764o0024o 0x100002  -0.206897
57764.219061 18.317510      NaN  -152    57 o    0   1.11 17.84719 13.16014  5547.00  7955.64 3.40 3.24  -8.4 -0.408    18.51 19.28 02a57764o0060o 0x100002  -2.666667
57764.220092 18.574166      NaN   -25    45 o    0   1.22 17.84719 13.16014  5565.97  7838.95 3.44 3.32  -5.9 -0.413    18.45 19.19 02a57764o0062o 0x100002  -0.555556
57764.235645 17.740268      NaN    72    73 o    0   1.45 17.84719 13.16014  5525.64  7898.17 3.38 3.32  -9.8 -0.450    18.05 18.53 02a57764o0093o 0x100002   0.986301
57768.214344 18.702047 0.298577   120    33 o    0   1.12 17.84719 13.16014  6404.96  5927.01 3.44 3.26 -46.0 -0.402    18.57 19.83 02a57768o0059o 0x000000   3.636364
57768.218879 16.721068      NaN  -725   248 o    0   1.28 17.84719 13.16014  6387.01  6044.24 3.53 3.42 -50.5 -0.445    16.73 17.94 02a57768o0067o 0x100002  -2.923387
57768.235294 17.623637      NaN  -272   108 o    0   0.77 17.84719 13.16014  6365.20  5984.00 3.57 3.42 -76.3 -0.454    17.50 18.84 02a57768o0100o 0x100002  -2.518519
57788.210346 16.002587      NaN   224   406 o    0   0.79 17.84719 13.16014  3967.01  8216.64 3.82 3.60  23.2 -0.461    17.48 17.50 02a57788o0031o 0x100002   0.551724
57788.216327 17.976960      NaN   -48    78 o    0   1.24 17.84719 13.16014  3947.55  8177.26 3.84 3.44  16.6 -0.435    18.17 18.82 02a57788o0043o 0x100002  -0.615385
57788.225831 18.481707      NaN   -26    49 o    0   1.05 17.84719 13.16014  4002.54  8254.48 4.41 3.53   5.0 -0.404    18.44 19.55 02a57788o0061o 0x100002  -0.530612
57788.238653 18.649074      NaN  -107    42 o    0   1.26 17.84719 13.16014  4021.59  8136.25 4.09 3.61   7.3 -0.412    18.50 19.56 02a57788o0085o 0x100002  -2.547619
57788.251921 18.526952      NaN   -14    47 o    0   0.86 17.84719 13.16014  3984.47  8192.96 3.54 3.47  52.0 -0.449    18.55 19.49 02a57788o0111o 0x100002  -0.297872
57943.604485 17.442003      NaN    50   111 o    0   1.15 17.84719 13.16014  7364.83  8663.58 3.21 3.09 -85.7 -0.470    18.02 18.49 01a57943o0717o 0x100002   0.450450
57943.611416 17.093415      NaN   -20   176 o    0   1.03 17.84719 13.16014  7350.03  8602.54 3.40 3.19  73.3 -0.465    17.65 18.02 01a57943o0731o 0x100002  -0.113636
57943.618429 18.590371      NaN     1    44 o    0   0.98 17.84719 13.16014  7411.14  8658.30 3.41 3.31  88.3 -0.435    18.44 19.26 01a57943o0745o 0x100002   0.022727
57943.623530 17.643932      NaN   -88   106 o    0   0.99 17.84719 13.16014  7431.22  8524.87 3.31 3.24  83.0 -0.472    18.09 18.55 01a57943o0755o 0x100002  -0.830189
57958.632890 18.396507      NaN   -73    53 o    0   1.22 17.84719 13.16014  5017.06  6713.04 2.11 1.92 -46.5 -0.535    18.10 18.12 02a57958o0361o 0x100002  -1.377358
57964.594887 19.841877      NaN    -8    14 o    0   1.02 17.84719 13.16014  4826.94  6561.33 2.95 2.67 -86.0 -0.447    19.45 21.08 01a57964o0682o 0x000000  -0.571429
