         MJD         m       dm   uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57717.648544 17.797727      NaN   -45    92 c    0   1.34 136.66492 19.33809  7885.53  8057.37 4.57 4.51  28.8 -0.358    17.48 19.21 02a57717o0025c 0x100002  -0.489130
57717.664468 16.982110      NaN  -146   195 c    0   1.24 136.66492 19.33809  7866.07  8018.75 4.46 4.42  72.2 -0.399    17.62 18.39 02a57717o0049c 0x100002  -0.748718
57745.520454 19.696897      NaN   -25    16 c    0   1.09 136.66492 19.33809 10126.95  1869.28 4.03 3.73 -88.4 -0.421    19.69 21.69 02a57745o0615c 0x000000  -1.562500
57745.524133 19.766969      NaN   -23    15 c    0   1.22 136.66492 19.33809   536.85  1832.62 4.13 3.84  79.3 -0.381    19.70 21.64 02a57745o0622c 0x000000  -1.533333
57745.524770 19.766969      NaN   -82    15 c    0   1.03 136.66492 19.33809 10144.19  1905.02 4.01 3.65  88.3 -0.426    19.68 21.65 02a57745o0623c 0x000000  -5.466667
57745.543651 19.766969      NaN   -56    15 c    0   1.48 136.66492 19.33809   551.63  1877.65 4.29 3.95  75.0 -0.380    19.60 21.51 02a57745o0654c 0x000000  -3.733333
57745.549073 19.766969      NaN   -33    15 c    0   1.31 136.66492 19.33809   496.94  1795.96 4.23 3.89  77.1 -0.384    19.59 21.48 02a57745o0664c 0x000000  -2.200000
57745.549585 19.696897      NaN   -56    16 c    0   1.05 136.66492 19.33809 10070.62  1832.91 4.04 3.69  87.6 -0.419    19.61 21.49 02a57745o0665c 0x000000  -3.500000
57745.566717 19.631075      NaN   -65    17 c    0   1.03 136.66492 19.33809   468.48  8503.63 4.05 3.65  32.3 -0.430    19.57 21.46 02a57745o0692c 0x000000  -3.823529
57745.574232 19.631075      NaN   -58    17 c    0   1.01 136.66492 19.33809   478.42  1915.72 4.13 3.82  76.3 -0.381    19.61 21.45 02a57745o0705c 0x000000  -3.411765
57745.575155 19.569016      NaN   -76    18 c    0   0.93 136.66492 19.33809   409.03  8560.29 3.99 3.53  27.8 -0.416    19.58 21.45 02a57745o0706c 0x000000  -4.222222
57745.587165 19.569016      NaN   -15    18 c    0   1.19 136.66492 19.33809 10000.40  8594.10 3.74 3.29 -75.0 -0.409    19.60 21.43 02a57745o0725c 0x000000  -0.833333
57753.505179 18.152867      NaN    55    48 c    0   1.19 136.66492 19.33809  2874.72  1157.71 3.96 3.92 -80.2 -0.407    18.35 20.30 02a57753o0468c 0x100002   1.145833
57753.523776 18.158337      NaN  -106    66 c    0   1.22 136.66492 19.33809  2887.44  1201.12 3.91 3.84 -16.8 -0.412    18.05 19.93 02a57753o0500c 0x100002  -1.606061
57753.546319 16.927812      NaN  -135   205 c    0   1.40 136.66492 19.33809  7671.64  9330.30 3.75 3.54 -86.5 -0.450    16.66 18.42 02a57753o0539c 0x100002  -0.658537
57753.553864 19.212347      NaN     3    24 c    0   1.10 136.66492 19.33809  7688.91  9209.22 3.64 3.42 -77.2 -0.461    19.23 21.13 02a57753o0552c 0x000000   0.125000
57753.568852 16.057406      NaN  -249   457 c    0   1.15 136.66492 19.33809  7655.69  9275.21 3.83 3.66  85.5 -0.437    16.04 17.83 02a57753o0577c 0x100002  -0.544858
57757.490334 19.631075      NaN   -50    17 c    0   1.18 136.66492 19.33809 10108.86  1084.16 3.90 3.55  82.9 -0.438    19.70 21.61 02a57757o0543c 0x000000  -2.941176
57757.508396 19.631075      NaN   -40    17 c    0   1.22 136.66492 19.33809   385.91  9324.51 3.90 3.48  26.3 -0.441    19.69 21.59 02a57757o0575c 0x000000  -2.352941
57757.509290 19.841877      NaN   -50    14 c    0   1.09 136.66492 19.33809   499.37  1051.71 4.05 3.83  84.3 -0.400    19.71 21.61 02a57757o0576c 0x000000  -3.571429
57757.513451 19.841877      NaN   -55    14 c    0   1.04 136.66492 19.33809   538.54  1090.23 4.03 3.77  88.8 -0.400    19.73 21.64 02a57757o0584c 0x000000  -3.928571
57757.531017 19.631075      NaN   -45    17 c    0   1.23 136.66492 19.33809   439.15  9403.47 3.78 3.37  21.6 -0.452    19.71 21.62 02a57757o0613c 0x000000  -2.647059
57757.531519 19.631075      NaN   -42    17 c    0   1.06 136.66492 19.33809 10046.36  9434.54 3.64 3.11 -74.8 -0.454    19.72 21.64 02a57757o0614c 0x000000  -2.470588
57757.538762 19.696897      NaN   -16    16 c    0   1.12 136.66492 19.33809   459.53  9284.78 3.81 3.38  23.8 -0.451    19.71 21.63 02a57757o0626c 0x000000  -1.000000
57757.554340 19.631075      NaN   -57    17 c    0   1.00 136.66492 19.33809   424.07  9345.22 3.68 3.33  14.9 -0.446    19.71 21.62 02a57757o0652c 0x000000  -3.352941
57757.554833 19.766969      NaN   -22    15 c    0   0.99 136.66492 19.33809 10065.61  9319.91 3.54 3.04 -68.8 -0.475    19.72 21.63 02a57757o0653c 0x000000  -1.466667
57757.563780 19.841877      NaN   -71    14 c    0   1.54 136.66492 19.33809 10028.27  9376.90 3.62 3.07 -73.3 -0.464    19.71 21.62 02a57757o0668c 0x000000  -5.071429
57777.476150 19.841877      NaN   -42    14 c    0   1.06 136.66492 19.33809  7252.41  7856.17 3.81 3.61  80.4 -0.410    19.76 21.77 02a57777o0529c 0x000000  -3.000000
57777.497862 19.696897      NaN   -44    16 c    0   0.84 136.66492 19.33809  7233.01  7819.92 3.85 3.59  87.8 -0.417    19.74 21.75 02a57777o0568c 0x000000  -2.750000
57777.504014 19.841877      NaN   -51    14 c    0   1.19 136.66492 19.33809  7289.84  7896.90 3.76 3.53  87.8 -0.429    19.74 21.73 02a57777o0579c 0x000000  -3.642857
57777.519775 19.766969      NaN   -25    15 c    0   0.99 136.66492 19.33809  7308.00  7783.76 3.83 3.55  88.9 -0.416    19.73 21.72 02a57777o0606c 0x000000  -1.666667
57777.527435 19.841877      NaN   -26    14 c    0   1.36 136.66492 19.33809  7270.11  7840.31 3.77 3.55 -83.5 -0.427    19.72 21.71 02a57777o0620c 0x000000  -1.857143
57781.458247 19.841877      NaN   -30    14 c    0   1.22 136.66492 19.33809  7604.49  8114.57 3.55 3.36 -74.2 -0.458    19.77 21.73 02a57781o0432c 0x000000  -2.142857
57781.480980 19.696897      NaN   -44    16 c    0   0.88 136.66492 19.33809  7567.35  8080.15 3.59 3.42 -72.0 -0.461    19.74 21.71 02a57781o0473c 0x000000  -2.750000
57781.498194 19.841877      NaN   -42    14 c    0   1.11 136.66492 19.33809  7639.16  8153.97 3.62 3.38 -76.5 -0.460    19.74 21.70 02a57781o0503c 0x000000  -3.000000
57781.504848 19.841877      NaN   -46    14 c    0   1.18 136.66492 19.33809  7660.47  8039.60 3.57 3.35 -71.4 -0.457    19.74 21.70 02a57781o0515c 0x000000  -3.285714
57781.529432 19.841877      NaN   -39    14 c    0   1.27 136.66492 19.33809  7622.42  8094.93 3.52 3.25 -71.8 -0.426    19.74 21.69 02a57781o0556c 0x000000  -2.785714
57805.419554 19.351140      NaN   -35    22 c    0   1.24 136.66492 19.33809  7854.68 10468.75 3.76 3.65 -68.9 -0.466    19.67 21.63 02a57805o0377c 0x000000  -1.590909
57805.420546 19.766969      NaN   -49    15 c    0   1.43 136.66492 19.33809  4931.70   669.93 3.90 3.85 -32.7 -0.411    19.65 21.62 02a57805o0379c 0x000000  -3.266667
57805.429142 19.631075      NaN   -46    17 c    0   1.22 136.66492 19.33809  4914.24   632.85 4.03 4.01 -44.1 -0.402    19.62 21.62 02a57805o0393c 0x000000  -2.705882
57805.442166 19.652575      NaN     2    16 c    0   1.36 136.66492 19.33809  7835.41 10431.18 3.93 3.80  88.0 -0.430    19.64 21.61 02a57805o0415c 0x000000   0.125000
57805.447164 18.336727      NaN    39    43 c    0   2.45 136.66492 19.33809  7911.30 10517.70 3.76 3.70 -79.2 -0.442    19.67 21.62 02a57805o0425c 0x100002   0.906977
57805.450438 19.631075      NaN   -67    17 c    0   0.91 136.66492 19.33809  4971.97   712.77 3.88 3.83 -43.7 -0.413    19.64 21.58 02a57805o0430c 0x000000  -3.941176
57805.462415 19.569016      NaN   -58    18 c    0   1.07 136.66492 19.33809  4992.35   592.84 3.98 3.95 -49.5 -0.398    19.63 21.60 02a57805o0449c 0x000000  -3.222222
57805.464398 19.696897      NaN   -47    16 c    0   1.17 136.66492 19.33809  7930.68 10393.64 3.90 3.71 -85.1 -0.440    19.65 21.59 02a57805o0453c 0x000000  -2.937500
57805.472792 19.696897      NaN   -54    16 c    0   1.10 136.66492 19.33809  4957.65   653.44 4.00 3.97 -38.9 -0.401    19.60 21.57 02a57805o0468c 0x000000  -3.375000
57805.487448 19.510313      NaN   -10    19 c    0   0.84 136.66492 19.33809  7895.54 10452.39 3.83 3.71 -89.8 -0.439    19.63 21.55 02a57805o0492c 0x000000  -0.526316
57809.421770 19.454622      NaN    -2    20 c    0   1.14 136.66492 19.33809  8111.03  8164.29 3.78 3.46 -83.5 -0.444    19.36 21.32 02a57809o0376c 0x000000  -0.100000
57809.425766 19.510313      NaN   -38    19 c    0   1.04 136.66492 19.33809  8094.11  8130.91 3.65 3.38 -81.5 -0.456    19.54 21.50 02a57809o0384c 0x000000  -2.000000
57809.450522 19.766969      NaN   -37    15 c    0   1.12 136.66492 19.33809  8149.44  8210.83 3.85 3.66  83.6 -0.422    19.72 21.74 02a57809o0425c 0x000000  -2.466667
57809.466741 19.766969      NaN   -72    15 c    0   1.09 136.66492 19.33809  8169.07  8088.44 3.81 3.45 -89.4 -0.433    19.72 21.70 02a57809o0452c 0x000000  -4.800000
57809.475154 19.841877      NaN   -25    14 c    0   1.71 136.66492 19.33809  8134.38  8151.74 3.87 3.62  88.7 -0.417    19.63 21.62 02a57809o0467c 0x000000  -1.785714
57817.308227 19.351140      NaN   -23    22 c    0   1.18 136.66492 19.33809  1818.67  2709.31 4.08 3.86  85.9 -0.392    19.16 20.79 02a57817o0094c 0x000000  -1.045455
57817.321483 19.454622      NaN   -49    20 c    0   1.16 136.66492 19.33809  1833.99  2746.80 4.05 3.88  83.8 -0.391    19.16 20.81 02a57817o0120c 0x000000  -2.450000
57817.343450 19.454622      NaN    -4    20 c    0   1.21 136.66492 19.33809  1786.70  2679.25 4.02 3.81 -84.4 -0.402    19.22 20.87 02a57817o0161c 0x000000  -0.200000
57817.349713 19.631075      NaN   -64    17 c    0   1.52 136.66492 19.33809  1746.16  2796.70 4.02 3.83 -84.6 -0.396    19.22 20.87 02a57817o0172c 0x000000  -3.764706
57817.357673 19.569016      NaN   -61    18 c    0   1.08 136.66492 19.33809  1803.03  2732.73 3.98 3.78 -81.7 -0.397    19.24 20.89 02a57817o0187c 0x000000  -3.388889
57833.362492 19.510313      NaN   -69    19 c    0   1.13 136.66492 19.33809  8218.73  7262.19 3.85 3.60 -22.7 -0.441    18.97 20.88 02a57833o0259c 0x000000  -3.631579
57833.387496 19.454622      NaN   -46    20 c    0   1.06 136.66492 19.33809  8203.81  7224.77 3.52 3.19 -70.9 -0.408    19.05 20.86 02a57833o0303c 0x000000  -2.300000
57833.403899 19.569016      NaN   -23    18 c    0   1.21 136.66492 19.33809  8256.97  7299.42 3.50 3.14 -71.0 -0.408    19.05 20.84 02a57833o0332c 0x000000  -1.277778
57833.411498 19.510313      NaN   -25    19 c    0   1.19 136.66492 19.33809  8277.42  7187.35 3.57 3.28 -68.2 -0.405    19.01 20.83 02a57833o0345c 0x000000  -1.315789
57833.426815 19.569016      NaN   -78    18 c    0   1.25 136.66492 19.33809  8241.19  7240.67 3.56 3.22 -71.9 -0.411    18.99 20.77 02a57833o0371c 0x000000  -4.333333
57837.363580 19.510313      NaN   -39    19 c    0   1.44 136.66492 19.33809  7485.96  8335.79 4.12 3.96  83.7 -0.389    18.84 20.69 02a57837o0189c 0x000000  -2.052632
57837.383714 19.454622      NaN   -52    20 c    0   1.21 136.66492 19.33809  7466.89  8295.64 3.95 3.78  85.2 -0.414    18.91 20.71 02a57837o0225c 0x000000  -2.600000
57837.390324 19.510313      NaN   -61    19 c    0   1.21 136.66492 19.33809  7524.64  8377.41 3.81 3.63 -88.6 -0.433    18.93 20.71 02a57837o0236c 0x000000  -3.210526
57837.405623 19.401649      NaN   -29    21 c    0   0.88 136.66492 19.33809  7542.43  8257.33 3.76 3.54 -89.8 -0.433    18.92 20.67 02a57837o0263c 0x000000  -1.380952
57837.428176 19.569016      NaN   -90    18 c    0   1.27 136.66492 19.33809  7506.95  8314.15 3.76 3.57  89.3 -0.436    18.89 20.63 02a57837o0302c 0x000000  -5.000000
57841.362045 19.510313      NaN   -62    19 c    0   1.15 136.66492 19.33809  7452.18  9684.16 3.74 3.68 -89.2 -0.449    18.95 20.75 02a57841o0255c 0x000000  -3.263158
57841.366493 19.454622      NaN     0    20 c    0   1.21 136.66492 19.33809  7436.60  9646.77 3.89 3.76  84.6 -0.435    18.93 20.74 02a57841o0263c 0x000000   0.000000
57841.382062 19.401649      NaN   -47    21 c    0   1.12 136.66492 19.33809  7507.67  9723.62 3.79 3.69 -86.0 -0.446    18.93 20.71 02a57841o0293c 0x000000  -2.238095
57841.403418 19.454622      NaN   -56    20 c    0   1.19 136.66492 19.33809  7528.42  9604.84 3.96 3.79 -88.3 -0.423    18.87 20.66 02a57841o0332c 0x000000  -2.800000
57841.412192 19.351140      NaN   -31    22 c    0   1.05 136.66492 19.33809  7475.27  9665.67 3.99 3.87  78.3 -0.414    18.86 20.65 02a57841o0347c 0x000000  -1.409091
57845.279775 19.089302      NaN   -59    28 c    0   1.21 136.66492 19.33809   703.75  8834.06 4.63 4.20  -1.4 -0.417    18.53 20.16 02a57845o0112c 0x000000  -2.107143
57845.289691 18.967180      NaN    16    26 c    0   1.01 136.66492 19.33809 10283.94  8873.25 4.44 4.17  83.0 -0.423    18.61 20.21 02a57845o0129c 0x000000   0.615385
57845.290215 19.014394      NaN   -18    30 c    0   1.12 136.66492 19.33809   687.76  8792.52 5.53 4.06  -1.0 -0.401    18.46 20.17 02a57845o0130c 0x100002  -0.600000
57845.300570 19.302877      NaN   -52    23 c    0   1.09 136.66492 19.33809   232.69  1617.53 4.30 4.00 -39.6 -0.398    18.69 20.22 02a57845o0149c 0x000000  -2.260870
57845.301987 19.014394      NaN   -41    30 c    0   1.02 136.66492 19.33809   740.62  8867.39 5.82 4.24  -1.3 -0.358    18.39 20.17 02a57845o0151c 0x100002  -1.366667
57845.312019 19.038793      NaN    16    24 c    0   1.42 136.66492 19.33809 10320.05  8914.89 4.74 4.43  13.8 -0.390    18.54 20.21 02a57845o0169c 0x000000   0.666667
57845.323781 19.128787      NaN   -69    27 c    0   1.17 136.66492 19.33809   761.40  8750.86 4.32 4.13   4.2 -0.398    18.57 20.17 02a57845o0189c 0x000000  -2.555556
57845.324302 19.014394      NaN   -14    30 c    0   1.23 136.66492 19.33809 10356.53  8799.27 6.43 4.92   4.3 -0.306    18.33 20.21 02a57845o0190c 0x100002  -0.466667
57845.333799 18.125925      NaN   -18    68 c    0   0.91 136.66492 19.33809 10300.61  8860.03 5.76 4.66   4.8 -0.340    17.60 19.17 02a57845o0208c 0x100002  -0.264706
57845.334316 18.847027      NaN   -68    35 c    0   1.16 136.66492 19.33809   724.69  8813.24 5.80 4.42  -3.0 -0.363    18.24 19.99 02a57845o0209c 0x100002  -1.942857
57865.377282 19.631075      NaN   -49    17 c    0   1.62 136.66492 19.33809  9110.97  7875.15 3.20 3.02 -23.3 -0.407    19.16 20.41 02a57865o0227c 0x000000  -2.882353
57865.406809 17.747755      NaN    31    86 c    0   0.87 136.66492 19.33809  9159.15  7915.78 3.17 3.07   1.2 -0.437    17.97 19.04 02a57865o0278c 0x100002   0.360465
57869.384228 19.922338      NaN   -42    13 c    0   1.17 136.66492 19.33809  7378.94  9894.00 2.94 2.61  13.1 -0.470    19.22 20.36 02a57869o0094c 0x000000  -3.230769
57869.394204 19.696897      NaN   -54    16 c    0   1.25 136.66492 19.33809  4498.60   201.25 3.86 2.77  23.4 -0.473    19.20 20.28 02a57869o0113c 0x000000  -3.375000
57869.408489 19.569016      NaN   -81    18 c    0   0.99 136.66492 19.33809  4517.70    85.43 3.96 2.86  23.7 -0.462    19.10 20.17 02a57869o0140c 0x000000  -4.500000
57869.413249 19.766969      NaN   -20    15 c    0   1.13 136.66492 19.33809  7448.19  9856.83 2.89 2.56  11.4 -0.479    19.11 20.17 02a57869o0149c 0x000000  -1.333333
57869.423219 19.569016      NaN   -22    18 c    0   1.33 136.66492 19.33809  4480.27   144.38 4.14 2.96  23.4 -0.454    18.97 20.01 02a57869o0168c 0x000000  -1.222222
57869.427935 19.631075      NaN   -45    17 c    0   1.22 136.66492 19.33809  7409.74  9917.37 2.98 2.57  10.5 -0.471    18.95 19.98 02a57869o0177c 0x000000  -2.647059
57893.261627 19.841877      NaN   -26    14 c    0   0.90 136.66492 19.33809  4125.91   809.19 3.85 2.61  28.8 -0.447    19.51 20.94 02a57893o0033c 0x000000  -1.857143
57893.272130 19.841877      NaN   -25    14 c    0   1.01 136.66492 19.33809  4105.65   770.52 3.92 2.59  27.0 -0.451    19.49 20.92 02a57893o0053c 0x000000  -1.785714
57893.285242 19.696897      NaN   -32    16 c    0   0.95 136.66492 19.33809  4157.99   849.86 4.07 2.60  28.3 -0.457    19.43 20.85 02a57893o0078c 0x000000  -2.000000
57893.296750 19.841877      NaN   -52    14 c    0   1.36 136.66492 19.33809  4184.87   727.02 4.15 2.64  28.1 -0.467    19.39 20.82 02a57893o0100c 0x000000  -3.714286
57893.309864 19.766969      NaN   -25    15 c    0   1.25 136.66492 19.33809  4148.27   785.34 4.10 2.55  27.1 -0.478    19.36 20.77 02a57893o0125c 0x000000  -1.666667
57901.256359 19.766969      NaN   -50    15 c    0   1.16 136.66492 19.33809  8127.21  9066.08 2.94 2.88 -29.7 -0.426    19.32 20.73 02a57901o0038c 0x000000  -3.333333
57901.264285 19.569016      NaN     9    15 c    0   0.89 136.66492 19.33809  8180.65  9144.22 2.96 2.87 -21.3 -0.425    19.39 20.91 02a57901o0053c 0x000000   0.600000
58071.637151 20.207197      NaN    -8    10 c    0   1.05 136.66492 19.33809  9459.15  4647.40 2.48 2.35  74.2 -0.460    19.77 21.30 02a58071o0752c 0x000000  -0.800000
58071.646615 20.321591      NaN   -38     9 c    0   1.22 136.66492 19.33809  9476.56  4687.80 2.49 2.40  75.5 -0.470    19.61 21.07 02a58071o0770c 0x000000  -4.222222
58071.655344 19.454622      NaN   -47    20 c    0   1.42 136.66492 19.33809  9420.53  4611.43 2.50 2.38  72.3 -0.469    18.79 19.64 02a58071o0787c 0x000000  -2.350000
58075.631325 20.207197      NaN   -23    10 c    0   1.18 136.66492 19.33809  9433.12  5699.25 2.52 2.39  71.3 -0.454    19.61 21.23 02a58075o0795c 0x000000  -2.300000
58075.643819 20.449472      NaN   -33     8 c    0   1.58 136.66492 19.33809  1028.56  4696.35 2.47 2.31  29.3 -0.454    19.65 21.24 02a58075o0813c 0x000000  -4.125000
