         MJD         m       dm   uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57705.647742 18.806434      NaN    28    27 o    0   1.17 136.66492 19.33809  9747.02  3171.68 3.80 3.23  83.8 -0.479    18.90 20.07 02a57705o0807o 0x000000   1.037037
57705.651135 18.944322      NaN   -17    32 o    0   1.11 136.66492 19.33809   190.04  3124.29 4.08 3.92 -66.1 -0.386    18.65 19.74 02a57705o0812o 0x000000  -0.531250
57705.661788 17.311291      NaN  -148   144 o    0   1.11 136.66492 19.33809  9767.31  3212.25 4.06 3.54  78.2 -0.482    17.28 17.03 02a57705o0830o 0x100002  -1.027778
57709.653629 18.336727      NaN   -77    56 o    0   0.99 136.66492 19.33809  6974.00  8240.83 3.70 3.53  -5.6 -0.461    18.40 19.17 02a57709o0009o 0x100002  -1.375000
57737.474200 18.438271      NaN   -42    51 o    0   0.94 136.66492 19.33809  2439.28  3076.06 3.66 3.54  87.3 -0.423    18.27 18.84 02a57737o0528o 0x100002  -0.823529
57737.483489 18.526952      NaN   -86    47 o    0   1.14 136.66492 19.33809  2463.46  3115.74 3.65 3.53 -89.7 -0.422    18.29 18.86 02a57737o0543o 0x000000  -1.829787
57737.492919 18.649074      NaN   -49    42 o    0   1.19 136.66492 19.33809  2409.30  3039.28 3.65 3.51  89.1 -0.426    18.30 18.90 02a57737o0561o 0x000000  -1.166667
57737.503725 18.410251      NaN    16    47 o    0   1.11 136.66492 19.33809  2393.10  3156.08 3.59 3.43  87.7 -0.440    18.34 18.90 02a57737o0579o 0x000000   0.340426
57737.518726 18.550302      NaN   -20    46 o    0   1.14 136.66492 19.33809  2425.86  3099.48 3.74 3.59 -89.8 -0.422    18.30 18.91 02a57737o0608o 0x000000  -0.434783
57761.476174 19.076453      NaN     4    27 o    0   1.33 136.66492 19.33809  4854.81  9677.29 3.28 2.89 -12.9 -0.466    19.00 20.20 02a57761o0487o 0x000000   0.148148
57761.487247 19.089302      NaN    -7    28 o    0   1.12 136.66492 19.33809  4869.36  9719.09 3.31 2.90 -13.2 -0.469    19.02 20.24 02a57761o0504o 0x000000  -0.250000
57761.495870 19.063754      NaN    14    24 o    0   1.33 136.66492 19.33809  4819.62  9639.15 3.32 2.93 -10.4 -0.455    19.05 20.28 02a57761o0518o 0x000000   0.583333
57761.510048 18.978793      NaN    21    24 o    0   0.85 136.66492 19.33809  5716.35   689.05 3.62 3.50 -58.2 -0.449    19.10 20.38 02a57761o0541o 0x000000   0.875000
57761.521870 19.256669      NaN    -5    24 o    0   1.37 136.66492 19.33809  4832.63  9704.72 3.35 2.92  -1.7 -0.463    19.12 20.46 02a57761o0559o 0x000000  -0.208333
57769.493675 18.623526      NaN   -63    43 o    0   1.08 136.66492 19.33809   612.26  8833.56 4.41 3.54   7.3 -0.433    18.58 19.74 02a57769o0466o 0x000000  -1.465116
57769.513005 18.376212      NaN    42    40 o    0   0.95 136.66492 19.33809   590.89  8792.31 4.11 3.39   7.7 -0.456    18.66 19.79 02a57769o0498o 0x000000   1.050000
57769.513502 18.574166      NaN     0    45 o    0   1.06 136.66492 19.33809 10188.83  8870.37 3.80 3.77 -71.2 -0.435    18.62 19.71 02a57769o0499o 0x000000   0.000000
57769.517501 18.606822      NaN    14    39 o    0   1.23 136.66492 19.33809 10171.56  8836.38 3.71 3.66 -45.0 -0.457    18.66 19.73 02a57769o0507o 0x000000   0.358974
57769.535378 18.729535      NaN   -12    39 o    0   1.34 136.66492 19.33809   646.14  8870.42 4.64 3.49   2.6 -0.424    18.57 19.76 02a57769o0536o 0x000000  -0.307692
57769.535877 18.702047      NaN   -52    40 o    0   1.23 136.66492 19.33809 10223.84  8913.75 4.21 3.83  -6.9 -0.441    18.58 19.70 02a57769o0537o 0x000000  -1.300000
57769.541870 18.526952      NaN   -25    47 o    0   1.18 136.66492 19.33809   669.09  8758.12 4.48 3.69   2.9 -0.466    18.52 19.71 02a57769o0549o 0x000000  -0.531915
57769.557445 18.847027      NaN   -14    35 o    0   1.35 136.66492 19.33809   631.69  8811.59 3.48 3.15  32.4 -0.478    18.75 19.74 02a57769o0575o 0x000000  -0.400000
57769.557945 18.286218      NaN    59    39 o    0   1.06 136.66492 19.33809 10244.71  8798.25 3.69 2.99 -85.0 -0.462    18.71 19.68 02a57769o0576o 0x000000   1.512821
