         MJD         m       dm  uJy  duJy F  err  chi/N        RA      Dec       x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57718.553340 19.569016      NaN -278    18 c    0   1.22 142.22972 49.23811 4057.88  2788.29 4.56 4.34  89.0 -0.366    19.37 21.55 02a57718o0692c 0x000000 -15.444444
57718.565587 19.922338      NaN -202    13 c    0   1.58 142.22972 49.23811 4070.66  2828.54 4.18 3.98  86.7 -0.375    19.70 21.80 02a57718o0715c 0x000000 -15.538462
57718.577669 19.766969      NaN -201    15 c    0   1.36 142.22972 49.23811 4017.58  2751.43 4.15 3.92  83.8 -0.383    19.58 21.65 02a57718o0738c 0x000000 -13.400000
57718.589819 19.841877      NaN -226    14 c    0   1.38 142.22972 49.23811 3993.39  2869.42 4.18 3.94  82.8 -0.378    19.63 21.71 02a57718o0761c 0x000000 -16.142857
57718.601907 19.922338      NaN -264    13 c    0   1.62 142.22972 49.23811 4032.29  2813.00 3.87 3.66  83.7 -0.399    19.66 21.63 02a57718o0784c 0x000000 -20.307692
57746.492563 19.841877      NaN -223    14 c    0   1.34 142.22972 49.23811 5833.97  2441.76 4.00 3.87  89.9 -0.378    19.75 21.85 02a57746o0588c 0x000000 -15.928571
57746.520829 20.009244      NaN -213    12 c    0   1.49 142.22972 49.23811 5855.01  2482.38 4.04 3.86 -88.6 -0.377    19.81 21.99 02a57746o0642c 0x000000 -17.750000
57746.524419 20.103715      NaN -258    11 c    0   1.89 142.22972 49.23811 5801.12  2405.76 3.99 3.84 -89.0 -0.377    19.82 21.98 02a57746o0649c 0x000000 -23.454545
57746.535538 20.009244      NaN -220    12 c    0   1.44 142.22972 49.23811 5774.75  2523.52 4.04 3.87  87.1 -0.377    19.81 22.01 02a57746o0670c 0x000000 -18.333333
57746.547221 19.922338      NaN -246    13 c    0   1.23 142.22972 49.23811 5813.79  2466.37 4.05 3.90  88.8 -0.371    19.81 21.98 02a57746o0692c 0x000000 -18.923077
57750.495347 19.766969      NaN -304    15 c    0   1.21 142.22972 49.23811 3790.39   630.97 4.12 4.03 -70.3 -0.397    19.70 21.78 02a57750o0423c 0x000000 -20.266667
57750.495847 17.131075      NaN -267   170 c    0   0.07 142.22972 49.23811 3735.31 10526.42 4.06 3.76  12.0 -0.346    19.66 21.78 02a57750o0424c 0x100002  -1.570588
57750.506606 19.766969      NaN -274    15 c    0   1.39 142.22972 49.23811 3801.60   669.09 4.47 4.39 -75.5 -0.367    19.60 21.79 02a57750o0445c 0x000000 -18.266667
57750.522253 19.766969      NaN -275    15 c    0   1.59 142.22972 49.23811 3757.69   590.43 4.19 4.12 -88.1 -0.385    19.64 21.76 02a57750o0476c 0x000000 -18.333333
57750.523246 19.169763      NaN -391    26 c    0   1.44 142.22972 49.23811 3698.32 10484.42 4.12 3.79  10.5 -0.358    19.44 21.54 02a57750o0478c 0x100002 -15.038462
57750.532690 19.696897      NaN -255    16 c    0   1.16 142.22972 49.23811 3733.11   710.15 4.46 4.35 -82.3 -0.374    19.60 21.78 02a57750o0496c 0x000000 -15.937500
57750.544683 18.702047      NaN -307    40 c    0   1.28 142.22972 49.23811 3769.11   652.61 4.38 4.31 -58.8 -0.376    18.65 20.74 02a57750o0519c 0x100002  -7.675000
57778.465858 19.696897      NaN -228    16 c    0   1.57 142.22972 49.23811 4063.67 10262.32 3.98 3.80   5.0 -0.397    19.73 21.80 02a57778o0372c 0x000000 -14.250000
57778.466335 19.696897      NaN -226    16 c    0   1.35 142.22972 49.23811 4096.48   367.05 4.10 3.74  -7.2 -0.438    19.77 21.82 02a57778o0373c 0x000000 -14.125000
57778.467793 19.631075      NaN -229    17 c    0   1.27 142.22972 49.23811 4090.99 10298.74 3.99 3.84  10.6 -0.399    19.74 21.79 02a57778o0376c 0x000000 -13.470588
57778.477510 19.841877      NaN -271    14 c    0   1.37 142.22972 49.23811 6381.22 10037.31 4.05 3.83 -83.0 -0.421    19.77 21.80 02a57778o0395c 0x000000 -19.357143
57778.479634 19.696897      NaN -240    16 c    0   1.47 142.22972 49.23811 4028.10 10218.08 4.02 3.93  24.7 -0.399    19.73 21.80 02a57778o0399c 0x000000 -15.000000
57778.482142 19.766969      NaN -249    15 c    0   1.22 142.22972 49.23811 6430.96 10117.91 4.02 3.83 -85.3 -0.418    19.77 21.79 02a57778o0403c 0x000000 -16.600000
57778.495301 19.631075      NaN -218    17 c    0   1.35 142.22972 49.23811 4017.15 10335.71 4.01 3.75   8.0 -0.378    19.74 21.78 02a57778o0429c 0x000000 -12.823529
57778.503804 19.696897      NaN -243    16 c    0   1.24 142.22972 49.23811 6453.99  9997.84 3.99 3.82 -88.2 -0.421    19.75 21.76 02a57778o0444c 0x000000 -15.187500
57778.513928 19.766969      NaN -275    15 c    0   0.97 142.22972 49.23811 6421.32 10057.77 4.01 3.96 -67.3 -0.422    19.74 21.78 02a57778o0464c 0x000000 -18.333333
57778.515841 19.569016      NaN -222    18 c    0   1.25 142.22972 49.23811 6428.71   164.91 3.98 3.71   9.4 -0.458    19.73 21.75 02a57778o0467c 0x000000 -12.333333
57782.442709 19.766969      NaN -273    15 c    0   1.27 142.22972 49.23811 4535.53  1393.86 3.83 3.79 -71.7 -0.400    19.74 21.75 02a57782o0487c 0x000000 -18.200000
57782.470671 19.696897      NaN -271    16 c    0   1.35 142.22972 49.23811 5931.15  9018.34 3.69 3.65   6.1 -0.439    19.77 21.80 02a57782o0542c 0x000000 -16.937500
57782.473902 19.841877      NaN -234    14 c    0   1.56 142.22972 49.23811 5992.77  9095.26 3.59 3.54 -34.9 -0.421    19.79 21.80 02a57782o0548c 0x000000 -16.714286
57782.486799 19.766969      NaN -181    15 c    0   1.40 142.22972 49.23811 6007.03  8976.22 3.59 3.51 -34.5 -0.440    19.76 21.78 02a57782o0573c 0x000000 -12.066667
57782.508577 19.841877      NaN -274    14 c    0   1.45 142.22972 49.23811 5970.06  9035.04 3.56 3.47 -26.7 -0.430    19.79 21.80 02a57782o0614c 0x000000 -19.571429
57786.450753 19.922338      NaN -247    13 c    0   1.68 142.22972 49.23811 6201.65 10347.61 3.71 3.70 -11.0 -0.390    19.76 21.78 02a57786o0288c 0x000000 -19.000000
57786.454828 19.696897      NaN -204    16 c    0   1.66 142.22972 49.23811 4298.90  9987.65 3.81 3.56  16.7 -0.399    19.75 21.77 02a57786o0296c 0x000000 -12.750000
57786.463948 19.696897      NaN -223    16 c    0   1.28 142.22972 49.23811 4322.17 10026.71 3.81 3.57  14.8 -0.399    19.75 21.78 02a57786o0314c 0x000000 -13.937500
57786.464425 19.631075      NaN -222    17 c    0   1.33 142.22972 49.23811 4318.17   137.65 3.86 3.68  -5.3 -0.429    19.76 21.77 02a57786o0315c 0x000000 -13.058824
57786.480897 19.696897      NaN -227    16 c    0   1.06 142.22972 49.23811 6233.30 10389.40 3.77 3.69  61.3 -0.440    19.76 21.77 02a57786o0348c 0x000000 -14.187500
57786.481865 19.766969      NaN -198    15 c    0   1.20 142.22972 49.23811 6235.56   500.26 3.77 3.68   5.5 -0.435    19.76 21.77 02a57786o0350c 0x000000 -13.200000
57786.487884 19.766969      NaN -221    15 c    0   1.39 142.22972 49.23811 6263.37   385.24 3.78 3.68   6.5 -0.438    19.75 21.75 02a57786o0361c 0x000000 -14.733333
57786.488838 19.841877      NaN -236    14 c    0   1.56 142.22972 49.23811 6260.77 10275.44 3.77 3.70  68.4 -0.433    19.75 21.75 02a57786o0363c 0x000000 -16.857143
57786.498265 19.766969      NaN -206    15 c    0   1.29 142.22972 49.23811 6219.71 10329.15 3.64 3.61 -55.4 -0.441    19.77 21.79 02a57786o0382c 0x000000 -13.733333
57786.508167 19.696897      NaN -184    16 c    0   1.08 142.22972 49.23811 6200.23   440.12 3.76 3.65   8.1 -0.435    19.77 21.80 02a57786o0401c 0x000000 -11.500000
57806.416914 19.696897      NaN -232    16 c    0   1.24 142.22972 49.23811 5076.00  9111.53 3.91 3.79  82.0 -0.419    19.76 21.84 02a57806o0365c 0x000000 -14.500000
57806.430541 19.841877      NaN -223    14 c    0   1.45 142.22972 49.23811 5052.07  9074.63 3.82 3.72  77.7 -0.427    19.77 21.83 02a57806o0392c 0x000000 -15.928571
57806.448006 19.696897      NaN -222    16 c    0   1.05 142.22972 49.23811 5108.95  9151.63 3.84 3.75  82.7 -0.422    19.74 21.78 02a57806o0425c 0x000000 -13.875000
57806.455524 19.841877      NaN -185    14 c    0   1.46 142.22972 49.23811 5124.59  9033.49 3.85 3.74  75.2 -0.424    19.73 21.76 02a57806o0440c 0x000000 -13.214286
57806.476668 19.766969      NaN -225    15 c    0   1.28 142.22972 49.23811 5089.56  9093.57 3.83 3.73  74.5 -0.421    19.70 21.71 02a57806o0481c 0x000000 -15.000000
57834.386482 19.569016      NaN -267    18 c    0   1.28 142.22972 49.23811 6193.37  7105.62 4.08 3.93  83.6 -0.382    18.93 20.90 02a57834o0240c 0x000000 -14.833333
57834.397402 19.454622      NaN -251    20 c    0   1.20 142.22972 49.23811 6168.25  7066.07 4.12 3.92  81.7 -0.381    18.93 20.91 02a57834o0261c 0x000000 -12.550000
57834.402058 19.631075      NaN -200    17 c    0   1.33 142.22972 49.23811 6231.38  7143.26 3.92 3.80  79.6 -0.389    18.98 20.90 02a57834o0270c 0x000000 -11.764706
57834.423417 19.631075      NaN -262    17 c    0   1.27 142.22972 49.23811 6245.12  7026.72 4.03 3.88  81.2 -0.379    18.93 20.89 02a57834o0311c 0x000000 -15.411765
57834.433861 19.569016      NaN -225    18 c    0   1.46 142.22972 49.23811 6209.49  7084.83 3.83 3.70  85.0 -0.405    18.98 20.89 02a57834o0331c 0x000000 -12.500000
57838.369220 19.169763      NaN -250    26 c    0   1.17 142.22972 49.23811 5285.97 10369.67 5.19 4.08  -3.0 -0.363    18.84 21.01 02a57838o0220c 0x100002  -9.615385
57838.369744 19.454622      NaN -272    20 c    0   1.37 142.22972 49.23811 5188.66   480.48 4.01 3.82  -9.2 -0.411    19.02 21.01 02a57838o0221c 0x000000 -13.600000
57838.378713 19.401649      NaN -277    21 c    0   1.14 142.22972 49.23811 5162.48   439.16 4.41 3.93  -3.4 -0.394    18.94 20.99 02a57838o0238c 0x000000 -13.190476
57838.379752 19.401649      NaN -337    21 c    0   1.59 142.22972 49.23811 5271.03 10328.52 4.46 4.07  -2.0 -0.378    18.92 21.00 02a57838o0240c 0x000000 -16.047619
57838.396582 19.212347      NaN -328    25 c    0   1.06 142.22972 49.23811 5321.18 10406.41 4.20 4.13  90.0 -0.389    18.97 21.02 02a57838o0272c 0x100002 -13.120000
57838.401260 19.401649      NaN -273    21 c    0   1.12 142.22972 49.23811 5229.14   495.35 4.30 4.22 -14.9 -0.388    18.93 21.01 02a57838o0281c 0x000000 -13.000000
57838.417128 19.212347      NaN -239    25 c    0   1.21 142.22972 49.23811 5337.19 10287.79 4.65 4.55 -89.2 -0.334    18.87 21.01 02a57838o0311c 0x100002  -9.560000
57838.418162 19.169763      NaN -317    26 c    0   1.27 142.22972 49.23811 5256.33   377.64 5.22 5.12   0.1 -0.333    18.78 21.01 02a57838o0313c 0x100002 -12.192308
57838.427000 19.351140      NaN -250    22 c    0   1.65 142.22972 49.23811 5205.68   432.25 4.66 4.51  -6.1 -0.369    18.80 20.96 02a57838o0330c 0x000000 -11.363636
