         MJD         m       dm   uJy  duJy F  err  chi/N        RA      Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57702.569849 19.351140      NaN   -31    22 o    0   1.32 142.22972 49.23811  4266.87 10103.74  3.18  2.60  -5.9 -0.504    19.39 20.91 02a57702o0743o 0x000000  -1.409091
57702.580310 19.256669      NaN   -49    24 o    0   1.28 142.22972 49.23811  4260.87   213.84  3.70  3.52 -40.7 -0.447    19.40 20.93 02a57702o0763o 0x000000  -2.041667
57702.581332 19.318728      NaN     2    22 o    0   1.38 142.22972 49.23811  4289.78 10145.36  3.23  2.62  -7.4 -0.504    19.40 20.95 02a57702o0765o 0x000000   0.090909
57702.593146 19.302877      NaN   -52    23 o    0   1.23 142.22972 49.23811  4270.95   255.03  3.74  3.52 -51.0 -0.449    19.43 21.00 02a57702o0785o 0x000000  -2.260870
57702.594192 19.014394      NaN    24    22 o    0   1.37 142.22972 49.23811  4224.83 10067.44  3.19  2.61  -9.2 -0.504    19.44 21.00 02a57702o0787o 0x000000   1.090909
57702.604572 19.302877      NaN   -35    23 o    0   1.21 142.22972 49.23811  4221.40   177.44  3.66  3.46 -46.9 -0.451    19.42 21.01 02a57702o0807o 0x000000  -1.521739
57702.605592 19.287255      NaN     1    23 o    0   1.13 142.22972 49.23811  4195.82 10187.79  3.27  2.70  -5.5 -0.491    19.40 21.00 02a57702o0809o 0x000000   0.043478
57702.616039 19.256669      NaN   -12    24 o    0   1.02 142.22972 49.23811  4196.47   296.51  3.72  3.53 -40.5 -0.454    19.42 21.02 02a57702o0829o 0x000000  -0.500000
57702.617048 19.241693      NaN    10    21 o    0   1.46 142.22972 49.23811  4234.37 10129.23  3.23  2.63  -7.5 -0.505    19.42 21.00 02a57702o0831o 0x000000   0.476190
57702.627478 18.978793      NaN    24    23 o    0   1.23 142.22972 49.23811  4236.79   239.43  3.73  3.54 -51.7 -0.440    19.43 21.01 02a57702o0851o 0x000000   1.043478
