         MJD         m       dm    uJy  duJy F  err   chi/N        RA      Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs     Mask    __tmp_SN
57718.626929 20.009244      NaN  -5094    12 c    0   98.81 178.23233 36.98621  2568.59  7238.86  4.13  3.79  23.0 -0.427    19.20 21.12 02a57718o0832c 0x100001 -424.500000
57718.638915 20.207197      NaN  -5438    10 c    0  117.04 178.23233 36.98621  2585.10  7279.72  4.21  3.92  28.7 -0.420    19.31 21.27 02a57718o0855c 0x100001 -543.800000
57718.650891 18.649074      NaN  -1470    42 c    0    8.81 178.23233 36.98621  2523.62  7202.56  4.42  4.14  35.3 -0.376    18.66 20.44 02a57718o0878c 0x000000  -35.000000
57718.661242 17.334149      NaN  -1235   141 c    0    3.49 178.23233 36.98621  2508.57  7319.91  4.44  4.19  47.0 -0.401    17.69 18.58 02a57718o0898c 0x100002   -8.758865
57746.572086 20.959772      NaN  -1163     5 c    0  543.51 178.23233 36.98621  4422.58  6906.58  3.92  3.82  68.8 -0.395    19.71 21.79 02a57746o0739c 0x100001 -232.600000
57746.583532 20.009244      NaN  -2419    12 c    0  246.45 178.23233 36.98621  4439.20  6946.70  4.06  3.96  59.6 -0.380    19.68 21.82 02a57746o0761c 0x100001 -201.583333
57746.595084 19.841877      NaN  -3889    14 c    0  567.68 178.23233 36.98621  4379.18  6870.85  3.85  3.75  71.1 -0.402    19.74 21.81 02a57746o0783c 0x100001 -277.785714
57746.606516 19.569016      NaN  -1285    18 c    0   38.36 178.23233 36.98621  4361.65  6987.32  3.99  3.89  72.6 -0.384    19.69 21.79 02a57746o0805c 0x100001  -71.388889
57746.618096 20.959772      NaN  -2484     5 c    0   28.18 178.23233 36.98621  4407.79  6930.20  4.08  3.97  74.8 -0.383    19.66 21.77 02a57746o0827c 0x100001 -496.800000
57750.566665 19.922338      NaN  -2013    13 c    0   15.83 178.23233 36.98621  2292.26  5097.64  4.20  4.01  62.1 -0.379    19.63 21.74 02a57750o0561c 0x100001 -154.846154
57750.578063 19.302877      NaN   -908    23 c    0   51.57 178.23233 36.98621  2308.66  5137.82  4.29  4.10  70.9 -0.373    19.14 21.22 02a57750o0583c 0x100001  -39.478261
57778.511346 20.449472      NaN  -4366     8 c    0  110.80 178.23233 36.98621  2606.74  4838.02  3.85  3.81 -66.2 -0.397    19.75 21.83 02a57778o0459c 0x100001 -545.750000
57778.539628 19.766969      NaN  -1167    15 c    0   15.41 178.23233 36.98621  2641.96  4879.30  3.87  3.75 -84.2 -0.393    19.79 21.89 02a57778o0512c 0x100001  -77.800000
57778.544629 19.841877      NaN  -1660    14 c    0   13.11 178.23233 36.98621  2580.19  4801.82  3.80  3.72 -71.3 -0.400    19.81 21.90 02a57778o0522c 0x100001 -118.571429
57778.559250 19.922338      NaN  -1588    13 c    0   16.16 178.23233 36.98621  2566.35  4919.23  3.76  3.67 -84.8 -0.402    19.84 21.92 02a57778o0547c 0x100001 -122.153846
57778.571337 20.103715      NaN  -1663    11 c    0   16.97 178.23233 36.98621  2594.13  4862.09  3.76  3.68 -86.7 -0.401    19.83 21.92 02a57778o0569c 0x100001 -151.181818
57782.505514 19.631075      NaN  -1731    17 c    0   13.93 178.23233 36.98621  3081.23  5834.98  3.82  3.66  65.1 -0.388    19.80 21.86 02a57782o0608c 0x100001 -101.823529
57782.517192 20.761819      NaN  -3231     6 c    0   69.06 178.23233 36.98621  3096.86  5873.76  3.78  3.64  59.1 -0.393    19.82 21.90 02a57782o0629c 0x100001 -538.500000
57782.533246 19.696897      NaN  -1277    16 c    0   22.64 178.23233 36.98621  3035.73  5802.20  3.78  3.70  43.9 -0.398    19.84 21.95 02a57782o0657c 0x100001  -79.812500
