         MJD         m       dm    uJy   duJy F  err    chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask     __tmp_SN
57702.645023 18.847027      NaN  -1441     35 o    0    26.36 178.23233 36.98621  2794.53  4682.67 3.45 3.36  71.4 -0.458    19.05 20.31 02a57702o0884o 0x100001   -41.171429
57702.655066 17.883650      NaN   -909     85 o    0     6.32 178.23233 36.98621  2811.32  4722.58 3.39 3.30  85.8 -0.457    17.78 17.83 02a57702o0903o 0x100002   -10.694118
57706.614164 18.298627      NaN   -606     58 o    0     7.57 178.23233 36.98621  2445.22  6494.75 3.61 3.49  57.1 -0.447    18.21 18.81 02a57706o0830o 0x000000   -10.448276
57706.625629 18.396507      NaN   -911     53 o    0    12.72 178.23233 36.98621  2476.36  6535.02 3.53 3.43  51.6 -0.459    18.30 18.91 02a57706o0852o 0x100001   -17.188679
57706.636638 16.688012 0.070778    767     50 o    0    20.17 178.23233 36.98621  2415.33  6457.40 3.46 3.37  52.5 -0.465    18.36 18.99 02a57706o0873o 0x100001    15.340000
57706.644957 18.481707      NaN   -867     49 o    0     7.87 178.23233 36.98621  2384.60  6574.26 3.48 3.37  51.2 -0.470    18.35 18.99 02a57706o0889o 0x000000   -17.693878
57706.651134 17.668099      NaN    131     60 o    0     7.68 178.23233 36.98621  2431.90  6517.81 3.59 3.47  52.4 -0.466    18.16 18.69 02a57706o0901o 0x000000     2.183333
57710.624245 18.847027      NaN  -1161     35 o    0    37.18 178.23233 36.98621  4382.14  6232.36 3.32 3.16 -24.1 -0.421    18.79 19.78 02a57710o0829o 0x100001   -33.171429
57710.635912 18.944322      NaN   -458     32 o    0    30.12 178.23233 36.98621  4398.01  6272.31 3.26 3.08 -29.0 -0.410    18.86 19.88 02a57710o0851o 0x100001   -14.312500
57710.647493 18.816441      NaN   -772     36 o    0    22.56 178.23233 36.98621  4353.64  6196.47 3.27 3.07 -22.9 -0.421    18.80 19.74 02a57710o0873o 0x100001   -21.444444
57710.656544 18.174913      NaN      6     63 o    0     6.64 178.23233 36.98621  4323.18  6313.60 3.26 3.04 -32.8 -0.442    18.09 18.38 02a57710o0890o 0x000000     0.095238
57762.524399 18.356290      NaN   -791     55 o    0    26.79 178.23233 36.98621 10469.51  6779.96 3.64 2.85 -85.2 -0.451    18.93 20.03 02a57762o0656o 0x100001   -14.381818
57762.533669 18.649074      NaN  -3980     42 o    0    60.87 178.23233 36.98621   706.02  6779.69 3.55 3.22  52.5 -0.499    18.92 20.03 02a57762o0673o 0x100001   -94.761905
57762.534964 18.649074      NaN  -2736     42 o    0    54.79 178.23233 36.98621 10485.28  6820.23 3.67 2.84 -84.8 -0.448    18.95 20.08 02a57762o0675o 0x100001   -65.142857
57762.546182 18.729535      NaN  -3447     39 o    0    61.09 178.23233 36.98621   721.78  6820.34 3.58 3.24  53.7 -0.496    18.95 20.09 02a57762o0695o 0x100001   -88.384615
57762.547460 18.598565      NaN  -1265     44 o    0    40.45 178.23233 36.98621 10439.12  6746.34 3.65 2.83 -84.6 -0.458    18.98 20.14 02a57762o0697o 0x100001   -28.750000
57762.558605 18.847027      NaN  -6302     35 o    0   112.77 178.23233 36.98621   658.08  6740.96 3.49 3.21  54.0 -0.491    19.03 20.21 02a57762o0717o 0x100001  -180.057143
57762.559596 18.280067      NaN  -1746     59 o    0    48.31 178.23233 36.98621 10404.33  6866.09 3.63 2.82 -84.6 -0.465    19.05 20.26 02a57762o0719o 0x100001   -29.593220
57762.570614 18.317510      NaN  -2857     57 o    0    31.63 178.23233 36.98621   638.35  6858.31 3.49 3.21  56.9 -0.498    19.11 20.37 02a57762o0739o 0x100001   -50.122807
57762.571727 18.376212      NaN  -1445     54 o    0    24.54 178.23233 36.98621 10452.76  6808.48 3.68 2.88 -85.5 -0.459    19.12 20.42 02a57762o0741o 0x100001   -26.759259
57762.582541 19.014394      NaN  -4242     30 o    0    92.67 178.23233 36.98621   670.93  6802.62 3.55 3.23  53.9 -0.493    19.26 20.67 02a57762o0761o 0x100001  -141.400000
57765.511798 17.935984      NaN  -1889     81 o    0    10.57 178.23233 36.98621  3778.42  7658.90 3.42 3.33  13.4 -0.469    18.31 18.89 02a57765o0599o 0x100003   -23.320988
57765.525537 18.034118      NaN  -1616     74 o    0    11.63 178.23233 36.98621  3794.77  7700.18 3.46 3.44  57.9 -0.459    18.32 18.93 02a57765o0620o 0x100001   -21.837838
57765.550989 18.094452      NaN  -1217     70 o    0    20.35 178.23233 36.98621  3730.01  7623.19 3.32 3.28 -12.3 -0.481    18.40 19.00 02a57765o0663o 0x100001   -17.385714
57765.570452 18.208845      NaN    -87     63 o    0    34.55 178.23233 36.98621  3714.41  7740.37 3.43 3.31  25.1 -0.467    18.41 19.06 02a57765o0693o 0x100001    -1.380952
57765.586010 18.174913      NaN   -718     65 o    0    10.00 178.23233 36.98621  3745.74  7682.72 3.46 3.36  31.2 -0.470    18.43 19.09 02a57765o0716o 0x100001   -11.046154
57766.533070 18.356290      NaN  -1501     55 o    0    23.75 178.23233 36.98621  3022.62  6737.36 3.45 3.37  69.7 -0.461    18.46 19.16 02a57766o0622o 0x100001   -27.290909
57766.546376 18.356290      NaN  -2205     55 o    0    23.11 178.23233 36.98621  3037.82  6778.41 3.42 3.36  78.6 -0.461    18.51 19.23 02a57766o0646o 0x100001   -40.090909
57766.560341 18.261819      NaN  -2144     60 o    0    20.53 178.23233 36.98621  2978.50  6702.67 3.41 3.31  54.3 -0.463    18.54 19.26 02a57766o0670o 0x100001   -35.733333
57766.574191 18.317510      NaN  -3036     57 o    0    29.91 178.23233 36.98621  2960.34  6817.99 3.46 3.36  44.4 -0.451    18.54 19.25 02a57766o0694o 0x100001   -53.263158
57766.587398 18.336727      NaN  -2798     56 o    0    30.76 178.23233 36.98621  3005.88  6762.78 3.43 3.32  61.7 -0.454    18.55 19.25 02a57766o0717o 0x100001   -49.964286
57774.519633 19.089302      NaN   -982     28 o    0    51.53 178.23233 36.98621  2640.14  7687.47 3.45 3.30  23.6 -0.464    19.41 21.08 02a57774o0644o 0x100001   -35.071429
57774.532857 18.910912      NaN  -1523     33 o    0    54.41 178.23233 36.98621  2662.88  7724.22 3.34 3.18  14.0 -0.455    19.40 21.02 02a57774o0671o 0x100001   -46.151515
57774.545003 18.910912      NaN   -225     33 o    0    48.31 178.23233 36.98621  2603.81  7647.23 3.41 3.26  15.3 -0.473    19.40 21.05 02a57774o0695o 0x100001    -6.818182
57774.557796 18.757738      NaN   -480     38 o    0    37.44 178.23233 36.98621  2586.89  7764.19 3.35 3.17  12.8 -0.470    19.40 21.01 02a57774o0719o 0x100001   -12.631579
57774.570650 18.702047      NaN   -634     40 o    0    41.01 178.23233 36.98621  2629.46  7710.06 3.41 3.23  11.1 -0.463    19.38 21.00 02a57774o0743o 0x100001   -15.850000
57794.455229 18.396507      NaN  -1960     53 o    0    29.70 178.23233 36.98621  4194.50  5577.05 3.39 3.34  84.6 -0.447    18.28 18.81 02a57794o0484o 0x100001   -36.981132
57794.466671 18.298627      NaN  -2135     58 o    0    17.11 178.23233 36.98621  4228.51  5613.79 3.36 3.35 -75.3 -0.443    18.31 18.84 02a57794o0506o 0x100001   -36.810345
57794.478941 18.298627      NaN  -1985     58 o    0    21.70 178.23233 36.98621  4170.52  5538.96 3.36 3.33 -80.0 -0.446    18.37 18.92 02a57794o0530o 0x100001   -34.224138
57794.485710 16.604924      NaN  -2076    276 o    0     2.57 178.23233 36.98621  8964.92  5879.14 3.44 3.18  53.8 -0.728    18.24 19.21 01a57794o0543o 0x100002    -7.521739
57794.492627 18.396507      NaN  -1714     53 o    0    25.16 178.23233 36.98621  4155.87  5655.13 3.41 3.37  69.7 -0.455    18.38 18.94 02a57794o0555o 0x100001   -32.339623
57794.498229 16.597085      NaN  -1870    278 o    0     2.16 178.23233 36.98621  8946.86  5836.44 3.46 3.17  54.9 -0.717    18.25 19.23 01a57794o0565o 0x100002    -6.726619
57794.499596 18.298627      NaN  -1523     58 o    0    21.30 178.23233 36.98621  4183.80  5600.42 3.36 3.34  47.5 -0.461    18.38 18.94 02a57794o0568o 0x100001   -26.258621
57794.511453 17.021802      NaN  -2429    188 o    0     5.27 178.23233 36.98621  9006.24  5913.97 3.42 3.11  49.8 -0.716    18.29 19.24 01a57794o0589o 0x100002   -12.920213
57794.532490 16.826741      NaN  -2176    225 o    0     3.84 178.23233 36.98621  8987.07  5845.76 3.39 3.13  58.8 -0.738    18.29 19.25 01a57794o0626o 0x100002    -9.671111
57798.477506 18.757738      NaN  -2027     38 o    0    16.85 178.23233 36.98621  1690.65  5260.87 3.50 3.31  59.4 -0.493    18.72 19.63 02a57798o0547o 0x100001   -53.342105
57798.486704 17.075064      NaN  -2966    179 o    0     4.36 178.23233 36.98621  1724.51  5304.90 3.33 3.23  86.4 -0.493    18.75 19.61 02a57798o0564o 0x100002   -16.569832
57798.506125 18.702047      NaN   -781     40 o    0    13.37 178.23233 36.98621  1660.54  5227.44 3.38 3.31  60.5 -0.482    18.75 19.65 02a57798o0600o 0x100001   -19.525000
57798.510347 17.021802      NaN  -2882    188 o    0     4.02 178.23233 36.98621  8601.50  3753.86 3.43 3.19  41.3 -0.664    18.56 19.81 01a57798o0554o 0x100002   -15.329787
57798.517298 18.729535      NaN  -3765     39 o    0    54.96 178.23233 36.98621  1645.25  5338.56 3.51 3.32  56.9 -0.493    18.75 19.70 02a57798o0622o 0x100001   -96.538462
57798.519943 17.143924      NaN  -3048    168 o    0     4.66 178.23233 36.98621  8582.90  3712.78 3.58 3.26  40.9 -0.673    18.52 19.82 01a57798o0572o 0x100002   -18.142857
57798.525604 20.103715      NaN -12095     11 o    0   335.35 178.23233 36.98621  1674.03  5282.96 3.51 3.32  53.9 -0.501    18.74 19.69 02a57798o0637o 0x100001 -1099.545455
57798.528996 18.191747      NaN  -6404     64 o    0    52.58 178.23233 36.98621  1922.14  6774.99 3.96 3.77 -80.3 -0.634    18.64 19.99 01a57798o0588o 0x100001  -100.062500
57798.552358 17.381362      NaN  -5147    135 o    0    21.29 178.23233 36.98621  1912.19  6893.47 3.98 3.56  88.0 -0.944    18.60 19.92 01a57798o0631o 0x100003   -38.125926
57798.562911 17.643932      NaN  -5781    106 o    0    31.86 178.23233 36.98621  1943.82  6837.14 4.07 3.65  88.2 -0.920    18.55 19.86 01a57798o0650o 0x100003   -54.537736
57799.578382 17.509244      NaN  -2947    120 o    0     8.23 178.23233 36.98621  3556.50  6854.05 3.77 3.69 -45.5 -0.666    18.74 20.25 01a57799o0644o 0x100002   -24.558333
57799.593707 18.019544      NaN  -1865     75 o    0    25.82 178.23233 36.98621  3572.87  6890.24 3.72 3.63 -41.5 -0.662    18.75 20.22 01a57799o0672o 0x100001   -24.866667
57799.601650 17.718109      NaN  -3584     99 o    0    15.06 178.23233 36.98621  3526.83  6816.68 3.69 3.58 -37.4 -0.695    18.75 20.20 01a57799o0687o 0x100003   -36.202020
57799.622049 18.094452      NaN  -3107     70 o    0    30.84 178.23233 36.98621  3496.71  6930.03 3.91 3.79 -42.0 -0.618    18.66 20.15 01a57799o0724o 0x100001   -44.385714
57801.565084 18.110074      NaN  -2994     69 o    0    33.84 178.23233 36.98621  1129.16  7489.40 4.19 3.95 -86.3 -0.541    18.76 20.44 01a57801o0599o 0x100001   -43.391304
57801.572064 18.376212      NaN  -6624     54 o    0    78.03 178.23233 36.98621  1142.95  7527.85 4.09 3.86 -82.6 -0.550    18.78 20.44 01a57801o0612o 0x100001  -122.666667
57801.597132 19.696897      NaN  -8158     16 o    0   506.09 178.23233 36.98621  1082.70  7451.42 4.37 4.15 -86.8 -0.522    18.73 20.45 01a57801o0660o 0x100001  -509.875000
57801.610143 18.481707      NaN  -4936     49 o    0    38.68 178.23233 36.98621  1066.74  7564.06 4.35 4.13 -85.8 -0.514    18.74 20.42 01a57801o0684o 0x100001  -100.734694
57802.350427 17.785989      NaN  -1931     93 o    0     8.95 178.23233 36.98621  7718.25  4544.53 3.92 3.63  72.5 -0.619    18.87 20.84 01a57802o0218o 0x100002   -20.763441
