         MJD         m       dm    uJy  duJy F  err  chi/N        RA      Dec        x       y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57779.615015 19.089302      NaN   -358    28 c    0   1.77 193.45112 -39.6971  4081.05 2454.14 4.18 3.59 -10.9 -0.388    19.05 21.18 02a57779o0772c 0x000000 -12.785714
57779.630995 19.454622      NaN   -336    20 c    0   1.87 193.45112 -39.6971  4067.63 2415.42 4.00 3.73  -6.1 -0.387    19.47 21.48 02a57779o0803c 0x000000 -16.800000
57779.647400 19.631075      NaN   -366    17 c    0   1.63 193.45112 -39.6971  4114.65 2496.42 3.90 3.86 -83.9 -0.381    19.53 21.52 02a57779o0835c 0x000000 -21.529412
57783.611904 19.169763      NaN   -350    26 c    0   2.11 193.45112 -39.6971  3166.86  604.98 4.60 3.81  -9.5 -0.430    19.56 21.69 02a57783o0757c 0x000000 -13.461538
57783.628501 19.696897      NaN   -342    16 c    0   3.64 193.45112 -39.6971  3152.64  565.43 4.24 3.90 -12.7 -0.427    19.65 21.75 02a57783o0789c 0x000000 -21.375000
57783.645110 19.569016      NaN   -355    18 c    0   1.77 193.45112 -39.6971  3215.52  645.52 4.51 4.20 -11.7 -0.403    19.57 21.75 02a57783o0821c 0x000000 -19.722222
57803.593583 19.051202      NaN   -346    29 c    0   1.37 193.45112 -39.6971  5119.49  849.39 3.95 3.89 -13.2 -0.429    18.96 20.39 02a57803o0730c 0x000000 -11.931034
57803.605257 19.014394      NaN   -333    30 c    0   1.69 193.45112 -39.6971  5106.65  810.54 3.85 3.77 -12.1 -0.434    18.99 20.37 02a57803o0753c 0x000000 -11.100000
57803.617424 19.128787      NaN   -425    27 c    0   1.39 193.45112 -39.6971  5168.57  887.30 3.86 3.79 -11.1 -0.433    18.99 20.39 02a57803o0777c 0x000000 -15.740741
57803.629087 18.910912      NaN   -361    33 c    0   1.08 193.45112 -39.6971  5185.62  768.07 3.92 3.83 -16.9 -0.422    18.99 20.40 02a57803o0800c 0x100002 -10.939394
57803.641273 19.089302      NaN   -402    28 c    0   1.49 193.45112 -39.6971  5157.25  824.98 3.94 3.78  -6.0 -0.430    18.95 20.34 02a57803o0822c 0x000000 -14.357143
57807.594200 19.631075      NaN   -332    17 c    0   2.30 193.45112 -39.6971  2461.48 2481.17 3.96 3.88 -39.6 -0.385    19.53 21.51 02a57807o0707c 0x000000 -19.529412
57807.609371 19.696897      NaN   -349    16 c    0   2.29 193.45112 -39.6971  2511.23 2558.71 4.02 3.93 -38.9 -0.384    19.47 21.43 02a57807o0736c 0x000000 -21.812500
57807.624441 19.454622      NaN   -352    20 c    0   1.32 193.45112 -39.6971  2542.85 2442.70 3.98 3.89 -38.8 -0.384    19.40 21.31 02a57807o0765c 0x000000 -17.600000
57807.639652 19.454622      NaN   -379    20 c    0   1.48 193.45112 -39.6971  2499.05 2497.55 4.11 3.98 -41.9 -0.375    19.28 21.18 02a57807o0794c 0x000000 -18.950000
57835.514951 19.454622      NaN   -286    20 c    0   4.65 193.45112 -39.6971  3503.33 1844.78 3.99 3.88  82.1 -0.389    18.69 20.47 02a57835o0486c 0x000000 -14.300000
57835.530236 19.169763      NaN   -286    26 c    0   4.10 193.45112 -39.6971  3491.50 1803.61 3.79 3.68  85.6 -0.406    18.32 20.01 02a57835o0515c 0x000000 -11.000000
57835.546656 19.302877      NaN   -347    23 c    0   2.83 193.45112 -39.6971  3538.47 1880.14 4.15 3.97  80.1 -0.409    18.55 20.33 02a57835o0546c 0x000000 -15.086957
57835.562422 19.169763      NaN   -318    26 c    0   2.94 193.45112 -39.6971  3568.30 1761.62 3.83 3.72  31.4 -0.401    18.52 20.09 02a57835o0576c 0x000000 -12.230769
57839.499107 19.569016      NaN   -277    18 c    0   6.64 193.45112 -39.6971  3628.33 1374.45 3.85 3.77  87.0 -0.410    18.86 20.60 02a57839o0532c 0x000000 -15.388889
57839.514628 19.401649      NaN   -355    21 c    0   2.66 193.45112 -39.6971  3597.55 1334.37 4.02 3.98  87.0 -0.397    18.78 20.59 02a57839o0561c 0x000000 -16.904762
57839.530562 19.401649      NaN   -378    21 c    0   2.91 193.45112 -39.6971  3661.60 1409.76 3.87 3.76 -89.4 -0.409    18.83 20.57 02a57839o0591c 0x000000 -18.000000
57839.561826 19.212347      NaN   -316    25 c    0   3.32 193.45112 -39.6971  3649.11 1347.87 4.04 3.77  31.4 -0.414    18.66 20.48 02a57839o0650c 0x000000 -12.640000
57843.490569 19.510313      NaN   -351    19 c    0   3.80 193.45112 -39.6971  4532.56 2879.66 4.20 4.19 -42.0 -0.361    18.66 20.49 02a57843o0495c 0x000000 -18.473684
57843.505711 19.212347      NaN   -367    25 c    0   1.55 193.45112 -39.6971  4506.16 2838.33 4.60 4.53 -44.8 -0.350    18.53 20.45 02a57843o0524c 0x000000 -14.680000
57847.479274 19.256669      NaN   -336    24 c    0   2.69 193.45112 -39.6971  4340.67 1475.99 4.10 4.03 -78.1 -0.384    18.49 19.99 02a57847o0485c 0x000000 -14.000000
57847.510693 19.510313      NaN   -362    19 c    0   3.32 193.45112 -39.6971  4377.35 1511.09 3.98 3.89 -81.7 -0.390    18.70 20.42 02a57847o0545c 0x000000 -19.052632
57847.526352 19.256669      NaN   -398    24 c    0   2.02 193.45112 -39.6971  4392.82 1392.80 4.02 3.97  13.6 -0.390    18.64 20.36 02a57847o0575c 0x000000 -16.583333
57847.542018 19.014394      NaN   -345    30 c    0   2.36 193.45112 -39.6971  4362.46 1451.19 4.29 3.96  28.1 -0.391    18.48 20.28 02a57847o0605c 0x000000 -11.500000
57863.461310 19.529530      NaN      2    18 c    0  10.02 193.45112 -39.6971  2745.35 2607.34 3.81 3.75 -87.5 -0.393    18.70 20.34 02a57863o0433c 0x100001   0.111111
57863.473876 19.401649      NaN    -16    21 c    0   5.47 193.45112 -39.6971  2717.45 2566.24 3.79 3.71 -81.9 -0.396    18.67 20.30 02a57863o0457c 0x000000  -0.761905
57863.485965 19.256669      NaN     -5    24 c    0   6.03 193.45112 -39.6971  2780.32 2643.36 3.82 3.74 -89.1 -0.391    18.59 20.18 02a57863o0480c 0x000000  -0.208333
57867.455289 10.881008      NaN -79310 53762 c    0   1.26 193.45112 -39.6971  5777.10 1258.40 3.49 3.01  30.8 -0.477    13.53 14.70 02a57867o0451c 0x100002  -1.475206
57867.467895 12.925579      NaN  -5583  8178 c    0   1.15 193.45112 -39.6971  5748.88 1218.46 3.66 2.70  23.7 -0.484    14.04 15.14 02a57867o0475c 0x100002  -0.682685
57867.481016 16.693689      NaN     61   234 c    0   3.06 193.45112 -39.6971  5809.97 1294.67 4.15 2.86  26.3 -0.505    16.46 17.59 02a57867o0500c 0x100002   0.260684
