         MJD         m       dm    uJy  duJy F  err   chi/N        RA      Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57763.652538 15.520509 0.010626   2248    22 o    0  256.24 193.45112 -39.6971  2287.16   631.67  3.64 3.49 -32.8 -0.467    19.20 20.66 02a57763o0784o 0x100001 102.181818
57763.666438 18.847027      NaN    -59    35 o    0    7.73 193.45112 -39.6971  2272.14   592.59  3.64 3.47 -29.3 -0.468    18.89 20.07 02a57763o0811o 0x000000  -1.685714
57767.650601 18.220396      NaN      4    61 o    0    1.51 193.45112 -39.6971  4442.85   475.98  4.02 2.88  -3.5 -0.492    18.41 19.21 02a57767o0861o 0x000000   0.065574
57767.666446 18.438271      NaN    -50    51 o    0    1.86 193.45112 -39.6971  4414.49   437.05  3.69 3.36 -15.0 -0.478    18.37 19.10 02a57767o0892o 0x000000  -0.980392
57799.571934 17.825619      NaN    122    49 o    0    5.39 193.45112 -39.6971  3944.10   110.34  4.15 3.67  -7.8 -0.446    18.38 19.32 02a57799o0682o 0x000000   2.489796
57799.587436 18.389700      NaN     22    46 o    0   10.30 193.45112 -39.6971  3931.02    74.33  4.05 3.77  -7.9 -0.431    18.40 19.32 02a57799o0712o 0x100001   0.478261
57799.603550 18.598565      NaN    -99    44 o    0    3.71 193.45112 -39.6971  3993.27   153.14  4.09 3.82  -8.8 -0.424    18.37 19.28 02a57799o0743o 0x000000  -2.250000
57819.553346 14.862493 0.006323   4121    24 o    0  657.90 193.45112 -39.6971  4387.92  1915.55  3.56 3.46 -13.6 -0.459    19.17 20.83 02a57819o0525o 0x100001 171.708333
57819.568339 15.066841 0.007951   3414    25 o    0  464.27 193.45112 -39.6971  4375.89  1875.64  3.61 3.51 -15.3 -0.453    19.16 20.81 02a57819o0554o 0x100001 136.560000
57819.599269 18.292405 0.179922    175    29 o    0   13.39 193.45112 -39.6971  4453.87  1833.77  3.61 3.51 -15.8 -0.455    19.04 20.61 02a57819o0613o 0x100001   6.034483
57819.614395 18.944322      NaN    -36    32 o    0    8.47 193.45112 -39.6971  4425.70  1890.31  3.68 3.52 -14.8 -0.450    18.91 20.41 02a57819o0642o 0x000000  -1.125000
57823.505684 18.120615      NaN     37    56 o    0    4.00 193.45112 -39.6971  2535.45  2680.58  3.58 3.48 -59.8 -0.449    18.08 18.60 02a57823o0548o 0x000000   0.660714
57823.533030 18.336727      NaN    -66    56 o    0    3.80 193.45112 -39.6971  2566.59  2721.70  3.58 3.51 -51.5 -0.444    18.07 18.60 02a57823o0603o 0x000000  -1.178571
57823.550392 18.261819      NaN    -46    60 o    0    1.58 193.45112 -39.6971  2583.96  2604.11  3.59 3.50 -49.5 -0.445    18.03 18.55 02a57823o0639o 0x000000  -0.766667
57823.563312 17.326476      NaN   -167   142 o    0    1.52 193.45112 -39.6971  2557.45  2660.50  3.79 3.65 -13.3 -0.424    17.03 17.55 02a57823o0666o 0x100002  -1.176056
57831.520421 16.543740 0.039662    876    32 o    0   36.40 193.45112 -39.6971  3054.13  1561.73  3.91 3.82 -31.3 -0.423    18.15 19.26 02a57831o0590o 0x100001  27.375000
57831.535001 18.590371 0.285720    133    35 o    0   12.54 193.45112 -39.6971  3025.77  1522.40  4.25 4.14 -45.2 -0.402    18.03 19.20 02a57831o0619o 0x100001   3.800000
57831.549047 18.786693      NaN    -12    37 o    0    9.55 193.45112 -39.6971  3086.65  1600.32  4.01 3.80 -13.0 -0.422    18.06 19.13 02a57831o0647o 0x000000  -0.324324
57831.563591 18.203116 0.205718    190    36 o    0   20.03 193.45112 -39.6971  3103.38  1479.65  3.89 3.73 -16.7 -0.436    18.05 19.04 02a57831o0676o 0x100001   5.277778
57831.577738 18.125925 0.202245    204    38 o    0   15.57 193.45112 -39.6971  3075.60  1534.39  4.24 3.96   5.7 -0.415    17.87 18.92 02a57831o0704o 0x100001   5.368421
