         MJD         m       dm   uJy  duJy F  err  chi/N       RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask    __tmp_SN
57779.661265 19.569016      NaN  -360    18 c    0   4.32 212.2558 -30.55755  3248.43   782.16 4.04 3.91 -78.7 -0.413    19.52 21.40 02a57779o0862c 0x000000  -20.000000
57779.663257 18.944322      NaN  -140    32 c    0   1.67 212.2558 -30.55755   424.71 10470.16 4.03 3.46  19.8 -0.457    19.44 21.25 02a57779o0866c 0x100002   -4.375000
57779.677044 17.896499      NaN  -272    84 c    0   1.22 212.2558 -30.55755  3233.12   748.05 4.06 4.00 -65.2 -0.420    18.00 18.49 02a57779o0893c 0x100002   -3.238095
57779.678473 17.143924      NaN   -74   168 c    0   1.31 212.2558 -30.55755   392.52 10433.37 4.11 3.57  23.7 -0.530    17.69 17.91 02a57779o0896c 0x100002   -0.440476
57783.670993 18.504094      NaN  -344    48 c    0   1.97 212.2558 -30.55755  9428.51  8682.49 4.31 3.86  85.7 -0.410    18.66 19.88 02a57783o0871c 0x100002   -7.166667
57787.645093 19.569016      NaN  -163    18 c    0   3.93 212.2558 -30.55755  8585.09  7485.17 3.77 3.41  88.7 -0.434    19.62 21.56 02a57787o0836c 0x000000   -9.055556
57787.659444 19.569016      NaN  -135    18 c    0   4.21 212.2558 -30.55755  8570.03  7447.79 3.81 3.46  87.8 -0.429    19.58 21.48 02a57787o0865c 0x000000   -7.500000
57787.674093 17.740268      NaN  -185    97 c    0   1.64 212.2558 -30.55755  8620.79  7528.72 3.87 3.47  89.5 -0.459    18.34 19.13 02a57787o0894c 0x100002   -1.907216
57807.624953 19.569016      NaN  -298    18 c    0   3.72 212.2558 -30.55755  1625.30   829.14 4.03 3.87 -29.8 -0.411    19.58 21.52 02a57807o0766c 0x000000  -16.555556
57807.640164 19.454622      NaN  -212    20 c    0   3.03 212.2558 -30.55755  1608.77   788.88 4.13 3.93 -26.8 -0.405    19.54 21.45 02a57807o0795c 0x000000  -10.600000
57807.655300 19.401649      NaN  -248    21 c    0   2.77 212.2558 -30.55755  1681.19   867.97 4.23 4.04 -25.9 -0.396    19.38 21.20 02a57807o0824c 0x000000  -11.809524
57807.670924 17.156927      NaN   -79   166 c    0   1.32 212.2558 -30.55755  1700.77   750.45 4.22 4.06 -19.7 -0.420    17.62 17.91 02a57807o0854c 0x100002   -0.475904
57835.559870 18.158337      NaN  -407    66 c    0   1.07 212.2558 -30.55755  2662.69   146.39 3.92 3.82 -77.3 -0.414    17.84 19.45 02a57835o0571c 0x100002   -6.166667
57835.571260 19.169763      NaN  -110    26 c    0   3.01 212.2558 -30.55755  9780.62  9919.91 3.63 3.21 -72.8 -0.461    18.81 20.44 02a57835o0593c 0x000000   -4.230769
57835.575443 19.302877      NaN  -503    23 c    0   4.04 212.2558 -30.55755  2646.80   106.80 3.91 3.79 -70.0 -0.404    18.59 20.19 02a57835o0601c 0x000000  -21.869565
57835.586912 19.922338      NaN -5544    13 c    0 282.05 212.2558 -30.55755  9764.58  9880.37 3.59 3.16 -71.6 -0.470    18.72 20.25 02a57835o0623c 0x100001 -426.461538
