         MJD         m       dm    uJy  duJy F  err  chi/N       RA       Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs     Mask    __tmp_SN
57795.581874 15.420017      NaN   -974   822 o    0   0.94 212.2558 -30.55755  1278.32  1479.66  4.19  4.06   5.3 -0.445    15.86 15.52 02a57795o0691o 0x100002   -1.184915
57799.606127 18.261819      NaN    -31    60 o    0   1.93 212.2558 -30.55755   295.35  8112.20  3.98  3.59  43.4 -0.443    18.41 19.34 02a57799o0748o 0x100002   -0.516667
57799.620754 18.280067      NaN    -94    59 o    0   2.06 212.2558 -30.55755 10253.31  8166.97  3.85  3.29  89.5 -0.467    18.47 19.36 02a57799o0776o 0x100002   -1.593220
57799.621774 18.029238      NaN     55    56 o    0   1.87 212.2558 -30.55755   279.15  8074.62  3.61  3.30  47.7 -0.468    18.48 19.33 02a57799o0778o 0x000000    0.982143
57799.636429 18.220396      NaN     46    47 o    0   3.11 212.2558 -30.55755 10236.07  8129.21  3.72  3.04 -85.6 -0.458    18.51 19.36 02a57799o0806o 0x000000    0.978723
57799.637480 17.654224      NaN    126    63 o    0   2.17 212.2558 -30.55755   347.14  8153.18  3.47  3.21  46.7 -0.478    18.49 19.31 02a57799o0808o 0x100002    2.000000
57799.652533 18.280067      NaN   -155    59 o    0   2.12 212.2558 -30.55755 10288.18  8206.50  3.83  3.21 -88.4 -0.461    18.47 19.33 02a57799o0837o 0x100002   -2.627119
57799.653551 18.191747      NaN    -62    64 o    0   1.50 212.2558 -30.55755   368.25  8038.65  3.59  3.31  46.2 -0.476    18.44 19.27 02a57799o0839o 0x100002   -0.968750
57799.672518 15.904733      NaN   -474   526 o    0   1.02 212.2558 -30.55755 10310.64  8088.34  3.87  3.50  87.8 -0.477    17.48 17.44 02a57799o0875o 0x100002   -0.901141
57799.674021 15.540986      NaN     16   730 o    0   1.09 212.2558 -30.55755   322.14  8089.19  3.82  3.59  43.3 -0.506    17.21 16.97 02a57799o0878o 0x100002    0.021918
57819.590459 18.675237      NaN     30    31 o    0   2.39 212.2558 -30.55755   761.94  9924.65  3.61  3.35  33.0 -0.497    19.23 20.90 02a57819o0596o 0x000000    0.967742
57819.592619 19.051202      NaN   -129    29 o    0   2.36 212.2558 -30.55755  3555.64   221.75  3.75  3.45 -15.8 -0.484    19.29 20.96 02a57819o0600o 0x000000   -4.448276
57819.605491 18.910912      NaN    -25    33 o    0   2.32 212.2558 -30.55755   748.12  9883.84  3.51  3.30  23.0 -0.504    19.16 20.77 02a57819o0625o 0x000000   -0.757576
