         MJD         m       dm   uJy  duJy F  err  chi/N       RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  __tmp_SN
57715.490390 19.472870      NaN    11    16 c    0   1.17 80.63488 -11.48718  1870.94  6668.04 4.37 4.22  51.8 -0.370    19.51 21.63 02a57715o0604c 0x000000  0.687500
57715.503893 15.933315      NaN   235   434 c    0   1.01 80.63488 -11.48718  1852.90  6631.38 4.54 4.36  38.4 -0.360    15.62 17.46 02a57715o0630c 0x100002  0.541475
57747.406997 19.631075      NaN   -13    17 c    0   1.22 80.63488 -11.48718  1904.82  6930.92 4.43 4.09  17.8 -0.376    19.52 21.61 02a57747o0441c 0x000000 -0.764706
57747.419935 19.631075      NaN   -15    17 c    0   1.13 80.63488 -11.48718  1886.91  6891.96 4.45 3.99  14.8 -0.376    19.53 21.60 02a57747o0467c 0x000000 -0.882353
57747.432928 19.256669      NaN    15    19 c    0   0.88 80.63488 -11.48718  1944.12  6970.96 4.72 3.98   7.0 -0.381    19.50 21.64 02a57747o0493c 0x000000  0.789474
57747.445846 19.183773      NaN    14    21 c    0   1.09 80.63488 -11.48718  1964.97  6854.17 5.04 3.97   5.3 -0.386    19.47 21.63 02a57747o0519c 0x000000  0.666667
57747.459335 19.529530      NaN     2    18 c    0   1.12 80.63488 -11.48718  1929.02  6912.54 4.34 3.79  10.5 -0.410    19.57 21.62 02a57747o0546c 0x000000  0.111111
57755.392102 19.696897      NaN   -36    16 c    0   1.10 80.63488 -11.48718  4104.48  8241.72 3.66 3.52  24.7 -0.443    19.75 21.77 02a57755o0383c 0x000000 -2.250000
57755.405267 19.569016      NaN   -41    18 c    0   0.96 80.63488 -11.48718  4086.33  8203.84 3.55 3.47  18.4 -0.451    19.76 21.75 02a57755o0408c 0x000000 -2.277778
57755.419146 19.696897      NaN    -4    16 c    0   1.27 80.63488 -11.48718  4142.84  8282.95 3.68 3.59  31.3 -0.432    19.74 21.75 02a57755o0434c 0x000000 -0.250000
57755.432824 19.102305      NaN    35    16 c    0   1.16 80.63488 -11.48718  4164.12  8167.52 3.66 3.58  36.5 -0.432    19.73 21.73 02a57755o0460c 0x000000  2.187500
57755.446232 19.766969      NaN    -7    15 c    0   1.26 80.63488 -11.48718  4127.67  8226.00 3.71 3.62  33.6 -0.425    19.72 21.75 02a57755o0486c 0x000000 -0.466667
57779.334377 19.384550      NaN    16    16 c    0   1.12 80.63488 -11.48718  3577.40  8581.19 3.89 3.69  27.7 -0.438    19.73 21.82 02a57779o0231c 0x000000  1.000000
57779.348555 19.696897      NaN   -32    16 c    0   1.07 80.63488 -11.48718  3559.66  8545.74 3.74 3.45  15.5 -0.422    19.76 21.82 02a57779o0258c 0x000000 -2.000000
57779.362679 19.436675      NaN     4    19 c    0   1.11 80.63488 -11.48718  3617.39  8625.15 4.47 3.53   7.7 -0.424    19.66 21.82 02a57779o0285c 0x000000  0.210526
57779.377768 19.454622      NaN   -28    20 c    0   1.01 80.63488 -11.48718  3638.81  8506.69 4.72 3.47   4.2 -0.411    19.61 21.78 02a57779o0314c 0x000000 -1.400000
57779.392868 19.472870      NaN     5    18 c    0   1.23 80.63488 -11.48718  3603.71  8563.13 4.39 3.60   6.2 -0.414    19.62 21.75 02a57779o0343c 0x000000  0.277778
57783.331864 19.766969      NaN    -6    15 c    0   1.47 80.63488 -11.48718  2651.68  6749.37 3.90 3.79  86.3 -0.403    19.63 21.64 02a57783o0222c 0x000000 -0.400000
57783.345478 19.696897      NaN   -17    16 c    0   1.09 80.63488 -11.48718  2635.03  6709.76 3.91 3.78  89.8 -0.396    19.61 21.61 02a57783o0248c 0x000000 -1.062500
57783.359641 19.569016      NaN   -25    18 c    0   0.97 80.63488 -11.48718  2694.22  6788.77 4.14 3.92   2.0 -0.375    19.54 21.59 02a57783o0275c 0x000000 -1.388889
57783.373792 19.115465      NaN    31    17 c    0   1.36 80.63488 -11.48718  2715.83  6671.53 4.06 3.89  -6.3 -0.381    19.53 21.55 02a57783o0302c 0x000000  1.823529
57783.389099 19.631075      NaN   -20    17 c    0   0.97 80.63488 -11.48718  2680.06  6727.87 3.96 3.91 -50.7 -0.382    19.51 21.50 02a57783o0331c 0x000000 -1.176471
57787.276383 19.256669      NaN   -13    24 c    0   0.88 80.63488 -11.48718  1824.29  5546.93 4.10 3.92  69.8 -0.391    19.15 20.74 02a57787o0117c 0x000000 -0.541667
57787.300031 19.351140      NaN   -10    22 c    0   1.23 80.63488 -11.48718  1804.96  5505.25 4.10 3.94  73.4 -0.391    19.15 20.77 02a57787o0164c 0x000000 -0.454545
57787.313957 18.675237      NaN    45    26 c    0   0.83 80.63488 -11.48718  1862.55  5587.96 4.12 3.97  74.9 -0.387    19.15 20.80 02a57787o0192c 0x000000  1.730769
57787.330635 18.857417      NaN    41    21 c    0   1.17 80.63488 -11.48718  1883.68  5467.68 3.98 3.88  66.9 -0.388    19.19 20.80 02a57787o0223c 0x000000  1.952381
57787.343525 19.256669      NaN    -8    24 c    0   1.00 80.63488 -11.48718  1848.96  5528.64 4.33 4.15   6.8 -0.370    19.09 20.80 02a57787o0248c 0x000000 -0.333333
57803.317614 19.631075      NaN   -10    17 c    0   0.99 80.63488 -11.48718  4665.98  6981.70 3.83 3.71  63.8 -0.398    19.65 21.68 02a57803o0188c 0x000000 -0.588235
57803.329506 19.569016      NaN   -37    18 c    0   0.86 80.63488 -11.48718  4648.58  6943.33 3.79 3.70  58.8 -0.398    19.62 21.64 02a57803o0211c 0x000000 -2.055556
57803.341207 19.454622      NaN     6    18 c    0   1.02 80.63488 -11.48718  4706.13  7019.18 3.77 3.67  64.0 -0.400    19.61 21.61 02a57803o0233c 0x000000  0.333333
57803.352891 19.631075      NaN    -2    17 c    0   1.05 80.63488 -11.48718  4727.69  6902.01 3.76 3.66  63.4 -0.400    19.59 21.58 02a57803o0256c 0x000000 -0.117647
57803.365013 19.569016      NaN   -13    18 c    0   0.90 80.63488 -11.48718  4691.38  6957.69 3.81 3.71  64.6 -0.398    19.56 21.55 02a57803o0280c 0x000000 -0.722222
57807.300245 19.026525      NaN    35    18 c    0   1.01 80.63488 -11.48718  1934.19  8675.51 3.80 3.57  24.3 -0.427    19.65 21.64 02a57807o0141c 0x000000  1.944444
57807.315224 19.334813      NaN     4    21 c    0   0.83 80.63488 -11.48718  1916.94  8635.08 3.85 3.65  34.2 -0.417    19.63 21.63 02a57807o0170c 0x000000  0.190476
57807.330198 19.491430      NaN     4    18 c    0   1.10 80.63488 -11.48718  1975.29  8712.59 3.85 3.65  24.5 -0.415    19.59 21.57 02a57807o0199c 0x000000  0.222222
57807.345118 19.696897      NaN   -40    16 c    0   1.51 80.63488 -11.48718  1997.60  8593.13 3.86 3.66  32.5 -0.419    19.54 21.51 02a57807o0228c 0x000000 -2.500000
57807.360154 19.454622      NaN   -24    20 c    0   1.04 80.63488 -11.48718  1961.19  8648.56 3.89 3.70  40.3 -0.412    19.49 21.45 02a57807o0257c 0x000000 -1.200000
57811.292050 19.367717      NaN     2    21 c    0   1.04 80.63488 -11.48718  2215.95  6326.79 4.01 3.82  75.8 -0.400    19.25 21.23 02a57811o0132c 0x000000  0.095238
57811.307008 19.318728      NaN    14    18 c    0   1.11 80.63488 -11.48718  2200.08  6285.84 4.00 3.80  82.7 -0.402    19.63 21.70 02a57811o0161c 0x000000  0.777778
57811.322012 19.609992      NaN     1    17 c    0   1.10 80.63488 -11.48718  2259.81  6363.12 4.02 3.84  87.5 -0.397    19.61 21.66 02a57811o0190c 0x000000  0.058824
57811.337066 19.631075      NaN   -18    17 c    0   1.01 80.63488 -11.48718  2280.07  6244.90 3.91 3.73  88.7 -0.403    19.60 21.61 02a57811o0219c 0x000000 -1.058824
57811.352113 19.569016      NaN   -40    18 c    0   1.11 80.63488 -11.48718  2242.07  6300.72 3.97 3.79 -86.2 -0.401    19.52 21.55 02a57811o0248c 0x000000 -2.222222
57835.276145 19.212347      NaN    -5    25 c    0   1.12 80.63488 -11.48718  3033.53  8019.39 4.44 3.97   9.5 -0.378    18.65 20.50 02a57835o0028c 0x000000 -0.200000
57835.290275 19.212347      NaN   -31    25 c    0   1.25 80.63488 -11.48718  3056.54  7900.54 4.06 3.89  42.1 -0.387    18.69 20.47 02a57835o0056c 0x000000 -1.240000
57835.304639 18.675237      NaN    39    28 c    0   1.01 80.63488 -11.48718  3019.42  7956.03 4.05 3.90  47.2 -0.385    18.64 20.40 02a57835o0084c 0x100002  1.392857
57839.239860 19.256669      NaN     6    22 c    0   1.50 80.63488 -11.48718  3118.75  7513.96 4.06 3.88  45.5 -0.392    18.72 20.45 02a57839o0044c 0x000000  0.272727
57839.251326 19.302877      NaN   -35    23 c    0   1.11 80.63488 -11.48718  3100.02  7473.51 3.99 3.81  44.1 -0.400    18.75 20.49 02a57839o0066c 0x000000 -1.521739
57839.263911 19.401649      NaN   -35    21 c    0   1.35 80.63488 -11.48718  3156.45  7550.40 4.14 3.96  49.3 -0.378    18.68 20.46 02a57839o0090c 0x000000 -1.666667
57839.279713 19.212347      NaN   -30    25 c    0   1.21 80.63488 -11.48718  3176.52  7432.52 4.14 3.95  52.7 -0.384    18.65 20.42 02a57839o0120c 0x000000 -1.200000
57839.294031 19.128787      NaN   -37    27 c    0   1.22 80.63488 -11.48718  3140.18  7488.15 4.32 4.16  53.8 -0.366    18.52 20.29 02a57839o0147c 0x000000 -1.370370
57843.234576 18.729535      NaN   -26    39 c    0   1.22 80.63488 -11.48718  4062.24  9016.73 3.57 3.16  -4.7 -0.439    18.37 19.57 02a57843o0008c 0x100002 -0.666667
57843.240836 18.955691      NaN    11    28 c    0   1.28 80.63488 -11.48718  4042.83  8975.72 3.76 3.45   1.5 -0.401    18.58 20.11 02a57843o0020c 0x100002  0.392857
57843.250739 19.051202      NaN   -27    29 c    0   0.89 80.63488 -11.48718  4098.97  9052.21 3.89 3.62  15.6 -0.423    18.61 20.20 02a57843o0039c 0x100002 -0.931034
57843.262887 19.169763      NaN   -39    26 c    0   1.30 80.63488 -11.48718  4118.11  8933.83 3.96 3.72  22.4 -0.422    18.58 20.17 02a57843o0062c 0x000000 -1.500000
57843.277542 19.089302      NaN   -23    28 c    0   1.21 80.63488 -11.48718  4078.50  8989.61 3.97 3.75  26.5 -0.416    18.52 20.10 02a57843o0090c 0x100002 -0.821429
57847.227240 16.846216      NaN    27   212 c    0   1.27 80.63488 -11.48718  3863.58  7614.22 3.78 3.56   8.5 -0.457    17.30 17.61 02a57847o0002c 0x100002  0.127358
57847.230905 17.643932      NaN   -56   106 c    0   0.93 80.63488 -11.48718  3844.87  7573.91 3.73 3.51   9.4 -0.441    17.69 18.32 02a57847o0009c 0x100002 -0.528302
57847.237694 17.944957      NaN    67    58 c    0   1.34 80.63488 -11.48718  3901.74  7650.66 3.77 3.59  21.2 -0.441    18.01 18.93 02a57847o0022c 0x100002  1.155172
57847.247587 18.526952      NaN    -5    47 c    0   1.34 80.63488 -11.48718  3920.52  7533.32 3.70 3.52  22.9 -0.439    18.06 19.01 02a57847o0041c 0x100002 -0.106383
58018.552397 20.207197      NaN    -2    10 c    0   1.24 80.63488 -11.48718  1327.67  9694.92 2.53 2.43   0.8 -0.435    19.61 21.32 02a58018o0405c 0x000000 -0.200000
58018.558982 19.950541      NaN     2    12 c    0   0.83 80.63488 -11.48718  1344.93  9736.41 2.54 2.40  -3.0 -0.434    19.61 21.35 02a58018o0419c 0x000000  0.166667
58018.566181 19.894850      NaN    10    10 c    0   1.77 80.63488 -11.48718  1285.37  9659.65 2.50 2.38  -1.8 -0.445    19.66 21.41 02a58018o0434c 0x000000  1.000000
58018.572891 20.321591      NaN   -16     9 c    0   1.56 80.63488 -11.48718  1263.78  9779.76 2.52 2.40  -9.1 -0.438    19.67 21.44 02a58018o0448c 0x000000 -1.777778
58074.467704 20.103715      NaN     0    11 c    0   1.25 80.63488 -11.48718 10055.86  8926.92 2.87 2.74   4.4 -0.435    19.65 21.51 02a58074o0468c 0x000000  0.000000
