         MJD         m       dm   uJy  duJy F  err  chi/N       RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57703.516808 18.806434      NaN    31    26 o    0   1.38 80.63488 -11.48718  2210.44  7335.21 3.32 3.25  22.0 -0.478    18.92 20.01 02a57703o0657o 0x000000   1.192308
57703.529227 19.128787      NaN   -36    27 o    0   1.03 80.63488 -11.48718  2193.13  7296.97 3.28 3.17  12.1 -0.478    18.94 20.05 02a57703o0681o 0x000000  -1.333333
57703.543209 19.212347      NaN    -5    25 o    0   1.30 80.63488 -11.48718  2250.61  7377.62 3.28 3.20  16.5 -0.481    18.98 20.13 02a57703o0708o 0x000000  -0.200000
57703.557122 19.128787      NaN   -39    27 o    0   0.99 80.63488 -11.48718  2270.64  7260.32 3.34 3.20  21.6 -0.484    19.09 20.38 02a57703o0735o 0x000000  -1.444444
57703.571135 19.212347      NaN     9    22 o    0   1.23 80.63488 -11.48718  2234.06  7317.45 3.34 3.16  21.7 -0.452    19.34 20.87 02a57703o0762o 0x000000   0.409091
57707.511871 18.191747      NaN   -21    64 o    0   0.74 80.63488 -11.48718  2657.53  5863.23 3.86 3.62  12.7 -0.424    18.12 18.71 02a57707o0625o 0x100002  -0.328125
57707.524738 18.034118      NaN   -49    74 o    0   1.07 80.63488 -11.48718  2640.28  5826.64 3.87 3.71  22.9 -0.415    18.09 18.70 02a57707o0650o 0x100002  -0.662162
57707.536586 18.298627      NaN   -17    58 o    0   0.88 80.63488 -11.48718  2698.94  5904.67 3.61 3.52  58.1 -0.440    18.16 18.68 02a57707o0673o 0x100002  -0.293103
57707.552039 18.317510      NaN     9    54 o    0   1.12 80.63488 -11.48718  2719.04  5789.35 4.04 3.73   7.4 -0.418    18.05 18.67 02a57707o0703o 0x100002   0.166667
57707.563335 18.280067      NaN   -95    59 o    0   1.05 80.63488 -11.48718  2680.80  5843.32 3.78 3.66  68.0 -0.420    18.09 18.65 02a57707o0725o 0x100002  -1.610169
57711.500981 18.574166      NaN     9    42 o    0   1.25 80.63488 -11.48718  4710.30  8960.06 3.71 3.41   7.0 -0.441    18.47 19.44 02a57711o0531o 0x000000   0.214286
57711.513881 18.878500      NaN   -31    34 o    0   1.27 80.63488 -11.48718  4692.31  8922.03 3.81 3.54  10.4 -0.445    18.57 19.70 02a57711o0556o 0x000000  -0.911765
57711.527318 18.574166      NaN   -10    45 o    0   1.15 80.63488 -11.48718  4751.13  9001.62 3.67 3.39   6.1 -0.430    18.40 19.39 02a57711o0582o 0x000000  -0.222222
57711.540742 18.757738      NaN   -38    38 o    0   1.55 80.63488 -11.48718  4771.57  8885.60 3.88 3.45   3.0 -0.445    18.46 19.50 02a57711o0608o 0x000000  -1.000000
57711.554122 19.051202      NaN  -352    29 o    0  43.38 80.63488 -11.48718  4733.55  8945.52 3.88 3.40   3.0 -0.434    18.83 20.09 02a57711o0634o 0x100001 -12.137931
57735.434655 17.909502      NaN    -3    83 o    0   1.04 80.63488 -11.48718  3447.01  7211.62 3.75 3.53  12.2 -0.430    18.05 18.53 02a57735o0376o 0x100002  -0.036145
57735.447000 17.976960      NaN   -35    78 o    0   1.75 80.63488 -11.48718  3428.38  7174.93 3.81 3.73  56.1 -0.421    18.00 18.51 02a57735o0400o 0x100002  -0.448718
57735.459865 17.736543      NaN    28    88 o    0   1.32 80.63488 -11.48718  3486.39  7253.34 3.56 3.50  43.4 -0.444    18.07 18.50 02a57735o0425o 0x100002   0.318182
