         MJD         m       dm   uJy  duJy F  err  chi/N        RA       Dec       x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask    __tmp_SN
57779.663257 19.510313      NaN  -351    19 c    0   3.64 210.91262 -33.97864 2814.60  3849.06 3.99 3.81  74.3 -0.386    19.44 21.25 02a57779o0866c 0x000000  -18.473684
57779.678473 17.405762      NaN  -501   132 c    0   1.12 210.91262 -33.97864 2783.93  3813.40 4.02 3.85  73.6 -0.395    17.69 17.91 02a57779o0896c 0x100002   -3.795455
57783.656526 19.454622      NaN  -404    20 c    0   5.09 210.91262 -33.97864 1890.89  2001.02 4.22 4.03 -27.1 -0.386    19.61 21.67 02a57783o0843c 0x000000  -20.200000
57783.672522 18.504094      NaN  -509    48 c    0   2.37 210.91262 -33.97864 1858.96  1961.59 4.25 4.07 -31.9 -0.393    18.47 19.52 02a57783o0874c 0x100002  -10.604167
57787.624231 19.401649      NaN  -199    21 c    0   7.35 210.91262 -33.97864 9425.41  9693.31 4.08 3.59  83.4 -0.429    19.72 21.76 02a57787o0795c 0x000000   -9.476190
57787.644614 19.351140      NaN  -294    22 c    0   2.80 210.91262 -33.97864 1043.94   724.35 4.04 3.98 -49.9 -0.404    19.67 21.67 02a57787o0835c 0x000000  -13.363636
57787.652044 18.261819      NaN  -677    60 c    0  10.07 210.91262 -33.97864 4502.77 10493.27 3.92 3.60  12.8 -0.374    19.38 21.28 02a57787o0850c 0x100003  -11.283333
57787.658966 19.510313      NaN  -213    19 c    0   5.59 210.91262 -33.97864 1111.22   804.94 4.02 3.94 -59.4 -0.404    19.61 21.55 02a57787o0864c 0x000000  -11.210526
57787.673529 18.298627      NaN  -404    58 c    0   1.69 210.91262 -33.97864 1127.07   690.49 4.04 3.97 -59.1 -0.418    18.43 19.30 02a57787o0893c 0x100002   -6.965517
57807.620296 19.569016      NaN  -403    18 c    0   4.30 210.91262 -33.97864 1176.11  3909.96 3.92 3.85 -82.1 -0.400    19.57 21.51 02a57807o0757c 0x000000  -22.388889
57807.635458 19.302877      NaN  -371    23 c    0   3.57 210.91262 -33.97864 1161.21  3869.19 3.94 3.88 -87.2 -0.398    19.52 21.43 02a57807o0786c 0x000000  -16.130435
57807.650651 19.401649      NaN  -301    21 c    0   5.32 210.91262 -33.97864 1213.54  3948.48 3.95 3.86 -86.4 -0.402    19.44 21.32 02a57807o0815c 0x000000  -14.333333
57807.666235 18.174913      NaN  -478    65 c    0   1.88 210.91262 -33.97864 1249.09  3830.08 3.98 3.86 -89.4 -0.407    18.28 19.17 02a57807o0845c 0x100002   -7.353846
57835.557773 19.302877      NaN  -721    23 c    0   7.28 210.91262 -33.97864 2222.48  3236.31 4.04 3.81  72.2 -0.390    18.53 20.24 02a57835o0567c 0x000000  -31.347826
57835.572832 19.256669      NaN  -407    24 c    0   5.12 210.91262 -33.97864 2208.03  3197.00 3.83 3.62  72.9 -0.405    18.81 20.40 02a57835o0596c 0x000000  -16.958333
57835.589125 18.878500      NaN  -411    34 c    0   4.23 210.91262 -33.97864 2258.37  3273.96 3.84 3.63  73.6 -0.402    18.11 19.64 02a57835o0627c 0x000000  -12.088235
57835.620754 19.014394      NaN  -638    30 c    0   4.46 210.91262 -33.97864 2245.72  3211.76 3.97 3.77  81.8 -0.388    18.55 20.04 02a57835o0687c 0x000000  -21.266667
57839.540622 19.401649      NaN  -429    21 c    0   7.30 210.91262 -33.97864 2339.57  2772.51 3.92 3.67  72.2 -0.398    18.94 20.73 02a57839o0610c 0x000000  -20.428571
57839.556523 19.351140      NaN  -419    22 c    0   6.24 210.91262 -33.97864 2324.31  2731.54 3.96 3.79  66.0 -0.386    18.90 20.71 02a57839o0640c 0x000000  -19.045455
57839.571972 19.454622      NaN  -574    20 c    0   6.64 210.91262 -33.97864 2374.19  2807.96 3.98 3.77  74.0 -0.388    18.89 20.69 02a57839o0669c 0x000000  -28.700000
57839.587959 19.454622      NaN  -722    20 c    0   6.35 210.91262 -33.97864 2407.27  2690.57 3.94 3.71  74.6 -0.388    18.84 20.57 02a57839o0699c 0x000000  -36.100000
57839.603456 19.256669      NaN  -498    24 c    0   5.78 210.91262 -33.97864 2362.32  2746.81 3.95 3.72  78.8 -0.388    18.82 20.56 02a57839o0728c 0x000000  -20.750000
57847.520617 19.212347      NaN  -286    25 c    0   5.42 210.91262 -33.97864 3060.39  2877.26 3.96 3.82  75.7 -0.384    18.80 20.51 02a57847o0564c 0x000000  -11.440000
57847.536279 19.212347      NaN  -487    25 c    0   4.62 210.91262 -33.97864 3045.10  2836.80 4.22 4.10  69.7 -0.366    18.69 20.48 02a57847o0594c 0x000000  -19.480000
57847.551960 19.089302      NaN  -565    28 c    0   4.49 210.91262 -33.97864 3113.09  2913.30 4.05 3.92  74.6 -0.374    18.73 20.47 02a57847o0624c 0x000000  -20.178571
57847.567615 19.256669      NaN  -634    24 c    0   4.71 210.91262 -33.97864 3130.53  2798.51 4.30 4.17  78.4 -0.361    18.62 20.41 02a57847o0654c 0x000000  -26.416667
57847.583312 19.302877      NaN  -716    23 c    0   4.84 210.91262 -33.97864 3083.92  2852.87 4.01 3.92 -89.9 -0.373    18.64 20.29 02a57847o0684c 0x000000  -31.130435
57863.508559 17.858399 0.108158   261    26 c    0   3.15 210.91262 -33.97864 1447.63  3998.53 3.81 3.66  76.9 -0.410    18.64 20.13 02a57863o0523c 0x000000   10.038462
57863.521187 18.990530      NaN    23    23 c    0   5.03 210.91262 -33.97864 1433.97  3957.53 3.78 3.57  77.8 -0.416    18.55 19.93 02a57863o0547c 0x000000    1.000000
57863.534286 18.063866 0.125664   216    25 c    0   3.98 210.91262 -33.97864 1486.54  4034.35 3.86 3.63  80.6 -0.414    18.45 19.76 02a57863o0572c 0x000000    8.640000
57863.547375 18.826541      NaN    14    31 c    0   3.55 210.91262 -33.97864 1504.72  3916.18 3.91 3.73  83.9 -0.402    18.34 19.63 02a57863o0597c 0x000000    0.451613
57863.561007 19.089302      NaN   -32    28 c    0   3.75 210.91262 -33.97864 1473.66  3971.35 3.96 3.74  88.3 -0.398    18.23 19.48 02a57863o0623c 0x000000   -1.142857
57871.463669 19.841877      NaN  -266    14 c    0   7.98 210.91262 -33.97864 4381.20  2965.26 2.87 2.65  31.5 -0.436    19.35 20.53 02a57871o0303c 0x000000  -19.000000
57871.479470 20.009244      NaN  -413    12 c    0   9.02 210.91262 -33.97864 4368.24  2925.22 3.03 2.85  30.1 -0.428    19.26 20.44 02a57871o0333c 0x000000  -34.416667
57871.495230 19.841877      NaN  -335    14 c    0   7.23 210.91262 -33.97864 4435.35  3001.41 3.14 2.96  29.3 -0.419    19.19 20.39 02a57871o0363c 0x000000  -23.928571
