         MJD         m       dm     uJy  duJy F  err  chi/N        RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask    __tmp_SN
57771.675492 17.509244      NaN    -578   120 o    0   1.38 210.91262 -33.97864  1008.82   487.96 3.94 3.83 -47.7 -0.436    17.54 17.54 02a57771o0923o 0x100002   -4.816667
57799.606127 18.574166      NaN    -801    45 o    0   3.61 210.91262 -33.97864  2663.52  1516.16 3.95 3.89  73.3 -0.421    18.41 19.34 02a57799o0748o 0x000000  -17.800000
57799.621774 18.438271      NaN    -762    51 o    0   2.12 210.91262 -33.97864  2647.87  1478.81 3.74 3.67 -78.7 -0.443    18.48 19.33 02a57799o0778o 0x000000  -14.941176
57799.637480 18.574166      NaN    -803    45 o    0   2.63 210.91262 -33.97864  2713.73  1557.51 3.67 3.62 -58.9 -0.448    18.49 19.31 02a57799o0808o 0x000000  -17.844444
57799.653551 18.550302      NaN    -808    46 o    0   2.73 210.91262 -33.97864  2732.82  1443.35 3.74 3.70 -64.2 -0.439    18.44 19.27 02a57799o0839o 0x000000  -17.565217
57799.674021 17.176728      NaN    -251   163 o    0   1.14 210.91262 -33.97864  2689.51  1494.66 4.02 3.92 -16.0 -0.446    17.21 16.97 02a57799o0878o 0x100002   -1.539877
57816.658660 17.774377      NaN    -866    94 o    0   2.74 210.91262 -33.97864  9745.74  8768.37 3.89 3.61  69.9 -0.443    17.79 18.72 01a57816o0869o 0x100002   -9.212766
57818.650394 18.878500      NaN   -1094    34 o    0   9.88 210.91262 -33.97864  9714.15  8047.16 3.94 3.63 -20.8 -0.448    18.55 20.48 01a57818o0858o 0x000000  -32.176471
57818.664391 15.533140      NaN     113   703 o    0   1.29 210.91262 -33.97864  9747.04  8089.40 4.33 3.78 -42.4 -0.429    16.52 17.79 01a57818o0886o 0x100002    0.160740
57819.590459 19.128787      NaN    -217    27 o    0   3.09 210.91262 -33.97864  3127.58  3313.73 3.59 3.53 -59.6 -0.425    19.23 20.90 02a57819o0596o 0x000000   -8.037037
57819.605491 19.089302      NaN    -452    28 o    0   5.06 210.91262 -33.97864  3114.02  3273.74 3.57 3.53 -88.0 -0.430    19.16 20.77 02a57819o0625o 0x000000  -16.142857
57819.620666 19.169763      NaN    -474    26 o    0   4.29 210.91262 -33.97864  3165.79  3352.58 3.56 3.51 -60.6 -0.433    19.11 20.64 02a57819o0654o 0x000000  -18.230769
57819.636238 19.089302      NaN    -363    28 o    0   2.96 210.91262 -33.97864  3183.77  3233.55 3.58 3.49 -72.4 -0.433    19.11 20.67 02a57819o0684o 0x000000  -12.964286
57819.651221 19.014394      NaN    -687    30 o    0   3.01 210.91262 -33.97864  3152.76  3289.55 3.56 3.47 -64.6 -0.436    18.92 20.30 02a57819o0713o 0x000000  -22.900000
57820.636448 18.757738      NaN   -1052    38 o    0   8.55 210.91262 -33.97864  7751.38  8418.48 3.64 3.32 -11.8 -0.465    18.74 20.75 01a57820o0853o 0x000000  -27.684211
57820.649810 18.878500      NaN    -191    34 o    0   6.45 210.91262 -33.97864  7765.54  8458.87 3.92 3.43  -7.3 -0.455    18.80 20.74 01a57820o0880o 0x000000   -5.617647
57820.663854 16.632816      NaN    -381   269 o    0   1.59 210.91262 -33.97864  7715.45  8382.13 3.81 3.45 -13.7 -0.434    17.26 17.66 01a57820o0908o 0x100002   -1.416357
57823.546974 18.438271      NaN    -456    51 o    0   2.43 210.91262 -33.97864  1238.45  4070.46 3.70 3.50 -85.6 -0.446    18.23 18.89 02a57823o0632o 0x000000   -8.941176
57823.575784 17.858399      NaN    -646    87 o    0   1.86 210.91262 -33.97864  1273.39  4113.63 3.65 3.49 -89.5 -0.450    17.74 18.40 02a57823o0691o 0x100002   -7.425287
57823.590750 16.397831      NaN   -1825   334 o    0   1.17 210.91262 -33.97864  1290.18  3994.91 3.62 3.37  84.2 -0.458    16.24 16.64 02a57823o0721o 0x100002   -5.464072
57823.606531 17.033415      NaN   -2673   186 o    0   2.05 210.91262 -33.97864  1261.21  4051.30 3.68 3.45  89.5 -0.448    16.98 17.53 02a57823o0753o 0x100002  -14.370968
57828.616015 17.833722      NaN    -879    89 o    0   2.50 210.91262 -33.97864  9637.11  8826.15 3.58 3.43 -22.8 -0.450    17.76 18.70 01a57828o0793o 0x100002   -9.876404
57828.629512 16.333667      NaN     307   252 o    0   0.70 210.91262 -33.97864    51.28  8973.78 6.42 5.29  33.8 -0.452    17.36 18.24 01a57828o0820o 0x100002    1.218254
57828.630007 16.013940      NaN     239   396 o    0   1.07 210.91262 -33.97864  9652.74  8867.78 3.95 3.79 -21.4 -0.469    17.40 18.35 01a57828o0821o 0x100002    0.603535
57828.643072 16.661444      NaN   -4721   262 o    0   9.41 210.91262 -33.97864    83.00  9010.99 6.33 5.06  33.1 -0.296    17.58 18.42 01a57828o0847o 0x100002  -18.019084
57830.615635 18.336727      NaN    -442    56 o    0   4.69 210.91262 -33.97864  8405.08  7122.94 3.62 3.53  -3.8 -0.474    18.19 19.49 01a57830o0785o 0x000000   -7.892857
57830.630144 18.280067      NaN    -127    59 o    0   4.50 210.91262 -33.97864  8420.71  7163.82 3.40 3.31  -1.8 -0.494    18.17 19.37 01a57830o0814o 0x000000   -2.152542
57831.562129 18.702047      NaN    -458    40 o    0   2.04 210.91262 -33.97864  1751.19  2955.22 3.91 3.80 -80.8 -0.420    18.17 19.25 02a57831o0673o 0x000000  -11.450000
57831.576261 18.910912      NaN    -803    33 o    0   3.17 210.91262 -33.97864  1737.14  2914.14 3.89 3.78 -82.1 -0.420    18.15 19.20 02a57831o0701o 0x000000  -24.333333
57831.590882 18.847027      NaN    -591    35 o    0   3.10 210.91262 -33.97864  1803.30  2992.19 3.93 3.85 -53.4 -0.414    18.11 19.17 02a57831o0730o 0x000000  -16.885714
57831.604926 18.910912      NaN    -812    33 o    0   3.07 210.91262 -33.97864  1821.15  2876.53 3.83 3.77 -44.0 -0.421    18.11 19.11 02a57831o0758o 0x000000  -24.606061
57831.619037 18.786693      NaN    -856    37 o    0   2.85 210.91262 -33.97864  1775.74  2930.29 4.02 3.91 -62.6 -0.411    18.00 19.01 02a57831o0786o 0x000000  -23.135135
