         MJD         m       dm   uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57900.605540 19.510313      NaN    27    10 c    0   1.81 292.62506 -0.47097  2731.62  8073.79 2.41 2.29  13.1 -0.503    19.68 21.36 02a57900o0676c 0x000000   2.700000
57900.622766 17.643932      NaN   -20   106 c    0   1.55 292.62506 -0.47097  2714.16  8034.41 2.36 2.28   5.0 -0.600    17.95 18.58 02a57900o0709c 0x100002  -0.188679
57904.539680 20.171596      NaN     4     9 c    0   2.51 292.62506 -0.47097  1554.71  8449.70 2.94 2.71 -37.7 -0.396    19.56 21.49 02a57904o0399c 0x000000   0.444444
57904.559827 19.922338      NaN     9    10 c    0   2.12 292.62506 -0.47097  1532.59  8414.16 2.85 2.72 -39.4 -0.398    19.60 21.51 02a57904o0437c 0x000000   0.900000
57904.567805 20.009244      NaN     9     9 c    0   1.66 292.62506 -0.47097  1589.56  8495.23 2.91 2.76 -39.7 -0.395    19.62 21.50 02a57904o0452c 0x000000   1.000000
57904.591042 20.137125 0.339293    32    10 c    0   1.74 292.62506 -0.47097  1612.15  8378.65 2.85 2.69 -56.8 -0.394    19.60 21.53 02a57904o0496c 0x000000   3.200000
57904.606157 20.103715      NaN   -20    11 c    0   1.09 292.62506 -0.47097  1574.20  8438.24 2.94 2.74 -60.6 -0.393    19.56 21.35 02a57904o0523c 0x000000  -1.818182
57982.394979 20.594452      NaN   -55     7 c    0   2.94 292.62506 -0.47097  1854.98  8470.19 2.41 2.29  14.8 -0.463    19.71 21.51 02a57982o0325c 0x000000  -7.857143
57982.404410 19.979496      NaN     4    11 c    0   1.90 292.62506 -0.47097  1836.18  8430.68 2.41 2.31   9.6 -0.466    19.67 21.49 02a57982o0343c 0x000000   0.363636
57982.413268 19.743105      NaN    16    10 c    0   2.69 292.62506 -0.47097  1895.54  8510.69 2.43 2.32   1.4 -0.460    19.67 21.50 02a57982o0360c 0x000000   1.600000
57982.422918 20.321591      NaN   -27     9 c    0   2.07 292.62506 -0.47097  1917.93  8392.74 2.46 2.34  -0.2 -0.462    19.65 21.49 02a57982o0378c 0x000000  -3.000000
57986.394359 17.640523      NaN    79    80 c    0   1.48 292.62506 -0.47097  9074.20  1034.27 2.75 2.63 -81.9 -0.419    17.66 19.23 02a57986o0301c 0x100002   0.987500
57986.403911 17.183409      NaN  -116   162 c    0   0.66 292.62506 -0.47097  9055.64   995.04 2.77 2.64  84.1 -0.418    16.71 18.25 02a57986o0319c 0x100002  -0.716049
57986.412937 17.217448      NaN  -295   157 c    0   1.35 292.62506 -0.47097  9114.39  1071.62 2.76 2.64  79.9 -0.417    16.63 18.22 02a57986o0336c 0x100002  -1.878981
