         MJD         m       dm     uJy  duJy F  err  chi/N        RA      Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs     Mask    __tmp_SN
57700.219686 16.784157      NaN    -912   234 o    0   1.48 292.62506 -0.47097  2744.75  7806.55  3.78 3.58  32.5 -0.451    16.79 17.07 02a57700o0075o 0x100002   -3.897436
57700.235261 15.321591      NaN     219   827 o    0   1.20 292.62506 -0.47097  2723.91  7767.19  4.49 3.87  19.0 -0.490    16.03 16.33 02a57700o0105o 0x100002    0.264813
57852.583039 18.649074      NaN    -164    42 o    0   1.02 292.62506 -0.47097  7538.92  1306.34  3.63 3.37 -81.6 -0.470    17.95 18.59 02a57852o0697o 0x000000   -3.904762
57852.601188 18.816441      NaN    -235    36 o    0   1.13 292.62506 -0.47097  7557.72  1350.83  3.60 3.34 -81.3 -0.476    18.03 18.71 02a57852o0725o 0x000000   -6.527778
57852.618875 19.014394      NaN    -124    30 o    0   1.83 292.62506 -0.47097  7498.54  1272.27  3.70 3.44 -81.0 -0.463    18.09 18.89 02a57852o0754o 0x000000   -4.133333
57852.635180 18.786693      NaN    -297    37 o    0   0.98 292.62506 -0.47097  7477.32  1392.21  3.69 3.37 -79.1 -0.459    18.06 18.76 02a57852o0783o 0x000000   -8.027027
57881.606760 19.401649      NaN      -3    21 o    0   1.39 292.62506 -0.47097  5697.88  1182.07  3.30 3.14 -65.4 -0.500    18.96 20.19 01a57881o0748o 0x000000   -0.142857
57881.620961 19.302877      NaN     -55    23 o    0   1.41 292.62506 -0.47097  5718.77  1222.31  3.30 3.11 -61.2 -0.503    18.70 19.70 01a57881o0774o 0x000000   -2.391304
57882.617036 19.401649      NaN     -39    21 o    0   1.11 292.62506 -0.47097  6171.00  3257.29  3.04 2.89  36.6 -0.504    18.80 19.72 01a57882o0634o 0x000000   -1.857143
57883.569744 18.550302      NaN     -42    46 o    0   1.08 292.62506 -0.47097  6413.43  1431.32  2.88 2.06  26.5 -0.556    18.20 18.48 02a57883o0644o 0x000000   -0.913043
57883.589001 18.623526      NaN     -44    43 o    0   1.66 292.62506 -0.47097  6431.09  1474.15  2.95 2.16  28.6 -0.535    18.01 18.30 02a57883o0680o 0x000000   -1.023256
57883.609023 17.909502      NaN       0    83 o    0   0.77 292.62506 -0.47097  6365.43  1396.04  2.90 2.05  30.1 -0.527    17.47 17.48 02a57883o0716o 0x100002    0.000000
57884.493536 18.640491      NaN      37    30 o    0   1.25 292.62506 -0.47097  6140.84  2323.75  3.17 2.33  31.7 -0.496    18.48 18.95 02a57884o0328o 0x000000    1.233333
57884.505437 18.304885 0.163174     173    26 o    0   2.03 292.62506 -0.47097  6159.30  2362.27  2.77 2.09  27.1 -0.543    18.59 18.97 02a57884o0350o 0x000000    6.653846
57884.517766 19.169763      NaN     -76    26 o    0   1.30 292.62506 -0.47097  6101.06  2284.83  2.79 2.12  28.8 -0.523    18.65 19.04 02a57884o0373o 0x000000   -2.923077
57884.530009 18.933071      NaN      19    26 o    0   1.28 292.62506 -0.47097  6080.97  2403.02  2.62 2.00  25.9 -0.527    18.70 19.10 02a57884o0396o 0x000000    0.730769
57886.619519 18.376212      NaN    -273    54 o    0   0.93 292.62506 -0.47097  6774.00    65.11  5.56 3.42  -1.6 -0.419    18.05 19.01 01a57886o0817o 0x100002   -5.055556
57892.621570 19.401649      NaN    -225    21 o    0   2.41 292.62506 -0.47097  1668.97  9624.15  2.07 1.97  18.1 -0.524    18.82 19.18 02a57892o0726o 0x000000  -10.714286
57908.550983 19.696897      NaN     -89    16 o    0   1.76 292.62506 -0.47097  3671.93  9011.75  2.72 2.60 -17.4 -0.447    19.26 20.50 02a57908o0601o 0x000000   -5.562500
57908.572383 19.922338      NaN     -73    13 o    0   3.95 292.62506 -0.47097  3649.81  8972.88  2.54 2.47 -37.0 -0.466    19.26 20.51 02a57908o0641o 0x000000   -5.615385
57908.586994 19.102305      NaN      38    15 o    0   2.37 292.62506 -0.47097  3709.43  9052.74  2.56 2.48 -38.2 -0.458    19.27 20.40 02a57908o0669o 0x000000    2.533333
57908.601449 19.922338      NaN     -87    13 o    0   2.43 292.62506 -0.47097  3733.65  8936.12  2.64 2.53 -46.2 -0.464    19.26 20.46 02a57908o0696o 0x000000   -6.692308
57908.621682 17.057018      NaN    -176   182 o    0   0.85 292.62506 -0.47097  3694.73  8994.78  2.47 2.34 -41.6 -0.577    17.92 17.97 02a57908o0735o 0x100002   -0.967033
57909.614668 19.351140      NaN     -30    22 o    0   1.41 292.62506 -0.47097  2047.55  9757.13  3.09 2.82 -65.3 -0.502    18.82 19.75 01a57909o0754o 0x000000   -1.363636
57909.616634 18.944322      NaN    -100    32 o    0   1.58 292.62506 -0.47097  6238.84    57.53  3.12 2.81  71.3 -0.469    18.61 19.27 01a57909o0758o 0x000000   -3.125000
57910.586683 16.359507      NaN   -2602   346 o    0   1.61 292.62506 -0.47097  3938.57  9611.78  3.12 2.83  70.9 -0.464    15.93 17.05 01a57910o0697o 0x100002   -7.520231
57910.601508 19.419021 0.245166      62    14 o    0   2.01 292.62506 -0.47097  3967.73  9710.52  2.99 2.77  81.5 -0.491    19.35 21.08 01a57910o0727o 0x000000    4.428571
57910.616592 19.351140      NaN    -145    22 o    0   1.19 292.62506 -0.47097  3917.88  9692.86  3.09 2.87  89.5 -0.477    18.91 19.90 01a57910o0757o 0x000000   -6.590909
57910.621596 18.631975      NaN      29    33 o    0   1.33 292.62506 -0.47097  8093.84   121.08  3.08 2.78  77.3 -0.509    18.22 18.48 01a57910o0767o 0x000000    0.878788
57912.505582 16.618117      NaN     152   222 o    0   1.46 292.62506 -0.47097  1910.93  9177.36  2.47 2.20  34.6 -0.689    17.44 17.86 02a57912o0289o 0x100002    0.684685
57912.527635 16.521656      NaN    -110   298 o    0   1.16 292.62506 -0.47097  1930.27  9218.71  2.44 2.15  35.1 -0.608    17.32 17.57 02a57912o0332o 0x100002   -0.369128
57912.537193 18.417189      NaN     -93    52 o    0   1.63 292.62506 -0.47097  8612.89  1296.80  2.32 2.14  78.3 -0.501    17.75 17.94 02a57912o0351o 0x100002   -1.788462
57912.556391 18.944322      NaN    -174    32 o    0   1.46 292.62506 -0.47097  8633.76  1181.10  2.60 2.43  60.5 -0.487    18.38 18.99 02a57912o0388o 0x000000   -5.437500
57912.564791 17.782105      NaN     124    52 o    0   1.40 292.62506 -0.47097  8596.39  1239.80  2.50 2.34  58.4 -0.497    17.89 18.30 02a57912o0405o 0x100002    2.384615
57913.484803 18.598565      NaN     -23    44 o    0   1.06 292.62506 -0.47097  8719.04   896.51  5.18 3.41   1.1 -0.413    18.03 18.90 01a57913o0473o 0x000000   -0.522727
57913.505640 18.029238      NaN      76    49 o    0   0.94 292.62506 -0.47097  8701.70   782.45  3.60 3.36  23.0 -0.427    17.98 18.86 01a57913o0512o 0x100002    1.551020
57913.511735 18.376212      NaN     -80    54 o    0   1.03 292.62506 -0.47097  8761.98   838.26  5.78 3.51   0.5 -0.404    17.74 18.70 01a57913o0523o 0x100002   -1.481481
57913.528090 19.014394      NaN     -57    30 o    0   1.42 292.62506 -0.47097  8780.88   657.39  3.46 3.28  69.8 -0.438    18.37 18.98 01a57913o0555o 0x000000   -1.900000
57916.574125 18.550302      NaN     -21    46 o    0   1.24 292.62506 -0.47097  7616.43   300.28  2.50 2.13  48.5 -0.509    18.22 18.58 02a57916o0344o 0x000000   -0.456522
57916.588484 18.504094      NaN     -38    48 o    0   0.96 292.62506 -0.47097  7596.25   260.13  2.49 2.17  45.1 -0.537    18.17 18.53 02a57916o0373o 0x100002   -0.791667
57916.588977 18.226218      NaN     -85    62 o    0   1.57 292.62506 -0.47097  3331.29  9921.70  2.43 2.11  19.2 -0.555    17.93 18.23 02a57916o0374o 0x100002   -1.370968
57916.605015 17.976960      NaN      93    47 o    0   1.11 292.62506 -0.47097  7656.47   338.52  2.50 2.18  42.8 -0.503    18.17 18.53 02a57916o0406o 0x000000    1.978723
57916.605990 18.174913      NaN     -47    65 o    0   1.39 292.62506 -0.47097  3393.45  9998.87  2.37 2.06  13.0 -0.555    17.97 18.20 02a57916o0408o 0x100002   -0.723077
57916.620284 17.976960      NaN    -144    78 o    0   1.17 292.62506 -0.47097  7681.41   218.28  2.46 2.13  42.1 -0.572    17.47 17.70 02a57916o0436o 0x100002   -1.846154
57918.617886 18.534680      NaN      32    36 o    0   0.99 292.62506 -0.47097  5699.32   517.45  2.81 2.64  85.7 -0.503    18.36 18.76 01a57918o0759o 0x000000    0.888889
57919.514986 19.569016      NaN     -47    18 o    0   1.54 292.62506 -0.47097  5530.81  1490.46  3.15 2.98  50.3 -0.468    18.86 20.01 01a57919o0539o 0x000000   -2.611111
57919.523601 19.102305      NaN      20    21 o    0   1.25 292.62506 -0.47097  5551.93  1562.15  3.55 3.00  11.6 -0.438    18.81 20.00 01a57919o0556o 0x000000    0.952381
57919.533220 19.401649      NaN     -17    21 o    0   1.33 292.62506 -0.47097  5499.09  1523.00  3.34 2.91  60.5 -0.465    18.85 19.99 01a57919o0575o 0x000000   -0.809524
57919.542307 19.454622      NaN     -56    20 o    0   1.53 292.62506 -0.47097  5485.39  1676.76  3.19 2.79  57.7 -0.481    18.81 19.92 01a57919o0593o 0x000000   -2.800000
57923.514200 19.014394      NaN     -74    30 o    0   1.04 292.62506 -0.47097  6355.53  2511.38  3.69 3.09  10.4 -0.438    18.60 19.93 01a57923o0544o 0x000000   -2.466667
57923.523363 19.569016      NaN     -25    18 o    0   1.62 292.62506 -0.47097  6379.87  2586.24  3.21 2.90  44.1 -0.458    18.99 20.34 01a57923o0562o 0x000000   -1.388889
57923.533096 18.590371      NaN      61    24 o    0   1.28 292.62506 -0.47097  6324.67  2549.00  3.11 2.77  54.8 -0.465    18.76 19.87 01a57923o0581o 0x000000    2.541667
57923.542279 19.089302      NaN     -49    28 o    0   1.07 292.62506 -0.47097  6309.85  2702.11  3.23 2.89  46.8 -0.455    18.60 19.75 01a57923o0599o 0x000000   -1.750000
57927.510284 19.841877      NaN     -66    14 o    0   1.36 292.62506 -0.47097  8398.17  1169.40  3.32 3.09  29.2 -0.437    19.35 21.06 01a57927o0521o 0x000000   -4.714286
