         MJD         m       dm   uJy  duJy F  err   chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN c1_mean c1_mean_err c1_stdev c1_stdev_err c1_X2norm c1_Nvalid c1_Nnan c2_mean c2_mean_err c2_stdev c2_stdev_err c2_X2norm c2_Ngood c2_Nclip c2_Nmask c2_Nnan
57984.396458 20.207197      NaN     6     8 c    0    5.20 299.61892 62.13773  4559.03  3577.67 2.60 2.42  55.5 -0.404    19.73 21.68 02a57984o0339c 0xc00330   0.750000  381.97        3.12   718.73       192.09   7251.34         7       0  -13.10        4.11    13.70         4.84      2.92        4        0        3       0
57984.406246 20.244005      NaN     2     9 c    0    2.09 299.61892 62.13773  4542.95  3540.93 2.47 2.30  52.0 -0.413    19.75 21.64 02a57984o0359c 0xc00230   0.222222  325.40        3.22   568.58       151.96   4477.93         7       0  -12.69        3.83     2.70         0.85      0.10        5        0        2       0
57984.407706 16.675346 0.011193   776     8 c    0  408.14 299.61892 62.13773  4596.64  3614.77 2.45 2.27  53.3 -0.414    19.80 21.64 02a57984o0362c 0x980031  97.000000  174.58        3.24   393.83       105.26   2363.73         7       0   -8.41        4.39     6.93         2.45      0.73        4        2        1       0
57984.424912 15.884285 0.006077  1608     9 c    0 1176.39 299.61892 62.13773  4612.97  3498.50 2.71 2.52  50.1 -0.397    19.68 21.62 02a57984o0397c 0xd00831 178.666667  791.77        3.43   800.16       213.85   7682.67         7       0   -6.62        5.13    10.15         4.14      1.18        3        0        4       0
57988.398184 16.200239 0.008129  1202     9 c    0  784.13 299.61892 62.13773  7081.83  5729.02 2.52 2.49 -68.2 -0.410    19.80 21.64 02a57988o0338c 0x100031 133.555556  346.36        3.20   588.35       157.24   6499.50         7       0    1.33        3.92     8.91         2.82      1.08        5        0        2       0
57988.408532 19.743105 0.212427    46     9 c    0    2.51 299.61892 62.13773  7066.33  5686.47 2.56 2.51  83.8 -0.407    19.73 21.54 02a57988o0359c 0x083030   5.111111  111.85        3.60   251.96        67.34    764.11         7       0    0.30        4.86    13.58         4.80      2.00        4        1        2       0
57988.410004 20.009244      NaN   -13    12 c    0    2.31 299.61892 62.13773  7120.83  5765.76 2.60 2.57  84.2 -0.405    19.69 21.53 02a57988o0362c 0x002030  -1.083333  251.74        3.66   365.25        97.62   1535.53         7       0    5.94        4.48    14.07         4.45      2.17        5        0        2       0
57988.427308 16.866048 0.025017   651    15 c    0   77.60 299.61892 62.13773  7145.54  5652.60 2.47 2.44 -64.4 -0.413    19.75 21.46 02a57988o0397c 0x500831  43.400000 1227.59        4.15  1159.06       309.77  11743.09         7       0   -1.11        9.11    14.85         7.42      1.30        2        1        4       0
58012.343927 20.321591 0.361912    27     9 c    0    1.40 299.61892 62.13773  8299.43  8143.50 2.59 2.47  34.8 -0.420    19.79 21.59 02a58012o0280c 0x082030   3.000000  277.23        3.57   511.20       136.62   2700.80         7       0    0.74        4.57     7.54         2.67      0.71        4        1        2       0
58012.344383 19.816329 0.302996    43    12 c    0    1.44 299.61892 62.13773  8281.01  8103.65 2.58 2.49  34.5 -0.416    19.78 21.57 02a58012o0281c 0x400330   3.583333  259.97        4.20   488.58       130.58   2281.37         7       0   25.82        5.10    18.58         5.88      2.59        5        1        1       0
