         MJD         m       dm   uJy  duJy F  err    chi/N        RA      Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN  c1_mean c1_mean_err c1_stdev c1_stdev_err c1_X2norm c1_Nvalid c1_Nnan  c2_mean c2_mean_err c2_stdev c2_stdev_err c2_X2norm c2_Ngood c2_Nclip c2_Nmask c2_Nnan
57914.530063 18.816441      NaN    45    21 o    0     1.10 299.61892 62.13773  5148.22  4300.42  2.26 2.25 -44.4 -0.436    18.72 19.23 02a57914o0575o 0x400220   2.142857    28.39        8.86    31.47         8.41      1.59         7       0    28.39        8.86    31.47         8.41      1.59        7        0        0       0
57914.546969 19.076453      NaN    16    23 o    0     0.81 299.61892 62.13773  5321.47  6106.23  2.19 2.07 -26.3 -0.471    18.77 19.28 02a57914o0606o 0x000000   0.695652    -1.68        9.34    20.30         5.43      0.67         7       0    -1.68        9.34    20.30         5.43      0.67        7        0        0       0
57914.563058 19.128787      NaN    12    23 o    0     1.31 299.61892 62.13773  5371.54  6179.45  2.09 1.93 -25.7 -0.501    18.79 19.25 02a57914o0635o 0x000000   0.521739     8.37        9.16    21.08         5.64      0.74         7       0     5.54        9.91    21.54         6.22      0.78        6        0        1       0
57914.579132 19.089302      NaN     6    26 o    0     0.78 299.61892 62.13773  5386.28  6061.27  2.12 1.96 -27.3 -0.488    18.82 19.25 02a57914o0664o 0x000000   0.230769    15.40        8.97    16.53         4.42      0.45         7       0    17.60        9.39    14.91         4.30      0.42        6        0        1       0
57914.595072 19.169763      NaN    -8    26 o    0     0.97 299.61892 62.13773  5341.65  6118.16  2.13 1.97 -18.3 -0.486    18.82 19.27 02a57914o0693o 0x000000  -0.307692    -3.48        9.75    25.45         6.80      0.98         7       0    -3.48        9.75    25.45         6.80      0.98        7        0        0       0
57921.584813 19.271854 0.244673    71    16 o    0     5.68 299.61892 62.13773  4046.30  7412.40  3.38 3.09  51.2 -0.415    19.10 20.39 01a57921o0046o 0x002030   4.437500    38.57        6.39    43.41        11.60      6.99         7       0    13.73        7.64    15.52         4.91      0.82        5        0        2       0
57921.593843 17.643932 0.245827   318    72 o    0     5.07 299.61892 62.13773  4074.40  7487.46  3.34 3.09  51.2 -0.427    17.26 18.74 01a57921o0064o 0x500a32   4.416667   238.67       25.95   150.60        40.25      4.89         7       0   321.35       52.08    76.37        38.18      1.04        2        1        4       0
57921.603282 19.454622 0.307625    60    17 o    0     9.61 299.61892 62.13773  4016.48  7444.82  3.36 3.15  52.8 -0.421    19.08 20.36 01a57921o0083o 0x400b30   3.529412    46.65        6.56    45.07        12.05      6.29         7       0    41.64        9.61    40.00        16.33      5.54        3        2        2       0
57921.612294 19.026525      NaN    29    20 o    0     2.24 299.61892 62.13773  4010.04  7595.98  3.31 3.16  49.2 -0.421    18.58 19.87 01a57921o0101o 0x002000   1.450000    -7.18        7.73    19.51         5.21      0.99         7       0    -7.83        8.31    21.19         6.12      1.18        6        0        1       0
57922.543830 14.395119      NaN  1334  1668 o    0     1.28 299.61892 62.13773  5586.58  2677.31  2.44 2.09 -43.5 -0.450    14.48 14.87 02a57922o0621o 0x900002   0.799760   -65.76      536.98  1471.34       393.23      1.11         7       0  1532.00     1358.00      NaN          NaN       NaN        1        0        6       0
