         MJD         m       dm   uJy  duJy F  err   chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57984.396458 20.321591      NaN   -16     9 c    0    1.46 299.62102 62.13486  4557.06  3572.14 2.60 2.42  55.5 -0.404    19.73 21.68 02a57984o0339c 0x400330  -1.777778
57984.406246 20.449472      NaN   -11     8 c    0    1.63 299.62102 62.13486  4540.97  3535.39 2.47 2.30  52.0 -0.413    19.75 21.64 02a57984o0359c 0x400230  -1.375000
57984.407706 19.766969      NaN    21     8 c    0    1.13 299.62102 62.13486  4594.67  3609.23 2.45 2.27  53.3 -0.414    19.80 21.64 02a57984o0362c 0x082030   2.625000
57984.424912 20.207197      NaN   -16    10 c    0    1.43 299.62102 62.13486  4611.01  3492.96 2.71 2.52  50.1 -0.397    19.68 21.62 02a57984o0397c 0x400830  -1.600000
57988.398184 20.207197      NaN    -1    10 c    0    1.00 299.62102 62.13486  7080.10  5723.42 2.52 2.49 -68.2 -0.410    19.80 21.64 02a57988o0338c 0x000030  -0.100000
57988.408532 19.868040      NaN    14     9 c    0    1.74 299.62102 62.13486  7064.59  5680.86 2.56 2.51  83.9 -0.407    19.73 21.54 02a57988o0359c 0x080030   1.555556
57988.410004 20.103715      NaN    -5    11 c    0    0.89 299.62102 62.13486  7119.11  5760.15 2.60 2.57  84.3 -0.405    19.69 21.53 02a57988o0362c 0x000030  -0.454545
57988.427308 18.136622 0.059124   202    11 c    0   17.79 299.62102 62.13486  7143.81  5646.99 2.47 2.44 -64.4 -0.413    19.75 21.46 02a57988o0397c 0x500831  18.363636
58012.343927 19.922338      NaN    12     9 c    0    1.34 299.62102 62.13486  8297.78  8137.82 2.59 2.47  34.7 -0.420    19.79 21.59 02a58012o0280c 0x082030   1.333333
58012.344383 19.841877      NaN    -2    14 c    0    1.08 299.62102 62.13486  8279.37  8097.97 2.58 2.49  34.4 -0.416    19.78 21.57 02a58012o0281c 0x400330  -0.142857
58012.360239 19.652575      NaN    14    12 c    0    1.35 299.62102 62.13486  8345.07  8179.26 2.63 2.52  39.7 -0.421    19.68 21.46 02a58012o0315c 0x002030   1.166667
58012.363908 20.009244 0.361912    36    12 c    0    1.88 299.62102 62.13486  8352.99  8064.26 2.63 2.51  42.6 -0.420    19.50 21.28 02a58012o0323c 0x400330   3.000000
58072.263371 20.009244      NaN   -18    12 c    0    1.72 299.62102 62.13486   665.95  9617.72 2.88 2.33  29.0 -0.441    19.62 21.35 02a58072o0151c 0x000030  -1.500000
58072.272314 19.841877      NaN   -19    14 c    0    2.05 299.62102 62.13486   647.14  9579.55 2.89 2.32  25.4 -0.449    19.60 21.34 02a58072o0170c 0x400130  -1.357143
58072.281586 19.696897      NaN    -4    16 c    0    1.16 299.62102 62.13486   699.98  9655.30 2.96 2.37  26.6 -0.444    19.52 21.26 02a58072o0189c 0x000030  -0.250000
58072.282499 19.922338      NaN   -13    13 c    0    1.78 299.62102 62.13486  9804.12  9558.59 2.85 2.84 -51.6 -0.403    19.60 21.35 02a58072o0191c 0x000030  -1.000000
58076.265858 18.459772      NaN  -149    50 c    0    0.80 299.62102 62.13486  2782.92  1536.61 2.96 2.52  40.5 -0.411    18.29 19.90 02a58076o0130c 0xd00812  -2.980000
58076.275278 19.766969      NaN   -25    15 c    0    1.65 299.62102 62.13486  2762.95  1499.05 3.05 2.52  40.3 -0.427    19.32 20.87 02a58076o0149c 0xc00a30  -1.666667
58076.284042 18.280067 0.073609   177    12 c    0   10.71 299.62102 62.13486  2816.52  1577.30 3.03 2.50  40.2 -0.419    19.41 20.99 02a58076o0167c 0xd00831  14.750000
58076.293419 19.816329      NaN     1    14 c    0    1.93 299.62102 62.13486  2841.25  1456.15 3.04 2.53  39.7 -0.410    19.31 20.89 02a58076o0186c 0xc00330   0.071429
58104.205777 18.169360 0.088632   196    16 c    0    6.16 299.62102 62.13486  1110.15  1802.86 3.47 2.99  46.9 -0.433    19.21 20.81 02a58104o0040c 0xc00b30  12.250000
58104.214283 19.142275      NaN    29    17 c    0    2.03 299.62102 62.13486  1090.42  1770.23 3.63 3.12  43.2 -0.428    19.24 21.02 02a58104o0058c 0xc00b30   1.705882
58256.579525 19.589310      NaN    20    11 c    0    1.27 299.62102 62.13486  9342.03  8956.18 2.73 2.60  45.2 -0.412    19.67 21.61 02a58256o0591c 0x400930   1.818182
58256.590633 20.009244      NaN    -2    12 c    0    0.86 299.62102 62.13486  9373.48  8996.55 2.62 2.54  42.8 -0.423    19.72 21.63 02a58256o0612c 0x400330  -0.166667
58256.601176 19.510313      NaN    18    13 c    0    0.66 299.62102 62.13486  9310.33  8922.40 2.80 2.63  43.5 -0.428    19.67 21.65 02a58256o0633c 0x400230   1.384615
58256.612013 19.791368      NaN    11    11 c    0    2.08 299.62102 62.13486  1165.81  1395.69 2.51 2.31  45.7 -0.470    19.56 21.13 02a58256o0654c 0x082030   1.000000
58280.542938 18.396507      NaN   -59    53 c    0    0.83 299.62102 62.13486  3458.23   901.01 2.78 2.51   5.2 -0.397    18.34 20.07 02a58280o0641c 0xd00812  -1.113208
58280.552771 17.303777      NaN   -10   145 c    0    0.62 299.62102 62.13486  3442.76   869.18 2.82 2.49  38.2 -0.412    16.76 18.35 02a58280o0662c 0xd00832  -0.068966
58280.563072 17.224385      NaN   225    81 c    0    0.98 299.62102 62.13486  3494.50   948.95 3.10 2.59   5.9 -0.386    17.22 18.85 02a58280o0683c 0xd00832   2.777778
58280.574365 17.411259      NaN   133    87 c    0    0.80 299.62102 62.13486  3518.63   831.89 2.68 2.42  47.2 -0.422    17.52 19.07 02a58280o0704c 0xd00822   1.528736
58284.536494 20.321591      NaN     3     8 c    0    1.68 299.62102 62.13486   727.59  1762.07 2.55 2.35  43.7 -0.457    19.74 21.75 02a58284o0626c 0x080010   0.375000
