         MJD         m       dm     uJy    duJy   F  err   chi/N        RA      Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57914.530063 19.169763      NaN   -22.0    26.0   o  0.0    0.72 299.62102 62.13486  5150.11  4305.98  2.26 2.25 -44.2 -0.436    18.72 19.23 02a57914o0575o 0x400220  -0.846154
57914.546969 18.978793      NaN    15.0    26.0   o  0.0    0.74 299.62102 62.13486  5319.57  6100.68  2.19 2.07 -26.4 -0.471    18.77 19.28 02a57914o0606o 0x000000   0.576923
57914.563058 19.256669      NaN     6.0    22.0   o  0.0    0.98 299.62102 62.13486  5369.64  6173.90  2.09 1.93 -25.7 -0.501    18.79 19.25 02a57914o0635o 0x000000   0.272727
57914.579132 18.990530      NaN    23.0    23.0   o  0.0    1.03 299.62102 62.13486  5384.39  6055.72  2.12 1.96 -27.3 -0.488    18.82 19.25 02a57914o0664o 0x000000   1.000000
57914.595072 18.748255      NaN    28.0    29.0   o  0.0    0.68 299.62102 62.13486  5339.76  6112.61  2.13 1.97 -18.3 -0.486    18.82 19.27 02a57914o0693o 0x000000   0.965517
57921.584813 19.631075      NaN     3.0    16.0   o  0.0    0.92 299.62102 62.13486  4048.22  7417.95  3.38 3.09  51.2 -0.415    19.10 20.39 01a57921o0046o 0x002030   0.187500
57921.593843 18.089294 0.344760   211.0    67.0   o  0.0    1.01 299.62102 62.13486  4076.33  7493.02  3.34 3.09  51.2 -0.427    17.26 18.74 01a57921o0064o 0x500a32   3.149254
57921.603282 18.900000 0.195433   100.0    18.0   o  0.0    1.27 299.62102 62.13486  4018.40  7450.38  3.36 3.15  52.9 -0.421    19.08 20.36 01a57921o0083o 0x400b30   5.555556
57921.612294 19.401649      NaN   -30.0    21.0   o  0.0    1.62 299.62102 62.13486  4011.96  7601.53  3.31 3.16  49.3 -0.421    18.58 19.87 01a57921o0101o 0x002000  -1.428571
57922.543830 14.884584      NaN -2053.0  1346.0   o  0.0    1.64 299.62102 62.13486  5584.70  2671.73  2.44 2.09 -43.5 -0.450    14.48 14.87 02a57922o0621o 0x900002  -1.525260
57925.526407 19.454622      NaN    21.0    13.0   o  0.0    1.12 299.62102 62.13486  3832.39  7735.70  3.11 2.88  65.7 -0.440    19.38 20.96 01a57925o0580o 0x002000   1.615385
57925.529366 20.009244      NaN   -16.0    12.0   o  0.0    1.89 299.62102 62.13486  3859.86  7788.18  3.13 2.94  61.7 -0.437    19.38 20.96 01a57925o0586o 0x400830  -1.333333
57925.538724 19.922338      NaN   -12.0    13.0   o  0.0    1.07 299.62102 62.13486  3792.02  7745.99  3.15 2.94  64.3 -0.437    19.40 21.05 01a57925o0605o 0x400830  -0.923077
57925.547588 19.652575      NaN    11.0    13.0   o  0.0    0.78 299.62102 62.13486  3774.70  7897.57  3.16 2.96  56.6 -0.430    19.36 21.02 01a57925o0623o 0x400330   0.846154
57927.506603 19.841877      NaN     6.0    12.0   o  0.0    1.05 299.62102 62.13486  3924.11  2720.57  2.24 2.05 -36.4 -0.440    19.77 20.99 02a57927o0515o 0x400130   0.500000
57927.523897 19.841877      NaN   -16.0    14.0   o  0.0    0.89 299.62102 62.13486  3908.11  2683.92  2.27 2.06 -35.4 -0.440    19.75 21.00 02a57927o0551o 0x400830  -1.142857
57927.532635 19.287255      NaN    28.0    14.0   o  0.0    0.83 299.62102 62.13486  3971.59  2759.21  2.30 2.11 -37.9 -0.435    19.72 20.95 02a57927o0569o 0x400130   2.000000
57927.541305 19.950541      NaN     2.0    12.0   o  0.0    0.79 299.62102 62.13486  3988.02  2641.02  2.28 2.08 -38.8 -0.437    19.73 20.94 02a57927o0587o 0x082030   0.166667
57929.508567 19.589310      NaN    17.0    12.0   o  0.0    1.63 299.62102 62.13486  5784.85  6146.62  3.37 2.99  49.0 -0.412    19.37 21.06 01a57929o0542o 0x400a30   1.416667
57929.517973 19.302877      NaN    33.0    12.0   o  0.0    1.14 299.62102 62.13486  5797.17  6220.48  3.40 2.99  46.8 -0.414    19.37 21.04 01a57929o0561o 0x400b30   2.750000
57929.531318 19.569016      NaN    12.0    14.0   o  0.0    0.86 299.62102 62.13486  5732.28  6195.39  3.42 3.05  49.3 -0.407    19.38 21.04 01a57929o0588o 0x400130   0.857143
57929.540151 19.419021      NaN    26.0    12.0   o  0.0    1.38 299.62102 62.13486  5716.59  6347.48  3.38 2.98  45.8 -0.412    19.39 21.00 01a57929o0606o 0x002000   2.166667
57933.506875 19.766969      NaN    12.0    11.0   o  0.0    0.82 299.62102 62.13486  3704.57  5422.43  3.10 2.83  54.3 -0.440    19.59 21.55 01a57933o0540o 0x002030   1.090909
57933.516728 19.529530      NaN    20.0    12.0   o  0.0    0.82 299.62102 62.13486  3718.55  5498.98  3.14 2.84  49.7 -0.438    19.55 21.55 01a57933o0560o 0x400330   1.666667
57933.523143 20.103715 0.329011    33.0    10.0   o  0.0    1.16 299.62102 62.13486  3670.23  5447.68  3.12 2.89  43.4 -0.435    19.57 21.57 01a57933o0573o 0x400330   3.300000
57933.531977 19.529530      NaN    23.0    11.0   o  0.0    1.17 299.62102 62.13486  3646.48  5595.39  3.09 2.82  57.7 -0.445    19.56 21.53 01a57933o0591o 0x082030   2.090909
57937.506912 15.788689 0.007420  1756.0    12.0   o  0.0  480.48 299.62102 62.13486  3884.05  6565.56  3.59 3.47  67.4 -0.416    19.28 21.10 01a57937o0533o 0xd00831 146.333333
57937.517263 15.124643 0.004360  3237.0    13.0   o  0.0 1443.87 299.62102 62.13486  3901.71  6643.54  3.45 3.36  84.6 -0.409    19.35 21.20 01a57937o0554o 0xd00a31 249.000000
57937.522684 16.421935 0.013295   980.0    12.0   o  0.0  154.05 299.62102 62.13486  3855.29  6590.73  3.48 3.37  59.0 -0.414    19.35 21.20 01a57937o0565o 0xd00831  81.666667
57937.534015 15.576505 0.006611  2135.0    13.0   o  0.0  587.78 299.62102 62.13486  3835.46  6748.48  3.77 3.66  60.0 -0.400    19.25 21.18 01a57937o0588o 0xd00b31 164.230769
57939.511266 19.589310      NaN     2.0    17.0   o  0.0    0.62 299.62102 62.13486  7144.12  5765.99  2.08 1.89  46.5 -0.516    19.29 20.08 02a57939o0298o 0x000000   0.117647
57939.512241 19.549093      NaN     1.0    18.0   o  0.0    0.53 299.62102 62.13486  7124.78  5726.49  2.12 1.92  53.4 -0.517    19.31 20.08 02a57939o0300o 0x400210   0.055556
57939.530981 19.766969      NaN   -10.0    15.0   o  0.0    0.75 299.62102 62.13486  7180.50  5807.34  2.11 1.94  46.3 -0.510    19.37 20.21 02a57939o0338o 0x000000  -0.666667
57939.533286 19.696897      NaN   -16.0    16.0   o  0.0    0.91 299.62102 62.13486  7198.15  5693.70  2.07 1.87  46.2 -0.524    19.39 20.24 02a57939o0342o 0x000000  -1.000000
57941.489441 18.889197      NaN    38.0    21.0   o  0.0    0.94 299.62102 62.13486  2917.59  4453.31  3.11 2.94  74.5 -0.453    18.81 19.80 01a57941o0492o 0x400210   1.809524
57941.498953 19.454622      NaN    -9.0    20.0   o  0.0    1.06 299.62102 62.13486  2931.47  4528.62  2.97 2.82  64.5 -0.465    18.89 19.81 01a57941o0511o 0x002010  -0.450000
57941.515733 19.401649      NaN   -22.0    21.0   o  0.0    1.06 299.62102 62.13486  2877.16  4515.20  3.15 3.01  54.1 -0.448    18.85 19.81 01a57941o0545o 0x400110  -1.047619
57941.517700 18.910912      NaN    33.0    22.0   o  0.0    0.96 299.62102 62.13486  2852.58  4640.15  3.20 3.04  48.3 -0.448    18.82 19.81 01a57941o0549o 0x400220   1.500000
57943.447851 17.365395      NaN    84.0   109.0   o  0.0    1.19 299.62102 62.13486  5311.04  6160.92  2.20 1.93  39.8 -0.540    17.24 17.56 02a57943o0420o 0x100002   0.770642
57943.458124 19.014394      NaN    -4.0    30.0   o  0.0    0.79 299.62102 62.13486  5151.81  4237.14  2.08 1.83  49.7 -0.521    18.66 19.08 02a57943o0440o 0x002000  -0.133333
57943.477549 16.527746      NaN   199.0   230.0   o  0.0    0.85 299.62102 62.13486  5273.50  6118.61  2.21 2.02  30.9 -0.501    16.31 16.57 02a57943o0477o 0x100002   0.865217
57943.481583 16.062168      NaN  -497.0   455.0   o  0.0    0.89 299.62102 62.13486  5223.24  4199.78  2.97 2.29  56.7 -0.446    15.70 15.97 02a57943o0485o 0x100002  -1.092308
57945.505627 19.142275      NaN     2.0    26.0   o  0.0    1.07 299.62102 62.13486  2231.83  7499.32  3.26 3.16  -2.7 -0.426    18.82 19.90 01a57945o0440o 0x080020   0.076923
57945.515552 19.212347      NaN   -16.0    25.0   o  0.0    0.75 299.62102 62.13486  2255.26  7580.37  3.13 3.08  69.8 -0.435    18.85 19.88 01a57945o0460o 0x000000  -0.640000
57945.517028 19.401649      NaN   -10.0    21.0   o  0.0    1.36 299.62102 62.13486  2200.58  7506.18  3.18 3.04 -75.9 -0.434    18.83 19.88 01a57945o0463o 0x000000  -0.476190
57945.534449 19.302877      NaN   -21.0    23.0   o  0.0    1.23 299.62102 62.13486  2184.04  7689.33  3.00 2.95 -81.3 -0.447    18.89 19.86 01a57945o0498o 0x000000  -0.913043
57949.483847 18.857417      NaN    47.0    19.0   o  0.0    0.97 299.62102 62.13486  4351.76  6295.09  3.27 2.74 -88.9 -0.451    19.00 20.23 01a57949o0485o 0x400130   2.473684
57949.495211 19.197966      NaN    22.0    18.0   o  0.0    1.10 299.62102 62.13486  4366.15  6378.58  3.51 2.92  89.2 -0.429    18.91 20.16 01a57949o0505o 0x400220   1.222222
57949.512790 19.419021      NaN     2.0    20.0   o  0.0    1.05 299.62102 62.13486  4312.68  6368.84  3.46 2.93  89.2 -0.438    18.91 20.13 01a57949o0541o 0x002000   0.100000
57949.516187 19.569016      NaN   -16.0    18.0   o  0.0    1.06 299.62102 62.13486  4299.04  6499.04  3.43 2.83  88.2 -0.438    18.92 20.12 01a57949o0548o 0x400930  -0.888889
57953.466075 19.922338      NaN    -2.0    13.0   o  0.0    1.52 299.62102 62.13486  5117.86  6570.86  3.61 2.84 -88.4 -0.423    19.19 20.92 01a57953o0442o 0xc00830  -0.153846
57953.475350 19.766969      NaN   -23.0    15.0   o  0.0    1.34 299.62102 62.13486  5143.95  6644.68  3.59 2.83 -87.6 -0.431    19.22 20.92 01a57953o0461o 0xc00930  -1.533333
57953.476315 16.234185 0.013047  1165.0    14.0   o  0.0  194.45 299.62102 62.13486  5080.32  6572.04  3.63 2.87 -87.7 -0.426    19.18 20.91 01a57953o0463o 0xd00831  83.214286
57953.492897 19.841877      NaN    -3.0    14.0   o  0.0    1.38 299.62102 62.13486  5069.81  6751.88  3.62 2.82  89.5 -0.428    19.22 20.97 01a57953o0497o 0xc00830  -0.214286
57955.448400 19.816329      NaN     7.0    12.0   o  0.0    0.71 299.62102 62.13486  6216.69  2997.91  2.14 2.01  53.8 -0.463    19.54 20.77 02a57955o0420o 0x002030   0.583333
57957.446585 19.631075      NaN   -26.0    17.0   o  0.0    1.27 299.62102 62.13486  2841.04  6038.10  3.30 2.70  89.5 -0.454    19.08 20.39 01a57957o0419o 0x400830  -1.529412
57957.455846 19.631075      NaN   -50.0    17.0   o  0.0    1.00 299.62102 62.13486  2854.81  6111.22  3.40 2.75  88.6 -0.447    19.06 20.40 01a57957o0438o 0x400e30  -2.941176
57957.474384 19.696897      NaN   -34.0    16.0   o  0.0    1.66 299.62102 62.13486  2800.85  6105.48  3.40 2.71  88.3 -0.448    19.09 20.49 01a57957o0476o 0x400930  -2.125000
57957.476811 19.696897      NaN    -9.0    16.0   o  0.0    1.33 299.62102 62.13486  2776.77  6232.01  3.37 2.74  86.4 -0.450    19.09 20.47 01a57957o0481o 0x082030  -0.562500
