         MJD         m       dm     uJy    duJy   F  err    chi/N        RA      Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs     Mask    __tmp_SN
57914.530063 19.002397      NaN    34.0    19.0   o  0.0     1.20 299.61098 62.13955  5141.05  4296.89  2.26 2.25 -44.3 -0.436    18.72 19.23 02a57914o0575o 0x400220    1.789474
57914.546969 19.155932      NaN     1.0    26.0   o  0.0     1.07 299.61098 62.13955  5328.65  6109.74  2.19 2.07 -26.3 -0.471    18.77 19.28 02a57914o0606o 0x000000    0.038462
57914.563058 19.089302      NaN   -12.0    28.0   o  0.0     0.74 299.61098 62.13955  5378.71  6182.97  2.09 1.93 -25.7 -0.501    18.79 19.25 02a57914o0635o 0x000000   -0.428571
57914.579132 18.955691      NaN    17.0    26.0   o  0.0     0.90 299.61098 62.13955  5393.45  6064.80  2.12 1.96 -27.3 -0.488    18.82 19.25 02a57914o0664o 0x000000    0.653846
57914.595072 19.089302      NaN   -11.0    28.0   o  0.0     0.71 299.61098 62.13955  5348.82  6121.69  2.13 1.97 -18.3 -0.486    18.82 19.27 02a57914o0693o 0x000000   -0.392857
57921.584813 19.569016      NaN     3.0    17.0   o  0.0     2.47 299.61098 62.13955  4039.10  7408.92  3.38 3.09  51.2 -0.415    19.10 20.39 01a57921o0046o 0x002030    0.176471
57921.593843 17.654224 0.220594   315.0    64.0   o  0.0     2.19 299.61098 62.13955  4067.20  7483.98  3.34 3.09  51.2 -0.427    17.26 18.74 01a57921o0064o 0x500a32    4.921875
57921.603282 19.026525      NaN    41.0    16.0   o  0.0     5.86 299.61098 62.13955  4009.28  7441.34  3.36 3.15  52.9 -0.421    19.08 20.36 01a57921o0083o 0x400b30    2.562500
57921.612294 19.384550      NaN     4.0    20.0   o  0.0     2.97 299.61098 62.13955  4002.84  7592.49  3.31 3.16  49.2 -0.421    18.58 19.87 01a57921o0101o 0x002000    0.200000
57922.543830 14.472686      NaN  1731.0  1390.0   o  0.0     1.85 299.61098 62.13955  5593.74  2680.87  2.44 2.09 -43.5 -0.450    14.48 14.87 02a57922o0621o 0x900002    1.245324
57925.526407 20.009244      NaN    -7.0    12.0   o  0.0     2.23 299.61098 62.13955  3823.29  7726.63  3.11 2.88  65.7 -0.440    19.38 20.96 01a57925o0580o 0x002000   -0.583333
57925.529366 15.476033 0.006027  2342.0    13.0   o  0.0   994.90 299.61098 62.13955  3850.76  7779.12  3.13 2.94  61.7 -0.437    19.38 20.96 01a57925o0586o 0x500831  180.153846
57925.538724 19.589310      NaN    14.0    13.0   o  0.0     4.70 299.61098 62.13955  3782.92  7736.92  3.15 2.94  64.4 -0.437    19.40 21.05 01a57925o0605o 0x400830    1.076923
57925.547588 20.009244      NaN     0.0    12.0   o  0.0     6.84 299.61098 62.13955  3765.61  7888.49  3.16 2.96  56.7 -0.430    19.36 21.02 01a57925o0623o 0x400330    0.000000
57927.506603 20.207197      NaN   -23.0    10.0   o  0.0     4.39 299.61098 62.13955  3933.43  2729.46  2.24 2.05 -36.4 -0.441    19.77 20.99 02a57927o0515o 0x400130   -2.300000
57927.523897 20.207197      NaN   -17.0    10.0   o  0.0    23.33 299.61098 62.13955  3917.44  2692.81  2.28 2.06 -35.4 -0.440    19.75 21.00 02a57927o0551o 0x500831   -1.700000
57927.532635 20.103715      NaN    -6.0    11.0   o  0.0     1.19 299.61098 62.13955  3980.91  2768.11  2.30 2.11 -37.9 -0.435    19.72 20.95 02a57927o0569o 0x400130   -0.545455
57927.541305 20.009244      NaN    -7.0    12.0   o  0.0     0.75 299.61098 62.13955  3997.32  2649.92  2.28 2.08 -38.8 -0.438    19.73 20.94 02a57927o0587o 0x082030   -0.583333
57929.508567 19.894850 0.325721    40.0    12.0   o  0.0     3.69 299.61098 62.13955  5775.45  6137.88  3.37 2.99  49.0 -0.412    19.37 21.06 01a57929o0542o 0x400a30    3.333333
57929.517973 20.009244      NaN   -12.0    12.0   o  0.0     2.24 299.61098 62.13955  5787.78  6211.75  3.40 2.99  46.8 -0.414    19.37 21.04 01a57929o0561o 0x400b30   -1.000000
57929.531318 20.103715      NaN   -20.0    11.0   o  0.0     2.26 299.61098 62.13955  5722.90  6186.64  3.42 3.05  49.3 -0.407    19.38 21.04 01a57929o0588o 0x400130   -1.818182
57929.540151 19.922338      NaN   -15.0    13.0   o  0.0     2.54 299.61098 62.13955  5707.20  6338.73  3.38 2.98  45.8 -0.412    19.39 21.00 01a57929o0606o 0x002000   -1.153846
57933.506875 20.171596      NaN     1.0    10.0   o  0.0     8.13 299.61098 62.13955  3695.48  5413.36  3.10 2.83  54.3 -0.440    19.59 21.55 01a57933o0540o 0x002030    0.100000
57933.516728 19.436675      NaN    22.0    13.0   o  0.0     1.19 299.61098 62.13955  3709.46  5489.92  3.14 2.84  49.7 -0.438    19.55 21.55 01a57933o0560o 0x400330    1.692308
57933.523143 18.910912 0.098703    99.0     9.0   o  0.0     9.48 299.61098 62.13955  3661.15  5438.61  3.12 2.89  43.4 -0.436    19.57 21.57 01a57933o0573o 0x400330   11.000000
57933.531977 20.103715      NaN   -17.0    11.0   o  0.0     8.08 299.61098 62.13955  3637.41  5586.32  3.09 2.82  57.7 -0.445    19.56 21.53 01a57933o0591o 0x082030   -1.545455
57937.506912 15.625925 0.006919  2040.0    13.0   o  0.0   572.91 299.61098 62.13955  3874.95  6556.52  3.59 3.47  67.5 -0.416    19.28 21.10 01a57937o0533o 0xd00831  156.923077
57937.517263 15.124308 0.004359  3238.0    13.0   o  0.0  1445.71 299.61098 62.13955  3892.60  6634.50  3.45 3.36  84.7 -0.409    19.35 21.20 01a57937o0554o 0xd00a31  249.076923
57937.522684 18.445391 0.100002   152.0    14.0   o  0.0    15.74 299.61098 62.13955  3846.19  6581.68  3.48 3.37  59.0 -0.414    19.35 21.20 01a57937o0565o 0xd00831   10.857143
57937.534015 15.547899 0.006934  2192.0    14.0   o  0.0   554.40 299.61098 62.13955  3826.36  6739.43  3.77 3.66  60.1 -0.400    19.25 21.18 01a57937o0588o 0xd00b31  156.571429
57939.511266 19.549093      NaN    16.0    13.0   o  0.0     1.33 299.61098 62.13955  7152.92  5775.35  2.08 1.89  46.5 -0.516    19.29 20.08 02a57939o0298o 0x000000    1.230769
57939.512241 19.142275      NaN    26.0    18.0   o  0.0     0.67 299.61098 62.13955  7133.58  5735.85  2.12 1.92  53.4 -0.517    19.31 20.08 02a57939o0300o 0x400210    1.444444
57939.530981 19.696897      NaN    -2.0    16.0   o  0.0     0.85 299.61098 62.13955  7189.30  5816.70  2.11 1.94  46.3 -0.510    19.37 20.21 02a57939o0338o 0x000000   -0.125000
57939.533286 19.696897      NaN    -4.0    16.0   o  0.0     1.52 299.61098 62.13955  7206.94  5703.07  2.07 1.87  46.1 -0.524    19.39 20.24 02a57939o0342o 0x000000   -0.250000
57941.489441 19.256669      NaN    15.0    19.0   o  0.0     1.55 299.61098 62.13955  2908.59  4444.11  3.11 2.94  74.5 -0.453    18.81 19.80 01a57941o0492o 0x400210    0.789474
57941.498953 19.271854      NaN     5.0    22.0   o  0.0     1.73 299.61098 62.13955  2922.48  4519.42  2.97 2.82  64.5 -0.465    18.89 19.81 01a57941o0511o 0x002010    0.227273
57941.515733 19.454622      NaN    -6.0    20.0   o  0.0     1.38 299.61098 62.13955  2868.17  4505.99  3.15 3.01  54.1 -0.448    18.85 19.81 01a57941o0545o 0x400110   -0.300000
57941.517700 19.026525      NaN    26.0    21.0   o  0.0     1.11 299.61098 62.13955  2843.60  4630.94  3.20 3.04  48.3 -0.448    18.82 19.81 01a57941o0549o 0x400220    1.238095
57943.447851 17.491297      NaN   -19.0   122.0   o  0.0     0.92 299.61098 62.13955  5301.95  6151.86  2.20 1.93  39.8 -0.540    17.24 17.56 02a57943o0420o 0x100002   -0.155738
57943.458124 19.212347      NaN    -1.0    25.0   o  0.0     1.07 299.61098 62.13955  5160.92  4246.18  2.08 1.83  49.7 -0.521    18.66 19.08 02a57943o0440o 0x002000   -0.040000
57943.477549 16.360553      NaN   326.0   237.0   o  0.0     1.42 299.61098 62.13955  5264.42  6109.54  2.21 2.02  30.9 -0.502    16.31 16.57 02a57943o0477o 0x100002    1.375527
57943.481583 16.202047      NaN  -334.0   400.0   o  0.0     1.15 299.61098 62.13955  5232.33  4208.84  2.97 2.29  56.7 -0.446    15.70 15.97 02a57943o0485o 0x100002   -0.835000
57945.505627 19.401649      NaN     0.0    21.0   o  0.0     1.75 299.61098 62.13955  2222.96  7490.01  3.26 3.16  -2.7 -0.427    18.82 19.90 01a57945o0440o 0x080020    0.000000
57945.515552 18.889197      NaN    23.0    26.0   o  0.0     1.62 299.61098 62.13955  2246.38  7571.06  3.13 3.08  69.9 -0.435    18.85 19.88 01a57945o0460o 0x000000    0.884615
