         MJD         m       dm     uJy    duJy   F  err    chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57984.396458 20.449472      NaN   -20.0     8.0   c  0.0    10.09 299.60389 62.13818  4572.63  3578.38 2.60 2.42  55.5 -0.404    19.73 21.68 02a57984o0339c 0xd00331  -2.500000
57984.406246 20.321591      NaN    -9.0     9.0   c  0.0     2.92 299.60389 62.13818  4556.55  3541.63 2.47 2.30  52.0 -0.413    19.75 21.64 02a57984o0359c 0xc00230  -1.000000
57984.407706 16.352209 0.008312  1045.0     8.0   c  0.0   853.81 299.60389 62.13818  4610.24  3615.48 2.45 2.27  53.3 -0.414    19.80 21.64 02a57984o0362c 0x980031 130.625000
57984.424912 16.082238 0.007292  1340.0     9.0   c  0.0   888.26 299.60389 62.13818  4626.57  3499.22 2.71 2.52  50.1 -0.397    19.68 21.62 02a57984o0397c 0xd00831 148.888889
57988.398184 15.908178 0.004832  1573.0     7.0   c  0.0  1958.28 299.60389 62.13818  7095.41  5730.32 2.52 2.49 -68.7 -0.410    19.80 21.64 02a57988o0338c 0x900031 224.714286
57988.408532 16.836435 0.014606   669.0     9.0   c  0.0   250.29 299.60389 62.13818  7079.90  5687.76 2.56 2.51  83.6 -0.407    19.73 21.54 02a57988o0359c 0x980031  74.333333
57988.410004 16.627448 0.012049   811.0     9.0   c  0.0   365.33 299.60389 62.13818  7134.41  5767.06 2.60 2.57  84.0 -0.405    19.69 21.53 02a57988o0362c 0x900031  90.111111
57988.427308 15.476033 0.003709  2342.0     8.0   c  0.0  3972.97 299.60389 62.13818  7159.11  5653.91 2.47 2.44 -64.9 -0.413    19.75 21.46 02a57988o0397c 0xd00831 292.750000
58012.343927 16.433071 0.010074   970.0     9.0   c  0.0   461.93 299.60389 62.13818  8313.06  8145.13 2.59 2.47  34.9 -0.421    19.79 21.59 02a58012o0280c 0x980031 107.777778
58012.344383 16.097743 0.008219  1321.0    10.0   c  0.0   732.36 299.60389 62.13818  8294.64  8105.27 2.58 2.49  34.7 -0.416    19.78 21.57 02a58012o0281c 0xd00331 132.100000
58012.360239 16.337760 0.010252  1059.0    10.0   c  0.0   509.75 299.60389 62.13818  8360.34  8186.59 2.63 2.52  39.8 -0.421    19.68 21.46 02a58012o0315c 0x900031 105.900000
58012.363908 19.841877      NaN    -8.0    14.0   c  0.0     4.81 299.60389 62.13818  8368.26  8071.58 2.63 2.51  42.6 -0.420    19.50 21.28 02a58012o0323c 0xc00330  -0.571429
58072.263371 20.009244      NaN   -10.0    12.0   c  0.0     5.22 299.60389 62.13818   682.12  9622.89 2.88 2.33  28.9 -0.442    19.62 21.35 02a58072o0151c 0x002030  -0.833333
58072.272314 19.922338      NaN   -47.0    13.0   c  0.0     3.11 299.60389 62.13818   663.30  9584.71 2.89 2.32  25.3 -0.450    19.60 21.34 02a58072o0170c 0x400130  -3.615385
58072.281586 19.609992      NaN     1.0    17.0   c  0.0     1.92 299.60389 62.13818   716.14  9660.48 2.96 2.37  26.5 -0.445    19.52 21.26 02a58072o0189c 0x002030   0.058824
58072.282499 16.071756 0.009630  1353.0    12.0   c  0.0   452.16 299.60389 62.13818  9819.39  9566.45 2.85 2.84 -51.8 -0.403    19.60 21.35 02a58072o0191c 0x100031 112.750000
58076.265858 18.191747      NaN    69.0    41.0   c  0.0     2.48 299.60389 62.13818  2798.78  1542.49 2.96 2.52  40.5 -0.411    18.29 19.90 02a58076o0130c 0xd00812   1.682927
58076.275278 15.226918 0.005160  2946.0    14.0   c  0.0  1649.55 299.60389 62.13818  2778.81  1504.93 3.05 2.52  40.3 -0.427    19.32 20.87 02a58076o0149c 0xd00a31 210.428571
58076.284042 16.171712 0.010558  1234.0    12.0   c  0.0   376.73 299.60389 62.13818  2832.37  1583.20 3.03 2.50  40.2 -0.418    19.41 20.99 02a58076o0167c 0xd00831 102.833333
58076.293419 15.661632 0.006600  1974.0    12.0   c  0.0   896.72 299.60389 62.13818  2857.09  1462.06 3.04 2.53  39.7 -0.410    19.31 20.89 02a58076o0186c 0xd00331 164.500000
58104.205777 16.393505 0.017268  1006.0    16.0   c  0.0   106.65 299.60389 62.13818  1126.28  1808.33 3.47 2.99  46.8 -0.433    19.21 20.81 02a58104o0040c 0xd00b31  62.875000
58104.214283 16.101036 0.011542  1317.0    14.0   c  0.0   209.51 299.60389 62.13818  1106.56  1775.70 3.63 3.12  43.2 -0.428    19.24 21.02 02a58104o0058c 0xd00b31  94.071429
58256.579525 15.549882 0.004962  2188.0    10.0   c  0.0  1797.75 299.60389 62.13818  9325.88  8950.70 2.73 2.60  45.3 -0.412    19.67 21.61 02a58256o0591c 0x500931 218.800000
58256.590633 16.109311 0.008307  1307.0    10.0   c  0.0   670.74 299.60389 62.13818  9357.33  8991.07 2.61 2.54  42.7 -0.424    19.72 21.63 02a58256o0612c 0x500331 130.700000
58256.601176 16.047945 0.007066  1383.0     9.0   c  0.0   814.67 299.60389 62.13818  9294.18  8916.91 2.80 2.63  43.4 -0.428    19.67 21.65 02a58256o0633c 0x500231 153.666667
58256.612013 20.009244      NaN   -13.0    12.0   c  0.0     6.81 299.60389 62.13818  1181.97  1401.16 2.51 2.31  45.7 -0.469    19.56 21.13 02a58256o0654c 0x082030  -1.083333
58280.542938 18.099634      NaN    80.0    43.0   c  0.0     1.97 299.60389 62.13818  3474.02   907.05 2.78 2.51   5.1 -0.397    18.34 20.07 02a58280o0641c 0xd00812   1.860465
58280.552771 17.456271      NaN   -65.0   126.0   c  0.0     1.21 299.60389 62.13818  3458.55   875.22 2.82 2.49  38.2 -0.412    16.76 18.35 02a58280o0662c 0xd00832  -0.515873
58280.563072 16.253935 0.074027  1144.0    78.0   c  0.0    11.56 299.60389 62.13818  3510.28   955.00 3.10 2.59   5.9 -0.386    17.22 18.85 02a58280o0683c 0xd00833  14.666667
58280.574365 17.821591      NaN   -24.0    90.0   c  0.0     0.97 299.60389 62.13818  3534.41   837.96 2.68 2.42  47.2 -0.422    17.52 19.07 02a58280o0704c 0xd00822  -0.266667
58284.536494 20.321591      NaN   -16.0     9.0   c  0.0     2.35 299.60389 62.13818   743.82  1767.42 2.55 2.35  43.7 -0.456    19.74 21.75 02a58284o0626c 0x082010  -1.777778
58284.546376 17.192382 0.015768   482.0     7.0   c  0.0   188.16 299.60389 62.13818   727.49  1735.75 2.65 2.40  43.4 -0.457    19.75 21.75 02a58284o0647c 0x180031  68.857143
58284.556171 20.449472      NaN    -5.0     8.0   c  0.0    10.34 299.60389 62.13818   791.64  1806.26 2.75 2.43  48.1 -0.450    19.75 21.76 02a58284o0668c 0x100001  -0.625000
58284.566214 16.453408 0.009124   952.0     8.0   c  0.0   553.90 299.60389 62.13818   809.72  1689.04 2.76 2.46  43.3 -0.450    19.72 21.79 02a58284o0689c 0x500931 119.000000
58308.504097 20.103715      NaN    -5.0    11.0   c  0.0    13.32 299.60389 62.13818  2189.74  9621.12 2.66 2.44  32.0 -0.454    19.75 21.75 02a58308o0282c 0x980031  -0.454545
58308.521475 15.986147 0.007416  1464.0    10.0   c  0.0   781.94 299.60389 62.13818  2162.98  9584.81 2.73 2.47  27.4 -0.455    19.74 21.74 02a58308o0319c 0x900031 146.400000
58308.523778 15.752210 0.005979  1816.0    10.0   c  0.0  1244.11 299.60389 62.13818  2215.87  9659.96 2.84 2.55  24.0 -0.449    19.69 21.73 02a58308o0324c 0xd00331 181.600000
58308.537646 20.009244      NaN   -17.0    12.0   c  0.0     6.97 299.60389 62.13818  2231.87  9542.43 2.72 2.42  21.8 -0.462    19.70 21.67 02a58308o0353c 0xc00230  -1.416667
58312.485180 16.447720 0.011345   957.0    10.0   c  0.0   447.71 299.60389 62.13818  1809.68  9709.77 2.52 2.33  19.9 -0.451    19.73 21.62 02a58312o0517c 0x500c31  95.700000
58312.487042 19.950541      NaN     5.0    11.0   c  0.0     1.92 299.60389 62.13818  1791.12  9672.51 2.56 2.34  16.7 -0.453    19.72 21.61 02a58312o0521c 0x400110   0.454545
58312.502626 16.459125 0.012612   947.0    11.0   c  0.0   308.60 299.60389 62.13818  1839.21  9748.34 2.76 2.48  22.5 -0.453    19.68 21.60 02a58312o0554c 0x500131  86.090909
58312.507710 20.321591      NaN   -26.0     9.0   c  0.0     3.61 299.60389 62.13818  1856.13  9627.90 2.67 2.44  23.2 -0.456    19.68 21.60 02a58312o0565c 0x002030  -2.888889
58344.417990 19.674510      NaN    16.0    11.0   c  0.0     0.82 299.60389 62.13818   754.16  8495.50 2.38 2.23  -1.8 -0.443    19.78 21.71 02a58344o0399c 0x000030   1.454545
58344.435683 19.868040      NaN    11.0    10.0   c  0.0     4.64 299.60389 62.13818   729.91  8455.22 2.36 2.23  -1.4 -0.444    19.78 21.76 02a58344o0437c 0x400330   1.100000
58344.436620 19.868040      NaN    11.0    10.0   c  0.0     1.55 299.60389 62.13818  9878.79  8438.73 2.61 2.36  48.0 -0.439    19.78 21.75 02a58344o0439c 0x000030   1.100000
58344.437992 20.282105      NaN     1.0     9.0   c  0.0     4.29 299.60389 62.13818   783.87  8528.43 2.43 2.28   6.3 -0.449    19.75 21.76 02a58344o0442c 0x080010   0.111111
58344.452610 20.137125      NaN     5.0     9.0   c  0.0     1.79 299.60389 62.13818   801.35  8408.47 2.40 2.27   9.5 -0.448    19.73 21.68 02a58344o0473c 0x080030   0.555556
58344.454452 16.556205 0.011284   866.0     9.0   c  0.0   377.91 299.60389 62.13818  9854.19  8397.89 2.68 2.39  41.9 -0.434    19.75 21.65 02a58344o0477c 0x100031  96.222222
58344.457668 20.103715      NaN   -22.0    11.0   c  0.0     2.83 299.60389 62.13818  9909.43  8481.76 2.71 2.43  40.7 -0.444    19.72 21.63 02a58344o0484c 0x000030  -2.000000
58344.471762 16.915524 0.017456   622.0    10.0   c  0.0   172.11 299.60389 62.13818  9923.39  8366.81 2.73 2.45  42.7 -0.438    19.65 21.58 02a58344o0514c 0x100031  62.200000
58376.361911 20.071303      NaN     4.0    10.0   c  0.0     4.06 299.60389 62.13818  2302.85  7908.33 2.56 2.42 -40.1 -0.391    19.72 21.66 02a58376o0318c 0x080030   0.400000
58376.379589 15.800500 0.007501  1737.0    12.0   c  0.0   895.12 299.60389 62.13818  2282.40  7865.68 2.54 2.43 -18.9 -0.401    19.52 21.42 02a58376o0356c 0x100031 144.750000
58376.382333 19.922338      NaN     3.0    12.0   c  0.0     1.92 299.60389 62.13818  2336.26  7940.35 2.61 2.50 -16.8 -0.412    19.50 21.36 02a58376o0362c 0x000030   0.250000
58376.395392 19.841877      NaN   -16.0    14.0   c  0.0     2.77 299.60389 62.13818  2353.36  7821.39 2.64 2.51  -6.8 -0.398    19.40 21.26 02a58376o0390c 0x080010  -1.142857
58396.337535 19.367717      NaN    17.0    16.0   c  0.0     1.45 299.60389 62.13818  2187.50  1208.14 2.49 2.39 -78.7 -0.419    19.09 20.67 02a58396o0297c 0x002000   1.062500
58396.346371 19.063754      NaN    20.0    22.0   c  0.0     0.95 299.60389 62.13818  2161.49  1168.28 2.53 2.42  48.9 -0.434    18.80 20.26 02a58396o0316c 0x100002   0.909091
58396.348200 19.051202      NaN    15.0    24.0   c  0.0     0.86 299.60389 62.13818  2225.02  1242.09 2.52 2.45  55.2 -0.424    18.68 20.14 02a58396o0320c 0x100032   0.625000
58396.362236 18.550302      NaN   -11.0    46.0   c  0.0     1.41 299.60389 62.13818  2251.44  1122.69 2.57 2.45  46.2 -0.430    17.91 19.25 02a58396o0350c 0x100002  -0.239130
58400.317615 19.791368      NaN     8.0    12.0   c  0.0     2.17 299.60389 62.13818  2093.66  8715.08 2.56 2.41 -25.0 -0.421    19.73 21.57 02a58400o0256c 0xc00130   0.666667
58400.326124 15.821326      NaN   414.0   430.0   c  0.0     2.29 299.60389 62.13818  2073.81  8672.47 2.75 2.61   2.2 -0.438    16.15 17.67 02a58400o0274c 0x900002   0.962791
58424.296802 19.631075      NaN    12.0    13.0   c  0.0    10.53 299.60389 62.13818  8249.01  9523.26 2.92 2.61  26.8 -0.400    19.52 21.19 02a58424o0238c 0x100031   0.923077
58424.298633 20.009244      NaN    -8.0    12.0   c  0.0     5.40 299.60389 62.13818  8229.70  9479.87 3.00 2.70  26.1 -0.401    19.51 21.18 02a58424o0242c 0x400330  -0.666667
58424.312630 19.436675      NaN    22.0    13.0   c  0.0     6.54 299.60389 62.13818  8283.17  9561.40 3.02 2.71  28.8 -0.398    19.46 21.12 02a58424o0272c 0x400130   1.692308
58424.320425 20.009244      NaN   -26.0    12.0   c  0.0     8.55 299.60389 62.13818  8299.43  9422.43 3.17 2.84  29.3 -0.396    19.41 21.09 02a58424o0289c 0x002000  -2.166667
58428.265127 20.009244      NaN     0.0    12.0   c  0.0     1.64 299.60389 62.13818  1489.40  7735.26 2.54 2.42 -15.0 -0.421    19.56 21.31 02a58428o0117c 0x400130   0.000000
58428.272595 19.894850      NaN    10.0    10.0   c  0.0     1.75 299.60389 62.13818  1470.05  7693.89 2.54 2.45 -21.3 -0.424    19.56 21.28 02a58428o0133c 0x002030   1.000000
58428.279024 20.009244      NaN   -11.0    12.0   c  0.0     1.49 299.60389 62.13818  1521.05  7766.60 2.57 2.42 -20.2 -0.425    19.53 21.27 02a58428o0147c 0x002030  -0.916667
58428.289798 19.841877      NaN    -2.0    14.0   c  0.0     1.29 299.60389 62.13818  1540.66  7645.41 2.51 2.38   4.2 -0.437    19.53 21.21 02a58428o0170c 0x400110  -0.142857
58432.266519 20.207197      NaN   -27.0    10.0   c  0.0     8.70 299.60389 62.13818  1543.96  1338.95 2.51 2.32  41.9 -0.450    19.67 21.39 02a58432o0177c 0x000030  -2.700000
58432.275994 20.009244      NaN   -14.0    12.0   c  0.0     3.27 299.60389 62.13818  1523.04  1300.01 2.49 2.39  78.4 -0.433    19.58 21.35 02a58432o0197c 0x000030  -1.166667
58432.279224 20.103715      NaN    -6.0    11.0   c  0.0     2.46 299.60389 62.13818  1586.40  1375.96 2.47 2.39  85.2 -0.436    19.55 21.31 02a58432o0204c 0x400830  -0.545455
58432.291397 18.933071 0.179091    97.0    16.0   c  0.0     2.92 299.60389 62.13818  1604.46  1249.68 2.53 2.35  36.7 -0.440    18.80 20.35 02a58432o0230c 0x081010   6.062500
58436.256774 19.436675      NaN    16.0    15.0   c  0.0     3.02 299.60389 62.13818  1184.61  8453.90 2.56 2.35 -13.7 -0.441    19.35 20.69 02a58436o0157c 0x080030   1.066667
58436.265410 19.922338      NaN   -12.0    13.0   c  0.0     2.35 299.60389 62.13818  1155.22  8414.68 2.55 2.35 -30.8 -0.432    19.33 20.68 02a58436o0175c 0x080030  -0.923077
58436.272411 19.696897      NaN   -12.0    16.0   c  0.0     3.75 299.60389 62.13818  1218.95  8485.98 2.55 2.34  -5.0 -0.450    19.32 20.65 02a58436o0190c 0x000030  -0.750000
58436.275627 16.145632 0.010308  1264.0    12.0   c  0.0   483.50 299.60389 62.13818 10301.58  8480.44 2.77 2.46  26.3 -0.442    19.33 20.72 02a58436o0197c 0x180031 105.333333
58436.278371 19.791368      NaN     2.0    14.0   c  0.0     1.62 299.60389 62.13818 10274.83  8434.83 2.73 2.38  24.5 -0.445    19.36 20.72 02a58436o0203c 0x000030   0.142857
58436.280203 19.419021      NaN    23.0    13.0   c  0.0     1.41 299.60389 62.13818  1236.14  8363.62 2.49 2.30  -5.3 -0.458    19.30 20.61 02a58436o0207c 0x400130   1.769231
58436.290055 19.529530 0.290822    56.0    15.0   c  0.0     5.30 299.60389 62.13818 10337.41  8517.80 2.85 2.50  28.3 -0.429    19.11 20.47 02a58436o0228c 0x081030   3.733333
58436.299691 15.150439 0.005839  3161.0    17.0   c  0.0  1395.94 299.60389 62.13818 10353.14  8399.35 2.75 2.47  25.6 -0.457    19.19 20.54 02a58436o0249c 0x500131 185.941176
58456.229644 19.334813      NaN    31.0    12.0   c  0.0     1.98 299.60389 62.13818  1904.28  6055.17 2.46 2.38 -32.2 -0.419    19.56 21.31 02a58456o0101c 0x400130   2.583333
58456.240223 19.549093      NaN    22.0    11.0   c  0.0     1.36 299.60389 62.13818  1885.05  6013.30 2.47 2.37 -36.1 -0.414    19.55 21.26 02a58456o0123c 0x082010   2.000000
58456.248962 15.487216 0.007963  2318.0    17.0   c  0.0   744.74 299.60389 62.13818 10493.21  6196.00 2.67 2.55  30.7 -0.451    19.58 21.31 02a58456o0141c 0x500331 136.352941
58456.250428 19.816329 0.302996    43.0    12.0   c  0.0     1.81 299.60389 62.13818  1947.88  6086.58 2.45 2.34 -25.1 -0.418    19.52 21.23 02a58456o0144c 0x002000   3.583333
58456.259489 18.053859 0.069726   218.0    14.0   c  0.0    16.85 299.60389 62.13818 10474.42  6155.53 2.68 2.58  35.9 -0.443    19.51 21.29 02a58456o0163c 0x100031  15.571429
58456.260873 19.841877 0.310210    42.0    12.0   c  0.0     2.18 299.60389 62.13818  1966.39  5967.26 2.50 2.44 -36.5 -0.415    19.45 21.17 02a58456o0166c 0x400110   3.500000
58456.269477 16.679551      NaN   290.0   161.0   c  0.0     0.45 299.60389 62.13818 10527.98  6238.14 2.65 2.53  24.5 -0.450    19.54 21.26 02a58456o0184c 0x500832   1.801242
58460.238681 16.678148 0.016833   774.0    12.0   c  0.0   116.07 299.60389 62.13818 10057.12  3810.86 3.11 2.99 -47.2 -0.403    19.39 21.38 02a58460o0120c 0xd00831  64.500000
58460.239596 16.350133 0.010370  1047.0    10.0   c  0.0   440.61 299.60389 62.13818   775.18  3816.68 2.62 2.58  31.9 -0.405    19.45 21.28 02a58460o0122c 0x900031 104.700000
