         MJD         m       dm     uJy     duJy   F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57984.396458 20.449472      NaN   -30.0      8.0   c  0.0   1.28 299.60095 62.13486  4575.21  3571.92 2.60 2.42  55.5 -0.404    19.73 21.68 02a57984o0339c 0x400330  -3.750000
57984.406246 20.449472      NaN   -16.0      8.0   c  0.0   1.11 299.60095 62.13486  4559.12  3535.17 2.47 2.30  52.0 -0.413    19.75 21.64 02a57984o0359c 0x400230  -2.000000
57984.407706 20.449472      NaN   -18.0      8.0   c  0.0   0.95 299.60095 62.13486  4612.82  3609.02 2.45 2.27  53.3 -0.414    19.80 21.64 02a57984o0362c 0x082030  -2.250000
57984.424912 20.449472      NaN    -9.0      8.0   c  0.0   1.38 299.60095 62.13486  4629.15  3492.76 2.71 2.52  50.1 -0.397    19.68 21.62 02a57984o0397c 0x400830  -1.125000
57988.398184 20.321591      NaN     0.0      9.0   c  0.0   1.12 299.60095 62.13486  7098.27  5723.98 2.52 2.49 -68.9 -0.410    19.80 21.64 02a57988o0338c 0x000030   0.000000
57988.408532 20.039830      NaN     5.0     10.0   c  0.0   1.17 299.60095 62.13486  7082.76  5681.42 2.56 2.51  83.7 -0.407    19.73 21.54 02a57988o0359c 0x080030   0.500000
57988.410004 20.009244      NaN    -1.0     12.0   c  0.0   0.72 299.60095 62.13486  7137.27  5760.73 2.60 2.57  84.0 -0.405    19.69 21.53 02a57988o0362c 0x000030  -0.083333
57988.427308 19.589310      NaN    11.0     14.0   c  0.0   0.47 299.60095 62.13486  7161.98  5647.58 2.47 2.44 -65.0 -0.413    19.75 21.46 02a57988o0397c 0x400830   0.785714
58012.343927 20.207197      NaN    -3.0     10.0   c  0.0   0.90 299.60095 62.13486  8316.04  8138.82 2.59 2.47  34.9 -0.421    19.79 21.59 02a58012o0280c 0x082030  -0.300000
58012.344383 19.652575      NaN    20.0     10.0   c  0.0   1.22 299.60095 62.13486  8297.62  8098.96 2.58 2.49  34.7 -0.416    19.78 21.57 02a58012o0281c 0x400330   2.000000
58012.360239 19.841877      NaN     6.0     12.0   c  0.0   0.85 299.60095 62.13486  8363.33  8180.28 2.63 2.52  39.8 -0.421    19.68 21.46 02a58012o0315c 0x002030   0.500000
58012.363908 19.922338      NaN    -6.0     13.0   c  0.0   0.95 299.60095 62.13486  8371.25  8065.28 2.63 2.51  42.7 -0.420    19.50 21.28 02a58012o0323c 0x400330  -0.461538
58072.263371 19.922338      NaN    -4.0     13.0   c  0.0   1.47 299.60095 62.13486   684.38  9616.15 2.88 2.33  28.9 -0.442    19.62 21.35 02a58072o0151c 0x000030  -0.307692
58072.272314 19.841877      NaN    -1.0     14.0   c  0.0   1.45 299.60095 62.13486   665.56  9577.97 2.89 2.32  25.3 -0.450    19.60 21.34 02a58072o0170c 0x400130  -0.071429
58072.281586 19.743105      NaN     1.0     15.0   c  0.0   0.90 299.60095 62.13486   718.40  9653.75 2.96 2.37  26.5 -0.445    19.52 21.26 02a58072o0189c 0x000030   0.066667
58072.282499 19.589310      NaN    14.0     13.0   c  0.0   1.05 299.60095 62.13486  9822.54  9560.17 2.85 2.84 -53.2 -0.403    19.60 21.35 02a58072o0191c 0x000030   1.076923
58076.265858 18.550302      NaN    -7.0     46.0   c  0.0   1.06 299.60095 62.13486  2801.16  1535.91 2.96 2.52  40.5 -0.411    18.29 19.90 02a58076o0130c 0xd00812  -0.152174
58076.275278 19.841877      NaN   -37.0     14.0   c  0.0   1.82 299.60095 62.13486  2781.18  1498.35 3.05 2.52  40.3 -0.427    19.32 20.87 02a58076o0149c 0xc00a30  -2.642857
58076.284042 19.766969      NaN     6.0     13.0   c  0.0   1.28 299.60095 62.13486  2834.75  1576.62 3.03 2.50  40.2 -0.418    19.41 20.99 02a58076o0167c 0xc00830   0.461538
58076.293419 20.009244      NaN   -51.0     12.0   c  0.0   1.43 299.60095 62.13486  2859.48  1455.48 3.04 2.53  39.7 -0.410    19.31 20.89 02a58076o0186c 0xc00330  -4.250000
58104.205777 19.241693 0.223096    73.0     15.0   c  0.0   2.83 299.60095 62.13486  1128.47  1801.68 3.47 2.99  46.8 -0.433    19.21 20.81 02a58104o0040c 0xc00b30   4.866667
58104.214283 18.836735 0.163885   106.0     16.0   c  0.0   3.56 299.60095 62.13486  1108.74  1769.05 3.63 3.12  43.2 -0.428    19.24 21.02 02a58104o0058c 0xc00b30   6.625000
58256.579525 19.922338      NaN   -19.0     13.0   c  0.0   1.50 299.60095 62.13486  9323.69  8957.36 2.73 2.60  45.2 -0.412    19.67 21.61 02a58256o0591c 0x400930  -1.461538
58256.590633 19.510313      NaN    21.0     12.0   c  0.0   1.96 299.60095 62.13486  9355.15  8997.73 2.62 2.54  42.6 -0.424    19.72 21.63 02a58256o0612c 0x400330   1.750000
58256.601176 19.979496 0.322786    37.0     11.0   c  0.0   2.37 299.60095 62.13486  9291.99  8923.56 2.80 2.63  43.4 -0.428    19.67 21.65 02a58256o0633c 0x400230   3.363636
58256.612013 20.009244      NaN   -16.0     12.0   c  0.0   2.01 299.60095 62.13486  1184.15  1394.50 2.51 2.31  45.7 -0.469    19.56 21.13 02a58256o0654c 0x082030  -1.333333
58280.542938 18.376212      NaN   -31.0     54.0   c  0.0   0.74 299.60095 62.13486  3476.46   900.48 2.78 2.51   5.2 -0.397    18.34 20.07 02a58280o0641c 0xd00812  -0.574074
58280.552771 17.488335      NaN    22.0    115.0   c  0.0   0.84 299.60095 62.13486  3460.99   868.64 2.82 2.49  38.3 -0.412    16.76 18.35 02a58280o0662c 0xd00832   0.191304
58280.563072 17.837796      NaN    59.0     69.0   c  0.0   1.14 299.60095 62.13486  3512.73   948.43 3.10 2.59   5.9 -0.386    17.22 18.85 02a58280o0683c 0xd00832   0.855072
58280.574365 17.593889      NaN   126.0     69.0   c  0.0   1.36 299.60095 62.13486  3536.87   831.38 2.68 2.42  47.2 -0.422    17.52 19.07 02a58280o0704c 0xd00822   1.826087
58284.536494 20.449472      NaN    -6.0      8.0   c  0.0   1.35 299.60095 62.13486   745.95  1760.75 2.55 2.35  43.7 -0.456    19.74 21.75 02a58284o0626c 0x080010  -0.750000
58284.546376 20.321591      NaN    -8.0      9.0   c  0.0   1.27 299.60095 62.13486   729.62  1729.08 2.65 2.40  43.4 -0.458    19.75 21.75 02a58284o0647c 0x080030  -0.888889
58284.556171 20.009244      NaN    -7.0     12.0   c  0.0   0.88 299.60095 62.13486   793.78  1799.59 2.75 2.43  48.1 -0.450    19.75 21.76 02a58284o0668c 0x000000  -0.583333
58284.566214 20.321591      NaN   -20.0      9.0   c  0.0   1.37 299.60095 62.13486   811.86  1682.37 2.76 2.46  43.4 -0.450    19.72 21.79 02a58284o0689c 0x400930  -2.222222
58308.504097 20.321591      NaN    -9.0      9.0   c  0.0   1.65 299.60095 62.13486  2192.12  9614.47 2.66 2.44  32.0 -0.454    19.75 21.75 02a58308o0282c 0x082030  -1.000000
58308.521475 20.103715      NaN    -8.0     11.0   c  0.0   0.93 299.60095 62.13486  2165.35  9578.16 2.73 2.47  27.4 -0.455    19.74 21.74 02a58308o0319c 0x002030  -0.727273
58308.523778 20.103715      NaN   -24.0     11.0   c  0.0   1.47 299.60095 62.13486  2218.25  9653.30 2.84 2.55  24.0 -0.449    19.69 21.73 02a58308o0324c 0x400330  -2.181818
58308.537646 19.922338      NaN   -21.0     13.0   c  0.0   0.92 299.60095 62.13486  2234.26  9535.78 2.72 2.42  21.8 -0.462    19.70 21.67 02a58308o0353c 0x400230  -1.615385
58312.485180 20.321591      NaN   -20.0      9.0   c  0.0   1.88 299.60095 62.13486  1812.02  9703.09 2.52 2.33  19.8 -0.451    19.73 21.62 02a58312o0517c 0x400c30  -2.222222
58312.487042 20.321591      NaN   -16.0      9.0   c  0.0   1.46 299.60095 62.13486  1793.47  9665.83 2.56 2.34  16.7 -0.453    19.72 21.61 02a58312o0521c 0x400110  -1.777778
58312.502626 20.103715      NaN   -31.0     11.0   c  0.0   1.28 299.60095 62.13486  1841.56  9741.66 2.76 2.48  22.4 -0.453    19.68 21.60 02a58312o0554c 0x400130  -2.818182
58312.507710 20.207197      NaN   -14.0     10.0   c  0.0   1.02 299.60095 62.13486  1858.48  9621.23 2.67 2.44  23.2 -0.456    19.68 21.60 02a58312o0565c 0x002030  -1.400000
58344.417990 20.103715      NaN   -13.0     11.0   c  0.0   1.31 299.60095 62.13486   756.39  8488.81 2.38 2.23  -1.8 -0.443    19.78 21.71 02a58344o0399c 0x000030  -1.181818
58344.435683 20.207197      NaN   -34.0     10.0   c  0.0   0.99 299.60095 62.13486   732.15  8448.53 2.36 2.23  -1.5 -0.444    19.78 21.76 02a58344o0437c 0x400330  -3.400000
58344.436620 20.009244      NaN    -7.0     12.0   c  0.0   0.84 299.60095 62.13486  9881.95  8432.49 2.61 2.36  48.0 -0.439    19.78 21.75 02a58344o0439c 0x000030  -0.583333
58344.437992 20.207197      NaN   -22.0     10.0   c  0.0   3.02 299.60095 62.13486   786.11  8521.74 2.43 2.28   6.2 -0.449    19.75 21.76 02a58344o0442c 0x080010  -2.200000
58344.452610 20.405150      NaN     1.0      8.0   c  0.0   1.68 299.60095 62.13486   803.59  8401.79 2.40 2.27   9.5 -0.449    19.73 21.68 02a58344o0473c 0x080030   0.125000
58344.454452 20.207197      NaN    -2.0     10.0   c  0.0   1.03 299.60095 62.13486  9857.35  8391.65 2.68 2.39  42.0 -0.434    19.75 21.65 02a58344o0477c 0x000030  -0.200000
58344.457668 20.137125      NaN     2.0     10.0   c  0.0   1.23 299.60095 62.13486  9912.60  8475.52 2.71 2.43  40.7 -0.445    19.72 21.63 02a58344o0484c 0x000030   0.200000
58344.471762 20.137125      NaN     2.0     10.0   c  0.0   1.27 299.60095 62.13486  9926.55  8360.57 2.73 2.45  42.7 -0.438    19.65 21.58 02a58344o0514c 0x000030   0.200000
58376.361911 20.103715      NaN   -11.0     11.0   c  0.0   1.37 299.60095 62.13486  2305.22  7901.74 2.56 2.42 -40.1 -0.391    19.72 21.66 02a58376o0318c 0x080030  -1.000000
58376.379589 20.103715      NaN    -5.0     11.0   c  0.0   1.09 299.60095 62.13486  2284.77  7859.09 2.54 2.43 -19.0 -0.401    19.52 21.42 02a58376o0356c 0x000030  -0.454545
58376.382333 19.922338      NaN    -8.0     13.0   c  0.0   0.92 299.60095 62.13486  2338.63  7933.76 2.61 2.50 -16.9 -0.412    19.50 21.36 02a58376o0362c 0x000030  -0.615385
58376.395392 19.766969      NaN    -8.0     15.0   c  0.0   0.61 299.60095 62.13486  2355.74  7814.81 2.64 2.51  -6.8 -0.398    19.40 21.26 02a58376o0390c 0x080010  -0.533333
58396.337535 19.696897      NaN    -8.0     16.0   c  0.0   1.01 299.60095 62.13486  2189.81  1201.52 2.49 2.39 -78.8 -0.419    19.09 20.67 02a58396o0297c 0x000000  -0.500000
58396.346371 19.197966      NaN    10.0     22.0   c  0.0   0.74 299.60095 62.13486  2163.79  1161.65 2.53 2.42  48.9 -0.434    18.80 20.26 02a58396o0316c 0x000000   0.454545
58396.348200 19.351140      NaN   -54.0     22.0   c  0.0   1.15 299.60095 62.13486  2227.33  1235.48 2.52 2.45  55.1 -0.424    18.68 20.14 02a58396o0320c 0x000030  -2.454545
58396.362236 18.237955      NaN    28.0     52.0   c  0.0   0.91 299.60095 62.13486  2253.75  1116.07 2.57 2.45  46.1 -0.430    17.91 19.25 02a58396o0350c 0x100002   0.538462
58400.317615 20.103715      NaN   -20.0     11.0   c  0.0   1.13 299.60095 62.13486  2096.02  8708.46 2.56 2.41 -25.0 -0.421    19.73 21.57 02a58400o0256c 0xc00130  -1.818182
58400.326124 15.899927      NaN   298.0    429.0   c  0.0   0.94 299.60095 62.13486  2076.17  8665.85 2.74 2.61   2.1 -0.438    16.15 17.67 02a58400o0274c 0x900002   0.694639
58424.296802 20.103715      NaN    -1.0     11.0   c  0.0   1.30 299.60095 62.13486  8251.99  9516.91 2.92 2.61  26.8 -0.400    19.52 21.19 02a58424o0238c 0x002030  -0.090909
58424.298633 19.384550      NaN    19.0     15.0   c  0.0   0.71 299.60095 62.13486  8232.68  9473.52 3.00 2.70  26.1 -0.401    19.51 21.18 02a58424o0242c 0x400330   1.266667
58424.312630 19.652575      NaN    14.0     12.0   c  0.0   1.48 299.60095 62.13486  8286.15  9555.06 3.02 2.71  28.8 -0.398    19.46 21.12 02a58424o0272c 0x400130   1.166667
58424.320425 19.609992      NaN    10.0     14.0   c  0.0   1.05 299.60095 62.13486  8302.41  9416.09 3.17 2.84  29.3 -0.396    19.41 21.09 02a58424o0289c 0x002000   0.714286
