ControlID          MJD   MJDbin        uJy     duJy   stdev X2norm Nclip Ngood Nexcluded     Mask         m       dm  __tmp_SN
        4 57914.571983 57914.50     16.876   12.228   21.82  0.818     0     4         1 0x000000 19.577892      NaN  1.380049
        4          NaN 57915.50        NaN      NaN     NaN    NaN     0     0         0 0x800000       NaN      NaN       NaN
        4          NaN 57916.50        NaN      NaN     NaN    NaN     0     0         0 0x800000       NaN      NaN       NaN
        4          NaN 57917.50        NaN      NaN     NaN    NaN     0     0         0 0x800000       NaN      NaN       NaN
        4          NaN 57918.50        NaN      NaN     NaN    NaN     0     0         0 0x800000       NaN      NaN       NaN
        4          NaN 57919.50        NaN      NaN     NaN    NaN     0     0         0 0x800000       NaN      NaN       NaN
        4          NaN 57920.50        NaN      NaN     NaN    NaN     0     0         0 0x800000       NaN      NaN       NaN
        4 57921.597849 57921.50      3.486   13.775   41.01  4.420     0     2         2 0x002000 19.771534      NaN  0.253082
        4 57922.543830 57922.50   -502.000 1346.000     NaN    NaN     0     1         1 0x800000 14.884584      NaN -0.372957
        4          NaN 57923.50        NaN      NaN     NaN    NaN     0     0         0 0x800000       NaN      NaN       NaN
        4          NaN 57924.50        NaN      NaN     NaN    NaN     0     0         0 0x800000       NaN      NaN       NaN
        4 57925.526407 57925.50     18.000   14.000     NaN    NaN     0     1         3 0x002000 19.454622      NaN  1.285714
        4          NaN 57926.50        NaN      NaN     NaN    NaN     0     0         0 0x800000       NaN      NaN       NaN
        4 57927.541305 57927.50      3.000   11.000     NaN    NaN     0     1         3 0x002000 20.009244      NaN  0.272727
        4          NaN 57928.50        NaN      NaN     NaN    NaN     0     0         0 0x800000       NaN      NaN       NaN
        4 57929.540151 57929.50      7.000   14.000     NaN    NaN     0     1         3 0x002000 19.674510      NaN  0.500000
        4          NaN 57930.50        NaN      NaN     NaN    NaN     0     0         0 0x800000       NaN      NaN       NaN
        4          NaN 57931.50        NaN      NaN     NaN    NaN     0     0         0 0x800000       NaN      NaN       NaN
        4          NaN 57932.50        NaN      NaN     NaN    NaN     0     0         0 0x800000       NaN      NaN       NaN
        4          NaN 57933.50        NaN      NaN     NaN    NaN     4     0         4 0x800000       NaN      NaN       NaN
        4          NaN 57934.50        NaN      NaN     NaN    NaN     0     0         0 0x800000       NaN      NaN       NaN
        4          NaN 57935.50        NaN      NaN     NaN    NaN     0     0         0 0x800000       NaN      NaN       NaN
        4          NaN 57936.50        NaN      NaN     NaN    NaN     0     0         0 0x800000       NaN      NaN       NaN
        4          NaN 57937.50        NaN      NaN     NaN    NaN     4     0         4 0x800000       NaN      NaN       NaN
        4          NaN 57938.50        NaN      NaN     NaN    NaN     0     0         0 0x800000       NaN      NaN       NaN
        4 57939.525432 57939.50     13.561    9.033   11.79  0.569     0     3         1 0x000000 19.877123      NaN  1.501343
        4          NaN 57940.50        NaN      NaN     NaN    NaN     0     0         0 0x800000       NaN      NaN       NaN
        4 57941.498953 57941.50     50.000   19.000     NaN    NaN     0     1         3 0x002000 18.826541      NaN  2.631579
        4          NaN 57942.50        NaN      NaN     NaN    NaN     0     0         0 0x800000       NaN      NaN       NaN
        4 57943.458124 57943.50     -8.000   24.000     NaN    NaN     0     1         3 0x002000 19.256669      NaN -0.333333
        4          NaN 57944.50        NaN      NaN     NaN    NaN     0     0         0 0x800000       NaN      NaN       NaN
        4 57945.517665 57945.50     57.012   11.141   19.81  0.901     0     4         0 0x000000 19.510085 0.212171  5.117273
        4          NaN 57946.50        NaN      NaN     NaN    NaN     0     0         0 0x800000       NaN      NaN       NaN
