         MJD         m       dm      uJy    duJy   F  err    chi/N        RA      Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57914.530063 19.169763      NaN     -9.0    26.0   o  0.0     0.76 299.60095 62.13486  5131.97  4305.95  2.26 2.25 -43.9 -0.436    18.72 19.23 02a57914o0575o 0x400220  -0.346154
57914.546969 18.847027      NaN     27.0    26.0   o  0.0     0.89 299.60095 62.13486  5337.71  6100.67  2.19 2.07 -26.4 -0.471    18.77 19.28 02a57914o0606o 0x000000   1.038462
57914.563058 19.051202      NaN     15.0    24.0   o  0.0     1.71 299.60095 62.13486  5387.78  6173.91  2.09 1.93 -25.8 -0.501    18.79 19.25 02a57914o0635o 0x000000   0.625000
57914.579132 18.786693      NaN     39.0    24.0   o  0.0     1.15 299.60095 62.13486  5402.52  6055.74  2.12 1.96 -27.4 -0.488    18.82 19.25 02a57914o0664o 0x000000   1.625000
57914.595072 19.256669      NaN    -12.0    24.0   o  0.0     0.66 299.60095 62.13486  5357.89  6112.62  2.13 1.97 -18.4 -0.486    18.82 19.27 02a57914o0693o 0x000000  -0.500000
57921.584813 19.038793      NaN     31.0    19.0   o  0.0     4.66 299.60095 62.13486  4030.06  7418.07  3.38 3.09  51.2 -0.415    19.10 20.39 01a57921o0046o 0x002030   1.631579
57921.593843 18.084160 0.338012    212.0    66.0   o  0.0     4.54 299.60095 62.13486  4058.16  7493.14  3.34 3.09  51.3 -0.428    17.26 18.74 01a57921o0064o 0x500a32   3.212121
57921.603282 19.510313      NaN    -23.0    19.0   o  0.0     3.68 299.60095 62.13486  4000.23  7450.48  3.36 3.15  52.9 -0.421    19.08 20.36 01a57921o0083o 0x400b30  -1.210526
57921.612294 19.454622      NaN    -27.0    20.0   o  0.0     5.02 299.60095 62.13486  3993.79  7601.63  3.31 3.16  49.3 -0.421    18.58 19.87 01a57921o0101o 0x002000  -1.350000
57922.543830 14.884584      NaN   -502.0  1346.0   o  0.0     1.24 299.60095 62.13486  5602.86  2671.80  2.44 2.09 -43.5 -0.450    14.48 14.87 02a57922o0621o 0x900002  -0.372957
57925.526407 19.454622      NaN     18.0    14.0   o  0.0     1.70 299.60095 62.13486  3814.21  7735.76  3.11 2.88  65.8 -0.440    19.38 20.96 01a57925o0580o 0x002000   1.285714
57925.529366 15.351350 0.005786   2627.0    14.0   o  0.0  1011.39 299.60095 62.13486  3841.68  7788.25  3.13 2.94  61.8 -0.437    19.38 20.96 01a57925o0586o 0x500831 187.642857
57925.538724 15.304831 0.004356   2742.0    11.0   o  0.0  1773.32 299.60095 62.13486  3773.83  7746.05  3.15 2.94  64.5 -0.437    19.40 21.05 01a57925o0605o 0x500831 249.272727
57925.547588 19.197966      NaN     34.0    14.0   o  0.0     2.35 299.60095 62.13486  3756.51  7897.62  3.16 2.96  56.7 -0.430    19.36 21.02 01a57925o0623o 0x400330   2.428571
57927.506603 19.922338      NaN      3.0    12.0   o  0.0     1.10 299.60095 62.13486  3942.28  2720.15  2.24 2.05 -36.5 -0.441    19.77 20.99 02a57927o0515o 0x400130   0.250000
57927.523897 19.922338      NaN     -5.0    13.0   o  0.0     0.84 299.60095 62.13486  3926.29  2683.50  2.28 2.06 -35.5 -0.440    19.75 21.00 02a57927o0551o 0x400830  -0.384615
57927.532635 20.103715      NaN     -2.0    11.0   o  0.0     1.05 299.60095 62.13486  3989.77  2758.81  2.30 2.11 -38.0 -0.435    19.72 20.95 02a57927o0569o 0x400130  -0.181818
57927.541305 20.009244      NaN      3.0    11.0   o  0.0     1.05 299.60095 62.13486  4006.19  2640.62  2.28 2.08 -38.9 -0.437    19.73 20.94 02a57927o0587o 0x082030   0.272727
57929.508567 19.351140 0.230308     66.0    14.0   o  0.0     2.52 299.60095 62.13486  5766.72  6147.27  3.37 2.99  49.0 -0.412    19.37 21.06 01a57929o0542o 0x400a30   4.714286
57929.517973 15.891058 0.007474   1598.0    11.0   o  0.0   580.64 299.60095 62.13486  5779.04  6221.13  3.40 2.99  46.8 -0.414    19.37 21.04 01a57929o0561o 0x500b31 145.272727
57929.531318 19.674510      NaN     10.0    13.0   o  0.0     2.02 299.60095 62.13486  5714.15  6196.02  3.42 3.05  49.3 -0.407    19.38 21.04 01a57929o0588o 0x400130   0.769231
57929.540151 19.674510      NaN      7.0    14.0   o  0.0     4.02 299.60095 62.13486  5698.46  6348.11  3.38 2.98  45.8 -0.412    19.39 21.00 01a57929o0606o 0x002000   0.500000
57933.506875 18.131260 0.058833    203.0    11.0   o  0.0    11.74 299.60095 62.13486  3686.41  5422.44  3.10 2.83  54.3 -0.440    19.59 21.55 01a57933o0540o 0x900031  18.454545
57933.516728 19.743105      NaN     13.0    11.0   o  0.0     1.84 299.60095 62.13486  3700.38  5498.99  3.14 2.84  49.7 -0.438    19.55 21.55 01a57933o0560o 0xc00330   1.181818
57933.523143 19.894850 0.244291     40.0     9.0   o  0.0     4.31 299.60095 62.13486  3652.07  5447.67  3.12 2.89  43.5 -0.436    19.57 21.57 01a57933o0573o 0xc00330   4.444444
57933.531977 16.671156 0.013938    779.0    10.0   o  0.0   188.69 299.60095 62.13486  3628.32  5595.38  3.09 2.82  57.8 -0.446    19.56 21.53 01a57933o0591o 0x980031  77.900000
