         MJD         m       dm     uJy    duJy   F  err   chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57984.396458 15.925573 0.006312  1548.0     9.0   c  0.0 1373.29 299.60389 62.13154  4572.47  3565.52 2.60 2.42  55.5 -0.404    19.73 21.68 02a57984o0339c 0x500331 172.000000
57984.406246 16.259644 0.007633  1138.0     8.0   c  0.0  900.85 299.60389 62.13154  4556.38  3528.77 2.47 2.30  52.0 -0.413    19.75 21.64 02a57984o0359c 0x500231 142.250000
57984.407706 20.103715      NaN    -6.0    11.0   c  0.0    2.29 299.60389 62.13154  4610.09  3602.63 2.45 2.27  53.3 -0.413    19.80 21.64 02a57984o0362c 0x082030  -0.545455
57984.424912 15.885636 0.006084  1606.0     9.0   c  0.0 1226.05 299.60389 62.13154  4626.42  3486.36 2.71 2.52  50.1 -0.397    19.68 21.62 02a57984o0397c 0x500831 178.444444
57988.398184 20.207197      NaN   -14.0    10.0   c  0.0    2.34 299.60389 62.13154  7095.80  5717.48 2.52 2.49 -68.8 -0.410    19.80 21.64 02a57988o0338c 0x000030  -1.400000
57988.408532 20.009244 0.271434    36.0     9.0   c  0.0    6.22 299.60389 62.13154  7080.29  5674.92 2.56 2.51  83.8 -0.407    19.73 21.54 02a57988o0359c 0x081030   4.000000
57988.410004 20.207197      NaN   -10.0    10.0   c  0.0    1.91 299.60389 62.13154  7134.81  5754.23 2.60 2.57  84.2 -0.405    19.69 21.53 02a57988o0362c 0x000030  -1.000000
57988.427308 15.770904 0.007299  1785.0    12.0   c  0.0  972.12 299.60389 62.13154  7159.52  5641.07 2.47 2.44 -65.0 -0.413    19.75 21.46 02a57988o0397c 0x500831 148.750000
58012.343927 16.264425 0.010541  1133.0    11.0   c  0.0  466.17 299.60389 62.13154  8313.67  8132.22 2.59 2.47  34.8 -0.420    19.79 21.59 02a58012o0280c 0x180031 103.000000
58012.344383 19.436675      NaN    19.0    14.0   c  0.0    0.98 299.60389 62.13154  8295.25  8092.36 2.58 2.49  34.6 -0.416    19.78 21.57 02a58012o0281c 0x400330   1.357143
58012.360239 20.009244      NaN   -11.0    12.0   c  0.0    1.08 299.60389 62.13154  8360.97  8173.68 2.63 2.52  39.8 -0.421    19.68 21.46 02a58012o0315c 0x002030  -0.916667
58012.363908 19.241693      NaN    34.0    13.0   c  0.0    2.85 299.60389 62.13154  8368.89  8058.67 2.63 2.51  42.6 -0.420    19.50 21.28 02a58012o0323c 0x400330   2.615385
58072.263371 15.051996 0.003764  3461.0    12.0   c  0.0 3004.73 299.60389 62.13154   681.24  9609.87 2.88 2.33  29.0 -0.442    19.62 21.35 02a58072o0151c 0x100031 288.416667
58072.272314 15.411247 0.005241  2486.0    12.0   c  0.0 1579.47 299.60389 62.13154   662.43  9571.70 2.89 2.32  25.3 -0.450    19.60 21.34 02a58072o0170c 0x500131 207.166667
58072.281586 19.076453      NaN    37.0    16.0   c  0.0    2.85 299.60389 62.13154   715.27  9647.46 2.96 2.37  26.5 -0.445    19.52 21.26 02a58072o0189c 0x002030   2.312500
58072.282499 16.229535 0.011136  1170.0    12.0   c  0.0  336.77 299.60389 62.13154  9820.29  9553.44 2.85 2.84 -54.2 -0.403    19.60 21.35 02a58072o0191c 0x100031  97.500000
58076.265858 18.403357      NaN    14.0    48.0   c  0.0    1.02 299.60389 62.13154  2798.19  1529.54 2.96 2.52  40.5 -0.411    18.29 19.90 02a58076o0130c 0xd00812   0.291667
58076.275278 15.177566 0.005283  3083.0    15.0   c  0.0 1493.48 299.60389 62.13154  2778.22  1491.98 3.05 2.52  40.3 -0.427    19.32 20.87 02a58076o0149c 0xd00a31 205.533333
58076.284042 16.110974 0.009152  1305.0    11.0   c  0.0  524.02 299.60389 62.13154  2831.79  1570.24 3.03 2.50  40.2 -0.418    19.41 20.99 02a58076o0167c 0xd00831 118.636364
58076.293419 15.688923 0.006768  1925.0    12.0   c  0.0  922.17 299.60389 62.13154  2856.52  1449.10 3.04 2.53  39.7 -0.410    19.31 20.89 02a58076o0186c 0xd00331 160.416667
58104.205777 18.590371 0.138778   133.0    17.0   c  0.0    8.56 299.60389 62.13154  1125.29  1795.38 3.47 2.99  46.8 -0.433    19.21 20.81 02a58104o0040c 0xc00b30   7.823529
58104.214283 18.504094 0.135717   144.0    18.0   c  0.0    2.73 299.60389 62.13154  1105.56  1762.74 3.63 3.12  43.2 -0.428    19.24 21.02 02a58104o0058c 0xc00b30   8.000000
58256.579525 15.490030 0.005166  2312.0    11.0   c  0.0 1715.04 299.60389 62.13154  9326.88  8963.67 2.73 2.60  45.2 -0.412    19.67 21.61 02a58256o0591c 0xd00931 210.181818
58256.590633 19.436675      NaN    22.0    13.0   c  0.0   34.15 299.60389 62.13154  9358.34  9004.05 2.62 2.54  42.5 -0.423    19.72 21.63 02a58256o0612c 0xd00331   1.692308
58256.601176 16.020044 0.007651  1419.0    10.0   c  0.0  796.35 299.60389 62.13154  9295.18  8929.88 2.80 2.63  43.4 -0.428    19.67 21.65 02a58256o0633c 0xd00231 141.900000
