         MJD         m       dm      uJy    duJy   F  err    chi/N        RA      Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs     Mask    __tmp_SN
57914.530063 18.978793      NaN     21.0    24.0   o  0.0     1.42 299.60389 62.13154  5134.62  4312.37  2.26 2.25 -43.8 -0.436    18.72 19.23 02a57914o0575o 0x400220    0.875000
57914.546969 19.169763      NaN    -16.0    26.0   o  0.0     0.87 299.60389 62.13154  5335.05  6094.25  2.19 2.07 -26.5 -0.471    18.77 19.28 02a57914o0606o 0x000000   -0.615385
57914.563058 18.900000      NaN     22.0    26.0   o  0.0     0.91 299.60389 62.13154  5385.13  6167.49  2.09 1.93 -25.8 -0.501    18.79 19.25 02a57914o0635o 0x000000    0.846154
57914.579132 19.302877      NaN      0.0    23.0   o  0.0     1.00 299.60389 62.13154  5399.88  6049.32  2.12 1.96 -27.4 -0.488    18.82 19.25 02a57914o0664o 0x000000    0.000000
57914.595072 19.089302      NaN     -2.0    28.0   o  0.0     0.48 299.60389 62.13154  5355.24  6106.20  2.13 1.97 -18.4 -0.486    18.82 19.27 02a57914o0693o 0x000000   -0.071429
57921.584813 19.241693 0.252843     73.0    17.0   o  0.0    12.53 299.60389 62.13154  4032.74  7424.49  3.38 3.09  51.3 -0.415    19.10 20.39 01a57921o0046o 0x100031    4.294118
57921.593843 17.870951 0.340871    258.0    81.0   o  0.0     7.73 299.60389 62.13154  4060.85  7499.56  3.34 3.09  51.3 -0.427    17.26 18.74 01a57921o0064o 0x400a30    3.185185
57921.603282 19.115465 0.225092     82.0    17.0   o  0.0     7.77 299.60389 62.13154  4002.91  7456.90  3.36 3.15  52.9 -0.421    19.08 20.36 01a57921o0083o 0x400b30    4.823529
57921.612294 19.351140      NaN    -26.0    22.0   o  0.0     3.81 299.60389 62.13154  3996.47  7608.06  3.31 3.16  49.3 -0.421    18.58 19.87 01a57921o0101o 0x002000   -1.181818
57922.543830 14.766245      NaN   -955.0  1501.0   o  0.0     1.38 299.60389 62.13154  5600.23  2665.35  2.44 2.09 -43.5 -0.450    14.48 14.87 02a57922o0621o 0x900002   -0.636243
57925.526407 19.841877      NaN     -3.0    14.0   o  0.0     4.08 299.60389 62.13154  3816.88  7742.19  3.11 2.88  65.8 -0.440    19.38 20.96 01a57925o0580o 0x002000   -0.214286
57925.529366 15.320787 0.006027   2702.0    15.0   o  0.0  1021.97 299.60389 62.13154  3844.35  7794.69  3.13 2.94  61.8 -0.437    19.38 20.96 01a57925o0586o 0x500831  180.133333
57925.538724 15.239894 0.004476   2911.0    12.0   o  0.0  1711.02 299.60389 62.13154  3776.50  7752.48  3.15 2.94  64.5 -0.437    19.40 21.05 01a57925o0605o 0x500831  242.583333
57925.547588 19.419021 0.262678     62.0    15.0   o  0.0     9.73 299.60389 62.13154  3759.17  7904.06  3.16 2.96  56.7 -0.430    19.36 21.02 01a57925o0623o 0x400330    4.133333
57927.506603 17.729132 0.040623    294.0    11.0   o  0.0    42.96 299.60389 62.13154  3939.45  2713.77  2.24 2.05 -36.5 -0.440    19.77 20.99 02a57927o0515o 0xd00131   26.727273
57927.523897 19.183773 0.197407     77.0    14.0   o  0.0     6.57 299.60389 62.13154  3923.46  2677.12  2.27 2.06 -35.5 -0.440    19.75 21.00 02a57927o0551o 0xc00830    5.500000
57927.532635 15.469562 0.005530   2356.0    12.0   o  0.0  2153.92 299.60389 62.13154  3986.95  2752.43  2.30 2.11 -38.0 -0.435    19.72 20.95 02a57927o0569o 0xd00131  196.333333
57927.541305 19.454622 0.199052     60.0    11.0   o  0.0    12.77 299.60389 62.13154  4003.37  2634.24  2.28 2.08 -38.9 -0.437    19.73 20.94 02a57927o0587o 0x980031    5.454545
57929.508567 19.241693      NaN     31.0    14.0   o  0.0    12.99 299.60389 62.13154  5769.60  6153.59  3.37 2.99  49.0 -0.412    19.37 21.06 01a57929o0542o 0x500a31    2.214286
57929.517973 15.799251 0.007492   1739.0    12.0   o  0.0   557.07 299.60389 62.13154  5781.93  6227.45  3.40 2.99  46.8 -0.414    19.37 21.04 01a57929o0561o 0x500b31  144.916667
57929.531318 19.491430      NaN     19.0    13.0   o  0.0     9.70 299.60389 62.13154  5717.03  6202.34  3.42 3.05  49.3 -0.407    19.38 21.04 01a57929o0588o 0x400130    1.461538
57929.540151 19.766969      NaN    -15.0    15.0   o  0.0     6.89 299.60389 62.13154  5701.34  6354.43  3.38 2.98  45.8 -0.412    19.39 21.00 01a57929o0606o 0x002000   -1.000000
57933.506875 16.861056 0.014941    654.0     9.0   o  0.0   172.20 299.60389 62.13154  3689.07  5428.86  3.10 2.83  54.3 -0.440    19.59 21.55 01a57933o0540o 0x100031   72.666667
57933.516728 16.833194 0.016181    671.0    10.0   o  0.0   152.55 299.60389 62.13154  3703.05  5505.41  3.14 2.84  49.7 -0.438    19.55 21.55 01a57933o0560o 0x500331   67.100000
57933.523143 19.128787 0.120637     81.0     9.0   o  0.0     6.81 299.60389 62.13154  3654.73  5454.10  3.12 2.89  43.5 -0.436    19.57 21.57 01a57933o0573o 0x400330    9.000000
57933.531977 19.102305 0.156974     83.0    12.0   o  0.0     4.16 299.60389 62.13154  3630.98  5601.80  3.09 2.82  57.7 -0.445    19.56 21.53 01a57933o0591o 0x082030    6.916667
57937.506912 15.446761 0.007220   2406.0    16.0   o  0.0   516.27 299.60389 62.13154  3868.57  6572.04  3.59 3.47  67.6 -0.416    19.28 21.10 01a57937o0533o 0xd00831  150.375000
57937.517263 14.979789 0.004696   3699.0    16.0   o  0.0  1397.77 299.60389 62.13154  3886.23  6650.03  3.45 3.36  84.9 -0.409    19.35 21.20 01a57937o0554o 0xd00a31  231.187500
57937.522684 19.063754 0.201997     86.0    16.0   o  0.0    19.73 299.60389 62.13154  3839.80  6597.21  3.48 3.37  59.1 -0.414    19.35 21.20 01a57937o0565o 0xd00831    5.375000
57937.534015 15.542957 0.007889   2202.0    16.0   o  0.0   407.27 299.60389 62.13154  3819.96  6754.95  3.77 3.66  60.1 -0.400    19.25 21.18 01a57937o0588o 0xd00b31  137.625000
57939.511266 19.256669      NaN     21.0    17.0   o  0.0     0.77 299.60389 62.13154  7159.83  5760.06  2.08 1.89  46.7 -0.516    19.29 20.08 02a57939o0298o 0x000000    1.235294
57939.512241 19.367717 0.283962     65.0    17.0   o  0.0     2.18 299.60389 62.13154  7140.48  5720.56  2.12 1.92  53.5 -0.516    19.31 20.08 02a57939o0300o 0x400210    3.823529
57939.530981 19.472870      NaN     11.0    16.0   o  0.0     0.88 299.60389 62.13154  7196.21  5801.42  2.12 1.94  46.5 -0.510    19.37 20.21 02a57939o0338o 0x000000    0.687500
