         MJD         m       dm     uJy   duJy   F  err   chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57984.396458 20.321591      NaN     3.0    8.0   c  0.0    2.34 299.61098 62.13017  4566.02  3562.95 2.60 2.42  55.5 -0.404    19.73 21.68 02a57984o0339c 0x400330   0.375000
57984.406246 20.321591      NaN   -13.0    9.0   c  0.0    1.40 299.61098 62.13017  4549.93  3526.20 2.47 2.30  52.0 -0.413    19.75 21.64 02a57984o0359c 0x400230  -1.444444
57984.407706 20.321591      NaN    -6.0    9.0   c  0.0    1.90 299.61098 62.13017  4603.64  3600.05 2.45 2.27  53.3 -0.413    19.80 21.64 02a57984o0362c 0x082030  -0.666667
57984.424912 16.260599 0.008594  1137.0    9.0   c  0.0  587.72 299.61098 62.13017  4619.98  3483.78 2.71 2.52  50.1 -0.397    19.68 21.62 02a57984o0397c 0x500831 126.333333
57988.398184 20.137125      NaN    11.0    7.0   c  0.0    5.08 299.61098 62.13017  7089.47  5714.63 2.52 2.49 -68.6 -0.410    19.80 21.64 02a57988o0338c 0x800030   1.571429
57988.408532 20.207197      NaN   -18.0   10.0   c  0.0    1.14 299.61098 62.13017  7073.96  5672.07 2.56 2.51  83.9 -0.407    19.73 21.54 02a57988o0359c 0x880030  -1.800000
57988.410004 19.609992      NaN    25.0    9.0   c  0.0    3.26 299.61098 62.13017  7128.48  5751.37 2.60 2.57  84.3 -0.405    19.69 21.53 02a57988o0362c 0x800030   2.777778
57988.427308 19.569016 0.241275    54.0   12.0   c  0.0    1.92 299.61098 62.13017  7153.19  5638.21 2.47 2.44 -64.8 -0.413    19.75 21.46 02a57988o0397c 0xc00830   4.500000
58012.343927 20.207197      NaN    -2.0   10.0   c  0.0    1.01 299.61098 62.13017  8307.35  8129.20 2.59 2.47  34.8 -0.420    19.79 21.59 02a58012o0280c 0x082030  -0.200000
58012.344383 19.491430      NaN    25.0   11.0   c  0.0    1.68 299.61098 62.13017  8288.93  8089.34 2.58 2.49  34.5 -0.416    19.78 21.57 02a58012o0281c 0x400330   2.272727
58012.360239 20.103715      NaN    -6.0   11.0   c  0.0    3.36 299.61098 62.13017  8354.65  8170.65 2.63 2.52  39.7 -0.421    19.68 21.46 02a58012o0315c 0x002030  -0.545455
58012.363908 16.821926 0.017615   678.0   11.0   c  0.0  171.06 299.61098 62.13017  8362.57  8055.65 2.63 2.51  42.6 -0.420    19.50 21.28 02a58012o0323c 0x500331  61.636364
58072.263371 20.103715      NaN    -1.0   11.0   c  0.0    2.62 299.61098 62.13017   674.55  9607.74 2.88 2.33  29.0 -0.441    19.62 21.35 02a58072o0151c 0x000030  -0.090909
58072.272314 19.063754      NaN    41.0   15.0   c  0.0    2.69 299.61098 62.13017   655.74  9569.57 2.89 2.32  25.4 -0.449    19.60 21.34 02a58072o0170c 0x400130   2.733333
58072.281586 19.569016      NaN    12.0   14.0   c  0.0    2.03 299.61098 62.13017   708.59  9645.33 2.96 2.37  26.6 -0.444    19.52 21.26 02a58072o0189c 0x000030   0.857143
58072.282499 19.841877      NaN    -2.0   14.0   c  0.0    1.32 299.61098 62.13017  9813.97  9550.19 2.85 2.84 -54.1 -0.403    19.60 21.35 02a58072o0191c 0x000030  -0.142857
58076.265858 18.623526      NaN   -15.0   43.0   c  0.0    1.43 299.61098 62.13017  2791.63  1527.11 2.96 2.52  40.5 -0.411    18.29 19.90 02a58076o0130c 0xd00812  -0.348837
58076.275278 19.631075      NaN    12.0   13.0   c  0.0    2.44 299.61098 62.13017  2771.66  1489.55 3.05 2.52  40.3 -0.427    19.32 20.87 02a58076o0149c 0xc00a30   0.923077
58076.284042 19.791368      NaN     8.0   12.0   c  0.0    2.78 299.61098 62.13017  2825.23  1567.81 3.03 2.50  40.2 -0.418    19.41 20.99 02a58076o0167c 0xc00830   0.666667
