         MJD         m       dm      uJy    duJy   F  err   chi/N        RA      Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57914.530063 18.767304      NaN     38.0    25.0   o  0.0    0.54 299.61098 62.13017  5141.02  4315.03  2.26 2.25 -43.8 -0.436    18.72 19.23 02a57914o0575o 0x400220   1.520000
57914.546969 19.102305      NaN     11.0    24.0   o  0.0    1.06 299.61098 62.13017  5328.64  6091.60  2.19 2.07 -26.5 -0.471    18.77 19.28 02a57914o0606o 0x000000   0.458333
57914.563058 18.944322      NaN     27.0    23.0   o  0.0    1.18 299.61098 62.13017  5378.72  6164.83  2.09 1.93 -25.8 -0.501    18.79 19.25 02a57914o0635o 0x000000   1.173913
57914.579132 19.026525      NaN     26.0    21.0   o  0.0    1.03 299.61098 62.13017  5393.47  6046.66  2.12 1.96 -27.4 -0.488    18.82 19.25 02a57914o0664o 0x000000   1.238095
57914.595072 18.693037      NaN     40.0    27.0   o  0.0    0.81 299.61098 62.13017  5348.84  6103.55  2.13 1.97 -18.4 -0.486    18.82 19.27 02a57914o0693o 0x000000   1.481481
57921.584813 19.155932      NaN     31.0    16.0   o  0.0    1.36 299.61098 62.13017  4039.17  7427.10  3.38 3.09  51.2 -0.415    19.10 20.39 01a57921o0046o 0x002030   1.937500
57921.593843 18.125925      NaN    -65.0    68.0   o  0.0    0.97 299.61098 62.13017  4067.28  7502.17  3.34 3.09  51.3 -0.427    17.26 18.74 01a57921o0064o 0x400a30  -0.955882
57921.603282 19.589310      NaN      2.0    17.0   o  0.0    1.11 299.61098 62.13017  4009.34  7459.52  3.36 3.15  52.9 -0.421    19.08 20.36 01a57921o0083o 0x400b30   0.117647
57921.612294 19.351140      NaN     -1.0    22.0   o  0.0    1.29 299.61098 62.13017  4002.90  7610.68  3.31 3.16  49.3 -0.421    18.58 19.87 01a57921o0101o 0x002000  -0.045455
57922.543830 14.775690      NaN  -1154.0  1488.0   o  0.0    1.47 299.61098 62.13017  5593.83  2662.67  2.44 2.09 -43.5 -0.450    14.48 14.87 02a57922o0621o 0x900002  -0.775538
57925.526407 20.009244      NaN     -4.0    12.0   o  0.0    1.22 299.61098 62.13017  3823.30  7744.83  3.11 2.88  65.8 -0.440    19.38 20.96 01a57925o0580o 0x002000  -0.333333
