         MJD         m       dm   uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  __tmp_SN
57549.474060 19.696897      NaN    -9    16 c    0   0.97 299.62606 62.13439  5438.89  5156.05 4.08 3.95 -63.0 -0.404    19.53 21.70 02a57549o0357c 0x000030 -0.562500
57549.476965 19.766969      NaN   -13    15 c    0   0.95 299.62606 62.13439  5463.00  5196.36 3.95 3.79 -63.6 -0.410    19.57 21.70 02a57549o0363c 0x000030 -0.866667
57549.492737 19.674510      NaN     1    16 c    0   0.74 299.62606 62.13439  5420.83  5112.41 3.81 3.67 -70.1 -0.416    19.61 21.71 02a57549o0395c 0x080030  0.062500
57549.506184 19.271854      NaN    26    15 c    0   1.06 299.62606 62.13439  5392.18  5234.20 3.97 3.83 -69.1 -0.399    19.58 21.74 02a57549o0421c 0x080030  1.733333
57549.518183 19.766969      NaN   -17    15 c    0   1.03 299.62606 62.13439  5437.02  5175.11 4.03 3.90 -62.2 -0.393    19.55 21.73 02a57549o0444c 0x000030 -1.133333
57984.396458 20.103715      NaN   -10    11 c    0   0.61 299.62606 62.13439  4552.49  3571.29 2.60 2.42  55.5 -0.404    19.73 21.68 02a57984o0339c 0x000030 -0.909091
57984.406246 20.449472      NaN    -4     8 c    0   1.04 299.62606 62.13439  4536.40  3534.54 2.47 2.30  52.0 -0.413    19.75 21.64 02a57984o0359c 0x000030 -0.500000
57984.407706 20.321591      NaN     3     8 c    0   0.88 299.62606 62.13439  4590.11  3608.37 2.45 2.27  53.3 -0.414    19.80 21.64 02a57984o0362c 0x000030  0.375000
57984.424912 20.282105      NaN     4     8 c    0   1.03 299.62606 62.13439  4606.44  3492.10 2.71 2.52  50.1 -0.397    19.68 21.62 02a57984o0397c 0x000030  0.500000
57988.398184 20.761819      NaN   -23     6 c    0   1.61 299.62606 62.13439  7075.57  5722.37 2.52 2.49 -68.0 -0.410    19.80 21.64 02a57988o0338c 0x400230 -3.833333
