ControlID          MJD   MJDbin       uJy     duJy    stdev X2norm Nclip Ngood Nexcluded     Mask         m  dm   __tmp_SN
        8 57914.555416 57914.50   -17.021   11.318    24.15  1.085     0     4         1 0x000000 20.072726 NaN  -1.503788
        8          NaN 57915.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8          NaN 57916.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8          NaN 57917.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8          NaN 57918.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8          NaN 57919.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8          NaN 57920.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8 57921.599133 57921.50     5.717   10.651    20.53  1.174     0     3         1 0x000000 19.959960 NaN   0.536776
        8 57922.543830 57922.50 -2021.000 1141.000      NaN    NaN     0     1         1 0x800000 15.063983 NaN  -1.771253
        8          NaN 57923.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8          NaN 57924.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8 57925.535069 57925.50    -0.759    6.443    18.46  2.133     0     4         0 0x000000 20.684560 NaN  -0.117784
        8          NaN 57926.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8 57927.532612 57927.50    -7.667    5.774     3.06  0.093     0     3         1 0x000000 20.803598 NaN  -1.327906
        8          NaN 57928.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8 57929.523989 57929.50     1.949    6.471    12.66  0.881     0     4         0 0x000000 20.575864 NaN   0.301254
        8          NaN 57930.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8          NaN 57931.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8          NaN 57932.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8 57933.519925 57933.50    -5.105    5.203     4.65  0.212     0     4         0 0x000000 20.916633 NaN  -0.981279
        8          NaN 57934.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8          NaN 57935.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8          NaN 57936.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8 57937.520174 57937.50    -7.370    9.526     7.07  0.274     0     2         2 0x002000 20.259884 NaN  -0.773632
        8          NaN 57938.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8 57939.521382 57939.50    -5.001    7.310    11.73  0.594     0     4         0 0x000000 20.547356 NaN  -0.684135
        8          NaN 57940.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8 57941.504710 57941.50   -24.829   10.852    22.25  1.103     0     4         0 0x000000 20.118435 NaN  -2.287980
        8          NaN 57942.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8 57943.458124 57943.50    -9.000   25.000      NaN    NaN     0     1         3 0x002000 19.212347 NaN  -0.360000
        8          NaN 57944.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8 57945.518527 57945.50     2.594   11.141    24.01  1.158     0     4         0 0x000000 20.008718 NaN   0.232849
        8          NaN 57946.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8          NaN 57947.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8          NaN 57948.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8 57949.501190 57949.50    -5.278    9.597     9.90  0.252     0     4         0 0x000000 20.251809 NaN  -0.549930
        8          NaN 57950.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8          NaN 57951.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8          NaN 57952.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8 57953.476667 57953.50   -13.547    7.185    13.57  0.767     0     4         0 0x000000 20.566106 NaN  -1.885398
        8          NaN 57954.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8 57955.448400 57955.50    13.000   12.000      NaN    NaN     0     1         0 0x002000 19.674510 NaN   1.083333
        8          NaN 57956.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8 57957.463406 57957.50   -11.750    8.000    13.12  0.673     0     4         0 0x000000 20.449472 NaN  -1.468750
        8          NaN 57958.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8 57959.454362 57959.50     0.500    8.485    16.26  1.837     0     2         2 0x002000 20.364412 NaN   0.058926
        8          NaN 57960.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8          NaN 57961.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8          NaN 57962.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8 57963.473013 57963.50    -1.285    5.337    13.60  1.849     0     4         0 0x000000 20.888862 NaN  -0.240730
        8          NaN 57964.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8 57965.458295 57965.50     3.719    6.235    12.75  1.069     0     4         0 0x000000 20.523223 NaN   0.596446
        8          NaN 57966.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8 57967.441378 57967.50   -19.611    6.621    17.99  1.904     0     4         0 0x000000 20.654876 NaN  -2.961923
        8          NaN 57968.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8 57969.452242 57969.50    -5.855   12.014    10.02  0.209     0     3         1 0x000000 20.007958 NaN  -0.487369
        8          NaN 57970.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8          NaN 57971.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8 57972.426122 57972.50    -2.474   12.714    21.00  0.516     0     4         0 0x000000 19.946458 NaN  -0.194561
        8          NaN 57973.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8 57974.440161 57974.50   -21.516   11.394    12.29  0.263     0     4         0 0x000000 20.065546 NaN  -1.888389
        8          NaN 57975.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8 57976.457119 57976.50   -51.000  106.000      NaN    NaN     0     1         1 0x800000 17.643932 NaN  -0.481132
        8          NaN 57977.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8 57978.444170 57978.50    -3.852    8.018    13.40  0.606     0     4         0 0x000000 20.447032 NaN  -0.480443
        8          NaN 57979.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8 57980.418327 57980.50     0.239    4.651     9.68  0.956     0     4         0 0x000000 21.019999 NaN   0.051311
        8          NaN 57981.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8 57982.422280 57982.50    -1.890    7.689    23.40  2.270     0     4         0 0x000000 20.492471 NaN  -0.245847
        8          NaN 57983.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8          NaN 57984.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8          NaN 57985.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8          NaN 57986.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8          NaN 57987.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8          NaN 57988.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8          NaN 57989.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8 57990.407965 57990.50     4.167    6.736    12.15  0.808     0     4         0 0x000000 20.432617 NaN   0.618623
        8          NaN 57991.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8 57992.394993 57992.50    -2.657    5.969     9.54  0.683     0     4         0 0x000000 20.767510 NaN  -0.445148
        8          NaN 57993.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8          NaN 57994.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8          NaN 57995.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8 57996.407886 57996.50    -7.529    8.345     8.66  0.285     0     4         0 0x000000 20.403607 NaN  -0.902195
        8          NaN 57997.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8 57998.378662 57998.50   -17.296    7.478    19.33  0.824     0     8         0 0x000000 20.522664 NaN  -2.312785
        8          NaN 57999.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8 58000.379000 58000.50   -26.779   15.804    28.99  1.653     0     2         1 0x002000 19.710272 NaN  -1.694417
        8          NaN 58001.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8 58002.329351 58002.50    18.000   34.000      NaN    NaN     0     1         4 0x002000 18.702047 NaN   0.529412
        8          NaN 58003.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8 58004.335539 58004.50   -12.954   10.384     5.62  0.066     0     4         0 0x000000 20.166267 NaN  -1.247478
        8          NaN 58005.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8          NaN 58006.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8          NaN 58007.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8          NaN 58008.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8          NaN 58009.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8 58010.341405 58010.50    -1.548    4.854    10.58  0.631     0     8         0 0x000000 20.991860 NaN  -0.318903
        8          NaN 58011.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
        8          NaN 58012.50       NaN      NaN      NaN    NaN     0     0         0 0x800000       NaN NaN        NaN
