         MJD         m       dm      uJy    duJy   F  err  chi/N        RA      Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57914.530063 19.351140      NaN    -41.0    22.0   o  0.0   1.05 299.62606 62.13439  5154.66  4306.89  2.26 2.25 -44.3 -0.436    18.72 19.23 02a57914o0575o 0x000030  -1.863636
57914.546969 19.026525      NaN     17.0    24.0   o  0.0   0.73 299.62606 62.13439  5315.02  6099.77  2.19 2.07 -26.3 -0.471    18.77 19.28 02a57914o0606o 0x000010   0.708333
57914.563058 19.256669      NaN    -16.0    24.0   o  0.0   0.83 299.62606 62.13439  5365.09  6172.99  2.09 1.93 -25.7 -0.501    18.79 19.25 02a57914o0635o 0x000030  -0.666667
57914.579132 19.401649      NaN    -22.0    21.0   o  0.0   1.04 299.62606 62.13439  5379.83  6054.81  2.12 1.96 -27.3 -0.488    18.82 19.25 02a57914o0664o 0x000000  -1.047619
57914.595072 18.786693      NaN     39.0    24.0   o  0.0   0.88 299.62606 62.13439  5335.20  6111.70  2.13 1.97 -18.3 -0.486    18.82 19.27 02a57914o0693o 0x400130   1.625000
57921.584813 19.128787      NaN     27.0    18.0   o  0.0   0.75 299.62606 62.13439  4052.79  7418.83  3.38 3.09  51.2 -0.415    19.10 20.39 01a57921o0046o 0x000030   1.500000
57921.593843 18.014729      NaN     16.0    70.0   o  0.0   0.91 299.62606 62.13439  4080.90  7493.90  3.34 3.09  51.2 -0.427    17.26 18.74 01a57921o0064o 0x500832   0.228571
57921.603282 19.631075      NaN     -1.0    17.0   o  0.0   0.86 299.62606 62.13439  4022.96  7451.26  3.36 3.15  52.9 -0.421    19.08 20.36 01a57921o0083o 0x080030  -0.058824
57921.612294 19.401649      NaN    -13.0    21.0   o  0.0   1.33 299.62606 62.13439  4016.53  7602.42  3.31 3.16  49.2 -0.421    18.58 19.87 01a57921o0101o 0x000010  -0.619048
57922.543830 15.063983      NaN  -2021.0  1141.0   o  0.0   1.25 299.62606 62.13439  5580.15  2670.80  2.44 2.09 -43.5 -0.450    14.48 14.87 02a57922o0621o 0xd00812  -1.771253
57925.526407 19.472870      NaN     23.0    12.0   o  0.0   1.20 299.62606 62.13439  3836.96  7736.59  3.11 2.88  65.7 -0.440    19.38 20.96 01a57925o0580o 0x000030   1.916667
57925.529366 19.841877      NaN    -21.0    14.0   o  0.0   0.85 299.62606 62.13439  3864.43  7789.07  3.13 2.94  61.7 -0.437    19.38 20.96 01a57925o0586o 0x000030  -1.500000
57925.538724 20.009244      NaN     -8.0    12.0   o  0.0   1.10 299.62606 62.13439  3796.58  7746.89  3.15 2.94  64.3 -0.437    19.40 21.05 01a57925o0605o 0x000030  -0.666667
57925.547588 19.841877      NaN     -3.0    14.0   o  0.0   0.74 299.62606 62.13439  3779.26  7898.47  3.16 2.96  56.6 -0.430    19.36 21.02 01a57925o0623o 0x080030  -0.214286
57927.506603 20.103715      NaN    -15.0    11.0   o  0.0   0.69 299.62606 62.13439  3919.52  2719.76  2.24 2.05 -36.4 -0.440    19.77 20.99 02a57927o0515o 0x400130  -1.363636
57927.523897 20.207197      NaN     -7.0    10.0   o  0.0   0.82 299.62606 62.13439  3903.53  2683.12  2.27 2.06 -35.4 -0.440    19.75 21.00 02a57927o0551o 0x000030  -0.700000
57927.532635 20.207197      NaN     -5.0    10.0   o  0.0   0.83 299.62606 62.13439  3967.01  2758.40  2.30 2.11 -37.9 -0.435    19.72 20.95 02a57927o0569o 0x000030  -0.500000
57927.541305 20.207197      NaN    -11.0    10.0   o  0.0   0.87 299.62606 62.13439  3983.43  2640.20  2.28 2.08 -38.8 -0.437    19.73 20.94 02a57927o0587o 0x000030  -1.100000
57929.508567 19.841877      NaN      3.0    13.0   o  0.0   1.07 299.62606 62.13439  5789.43  6147.37  3.37 2.99  49.0 -0.412    19.37 21.06 01a57929o0542o 0x000030   0.230769
57929.517973 19.950541      NaN      2.0    12.0   o  0.0   1.07 299.62606 62.13439  5801.76  6221.23  3.40 2.99  46.8 -0.414    19.37 21.04 01a57929o0561o 0x000030   0.166667
57929.531318 19.454622      NaN     18.0    14.0   o  0.0   0.90 299.62606 62.13439  5736.87  6196.13  3.42 3.05  49.3 -0.407    19.38 21.04 01a57929o0588o 0x080030   1.285714
57929.540151 19.922338      NaN    -13.0    13.0   o  0.0   0.96 299.62606 62.13439  5721.17  6348.23  3.38 2.98  45.8 -0.412    19.39 21.00 01a57929o0606o 0x000010  -1.000000
57933.506875 20.171596      NaN      1.0    10.0   o  0.0   1.03 299.62606 62.13439  3709.13  5423.34  3.10 2.83  54.3 -0.440    19.59 21.55 01a57933o0540o 0x000030   0.100000
57933.516728 20.009244      NaN     -7.0    12.0   o  0.0   1.22 299.62606 62.13439  3723.11  5499.89  3.14 2.84  49.7 -0.438    19.55 21.55 01a57933o0560o 0x080030  -0.583333
57933.523143 20.207197      NaN     -5.0    10.0   o  0.0   1.11 299.62606 62.13439  3674.79  5448.59  3.13 2.89  43.4 -0.435    19.57 21.57 01a57933o0573o 0x080030  -0.500000
57933.531977 20.207197      NaN    -10.0    10.0   o  0.0   1.25 299.62606 62.13439  3651.05  5596.30  3.09 2.82  57.7 -0.445    19.56 21.53 01a57933o0591o 0x000030  -1.000000
57937.506912 19.841877      NaN    -19.0    14.0   o  0.0   1.18 299.62606 62.13439  3888.62  6566.45  3.59 3.47  67.4 -0.416    19.28 21.10 01a57937o0533o 0x400130  -1.357143
57937.517263 19.841877      NaN     -2.0    14.0   o  0.0   1.55 299.62606 62.13439  3906.28  6644.43  3.45 3.36  84.6 -0.409    19.35 21.20 01a57937o0554o 0x002030  -0.142857
57937.522684 19.922338      NaN    -12.0    13.0   o  0.0   1.20 299.62606 62.13439  3859.85  6591.62  3.48 3.37  58.9 -0.414    19.35 21.20 01a57937o0565o 0x002030  -0.923077
