         MJD         m       dm   uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask    __tmp_SN
57717.643798 17.509244      NaN -2092   120 c    0   1.71 125.92251 21.43444  5113.88  2430.62 4.31 4.12  89.4 -0.353    16.98 18.62 02a57717o0018c 0x100002  -17.433333
57717.659712 18.438271      NaN   -92    51 c    0   1.20 125.92251 21.43444  5132.77  2315.15 4.31 4.15  89.6 -0.350    18.28 19.54 02a57717o0042c 0x100002   -1.803922
57721.545849 19.631075      NaN  -119    17 c    0   1.63 125.92251 21.43444  5429.79  5578.72 4.32 4.18  81.0 -0.361    19.59 21.76 02a57721o0650c 0x000000   -7.000000
57745.500832 19.766969      NaN   -26    15 c    0   2.32 125.92251 21.43444  3339.26  7550.22 3.71 3.57  24.0 -0.441    19.74 21.74 02a57745o0581c 0x000000   -1.733333
57745.514477 19.155932      NaN    31    16 c    0   1.93 125.92251 21.43444  3354.05  7593.79 3.86 3.71  28.8 -0.422    19.70 21.72 02a57745o0605c 0x000000    1.937500
57745.529267 19.696897      NaN   -14    16 c    0   1.47 125.92251 21.43444  7216.26  2933.79 3.86 3.71 -89.7 -0.377    19.66 21.59 02a57745o0631c 0x000000   -0.875000
57745.540727 19.696897      NaN   -17    16 c    0   1.45 125.92251 21.43444  7236.77  2821.22 4.38 3.96   1.4 -0.366    19.53 21.52 02a57745o0649c 0x000000   -1.062500
57745.566208 19.631075      NaN    -8    17 c    0   1.63 125.92251 21.43444  7199.38  2880.09 4.37 4.10   1.6 -0.367    19.47 21.44 02a57745o0691c 0x000000   -0.470588
57753.482721 18.598565      NaN  -768    44 c    0   2.02 125.92251 21.43444  5694.29  6827.54 3.69 3.58  87.7 -0.414    18.33 20.23 02a57753o0427c 0x100002  -17.454545
57753.495524 18.786693      NaN  -235    37 c    0   1.82 125.92251 21.43444  4790.85  3579.19 3.76 3.63  84.6 -0.373    18.53 20.41 02a57753o0450c 0x100002   -6.351351
57753.509617 18.574166      NaN -1236    45 c    0   2.17 125.92251 21.43444  4842.56  3654.90 3.72 3.61  84.2 -0.379    18.05 19.91 02a57753o0476c 0x100002  -27.466667
57753.519902 19.128787      NaN   -53    27 c    0   1.76 125.92251 21.43444  4863.23  3542.70 3.71 3.60  89.3 -0.384    18.97 20.84 02a57753o0493c 0x000000   -1.962963
57753.530841 18.623526      NaN   -61    43 c    0   1.39 125.92251 21.43444  4826.27  3599.27 3.73 3.63  86.5 -0.383    18.53 20.35 02a57753o0513c 0x100002   -1.418605
57757.486258 19.719755 0.323411    47    14 c    0   3.21 125.92251 21.43444  7177.81  3671.78 3.77 3.49  88.2 -0.384    19.69 21.57 02a57757o0536c 0x000000    3.357143
57757.496626 19.038793 0.185069    88    15 c    0   2.14 125.92251 21.43444  7158.87  3631.62 3.74 3.49  89.9 -0.394    19.69 21.55 02a57757o0553c 0x000000    5.866667
57757.504918 19.026525 0.195189    89    16 c    0   1.87 125.92251 21.43444  7230.84  3713.90 3.76 3.51  87.5 -0.384    19.68 21.55 02a57757o0568c 0x000000    5.562500
57757.517902 19.128787 0.201062    81    15 c    0   1.80 125.92251 21.43444  7249.21  3594.19 3.77 3.54  87.7 -0.384    19.69 21.57 02a57757o0590c 0x000000    5.400000
57757.529524 19.922338      NaN   -56    13 c    0   2.22 125.92251 21.43444  7215.78  3655.34 3.78 3.56  86.4 -0.382    19.68 21.58 02a57757o0610c 0x000000   -4.307692
57777.454172 19.766969 0.337785    45    14 c    0   2.05 125.92251 21.43444  4419.64  2181.00 3.78 3.76 -43.6 -0.391    19.71 21.68 02a57777o0490c 0x000000    3.214286
57777.463803 19.226921 0.234754    74    16 c    0   2.05 125.92251 21.43444  4401.74  2143.33 3.77 3.73 -74.2 -0.392    19.70 21.66 02a57777o0507c 0x000000    4.625000
57777.472065 18.857417 0.146157   104    14 c    0   3.39 125.92251 21.43444  4455.04  2220.36 3.89 3.79 -77.7 -0.379    19.67 21.66 02a57777o0522c 0x000000    7.428571
57777.494760 19.102305 0.196217    83    15 c    0   1.78 125.92251 21.43444  4474.62  2105.12 3.85 3.81 -79.4 -0.383    19.66 21.62 02a57777o0563c 0x000000    5.533333
57777.506199 19.766969      NaN   -38    15 c    0   1.54 125.92251 21.43444  4441.43  2161.65 3.77 3.74 -54.4 -0.389    19.67 21.61 02a57777o0582c 0x000000   -2.533333
57781.435703 19.841877      NaN   -20    14 c    0   2.77 125.92251 21.43444  4763.98  2454.55 3.87 3.69  82.0 -0.378    19.74 21.75 02a57781o0392c 0x000000   -1.428571
57781.448783 19.841877      NaN   -78    14 c    0   2.05 125.92251 21.43444  4744.45  2414.44 3.93 3.77  87.5 -0.375    19.71 21.73 02a57781o0415c 0x000000   -5.571429
57781.472818 19.841877      NaN   -37    14 c    0   2.42 125.92251 21.43444  4799.73  2493.29 3.81 3.68  89.8 -0.380    19.72 21.69 02a57781o0458c 0x000000   -2.642857
57781.484749 19.766969      NaN   -56    15 c    0   2.06 125.92251 21.43444  4819.47  2379.03 3.81 3.68  89.6 -0.388    19.72 21.66 02a57781o0479c 0x000000   -3.733333
57781.496017 19.841877      NaN    -2    14 c    0   2.25 125.92251 21.43444  4783.39  2435.99 3.77 3.64 -88.5 -0.386    19.73 21.67 02a57781o0500c 0x000000   -0.142857
57805.397236 19.226921 0.205410    74    14 c    0   2.32 125.92251 21.43444  5035.28  4781.27 3.85 3.71  80.8 -0.374    19.64 21.61 02a57805o0337c 0x000000    5.285714
57805.406457 19.241693      NaN    28    15 c    0   1.95 125.92251 21.43444  5018.69  4743.81 3.83 3.68  87.9 -0.377    19.65 21.59 02a57805o0354c 0x000000    1.866667
57805.427341 19.696897      NaN   -47    16 c    0   2.93 125.92251 21.43444  5075.78  4822.84 4.33 4.09  83.8 -0.372    19.49 21.60 02a57805o0391c 0x000000   -2.937500
57805.438720 19.922338      NaN    -3    13 c    0   3.40 125.92251 21.43444  5095.36  4704.50 4.04 3.85  86.2 -0.365    19.59 21.60 02a57805o0409c 0x000000   -0.230769
57805.449121 19.609992 0.313193    52    15 c    0   2.58 125.92251 21.43444  5060.73  4764.18 3.80 3.64  86.9 -0.380    19.63 21.54 02a57805o0428c 0x000000    3.466667
57809.379355 19.089302      NaN  -285    28 c    0   2.29 125.92251 21.43444  5301.22  2499.47 3.81 3.67  79.7 -0.383    18.69 20.54 02a57809o0303c 0x000000  -10.178571
57809.407979 17.762888      NaN -1000    95 c    0   1.38 125.92251 21.43444  5266.23  2459.69 3.83 3.70 -89.5 -0.388    17.63 19.40 02a57809o0353c 0x100002  -10.526316
57809.417118 17.729132      NaN  -202    98 c    0   0.98 125.92251 21.43444  5338.69  2536.65 3.78 3.64  89.9 -0.394    18.21 20.09 02a57809o0368c 0x100002   -2.061224
57809.429256 19.038793      NaN    37    17 c    0   2.35 125.92251 21.43444  5359.08  2421.65 3.80 3.72  86.4 -0.383    19.40 21.36 02a57809o0390c 0x000000    2.176471
57809.452015 19.841877      NaN   -56    14 c    0   3.07 125.92251 21.43444  5326.63  2478.34 3.81 3.75   3.5 -0.385    19.69 21.69 02a57809o0428c 0x000000   -4.000000
57817.277550 19.256669      NaN  -170    24 c    0   2.21 125.92251 21.43444  4616.99  8381.82 3.99 3.81  31.6 -0.438    19.07 20.69 02a57817o0034c 0x000000   -7.083333
57817.289091 19.401649      NaN  -206    21 c    0   2.00 125.92251 21.43444  4634.40  8424.79 4.07 3.82  28.8 -0.425    19.08 20.71 02a57817o0057c 0x000000   -9.809524
57817.297304 19.351140      NaN   -73    22 c    0   2.60 125.92251 21.43444  4584.01  8346.71 3.98 3.80  23.2 -0.439    19.09 20.72 02a57817o0073c 0x000000   -3.318182
57817.320037 19.401649      NaN  -266    21 c    0   2.47 125.92251 21.43444  4565.60  8468.56 3.87 3.80  21.2 -0.428    19.14 20.77 02a57817o0117c 0x000000  -12.666667
57817.330194 19.454622      NaN  -263    20 c    0   2.69 125.92251 21.43444  4598.42  8413.23 3.92 3.84  54.7 -0.418    19.14 20.75 02a57817o0136c 0x000000  -13.150000
57833.342335 19.696897      NaN  -134    16 c    0   2.24 125.92251 21.43444  5412.55  1589.81 3.77 3.65 -75.5 -0.396    19.01 20.82 02a57833o0222c 0x000000   -8.375000
57833.355695 19.696897      NaN  -162    16 c    0   2.40 125.92251 21.43444  5395.12  1550.18 3.76 3.61 -83.3 -0.401    19.02 20.80 02a57833o0247c 0x000000  -10.125000
57833.368074 19.766969      NaN  -152    15 c    0   2.45 125.92251 21.43444  5449.11  1631.76 3.79 3.62 -82.4 -0.400    19.01 20.78 02a57833o0269c 0x000000  -10.133333
57833.390073 19.696897      NaN   -51    16 c    0   2.34 125.92251 21.43444  5470.00  1515.22 3.80 3.70 -76.0 -0.400    18.97 20.75 02a57833o0308c 0x000000   -3.187500
57833.402324 19.569016      NaN  -104    18 c    0   1.70 125.92251 21.43444  5437.19  1568.43 3.78 3.66 -77.5 -0.399    18.97 20.72 02a57833o0329c 0x000000   -5.777778
57837.342276 19.419021      NaN     8    18 c    0   2.59 125.92251 21.43444  4669.30  2672.63 3.92 3.86 -89.4 -0.367    18.86 20.63 02a57837o0150c 0x000000    0.444444
57837.348323 19.569016      NaN   -29    18 c    0   1.87 125.92251 21.43444  4651.51  2634.18 3.88 3.79  84.9 -0.370    18.87 20.60 02a57837o0161c 0x000000   -1.611111
57837.369783 19.569016      NaN  -126    18 c    0   1.89 125.92251 21.43444  4707.76  2711.92 4.02 3.91  89.1 -0.368    18.82 20.60 02a57837o0200c 0x000000   -7.000000
57837.381117 19.569016      NaN    -4    18 c    0   2.20 125.92251 21.43444  4727.12  2593.21 3.95 3.86  84.9 -0.370    18.84 20.60 02a57837o0220c 0x000000   -0.222222
57837.391876 18.921935      NaN    38    20 c    0   1.99 125.92251 21.43444  4690.85  2653.55 3.89 3.82  82.2 -0.373    18.84 20.56 02a57837o0239c 0x000000    1.900000
57841.323920 19.529530      NaN     2    18 c    0   2.30 125.92251 21.43444  4632.72  4011.60 3.85 3.68  80.3 -0.369    18.95 20.72 02a57841o0182c 0x000000    0.111111
57841.349087 19.631075      NaN  -122    17 c    0   1.99 125.92251 21.43444  4614.94  3973.72 3.86 3.70  80.1 -0.370    18.91 20.67 02a57841o0230c 0x000000   -7.176471
57841.358412 19.569016      NaN  -200    18 c    0   2.19 125.92251 21.43444  4670.85  4047.58 3.93 3.76  88.7 -0.369    18.87 20.65 02a57841o0248c 0x000000  -11.111111
57841.369099 18.826541      NaN    53    18 c    0   2.58 125.92251 21.43444  4689.91  3934.63 3.93 3.77  86.7 -0.366    18.84 20.60 02a57841o0268c 0x000000    2.944444
57841.390065 19.510313      NaN  -123    19 c    0   1.45 125.92251 21.43444  4654.96  3990.33 3.95 3.82  87.2 -0.366    18.80 20.54 02a57841o0307c 0x000000   -6.473684
57845.256185 19.169763      NaN  -103    26 c    0   1.70 125.92251 21.43444  7484.72  3155.93 4.40 4.18  46.9 -0.400    18.51 20.04 02a57845o0070c 0x000000   -3.961538
57845.267394 19.256669      NaN   -39    24 c    0   2.21 125.92251 21.43444  7469.77  3118.38 4.82 4.34   4.6 -0.382    18.46 20.06 02a57845o0090c 0x000000   -1.625000
57845.291761 19.351140      NaN   -40    22 c    0   1.85 125.92251 21.43444  7524.01  3195.36 4.35 4.12   6.5 -0.387    18.54 20.10 02a57845o0133c 0x000000   -1.818182
57845.303531 19.051202      NaN  -165    29 c    0   1.35 125.92251 21.43444  7543.47  3077.54 6.43 4.21   2.1 -0.334    18.30 20.08 02a57845o0154c 0x000000   -5.689655
57845.310255 19.256669      NaN   -57    24 c    0   2.00 125.92251 21.43444  7508.04  3134.91 4.21 4.02  72.9 -0.392    18.54 20.07 02a57845o0166c 0x000000   -2.375000
57865.357634 19.051202      NaN    42    15 c    0   4.10 125.92251 21.43444  6287.47  2153.61 3.04 2.93  30.6 -0.410    19.02 20.17 02a57865o0190c 0x000000    2.800000
57865.386839 19.454622 0.289530    60    16 c    0   2.58 125.92251 21.43444  6362.46  2115.42 3.33 3.18  32.2 -0.398    18.94 20.15 02a57865o0245c 0x000000    3.750000
57893.251172 19.063754 0.164123    86    13 c    0   3.07 125.92251 21.43444  4245.91  4907.34 2.66 2.56  19.4 -0.475    19.24 20.39 02a57893o0013c 0x000000    6.615385
57893.257473 18.836735 0.143399   106    14 c    0   2.27 125.92251 21.43444  4227.66  4867.73 2.71 2.52  13.8 -0.487    19.37 20.67 02a57893o0025c 0x000000    7.571429
57893.266367 18.684100 0.124593   122    14 c    0   3.61 125.92251 21.43444  4281.12  4944.89 2.74 2.50  23.3 -0.488    19.35 20.69 02a57893o0042c 0x000000    8.714286
57893.277892 19.841877      NaN   -22    14 c    0   2.74 125.92251 21.43444  4297.46  4828.91 2.76 2.45  22.5 -0.486    19.31 20.63 02a57893o0064c 0x000000   -1.571429
57893.290478 19.719755 0.323411    47    14 c    0   2.66 125.92251 21.43444  4263.41  4884.98 2.81 2.43  22.1 -0.494    19.25 20.55 02a57893o0088c 0x000000    3.357143
57901.258486 19.419021 0.280190    62    16 c    0   2.52 125.92251 21.43444  5363.84  3455.87 3.21 2.96  42.4 -0.435    19.16 20.47 02a57901o0042c 0x000000    3.875000
57901.267422 19.510313      NaN     9    16 c    0   1.81 125.92251 21.43444  5380.48  3338.08 3.19 2.91  43.3 -0.438    19.21 20.57 02a57901o0059c 0x000000    0.562500
