         MJD         m       dm    uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask    __tmp_SN
57705.541113 18.675237      NaN   -188    41 o    0   1.98 125.92251 21.43444  2997.41  8831.37 3.40 3.37  33.3 -0.452    18.62 19.45 02a57705o0649o 0x000000   -4.585366
57705.558020 18.944322      NaN   -219    32 o    0   3.74 125.92251 21.43444  3014.22  8872.16 3.36 3.31  29.2 -0.458    18.67 19.52 02a57705o0672o 0x000000   -6.843750
57705.573793 18.816441      NaN   -176    36 o    0   3.10 125.92251 21.43444  2940.49  8797.83 3.41 3.37  19.3 -0.456    18.69 19.57 02a57705o0695o 0x000000   -4.888889
57705.590101 18.910912      NaN   -335    33 o    0   2.78 125.92251 21.43444  2920.53  8917.27 3.49 3.45  30.7 -0.455    18.70 19.62 02a57705o0717o 0x000000  -10.151515
57705.605392 19.051202      NaN    -59    29 o    0   3.49 125.92251 21.43444  2955.14  8860.85 3.40 3.32  20.5 -0.463    18.77 19.69 02a57705o0739o 0x000000   -2.034483
57709.650910 18.649074      NaN   -206    42 o    0   1.35 125.92251 21.43444  4178.17  2585.69 4.31 4.17 -30.3 -0.380    18.27 19.15 02a57709o0005o 0x000000   -4.904762
57737.431224 17.124707      NaN   -161   171 o    0   1.35 125.92251 21.43444  5278.28  8741.24 3.38 3.34 -14.3 -0.504    18.06 18.49 02a57737o0456o 0x100002   -0.941520
57737.451619 17.203704      NaN   -455   159 o    0   1.59 125.92251 21.43444  5283.52  8784.15 3.41 3.36 -20.2 -0.499    18.09 18.55 02a57737o0489o 0x100002   -2.861635
57737.463670 17.156927      NaN   -327   166 o    0   1.43 125.92251 21.43444  5232.02  8707.94 3.29 3.20 -36.1 -0.519    18.13 18.56 02a57737o0510o 0x100002   -1.969880
57737.475513 17.150406      NaN   -423   167 o    0   1.13 125.92251 21.43444  5216.68  8825.94 3.32 3.26 -41.3 -0.505    18.14 18.59 02a57737o0530o 0x100002   -2.532934
57737.480062 17.349660      NaN   -202   139 o    0   1.75 125.92251 21.43444  5255.45  8768.45 3.34 3.26 -35.5 -0.519    18.13 18.59 02a57737o0537o 0x100002   -1.453237
57759.636143 19.401649      NaN   -398    21 o    0   2.07 125.92251 21.43444  4809.00  4099.84 3.65 3.52 -85.6 -0.419    19.23 20.74 02a57759o0030o 0x000000  -18.952381
57759.652408 19.401649      NaN    -69    21 o    0   2.10 125.92251 21.43444  6564.35  2364.33 3.69 3.52 -82.4 -0.448    19.13 20.63 02a57759o0059o 0x000000   -3.285714
57759.665622 19.089302      NaN   -207    28 o    0   1.69 125.92251 21.43444  5675.83  3230.18 3.63 3.40 -82.8 -0.457    18.91 20.15 02a57759o0083o 0x000000   -7.392857
57761.449621 19.302877      NaN   -228    23 o    0   2.36 125.92251 21.43444  4778.22  5568.36 3.54 3.42 -81.4 -0.448    18.93 20.09 02a57761o0446o 0x000000   -9.913043
57761.459844 19.256669      NaN   -152    24 o    0   2.01 125.92251 21.43444  4797.03  5608.71 3.46 3.36 -77.4 -0.456    18.97 20.13 02a57761o0463o 0x000000   -6.333333
57761.471336 19.256669      NaN   -262    24 o    0   2.19 125.92251 21.43444  4725.66  5532.29 3.44 3.36 -75.8 -0.460    18.99 20.16 02a57761o0479o 0x000000  -10.916667
57761.484367 19.302877      NaN    -44    23 o    0   1.67 125.92251 21.43444  5806.21  4799.74 3.48 3.38 -81.2 -0.445    19.01 20.19 02a57761o0501o 0x000000   -1.913043
