         MJD         m       dm   uJy  duJy F  err  chi/N       RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57745.623036 19.569016      NaN   -57    18 c    0   1.53 180.7794 20.80606  5163.36  8859.49 3.76 3.66  28.7 -0.446    19.50 21.31 02a57745o0780c 0x000000  -3.166667
57745.638330 19.569016      NaN   -12    18 c    0   1.26 180.7794 20.80606  5189.19  8898.17 3.52 3.30 -18.9 -0.401    19.54 21.33 02a57745o0803c 0x000000  -0.666667
57745.655038 19.631075      NaN   -24    17 c    0   2.17 180.7794 20.80606  5114.89  8821.43 3.60 3.43 -20.3 -0.400    19.52 21.33 02a57745o0827c 0x000000  -1.411765
57745.669571 18.615142      NaN     1    43 c    0   1.16 180.7794 20.80606  5095.39  8940.97 3.66 3.45 -13.9 -0.412    18.73 19.79 02a57745o0851c 0x100002   0.023256
57753.604469 18.657725      NaN    17    36 c    0   1.32 180.7794 20.80606  7537.51  8119.65 3.76 3.48 -86.6 -0.440    18.72 20.62 02a57753o0630c 0x100002   0.472222
57753.637247 18.125925      NaN -1398    68 c    0   2.21 180.7794 20.80606  7486.02  8082.64 3.62 3.43 -82.9 -0.429    17.47 19.32 02a57753o0677c 0x100002 -20.558824
57753.654249 19.351140      NaN  -241    22 c    0   2.81 180.7794 20.80606  7466.17  8204.61 3.68 3.47 -85.4 -0.448    19.21 21.14 02a57753o0701c 0x000000 -10.954545
57753.670337 17.707197      NaN -1355   100 c    0   1.62 180.7794 20.80606  2999.51  2307.19 3.98 3.90 -87.8 -0.388    17.67 19.11 02a57753o0724c 0x100002 -13.550000
57757.597247 19.841877      NaN   -61    14 c    0   1.26 180.7794 20.80606  5141.31  8082.23 3.49 3.42 -29.5 -0.464    19.79 21.78 02a57757o0721c 0x000000  -4.357143
57757.612949 19.841877      NaN   -56    14 c    0   1.59 180.7794 20.80606  5166.07  8121.86 3.41 3.30 -27.4 -0.415    19.83 21.82 02a57757o0744c 0x000000  -4.000000
57757.630140 19.922338      NaN   -10    13 c    0   2.13 180.7794 20.80606  5109.64  8044.28 3.42 3.30 -24.8 -0.430    19.84 21.84 02a57757o0768c 0x000000  -0.769231
57757.647108 19.922338      NaN   -99    13 c    0  13.51 180.7794 20.80606  5068.45  8165.00 3.49 3.31 -18.2 -0.414    19.82 21.87 02a57757o0792c 0x100001  -7.615385
57757.663216 19.766969      NaN   -28    15 c    0   1.29 180.7794 20.80606  5382.58  2343.13 3.76 3.61 -89.8 -0.388    19.68 21.54 02a57757o0815c 0x000000  -1.866667
57777.565523 19.841877      NaN   -14    14 c    0   1.46 180.7794 20.80606  7928.82  9574.55 4.04 3.90  86.7 -0.408    19.82 22.00 02a57777o0689c 0x000000  -1.000000
57777.575146 19.766969      NaN   -17    15 c    0   1.32 180.7794 20.80606  2546.37   837.59 3.97 3.92 -38.1 -0.404    19.84 21.99 02a57777o0705c 0x000000  -1.133333
57777.584694 19.922338      NaN   -50    13 c    0   1.61 180.7794 20.80606  2619.31   918.18 3.89 3.83 -39.7 -0.411    19.87 21.99 02a57777o0721c 0x000000  -3.846154
57777.605612 19.766969      NaN   -39    15 c    0   1.43 180.7794 20.80606  2634.88   797.17 3.96 3.90 -39.2 -0.402    19.82 21.94 02a57777o0755c 0x000000  -2.600000
