         MJD         m       dm   uJy  duJy F  err  chi/N       RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask    __tmp_SN
57709.659597 16.052665      NaN    27   450 o    0   0.96 180.7794 20.80606  8215.95  9168.38 4.41 4.24  78.2 -0.447    17.46 17.71 02a57709o0019o 0x100002    0.060000
57761.576940 19.631075      NaN   -84    17 o    0   1.81 180.7794 20.80606  6601.17  6859.34 3.34 3.11 -57.8 -0.449    19.57 21.33 02a57761o0647o 0x000000   -4.941176
57761.585570 19.569016      NaN   -61    18 o    0   2.00 180.7794 20.80606  6620.18  6899.11 3.33 3.06 -57.1 -0.431    19.57 21.30 02a57761o0661o 0x000000   -3.388889
57761.600272 19.569016      NaN    -7    18 o    0   1.59 180.7794 20.80606  6566.39  6823.58 3.40 3.18 -60.7 -0.474    19.54 21.27 02a57761o0683o 0x000000   -0.388889
57761.617225 19.696897      NaN   -52    16 o    0   2.14 180.7794 20.80606  6523.29  6944.01 3.38 3.19 -56.7 -0.472    19.55 21.29 02a57761o0705o 0x000000   -3.250000
57761.633163 19.766969      NaN  -159    15 o    0   2.51 180.7794 20.80606  6577.82  6888.10 3.39 3.22 -58.5 -0.470    19.59 21.37 02a57761o0727o 0x000000  -10.600000
57765.510722 18.356290      NaN   -52    55 o    0   1.35 180.7794 20.80606  7903.02    82.68 3.54 3.44 -88.6 -0.471    18.31 18.90 02a57765o0597o 0x100002   -0.945455
57765.512822 18.147425      NaN     8    64 o    0   1.12 180.7794 20.80606  7934.31  9947.11 3.30 3.04 -53.0 -0.469    18.34 18.91 02a57765o0601o 0x100002    0.125000
57765.533314 18.197417      NaN    29    54 o    0   1.61 180.7794 20.80606  7954.43  9988.75 3.45 3.28 -68.4 -0.435    18.35 18.98 02a57765o0633o 0x100002    0.537037
57765.534372 18.417189      NaN  -101    52 o    0   1.18 180.7794 20.80606  7921.90   124.50 3.54 3.45  78.1 -0.459    18.34 18.94 02a57765o0635o 0x100002   -1.942308
57765.538619 16.699396      NaN   252   169 o    0   0.31 180.7794 20.80606  7866.67    47.89 3.56 3.44 -80.8 -0.450    18.36 18.97 02a57765o0643o 0x100002    1.491124
