         MJD         m       dm   uJy  duJy F  err  chi/N        RA   Dec        x       y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask    __tmp_SN
57745.656601 19.766969      NaN  -109    15 c    0   1.89 193.92175 27.25  3482.14 6004.76 3.82 3.66  63.7 -0.417    19.50 21.29 02a57745o0830c 0x000000   -7.266667
57745.670594 18.615142      NaN    13    39 c    0   1.32 193.92175 27.25  3499.90 6045.65 3.88 3.76  61.5 -0.414    18.55 19.46 02a57745o0853c 0x100002    0.333333
57753.639617 18.034118      NaN  -410    74 c    0   1.20 193.92175 27.25  5813.40 5286.58 3.71 3.53 -88.1 -0.406    17.86 19.73 02a57753o0680c 0x100002   -5.540541
57753.655233 19.212347      NaN  -518    25 c    0   3.05 193.92175 27.25  5837.30 5326.46 3.74 3.56  89.5 -0.397    19.04 20.95 02a57753o0703c 0x100002  -20.720000
57753.672383 17.976960      NaN  -303    78 c    0   1.24 193.92175 27.25  5784.03 5248.58 3.81 3.65  87.7 -0.383    17.82 19.06 02a57753o0727c 0x100002   -3.884615
57757.632492 19.841877      NaN   -62    14 c    0   2.23 193.92175 27.25  3452.93 5237.04 3.70 3.56  76.1 -0.403    19.86 21.92 02a57757o0771c 0x000000   -4.428571
57757.648095 19.491430      NaN    16    14 c    0   2.55 193.92175 27.25  3477.73 5276.36 3.74 3.57  68.7 -0.400    19.87 21.94 02a57757o0794c 0x000000    1.142857
57757.665273 19.841877      NaN   -48    14 c    0   2.33 193.92175 27.25  3407.92 5198.39 3.71 3.55  72.6 -0.402    19.61 21.38 02a57757o0818c 0x000000   -3.428571
57757.681368 16.702260 0.309801   757   216 c    0   1.38 193.92175 27.25  3385.84 5317.80 3.78 3.63  78.6 -0.367    17.55 17.42 02a57757o0842c 0x100002    3.504630
57777.590192 19.922338      NaN    -2    13 c    0   1.77 193.92175 27.25  6200.25 6725.62 3.79 3.60  85.2 -0.393    19.85 22.02 02a57777o0731c 0x000000   -0.153846
57777.604263 19.922338      NaN    -4    13 c    0   3.30 193.92175 27.25  6213.29 6768.06 3.77 3.58  86.8 -0.399    19.84 22.00 02a57777o0753c 0x000000   -0.307692
57777.621728 19.719755      NaN     5    14 c    0   1.88 193.92175 27.25  6162.62 6689.76 3.78 3.62  85.1 -0.393    19.81 21.95 02a57777o0779c 0x000000    0.357143
57777.639546 20.009244      NaN   -88    12 c    0   2.62 193.92175 27.25  4347.29 3643.34 3.94 3.86  87.8 -0.364    19.73 21.88 02a57777o0805c 0x000000   -7.333333
57777.656853 20.009244      NaN  -116    12 c    0   2.59 193.92175 27.25  4310.96 3702.35 3.83 3.74  81.3 -0.375    19.73 21.82 02a57777o0831c 0x000000   -9.666667
57781.570225 20.009244      NaN  -106    12 c    0   2.32 193.92175 27.25  5859.51 6453.62 3.53 3.38 -69.9 -0.449    19.95 22.07 02a57781o0630c 0x000000   -8.833333
57781.603381 20.103715      NaN   -49    11 c    0   3.05 193.92175 27.25  4629.89 3954.66 3.73 3.57  80.2 -0.398    19.94 22.06 02a57781o0687c 0x000000   -4.454545
57781.612138 20.103715      NaN   -72    11 c    0   3.18 193.92175 27.25  5803.41 6417.55 3.54 3.41 -74.0 -0.446    19.95 22.08 02a57781o0700c 0x000000   -6.545455
57781.629842 19.922338      NaN   -12    13 c    0   2.55 193.92175 27.25  4710.09 3914.51 3.74 3.60  81.1 -0.394    19.91 22.03 02a57781o0726c 0x000000   -0.923077
57781.648413 20.009244      NaN   -35    12 c    0   2.50 193.92175 27.25  4678.07 3974.21 3.81 3.74  27.6 -0.392    19.85 21.97 02a57781o0752c 0x000000   -2.916667
57809.538905 19.631075      NaN  -125    17 c    0   2.16 193.92175 27.25  5168.14 4037.02 3.78 3.60  85.9 -0.379    19.47 21.50 02a57809o0578c 0x000000   -7.352941
57809.551049 19.454622      NaN  -428    20 c    0   4.44 193.92175 27.25  5151.58 3998.75 3.81 3.66  81.9 -0.371    19.31 21.32 02a57809o0598c 0x000000  -21.400000
57809.572073 19.351140      NaN  -407    22 c    0   2.55 193.92175 27.25  5203.33 4076.77 3.74 3.60  82.6 -0.380    19.11 21.04 02a57809o0635c 0x000000  -18.500000
57817.467800 20.009244      NaN  -126    12 c    0   3.54 193.92175 27.25  4755.27 6846.97 3.73 3.63  85.6 -0.409    19.76 21.90 02a57817o0382c 0x000000  -10.500000
57817.487272 19.841877      NaN   -11    14 c    0   2.46 193.92175 27.25  4772.91 6890.03 3.74 3.63 -86.8 -0.406    19.66 21.80 02a57817o0418c 0x000000   -0.785714
57817.499173 19.569016      NaN     9    15 c    0   2.29 193.92175 27.25  4719.05 6815.38 3.85 3.73  85.1 -0.395    19.71 21.88 02a57817o0437c 0x000000    0.600000
57817.516778 19.766969      NaN   -57    15 c    0   1.70 193.92175 27.25  4701.20 6939.84 3.79 3.69  81.0 -0.397    19.75 21.92 02a57817o0468c 0x000000   -3.800000
57817.534480 19.766969      NaN   -16    15 c    0   2.42 193.92175 27.25  5747.51 3573.53 3.86 3.73 -89.3 -0.374    19.59 21.74 02a57817o0496c 0x000000   -1.066667
57833.480290 20.103715      NaN  -431    11 c    0   5.77 193.92175 27.25  5285.60 3134.72 3.91 3.80 -77.2 -0.379    19.04 21.03 02a57833o0460c 0x000000  -39.181818
57833.514201 19.631075      NaN  -144    17 c    0   2.12 193.92175 27.25  5265.78 3096.71 3.85 3.73 -88.3 -0.379    18.89 20.59 02a57833o0517c 0x000000   -8.470588
57833.516814 19.696897      NaN  -212    16 c    0   2.48 193.92175 27.25  5317.63 3174.42 3.82 3.65 -87.2 -0.389    18.89 20.57 02a57833o0522c 0x000000  -13.250000
57833.534056 19.510313      NaN   -78    19 c    0   1.71 193.92175 27.25  5336.70 3061.15 3.98 3.85   1.9 -0.374    18.81 20.49 02a57833o0551c 0x000000   -4.105263
57833.540926 19.454622      NaN   -89    20 c    0   1.74 193.92175 27.25  5302.88 3117.90 4.61 3.82  -0.4 -0.380    18.71 20.47 02a57833o0564c 0x000000   -4.450000
57837.478368 19.841877      NaN   -71    14 c    0   2.35 193.92175 27.25  4543.28 4213.18 3.86 3.82  12.7 -0.372    19.04 21.02 02a57837o0388c 0x000000   -5.071429
57837.491839 19.631075      NaN    -1    17 c    0   1.82 193.92175 27.25  4527.43 4174.52 5.19 3.91  -1.3 -0.341    18.88 21.07 02a57837o0411c 0x000000   -0.058824
57837.512259 19.696897      NaN   -84    16 c    0   1.86 193.92175 27.25  4579.48 4254.66 4.10 3.80   0.9 -0.382    19.02 21.06 02a57837o0445c 0x000000   -5.250000
57837.518203 19.766969      NaN   -98    15 c    0   2.51 193.92175 27.25  4595.59 4136.88 3.97 3.77   2.8 -0.381    19.04 21.06 02a57837o0456c 0x000000   -6.533333
57837.542499 19.841877      NaN   -57    14 c    0   3.18 193.92175 27.25  4563.48 4195.84 3.73 3.56  84.9 -0.392    19.06 21.04 02a57837o0497c 0x000000   -4.071429
57841.472341 19.569016      NaN   -63    18 c    0   2.27 193.92175 27.25  4508.76 5548.75 4.15 3.76   4.3 -0.373    18.98 20.97 02a57841o0457c 0x000000   -3.500000
57841.483465 19.569016      NaN  -130    18 c    0   2.11 193.92175 27.25  4491.22 5509.81 4.01 3.94  65.4 -0.369    18.96 20.94 02a57841o0477c 0x000000   -7.222222
57841.486597 19.569016      NaN  -162    18 c    0   2.31 193.92175 27.25  4542.95 5587.78 4.36 3.90  -0.4 -0.383    18.92 20.93 02a57841o0483c 0x000000   -9.000000
57841.511398 19.631075      NaN  -189    17 c    0   2.37 193.92175 27.25  4564.65 5471.97 3.72 3.60  76.5 -0.393    19.01 20.84 02a57841o0525c 0x000000  -11.117647
57841.525900 19.696897      NaN  -372    16 c    0   3.99 193.92175 27.25  4528.70 5528.76 3.76 3.61  77.5 -0.395    18.98 20.80 02a57841o0550c 0x000000  -23.250000
57869.528039 20.207197      NaN  -137    10 c    0   3.91 193.92175 27.25  4440.89 5800.31 2.54 2.43  12.0 -0.464    19.35 20.47 02a57869o0366c 0x000000  -13.700000
57869.542365 19.719755 0.277209    47    12 c    0   3.80 193.92175 27.25  4424.30 5762.57 2.56 2.46  14.2 -0.468    19.28 20.38 02a57869o0393c 0x000000    3.916667
57869.557212 18.836735 0.143399   106    14 c    0   4.07 193.92175 27.25  4475.89 5841.97 2.72 2.61  18.3 -0.463    19.15 20.24 02a57869o0421c 0x000000    7.571429
57869.571957 19.334813      NaN    22    15 c    0   3.35 193.92175 27.25  4494.69 5725.49 3.00 2.92  12.7 -0.469    18.95 20.09 02a57869o0449c 0x000000    1.466667
57869.586736 19.197966      NaN    28    16 c    0   2.57 193.92175 27.25  4458.10 5787.40 3.11 3.01  18.2 -0.452    18.76 19.88 02a57869o0477c 0x000000    1.750000
57893.360155 20.449472      NaN   -68     8 c    0   8.74 193.92175 27.25  4113.76 6453.15 2.48 2.24  13.1 -0.492    19.84 21.72 02a57893o0221c 0x000000   -8.500000
57893.390020 20.071303      NaN     7     9 c    0   6.14 193.92175 27.25  4099.50 6413.37 2.54 2.29  13.0 -0.489    19.78 21.59 02a57893o0276c 0x000000    0.777778
57893.393682 19.367717 0.183740    65    11 c    0   7.05 193.92175 27.25  4151.54 6490.66 2.57 2.33  10.2 -0.490    19.74 21.57 02a57893o0283c 0x000000    5.909091
57893.409153 20.171596 0.350237    31    10 c    0   3.41 193.92175 27.25  4170.26 6375.25 2.62 2.38  17.4 -0.488    19.72 21.55 02a57893o0311c 0x000000    3.100000
57893.430857 20.207197      NaN   -24    10 c    0   3.09 193.92175 27.25  4136.33 6432.15 2.93 2.61  15.2 -0.475    19.59 21.49 02a57893o0350c 0x000000   -2.400000
57901.343340 20.594452      NaN  -136     7 c    0   7.20 193.92175 27.25  5170.92 4956.09 2.56 2.45  30.7 -0.476    19.86 21.76 02a57901o0126c 0x000000  -19.428571
57901.372190 20.321591      NaN   -22     9 c    0   5.40 193.92175 27.25  5155.62 4915.51 2.60 2.48  27.3 -0.472    19.80 21.66 02a57901o0182c 0x000000   -2.444444
57901.375740 20.071303      NaN     4    10 c    0   7.00 193.92175 27.25  5224.80 4993.56 2.61 2.50  32.1 -0.481    19.83 21.64 02a57901o0189c 0x000000    0.400000
57901.397740 20.207197      NaN   -10    10 c    0   6.53 193.92175 27.25  5243.34 4875.66 2.58 2.50  19.2 -0.479    19.70 21.48 02a57901o0230c 0x000000   -1.000000
57901.411692 20.009244 0.271434    36     9 c    0   4.32 193.92175 27.25  5193.49 4934.91 2.61 2.48  21.1 -0.473    19.75 21.53 02a57901o0256c 0x000000    4.000000
57905.260745 19.841877      NaN     3    13 c    0   2.52 193.92175 27.25  4858.56 5378.59 2.64 2.54 -52.1 -0.436    19.41 20.56 02a57905o0047c 0x000000    0.230769
57905.261250 19.549093      NaN    16    13 c    0   1.95 193.92175 27.25  4875.88 5417.42 2.65 2.53 -50.8 -0.430    19.42 20.56 02a57905o0048c 0x000000    1.230769
57905.267049 20.103715      NaN   -52    11 c    0   4.93 193.92175 27.25  4824.67 5338.79 2.70 2.56 -56.0 -0.425    19.42 20.59 02a57905o0059c 0x000000   -4.727273
58163.599540 18.504094      NaN  -351    48 c    0   3.15 193.92175 27.25   843.27 1307.24 2.61 2.34  49.3 -0.477    18.28 20.23 02a58163o0708c 0x100002   -7.312500
58163.610995 18.280067      NaN  -188    59 c    0   2.10 193.92175 27.25   827.04 1267.63 2.63 2.33  50.2 -0.483    17.89 19.78 02a58163o0730c 0x100002   -3.186441
58163.628547 20.761819      NaN  -134     6 c    0   9.82 193.92175 27.25   880.79 1344.80 2.96 2.59  45.6 -0.454    19.79 21.96 02a58163o0764c 0x000000  -22.333333
58163.632115 20.594452      NaN  -100     7 c    0   9.25 193.92175 27.25   897.78 1224.59 2.86 2.49  44.1 -0.470    19.78 21.96 02a58163o0771c 0x000000  -14.285714
58167.613403 17.613631      NaN  -237   109 c    0   1.04 193.92175 27.25  5657.51 8278.75 2.55 2.36  16.0 -0.475    17.12 18.79 02a58167o0838c 0x100002   -2.174312
