         MJD         m       dm    uJy  duJy F  err   chi/N        RA   Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs     Mask     __tmp_SN
57761.601238 18.574166 0.152807    135    19 o    0    3.06 193.92175 27.25  4892.52  4025.34  3.60 3.42 -87.7 -0.441    19.54 21.30 02a57761o0684o 0x000000     7.105263
57761.617721 18.152867 0.098207    199    18 o    0    3.50 193.92175 27.25  4908.80  4067.13  3.52 3.40 -83.4 -0.451    19.56 21.30 02a57761o0706o 0x000000    11.055556
57761.633657 18.220396 0.092897    187    16 o    0    4.32 193.92175 27.25  4859.39  3990.38  3.61 3.44 -87.0 -0.445    19.60 21.43 02a57761o0728o 0x000000    11.687500
57761.650810 19.367717      NaN     17    16 o    0    6.61 193.92175 27.25  4837.04  4110.92  3.58 3.42 -85.6 -0.443    19.62 21.44 02a57761o0750o 0x000000     1.062500
57761.668184 18.048890 0.104112    219    21 o    0    3.46 193.92175 27.25  4873.74  4055.74  3.52 3.35 -77.2 -0.457    19.37 20.89 02a57761o0772o 0x000000    10.428571
57765.567046 18.115332      NaN     56    50 o    0    1.97 193.92175 27.25  6200.22  7099.11  3.41 3.21 -75.3 -0.492    18.45 19.12 02a57765o0688o 0x100002     1.120000
57765.579692 18.396507 0.320941    159    47 o    0    1.86 193.92175 27.25  6215.77  7138.38  3.50 3.32 -79.0 -0.474    18.45 19.16 02a57765o0707o 0x100002     3.382979
57765.593914 18.255804 0.257937    181    43 o    0    2.23 193.92175 27.25  6162.24  7062.69  3.43 3.25 -72.4 -0.483    18.51 19.22 02a57765o0729o 0x100002     4.209302
57765.616793 17.829663 0.166101    268    41 o    0    2.27 193.92175 27.25  6143.92  7181.02  3.53 3.33  49.5 -0.453    18.52 19.28 02a57765o0765o 0x000000     6.536585
57765.628120 17.829663 0.174204    268    43 o    0    2.41 193.92175 27.25  6180.53  7125.81  3.37 3.24 -70.4 -0.474    18.56 19.29 02a57765o0785o 0x100002     6.232558
57773.637334 19.287255      NaN      7    21 o    0    2.05 193.92175 27.25  6276.41  5992.54  3.72 3.61  83.8 -0.423    19.10 20.60 02a57773o0102o 0x000000     0.333333
57773.653741 18.826541      NaN     38    23 o    0    2.71 193.92175 27.25  6258.01  5953.86  3.68 3.53  83.3 -0.421    19.12 20.59 02a57773o0129o 0x000000     1.652174
57773.668897 18.944322 0.305363     96    27 o    0    1.93 193.92175 27.25  6308.79  6032.50  3.82 3.67  74.9 -0.412    18.82 20.08 02a57773o0153o 0x000000     3.555556
57773.682232 16.566282      NaN    -38   286 o    0    1.66 193.92175 27.25  6338.97  5917.60 39.14 1.74  -3.1 -0.136    17.43 17.16 02a57773o0177o 0x100002    -0.132867
57789.536563 19.569016      NaN   -140    18 o    0    4.79 193.92175 27.25  3794.01  7297.28  3.36 3.30 -17.3 -0.460    19.56 21.30 02a57789o0579o 0x000000    -7.777778
57789.547922 19.569016      NaN   -110    18 o    0    3.47 193.92175 27.25  3829.24  7336.11  3.30 3.18 -20.0 -0.420    19.61 21.38 02a57789o0599o 0x000000    -6.111111
57789.551144 19.076453 0.242694     85    19 o    0    3.27 193.92175 27.25  3759.58  7258.27  3.30 3.18 -25.3 -0.444    19.61 21.37 02a57789o0605o 0x000000     4.473684
57789.573880 19.696897      NaN   -197    16 o    0    4.59 193.92175 27.25  3735.00  7380.78  3.89 3.50  16.6 -0.443    19.53 21.44 02a57789o0642o 0x000000   -12.312500
57789.590507 19.472870      NaN      2    19 o    0    2.27 193.92175 27.25  3773.42  7324.44  3.82 3.65  59.4 -0.436    19.55 21.48 02a57789o0666o 0x000000     0.105263
57793.487783 18.349730 0.189677    166    29 o    0    2.48 193.92175 27.25  5671.75  5518.77  3.49 3.32 -85.2 -0.448    18.62 19.44 02a57793o0472o 0x000000     5.724138
57793.511720 18.889197 0.343996    101    32 o    0    1.72 193.92175 27.25  5686.43  5560.36  3.49 3.33 -86.6 -0.446    18.68 19.55 02a57793o0513o 0x000000     3.156250
57793.521442 18.489118 0.237970    146    32 o    0    2.79 193.92175 27.25  5633.51  5485.11  3.48 3.34 -86.6 -0.442    18.70 19.58 02a57793o0530o 0x000000     4.562500
57793.528581 18.336727      NaN     75    31 o    0    1.88 193.92175 27.25  5617.68  5601.75  3.51 3.33 -85.0 -0.443    18.70 19.59 02a57793o0540o 0x000000     2.419355
57793.549606 17.949472 0.131193    240    29 o    0    2.09 193.92175 27.25  5649.69  5546.41  3.53 3.41 -85.0 -0.432    18.72 19.65 02a57793o0574o 0x000000     8.275862
57797.539369 18.757738      NaN    -71    38 o    0    1.54 193.92175 27.25  3300.68  5200.80  3.51 3.42  61.7 -0.465    18.46 19.21 02a57797o0480o 0x000000    -1.868421
57797.550991 18.729535      NaN    -73    39 o    0    1.21 193.92175 27.25  3314.38  5240.94  3.70 3.52  22.3 -0.446    18.43 19.26 02a57797o0500o 0x000000    -1.871795
57797.553551 17.643932      NaN    126    64 o    0    1.35 193.92175 27.25  4866.88  4828.83  3.79 3.68 -14.9 -0.712    18.30 19.45 01a57797o0617o 0x100002     1.968750
57797.567620 17.597155      NaN    119    71 o    0    1.26 193.92175 27.25  4847.01  4785.12  3.85 3.79  -7.8 -0.745    18.29 19.48 01a57797o0640o 0x100002     1.676056
57797.571416 18.631975      NaN      8    40 o    0    1.41 193.92175 27.25  7238.43  5284.25  3.52 3.32 -75.8 -0.461    18.50 19.23 02a57797o0534o 0x000000     0.200000
57797.577801 17.981610 0.167753    233    36 o    0    1.75 193.92175 27.25  7271.47  5170.90  3.38 3.13 -67.5 -0.488    18.54 19.23 02a57797o0545o 0x000000     6.472222
57797.589131 17.607010 0.310210    329    94 o    0    1.27 193.92175 27.25  5650.71  5685.08  3.70 3.65  -4.6 -0.721    18.25 19.36 01a57797o0674o 0x100002     3.500000
57797.594530 17.793801      NaN     22    85 o    0    1.43 193.92175 27.25  5634.89  5801.10  3.57 3.45 -12.6 -0.731    18.30 19.37 01a57797o0684o 0x100002     0.258824
57797.603308 17.900816 0.142746    251    33 o    0    1.76 193.92175 27.25  7218.48  5225.87  3.40 3.15 -63.7 -0.464    18.53 19.24 02a57797o0583o 0x000000     7.606061
