         MJD         m       dm  uJy  duJy F  err  chi/N       RA     Dec        x       y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57780.681543 15.809287      NaN  400   441 c    0   1.01 204.3724 4.10471  2823.38 9102.03 3.62 3.33   7.7 -0.505    17.71 17.66 02a57780o0879c 0x100002   0.907029
57784.658264 19.766969      NaN  -19    15 c    0   2.14 204.3724 4.10471  4532.75 7270.11 3.85 3.74  62.7 -0.400    19.67 21.69 02a57784o0655c 0x000000  -1.266667
57804.623710 19.510313      NaN  -19    19 c    0   1.79 204.3724 4.10471  1599.03 9622.23 3.91 3.55  20.1 -0.413    19.40 21.12 02a57804o0785c 0x000000  -1.000000
57804.644840 19.454622      NaN  -44    20 c    0   1.44 204.3724 4.10471  1585.10 9584.08 3.71 3.33  13.5 -0.434    19.39 21.04 02a57804o0827c 0x000000  -2.200000
57804.658641 18.526952      NaN  -88    47 c    0   1.67 204.3724 4.10471  1643.99 9660.19 3.67 3.25   8.4 -0.451    18.83 20.38 02a57804o0852c 0x100002  -1.872340
57804.673198 16.906831      NaN -397   209 c    0   1.57 204.3724 4.10471  1664.35 9539.61 3.66 3.41  12.1 -0.449    17.73 17.97 02a57804o0880c 0x100002  -1.899522
57808.609662 19.696897      NaN -132    16 c    0   1.58 204.3724 4.10471  1689.45 8350.13 3.74 3.54  32.3 -0.436    19.65 21.54 02a57808o0745c 0x000000  -8.250000
57808.621236 19.631075      NaN  -50    17 c    0   1.62 204.3724 4.10471  1673.07 8313.24 3.69 3.50  31.0 -0.437    19.65 21.52 02a57808o0765c 0x000000  -2.941176
57808.664356 18.675237      NaN -151    41 c    0   1.24 204.3724 4.10471  1757.44 8268.11 3.74 3.55  29.2 -0.437    18.67 19.83 02a57808o0846c 0x100002  -3.682927
57816.538578 20.009244      NaN  -51    12 c    0   1.51 204.3724 4.10471  5785.17 3617.11 3.81 3.63  84.3 -0.380    19.77 21.90 02a57816o0558c 0x000000  -4.250000
57816.553945 19.841877      NaN  -31    14 c    0   1.89 204.3724 4.10471  4679.91 6793.29 3.57 3.52  61.3 -0.426    19.78 21.88 02a57816o0586c 0x000000  -2.214286
57816.562322 19.922338      NaN  -66    13 c    0   1.86 204.3724 4.10471  4738.42 6872.10 3.80 3.67  65.2 -0.404    19.74 21.88 02a57816o0601c 0x000000  -5.076923
57816.585295 19.351140      NaN   24    14 c    0   2.00 204.3724 4.10471  4760.21 6756.35 3.91 3.80  49.6 -0.390    19.69 21.85 02a57816o0643c 0x000000   1.714286
57816.591924 19.841877      NaN  -24    14 c    0   1.74 204.3724 4.10471  4717.09 6814.94 3.88 3.75  69.2 -0.393    19.70 21.86 02a57816o0654c 0x000000  -1.714286
57836.545288 19.212347      NaN -113    25 c    0   1.75 204.3724 4.10471  2088.23 8681.39 4.37 4.17  52.2 -0.389    18.62 20.52 02a57836o0595c 0x100002  -4.520000
57836.561754 19.351140      NaN -162    22 c    0   1.64 204.3724 4.10471  2070.09 8641.10 3.95 3.77  43.0 -0.417    18.89 20.68 02a57836o0625c 0x000000  -7.363636
57836.580128 19.128787      NaN -199    27 c    0   1.37 204.3724 4.10471  2130.17 8717.27 4.58 4.36  51.9 -0.360    18.55 20.49 02a57836o0658c 0x100002  -7.370370
57840.532292 19.510313      NaN  -94    19 c    0   2.10 204.3724 4.10471  2313.29 8250.58 3.70 3.51  23.4 -0.447    18.97 20.77 02a57840o0574c 0x000000  -4.947368
57844.505997 19.454622      NaN  -24    20 c    0   1.90 204.3724 4.10471  4402.06 8361.74 3.85 3.47   7.3 -0.427    19.55 21.57 02a57844o0521c 0x000000  -1.200000
57844.518721 19.334813      NaN    4    21 c    0   2.21 204.3724 4.10471  4386.34 8324.91 3.47 3.33  -7.2 -0.428    19.60 21.54 02a57844o0544c 0x000000   0.190476
57844.539989 19.351140      NaN  -49    22 c    0   1.57 204.3724 4.10471  4447.53 8401.09 3.59 3.47   1.4 -0.443    19.55 21.48 02a57844o0585c 0x000000  -2.227273
57844.562751 19.491430      NaN    1    19 c    0   2.16 204.3724 4.10471  4466.42 8282.83 3.64 3.55  10.4 -0.457    19.50 21.43 02a57844o0627c 0x000000   0.052632
57868.519104 19.287255      NaN   34    12 c    0   2.44 204.3724 4.10471  3072.27 6496.93 2.73 2.57   2.2 -0.469    19.16 20.19 02a57868o0340c 0x000000   2.833333
57868.532253 19.549093      NaN   10    15 c    0   1.58 204.3724 4.10471  3054.09 6458.14 2.99 2.85  19.2 -0.451    19.06 20.21 02a57868o0365c 0x000000   0.666667
57868.545361 19.922338      NaN  -10    13 c    0   2.09 204.3724 4.10471  3111.72 6535.65 2.67 2.48  10.3 -0.468    19.12 20.12 02a57868o0390c 0x000000  -0.769231
57868.558518 19.922338      NaN  -20    13 c    0   2.80 204.3724 4.10471  3130.52 6421.17 2.96 2.73  12.1 -0.456    18.98 20.07 02a57868o0415c 0x000000  -1.538462
57868.571623 19.674510      NaN    4    15 c    0   1.92 204.3724 4.10471  3093.25 6478.39 2.76 2.55  12.2 -0.472    18.95 19.93 02a57868o0440c 0x000000   0.266667
57900.397633 20.103715      NaN -172    11 c    0   7.14 204.3724 4.10471  3349.50 7302.46 2.41 2.19   6.6 -0.518    19.73 21.43 02a57900o0285c 0x000000 -15.636364
57900.415030 20.321591      NaN  -73     9 c    0   5.05 204.3724 4.10471  3332.04 7262.33 2.42 2.17   5.5 -0.517    19.68 21.35 02a57900o0318c 0x000000  -8.111111
57900.432043 20.039830 0.310210   35    10 c    0   2.99 204.3724 4.10471  3390.16 7339.95 2.48 2.20   3.5 -0.503    19.66 21.30 02a57900o0350c 0x000000   3.500000
57900.449705 20.103715      NaN  -66    11 c    0   5.55 204.3724 4.10471  3414.71 7221.61 2.42 2.18   3.7 -0.518    19.64 21.24 02a57900o0383c 0x000000  -6.000000
57904.384498 19.454622      NaN   24    12 c    0   2.15 204.3724 4.10471  2177.92 7665.93 2.93 2.77 -50.9 -0.388    19.51 21.05 02a57904o0102c 0x000000   2.000000
58082.659609 18.131260      NaN    8    65 c    0   1.31 204.3724 4.10471 10049.84 5253.13 3.04 2.78  62.7 -0.447    17.78 18.76 02a58082o0977c 0x100002   0.123077
58138.677825 19.169763      NaN  -39    26 c    0   1.84 204.3724 4.10471  2907.02 4957.52 2.44 2.39  14.9 -0.415    18.46 19.21 02a58138o0020c 0x100002  -1.500000
58162.633065 20.449472      NaN -123     8 c    0  11.12 204.3724 4.10471   307.00 3136.34 2.54 2.25  38.2 -0.459    19.88 21.85 02a58162o0405c 0x100001 -15.375000
58162.643728 20.449472      NaN   -8     8 c    0   3.63 204.3724 4.10471   288.92 3095.78 2.59 2.29  38.5 -0.449    19.86 21.85 02a58162o0427c 0x000000  -1.000000
58162.644642 20.449472      NaN  -18     8 c    0   6.75 204.3724 4.10471 10023.41 3147.48 2.58 2.44  55.1 -0.461    19.87 21.87 02a58162o0429c 0x000000  -2.250000
58162.653934 20.594452      NaN  -82     7 c    0   7.82 204.3724 4.10471   350.64 3171.72 2.53 2.27  41.4 -0.458    19.85 21.79 02a58162o0448c 0x000000 -11.714286
58162.655413 20.761819      NaN -138     6 c    0   6.65 204.3724 4.10471 10005.79 3108.21 2.56 2.45  59.7 -0.457    19.85 21.77 02a58162o0451c 0x000000 -23.000000
58162.664865 19.241693 0.267716   73    18 c    0   3.22 204.3724 4.10471   372.13 3054.93 2.52 2.29  40.2 -0.458    19.24 20.64 02a58162o0470c 0x000000   4.055556
58162.665846 19.922338      NaN  -53    13 c    0   3.63 204.3724 4.10471 10066.85 3184.94 2.56 2.48  72.6 -0.466    19.50 20.88 02a58162o0472c 0x000000  -4.076923
58162.676778 17.087264      NaN  153   126 c    0   1.44 204.3724 4.10471 10089.51 3068.20 2.72 2.62  72.8 -0.535    17.02 17.89 02a58162o0494c 0x100002   1.214286
58194.541207 20.449472      NaN  -79     8 c    0   4.85 204.3724 4.10471  3059.56 8570.35 2.55 2.43  -9.7 -0.437    19.74 21.49 02a58194o0687c 0x000000  -9.875000
58194.552904 20.207197      NaN  -85    10 c    0   3.66 204.3724 4.10471  3040.82 8530.33 2.58 2.45 -14.0 -0.438    19.70 21.47 02a58194o0705c 0x000000  -8.500000
58194.564577 19.419021      NaN   29    11 c    0   3.57 204.3724 4.10471  3095.34 8603.92 2.58 2.51 -22.1 -0.443    19.73 21.47 02a58194o0724c 0x000000   2.636364
58194.576536 19.472870      NaN   26    11 c    0   3.25 204.3724 4.10471  3116.07 8484.98 2.56 2.43  -9.8 -0.444    19.71 21.45 02a58194o0742c 0x000000   2.363636
58226.499470 19.256669      NaN  -78    24 c    0   1.75 204.3724 4.10471  2051.24 2172.40 2.62 2.50  73.5 -0.392    18.55 20.16 02a58226o0378c 0x000000  -3.250000
58226.510011 18.459772      NaN -140    50 c    0   1.54 204.3724 4.10471  2033.11 2131.55 2.61 2.45  50.8 -0.421    17.73 19.26 02a58226o0400c 0x100002  -2.800000
58226.521042 17.163487      NaN -258   165 c    0   1.16 204.3724 4.10471  2091.38 2209.32 2.64 2.51  52.0 -0.408    16.58 18.05 02a58226o0423c 0x100002  -1.563636
58251.548440 20.071303      NaN    4    10 c    0   5.57 204.3724 4.10471  1675.38 3399.09 2.58 2.48 -75.3 -0.384    19.38 21.06 02a58251o0674c 0x000000   0.400000
58252.534271 20.449472      NaN -152     8 c    0   2.98 204.3724 4.10471  1676.66 3395.37 2.49 2.39  78.3 -0.404    19.43 20.97 02a58252o0612c 0x000000 -19.000000
58252.545497 20.009244      NaN -114    12 c    0   3.97 204.3724 4.10471  1695.78 3396.53 2.47 2.43  78.8 -0.403    19.29 20.81 02a58252o0633c 0x000000  -9.500000
58253.311994 20.321591      NaN  -96     9 c    0   2.90 204.3724 4.10471  8754.30 6984.40 2.75 2.68  42.3 -0.417    19.71 21.68 02a58253o0045c 0x000000 -10.666667
58253.319069 19.743105      NaN   13    11 c    0   3.13 204.3724 4.10471  8849.05 6966.05 2.69 2.56  53.3 -0.420    19.76 21.68 02a58253o0060c 0x000000   1.181818
58253.326925 20.321591      NaN  -26     9 c    0   4.42 204.3724 4.10471  8729.20 7082.21 2.73 2.58  45.6 -0.414    19.76 21.68 02a58253o0076c 0x000000  -2.888889
58254.433509 20.207197      NaN -117    10 c    0   2.64 204.3724 4.10471  2763.63 4096.36 2.67 2.64  75.7 -0.413    19.57 21.52 02a58254o0197c 0x000000 -11.700000
58254.444530 20.321591      NaN  -36     9 c    0   7.48 204.3724 4.10471  2746.41 4057.08 2.60 2.55  73.1 -0.417    19.60 21.49 02a58254o0220c 0x000000  -4.000000
58254.455253 20.449472      NaN  -80     8 c    0   5.15 204.3724 4.10471  2806.02 4133.15 2.56 2.52  80.9 -0.414    19.56 21.45 02a58254o0243c 0x000000 -10.000000
58254.465992 20.103715      NaN  -19    11 c    0   2.49 204.3724 4.10471  2826.47 4015.97 2.59 2.54  56.0 -0.412    19.42 21.24 02a58254o0266c 0x000000  -1.727273
58286.367842 20.321591      NaN -126     9 c    0   6.30 204.3724 4.10471  1740.48 2985.43 2.49 2.41  57.8 -0.409    19.69 21.57 02a58286o0271c 0x000000 -14.000000
58286.378568 20.244005      NaN    2     9 c    0   5.76 204.3724 4.10471  1722.06 2945.75 2.49 2.38  61.5 -0.417    19.69 21.55 02a58286o0294c 0x000000   0.222222
58286.389438 20.321591      NaN  -76     9 c    0   5.07 204.3724 4.10471  1800.43 3022.44 2.58 2.41 -77.7 -0.376    19.63 21.53 02a58286o0317c 0x000000  -8.444444
58286.400319 20.103715      NaN   -7    11 c    0   4.58 204.3724 4.10471  1821.52 2905.79 2.47 2.37  60.7 -0.418    19.65 21.43 02a58286o0340c 0x000000  -0.636364
58310.319685 20.449472      NaN  -41     8 c    0   4.81 204.3724 4.10471  1457.35 3285.38 2.58 2.48 -88.9 -0.398    19.60 21.42 02a58310o0165c 0x000000  -5.125000
58310.330640 20.321591      NaN  -27     9 c    0   5.30 204.3724 4.10471  1438.01 3245.61 2.63 2.50 -80.4 -0.386    19.55 21.39 02a58310o0188c 0x000000  -3.000000
58310.341525 19.529530 0.213270   56    11 c    0   2.57 204.3724 4.10471  1499.09 3322.01 2.58 2.48 -82.5 -0.397    19.50 21.31 02a58310o0211c 0x000000   5.090909
58310.352369 20.449472      NaN -132     8 c    0   6.38 204.3724 4.10471  1521.65 3203.76 2.68 2.62  45.7 -0.404    19.41 21.23 02a58310o0234c 0x000000 -16.500000
58331.268627 19.051202      NaN  -22    29 c    0   1.33 204.3724 4.10471  1657.87 2541.35 2.49 2.37  73.5 -0.402    18.36 19.79 02a58331o0069c 0x100002  -0.758621
58331.279815 18.878500      NaN  -34    34 c    0   1.96 204.3724 4.10471  1639.63 2501.75 2.57 2.48  81.1 -0.383    17.99 19.43 02a58331o0092c 0x100002  -1.000000
58331.290581 18.598565      NaN -199    44 c    0   1.36 204.3724 4.10471  1700.09 2578.59 2.51 2.41  82.9 -0.391    17.94 19.27 02a58331o0114c 0x100002  -4.522727
58331.300908 18.034118      NaN  -98    74 c    0   1.23 204.3724 4.10471  1721.79 2461.20 3.34 3.24  76.1 -0.330    17.21 18.74 02a58331o0135c 0x100002  -1.324324
58338.265758 18.921935 0.099710   98     9 c    0   3.56 204.3724 4.10471   183.09 4910.44 2.66 2.53 -52.5 -0.356    19.37 21.05 02a58338o0071c 0x000000  10.888889
58338.274641 20.009244      NaN    3    11 c    0   3.08 204.3724 4.10471  9885.71 4928.12 2.90 2.63 -43.3 -0.401    19.45 21.17 02a58338o0090c 0x000000   0.272727
58338.276013 18.796518 0.098703  110    10 c    0   7.00 204.3724 4.10471   165.09 4870.25 2.59 2.46 -53.5 -0.342    19.38 21.01 02a58338o0093c 0x000000  11.000000
58338.285413 19.868040 0.344258   41    13 c    0   2.54 204.3724 4.10471  9866.92 4888.96 2.82 2.58 -46.8 -0.401    19.43 21.11 02a58338o0113c 0x000000   3.153846
58338.286784 19.589310      NaN   20    11 c    0   2.23 204.3724 4.10471   225.66 4946.57 2.69 2.53 -65.0 -0.335    19.30 20.94 02a58338o0116c 0x000000   1.818182
58338.296212 19.609992      NaN   10    14 c    0   1.84 204.3724 4.10471  9926.53 4966.79 2.97 2.78 -34.4 -0.404    19.34 21.09 02a58338o0136c 0x000000   0.714286
58338.297704 19.419021 0.192631   62    11 c    0   2.62 204.3724 4.10471   248.67 4828.27 2.55 2.42 -59.5 -0.344    19.32 20.89 02a58338o0139c 0x000000   5.636364
58338.307335 19.841877      NaN  -84    14 c    0   2.10 204.3724 4.10471  9946.88 4850.70 2.85 2.62 -46.2 -0.414    19.33 20.99 02a58338o0159c 0x000000  -6.000000
58342.255930 20.103715      NaN  -24    11 c    0   1.92 204.3724 4.10471   120.75 2111.71 2.91 2.70  84.4 -0.416    19.28 21.00 02a58342o0055c 0x000000  -2.181818
58342.266689 20.207197      NaN  -42    10 c    0   5.49 204.3724 4.10471   100.63 2069.30 2.75 2.57  70.1 -0.416    19.28 21.06 02a58342o0078c 0x000000  -4.200000
58342.267147 19.719755 0.300310   47    13 c    0   2.32 204.3724 4.10471  9842.08 2130.81 2.96 2.58 -42.6 -0.403    19.45 21.24 02a58342o0079c 0x000000   3.615385
58342.277348 19.436675 0.213587   61    12 c    0   2.81 204.3724 4.10471   161.50 2144.84 2.53 2.38  74.0 -0.432    19.35 21.02 02a58342o0101c 0x000000   5.083333
58342.277805 19.743105      NaN   10    12 c    0   2.31 204.3724 4.10471  9823.01 2089.89 2.93 2.53 -43.6 -0.408    19.43 21.20 02a58342o0102c 0x000000   0.833333
58342.288190 19.922338      NaN  -17    13 c    0   2.01 204.3724 4.10471   182.89 2025.34 2.71 2.52  55.4 -0.442    19.28 20.92 02a58342o0124c 0x000000  -1.307692
58342.288647 19.922338      NaN  -61    13 c    0   2.05 204.3724 4.10471  9881.41 2166.90 2.98 2.66 -45.9 -0.408    19.37 21.11 02a58342o0125c 0x000000  -4.692308
