         MJD         m       dm     uJy   duJy F  err   chi/N       RA     Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs     Mask     __tmp_SN
57736.644732 18.598565      NaN     -60     44 o    0    0.99 204.3724 4.10471  7051.56  3603.37  3.64  3.36 -85.7 -0.427    18.36 19.04 02a57736o0851o 0x000000    -1.363636
57764.646888 18.978793      NaN     -41     31 o    0    1.45 204.3724 4.10471  7028.70   770.89  3.70  3.57  -1.9 -0.453    18.74 19.79 02a57764o0852o 0x000000    -1.322581
57764.663571 19.169763      NaN    -129     26 o    0    2.12 204.3724 4.10471  7049.25   812.39  3.59  3.56  25.6 -0.456    18.83 19.95 02a57764o0881o 0x000000    -4.961538
57764.680377 17.321391      NaN     116    104 o    0    2.37 204.3724 4.10471  3503.92  9708.08  3.27  2.95   1.7 -0.468    18.01 18.29 02a57764o0910o 0x100002     1.115385
57768.680066 17.021802      NaN    -258    188 o    0    1.40 204.3724 4.10471  4307.87  7738.18  3.49  3.35  -4.4 -0.502    17.71 17.73 02a57768o0915o 0x100002    -1.372340
57788.647342 19.351140      NaN    -132     22 o    0    1.77 204.3724 4.10471  5726.45   266.74  3.59  3.39 -11.4 -0.501    19.51 21.21 02a57788o0831o 0x000000    -6.000000
57788.647837 19.197966      NaN      16     20 o    0    1.58 204.3724 4.10471  1883.06  9967.95  3.50  3.19  19.0 -0.466    19.48 21.15 02a57788o0832o 0x000000     0.800000
57788.664259 19.510313      NaN    -178     19 o    0    2.63 204.3724 4.10471  1861.62  9928.33  3.47  3.15  17.6 -0.478    19.35 20.91 02a57788o0863o 0x000000    -9.368421
57788.672310 18.847027      NaN    -192     35 o    0    1.59 204.3724 4.10471  5706.41   227.85  3.59  3.40 -13.7 -0.510    18.80 19.78 02a57788o0876o 0x000000    -5.485714
57792.665201 19.256669      NaN     -97     24 o    0    1.66 204.3724 4.10471  4321.03  6649.49  3.53  3.45  69.4 -0.445    19.00 20.31 02a57792o0115o 0x000000    -4.041667
57800.636126 18.598565      NaN    -150     44 o    0    1.52 204.3724 4.10471  1722.15  9483.70  3.53  3.19  17.6 -0.480    18.47 19.30 02a57800o0637o 0x000000    -3.409091
57800.653556 18.550302      NaN     -98     46 o    0    1.33 204.3724 4.10471  1705.70  9442.58  3.34  3.04  12.1 -0.491    18.49 19.27 02a57800o0671o 0x000000    -2.130435
57800.661756 18.504094      NaN     -84     48 o    0    2.03 204.3724 4.10471  1767.20  9518.73  3.42  3.13  14.5 -0.501    18.43 19.16 02a57800o0686o 0x100002    -1.750000
57806.664896 18.005163      NaN    -404     76 o    0    1.15 204.3724 4.10471  6962.03  1960.32  4.13  3.89 -83.8 -0.640    17.99 19.00 01a57806o0877o 0x100002    -5.315789
57808.667309 15.781909      NaN   -1481    589 o    0    0.93 204.3724 4.10471  5913.95  1410.85  4.54  4.33 -75.4 -0.532    15.96 17.17 01a57808o0783o 0x100002    -2.514431
57810.657051 16.368962      NaN   -8117    343 o    0    2.94 204.3724 4.10471  6149.27  3119.08  3.79  3.72  19.7 -0.615    15.96 17.64 01a57810o0853o 0x100002   -23.664723
57816.640194 19.351140      NaN    -254     22 o    0    1.66 204.3724 4.10471  8854.42  2774.01  3.66  3.50 -36.9 -0.463    19.19 21.22 01a57816o0832o 0x000000   -11.545455
57816.654203 19.089302      NaN    -320     28 o    0    1.89 204.3724 4.10471  8873.41  2814.57  3.66  3.49 -36.4 -0.459    18.73 20.33 01a57816o0860o 0x000000   -11.428571
57818.631434 19.302877      NaN    -191     23 o    0    2.02 204.3724 4.10471  8809.01  2055.59  4.35  3.40 -49.9 -0.452    19.11 21.28 01a57818o0820o 0x000000    -8.304348
57818.645945 19.089302      NaN    -292     28 o    0    1.58 204.3724 4.10471  8850.03  2094.33  4.43  3.42 -49.0 -0.451    19.00 21.11 01a57818o0849o 0x000000   -10.428571
57818.659868 17.990970      NaN    -156     77 o    0    1.32 204.3724 4.10471  8770.24  2018.75  4.43  3.36 -48.4 -0.445    17.58 18.52 01a57818o0877o 0x100002    -2.025974
57820.610348 18.944322      NaN    -214     32 o    0    1.56 204.3724 4.10471  6814.54  2482.33  3.76  3.29 -45.2 -0.454    18.75 20.79 01a57820o0801o 0x000000    -6.687500
57820.624339 19.014394      NaN    -273     30 o    0    1.40 204.3724 4.10471  6835.17  2521.34  3.71  3.19 -48.0 -0.464    18.78 20.76 01a57820o0829o 0x000000    -9.100000
57820.637931 18.978793      NaN    -221     31 o    0    1.64 204.3724 4.10471  6777.34  2445.27  3.76  3.20 -50.9 -0.461    18.78 20.77 01a57820o0856o 0x000000    -7.129032
57820.651278 19.014394      NaN    -214     30 o    0    1.42 204.3724 4.10471  6755.07  2563.64  3.89  3.32 -48.4 -0.450    18.85 20.74 01a57820o0883o 0x000000    -7.133333
57828.568770 18.336727      NaN     -89     56 o    0    1.35 204.3724 4.10471  2603.73  9932.76  3.72  3.54  13.8 -0.445    17.83 18.46 02a57828o0659o 0x100002    -1.589286
57828.573756 18.598565      NaN    -257     44 o    0    1.49 204.3724 4.10471  6444.15   236.71  3.75  3.48  -2.1 -0.491    17.93 18.58 02a57828o0668o 0x000000    -5.840909
57828.586574 18.438271      NaN    -109     51 o    0    2.05 204.3724 4.10471  2589.34  9893.19  3.65  3.34  10.9 -0.431    17.85 18.45 02a57828o0694o 0x100002    -2.137255
57828.587052 18.550302      NaN    -289     46 o    0    1.65 204.3724 4.10471  6428.59   199.27  3.85  3.49   3.8 -0.491    17.93 18.57 02a57828o0695o 0x000000    -6.282609
57828.597116 18.376212      NaN     -38     54 o    0    2.08 204.3724 4.10471  2647.05  9970.37  3.82  3.70  12.9 -0.437    17.80 18.45 02a57828o0716o 0x100002    -0.703704
57828.597508 18.261819      NaN     -10     60 o    0    1.04 204.3724 4.10471  8739.72  2835.73  3.95  3.39 -46.1 -0.466    18.01 19.04 01a57828o0756o 0x100002    -0.166667
