         MJD         m       dm   uJy  duJy F  err  chi/N        RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57747.602876 19.510313      NaN  -115    19 c    0   1.82 154.07854 -33.56366  7771.81  2985.13 4.12 4.06  49.7 -0.364    19.53 21.58 02a57747o0833c 0x000000  -6.052632
57747.611413 19.569016      NaN  -136    18 c    0   1.92 154.07854 -33.56366  7757.18  2949.59 4.00 3.97  32.0 -0.382    19.54 21.55 02a57747o0850c 0x000000  -7.555556
57747.630628 19.510313      NaN  -132    19 c    0   1.72 154.07854 -33.56366  7822.48  3027.40 3.94 3.90  41.1 -0.389    19.54 21.51 02a57747o0888c 0x000000  -6.947368
57747.642595 19.569016      NaN  -204    18 c    0   2.34 154.07854 -33.56366  7840.85  2906.95 4.02 3.94  78.0 -0.376    19.52 21.48 02a57747o0912c 0x000000 -11.333333
57751.579387 19.569016      NaN  -130    18 c    0   1.94 154.07854 -33.56366  1563.68  1927.51 4.15 4.03 -37.8 -0.385    19.69 21.78 02a57751o0305c 0x000000  -7.222222
57751.593434 19.569016      NaN   -17    18 c    0   2.01 154.07854 -33.56366  1549.71  1890.43 3.94 3.83 -38.5 -0.402    19.72 21.74 02a57751o0333c 0x000000  -0.944444
57751.607548 19.454622      NaN   -49    20 c    0   1.87 154.07854 -33.56366  1600.08  1970.71 3.95 3.86 -36.0 -0.399    19.72 21.73 02a57751o0361c 0x000000  -2.450000
57751.621664 19.631075      NaN   -43    17 c    0   2.34 154.07854 -33.56366  1617.60  1852.68 4.11 3.96 -28.8 -0.392    19.66 21.67 02a57751o0389c 0x000000  -2.529412
57751.635177 19.631075      NaN  -150    17 c    0   2.51 154.07854 -33.56366  1585.99  1909.48 4.08 3.94 -33.4 -0.393    19.62 21.61 02a57751o0416c 0x000000  -8.823529
57755.569528 19.696897      NaN   -39    16 c    0   2.43 154.07854 -33.56366   376.03  4238.27 3.95 3.75  65.0 -0.384    19.76 21.79 02a57755o0721c 0x000000  -2.437500
57755.583470 19.569016      NaN   -60    18 c    0   1.82 154.07854 -33.56366   361.11  4201.20 3.93 3.73  65.0 -0.386    19.73 21.74 02a57755o0748c 0x000000  -3.333333
57755.583976 19.569016      NaN  -175    18 c    0   2.70 154.07854 -33.56366  9940.35  4237.63 3.92 3.40  83.8 -0.431    19.73 21.74 02a57755o0749c 0x000000  -9.722222
57755.597334 19.631075      NaN  -124    17 c    0   2.23 154.07854 -33.56366   427.32  4281.56 3.93 3.69  65.4 -0.389    19.71 21.69 02a57755o0775c 0x000000  -7.294118
57755.597833 19.569016      NaN   -84    18 c    0   2.10 154.07854 -33.56366  9925.43  4201.53 3.90 3.40  83.6 -0.440    19.71 21.69 02a57755o0776c 0x000000  -4.666667
