         MJD         m       dm    uJy  duJy F  err   chi/N        RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask    __tmp_SN
57735.633504 18.396507      NaN     -3    53 o    0    1.35 154.07854 -33.56366  9302.39  3227.38 3.88 3.63  69.0 -0.457    18.27 19.06 02a57735o0763o 0x000000   -0.056604
57735.647845 18.550302      NaN    -21    46 o    0    1.67 154.07854 -33.56366  9285.31  3187.70 3.79 3.31  80.4 -0.472    18.36 19.10 02a57735o0790o 0x000000   -0.456522
57735.662465 18.438271      NaN      3    50 o    0    1.85 154.07854 -33.56366  9335.03  3263.45 3.91 3.56  78.6 -0.448    18.28 19.00 02a57735o0818o 0x000000    0.060000
57763.560396 18.550302      NaN     36    34 o    0    2.28 154.07854 -33.56366  7611.38  2849.38 3.60 3.35  83.7 -0.443    18.55 19.41 02a57763o0605o 0x000000    1.058824
57763.575308 18.878500      NaN    -44    34 o    0    2.02 154.07854 -33.56366  7596.32  2811.22 3.54 3.29  82.4 -0.454    18.57 19.42 02a57763o0633o 0x000000   -1.294118
57763.590508 18.847027      NaN   -108    35 o    0    2.17 154.07854 -33.56366  7645.86  2887.63 3.51 3.23  85.8 -0.462    18.59 19.45 02a57763o0663o 0x000000   -3.085714
57763.602096 18.186107      NaN     85    36 o    0    1.88 154.07854 -33.56366  7665.76  2772.39 3.53 3.28  86.0 -0.453    18.60 19.48 02a57763o0686o 0x000000    2.361111
57763.616104 18.847027      NaN    -52    35 o    0    1.54 154.07854 -33.56366  7635.50  2829.41 3.46 3.22  86.7 -0.458    18.68 19.61 02a57763o0713o 0x000000   -1.485714
57767.541969 18.504094      NaN   -122    48 o    0    1.60 154.07854 -33.56366   229.81  2600.68 3.78 3.53  74.3 -0.412    18.39 19.06 02a57767o0650o 0x000000   -2.541667
57767.556387 18.550302      NaN    -16    46 o    0    1.45 154.07854 -33.56366  9807.61  2608.99 3.65 3.00  86.3 -0.480    18.42 19.09 02a57767o0678o 0x000000   -0.347826
57767.557411 17.976960      NaN    105    43 o    0    1.80 154.07854 -33.56366   197.67  2560.15 3.77 3.48  75.9 -0.416    18.38 19.06 02a57767o0680o 0x000000    2.441860
57767.571904 17.875167      NaN    128    43 o    0    2.50 154.07854 -33.56366  9776.73  2572.47 3.67 3.05  85.8 -0.484    18.40 19.08 02a57767o0708o 0x000000    2.976744
57767.572956 18.000411      NaN    100    43 o    0    2.10 154.07854 -33.56366   265.60  2639.58 3.76 3.46  74.9 -0.418    18.37 19.04 02a57767o0710o 0x000000    2.325581
57767.587412 18.675237      NaN    -64    41 o    0    2.34 154.07854 -33.56366  9842.39  2648.19 3.72 3.08  84.3 -0.490    18.38 19.08 02a57767o0738o 0x000000   -1.560976
57767.588413 18.323878 0.319334    170    50 o    0    1.21 154.07854 -33.56366   284.51  2522.39 3.82 3.50  76.8 -0.419    18.35 19.02 02a57767o0740o 0x000000    3.400000
57767.602858 17.995680      NaN     80    50 o    0    1.22 154.07854 -33.56366  9861.92  2534.91 3.68 3.00  87.6 -0.489    18.37 19.05 02a57767o0768o 0x000000    1.600000
57767.603862 18.131260 0.256726    203    48 o    0    1.54 154.07854 -33.56366   254.16  2582.15 3.88 3.56  77.4 -0.407    18.31 18.97 02a57767o0770o 0x000000    4.229167
57767.618338 18.623526      NaN    -25    43 o    0    1.70 154.07854 -33.56366  9831.18  2592.80 3.74 3.11  82.9 -0.483    18.36 19.01 02a57767o0798o 0x000000   -0.581395
57771.550536 18.590371      NaN     28    35 o    0    1.46 154.07854 -33.56366  7655.73  1324.54 3.67 3.43 -89.8 -0.469    18.77 19.89 02a57771o0682o 0x000000    0.800000
57771.566131 18.978793      NaN    -10    31 o    0    2.47 154.07854 -33.56366  7641.16  1286.35 3.63 3.44  89.2 -0.471    18.74 19.81 02a57771o0712o 0x000000   -0.322581
57771.581724 18.330283      NaN     76    31 o    0    2.97 154.07854 -33.56366  7690.33  1362.96 3.56 3.35 -87.2 -0.485    18.74 19.78 02a57771o0742o 0x000000    2.451613
57771.597209 18.816441      NaN    -92    36 o    0    1.66 154.07854 -33.56366  7709.85  1249.27 3.92 3.56   2.3 -0.450    18.64 19.74 02a57771o0772o 0x000000   -2.555556
57771.612774 18.729535      NaN      0    39 o    0    1.63 154.07854 -33.56366  7679.03  1305.81 4.09 3.58   1.4 -0.444    18.60 19.72 02a57771o0802o 0x000000    0.000000
57799.477641 18.816441      NaN    -49    36 o    0    1.73 154.07854 -33.56366  9301.50  2266.59 3.76 3.33  83.0 -0.472    18.69 19.79 02a57799o0500o 0x000000   -1.361111
57799.492640 18.847027      NaN      3    34 o    0    1.62 154.07854 -33.56366  9287.36  2228.69 3.85 3.45  81.9 -0.463    18.69 19.78 02a57799o0529o 0x000000    0.088235
57799.508259 18.847027      NaN   -131    35 o    0    2.38 154.07854 -33.56366  9337.74  2303.81 3.81 3.37  84.2 -0.471    18.69 19.75 02a57799o0559o 0x000000   -3.742857
57799.523784 18.757738      NaN   -174    38 o    0    1.46 154.07854 -33.56366  9356.65  2189.70 3.85 3.64  76.5 -0.455    18.62 19.70 02a57799o0589o 0x000000   -4.578947
57799.539354 18.757738      NaN    -62    38 o    0    1.39 154.07854 -33.56366  9324.90  2247.00 4.03 3.84  75.7 -0.437    18.53 19.63 02a57799o0619o 0x000000   -1.631579
57800.525166 17.922662      NaN   -256    82 o    0    2.30 154.07854 -33.56366  9393.48  5775.99 3.85 3.35  79.3 -0.764    18.29 19.65 01a57800o0563o 0x100002   -3.121951
57804.505855 18.757738      NaN   -429    38 o    0    2.85 154.07854 -33.56366  2485.74  5632.78 4.46 4.21 -83.6 -0.525    18.78 20.70 01a57804o0447o 0x000000  -11.289474
57804.520334 18.675237      NaN   -358    41 o    0    2.32 154.07854 -33.56366  2502.24  5671.12 4.43 4.19 -83.9 -0.524    18.72 20.55 01a57804o0475o 0x000000   -8.731707
57804.533567 18.702047      NaN   -324    40 o    0    3.05 154.07854 -33.56366  2437.03  5595.73 4.59 4.32 -84.9 -0.522    18.58 20.39 01a57804o0501o 0x000000   -8.100000
57804.547817 18.550302      NaN   -130    46 o    0    2.35 154.07854 -33.56366  2422.52  5710.94 4.63 4.41  89.1 -0.523    18.48 20.23 01a57804o0529o 0x000000   -2.826087
57806.513470 18.649074      NaN   -550    42 o    0    2.85 154.07854 -33.56366  1272.05  7303.21 4.83 4.60 -89.8 -0.485    18.58 20.41 01a57806o0582o 0x000000  -13.095238
57806.527212 18.504094      NaN   -309    48 o    0    2.24 154.07854 -33.56366  1223.05  7226.97 4.90 4.67  86.8 -0.491    18.55 20.41 01a57806o0609o 0x000000   -6.437500
57806.541602 18.417189      NaN   -407    52 o    0    2.03 154.07854 -33.56366  1191.39  7343.60 4.88 4.68  79.3 -0.486    18.51 20.31 01a57806o0637o 0x000000   -7.826923
57808.475553 18.459772      NaN   -387    50 o    0    2.48 154.07854 -33.56366  9765.64  6552.09 4.16 3.48 -84.5 -0.629    18.65 20.54 01a57808o0410o 0x000000   -7.740000
57808.489987 18.481707      NaN   -199    49 o    0    2.52 154.07854 -33.56366  9782.60  6592.11 3.93 3.22 -85.1 -0.631    18.73 20.56 01a57808o0438o 0x000000   -4.061224
57808.496540 18.702047      NaN   -166    40 o    0    3.37 154.07854 -33.56366   206.60  6747.45 5.00 4.53  86.4 -0.442    18.71 20.59 01a57808o0451o 0x000000   -4.150000
57808.503776 18.417189      NaN   -706    52 o    0    2.47 154.07854 -33.56366  9716.35  6514.15 4.24 3.56 -86.4 -0.616    18.66 20.55 01a57808o0465o 0x000000  -13.576923
57808.510907 18.702047      NaN  -1394    40 o    0  111.34 154.07854 -33.56366   224.53  6785.15 5.13 4.79  88.7 -0.444    18.65 20.63 01a57808o0479o 0x100001  -34.850000
57808.517578 18.417189      NaN   -650    52 o    0    2.34 154.07854 -33.56366  9701.81  6630.94 4.73 4.26 -80.2 -0.574    18.52 20.53 01a57808o0492o 0x000000  -12.500000
57808.524297 18.396507      NaN     27    44 o    0    2.61 154.07854 -33.56366   158.22  6710.14 5.29 4.88 -89.0 -0.439    18.63 20.59 01a57808o0505o 0x000000    0.613636
