         MJD         m       dm   uJy  duJy F  err  chi/N        RA     Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57777.640956 19.841877      NaN  -153    14 c    0   4.30 217.13336 27.4083  7399.66  6488.69 3.94 3.68  85.7 -0.389    19.80 21.95 02a57777o0807c 0x000000 -10.928571
57777.658403 19.922338      NaN   -86    13 c    0   5.76 217.13336 27.4083  7418.11  6528.58 3.84 3.55  86.1 -0.400    19.80 21.90 02a57777o0833c 0x000000  -6.615385
57777.675753 18.944322      NaN  -108    32 c    0   2.26 217.13336 27.4083  7349.83  6453.39 3.81 3.54  88.7 -0.400    18.64 19.61 02a57777o0859c 0x100002  -3.375000
57781.631251 19.841877      NaN   -74    14 c    0   4.53 217.13336 27.4083  7039.55  6219.16 3.58 3.33 -72.6 -0.448    19.93 22.06 02a57781o0728c 0x000000  -5.285714
57781.649964 19.922338      NaN  -110    13 c    0   6.76 217.13336 27.4083  7059.96  6259.24 3.61 3.38 -78.5 -0.440    19.91 22.02 02a57781o0754c 0x000000  -8.461538
57781.667381 19.766969      NaN   -60    15 c    0   5.04 217.13336 27.4083  7007.59  6183.30 3.59 3.32 -75.2 -0.444    19.57 21.31 02a57781o0780c 0x000000  -4.000000
57809.584207 15.724468 0.079259  1863   136 c    0   2.82 217.13336 27.4083  6531.62  6185.57 3.67 3.49 -88.0 -0.411    17.25 19.03 02a57809o0658c 0x100002  13.698529
57809.596042 17.033415      NaN  -161   186 c    0   1.19 217.13336 27.4083  3946.43  4227.89 3.76 3.64  77.7 -0.377    16.86 18.63 02a57809o0680c 0x100002  -0.865591
57809.630484 17.349660      NaN  -164   139 c    0   1.12 217.13336 27.4083  4029.75  4187.34 3.74 3.61  75.4 -0.387    17.14 18.85 02a57809o0732c 0x100002  -1.179856
57817.535437 19.696897      NaN   -45    16 c    0   3.42 217.13336 27.4083  5958.23  6628.30 3.89 3.75 -89.4 -0.388    19.66 21.87 02a57817o0497c 0x000000  -2.812500
57817.549667 19.841877      NaN   -66    14 c    0   4.26 217.13336 27.4083  5978.09  6665.18 3.79 3.63  85.1 -0.400    19.80 22.00 02a57817o0521c 0x000000  -4.714286
57817.568494 19.841877      NaN  -147    14 c    0   4.73 217.13336 27.4083  5930.35  6589.99 3.69 3.53 -89.5 -0.412    19.83 22.01 02a57817o0554c 0x000000 -10.500000
57817.584037 19.841877      NaN   -74    14 c    0   4.83 217.13336 27.4083  5890.97  6709.02 3.64 3.49 -89.2 -0.416    19.84 21.99 02a57817o0579c 0x000000  -5.285714
57817.611878 19.212347      NaN   -19    25 c    0   2.68 217.13336 27.4083  4541.37  3805.78 3.73 3.64  86.0 -0.389    19.09 21.15 02a57817o0625c 0x000000  -0.760000
57833.527273 19.569016      NaN  -139    18 c    0   4.94 217.13336 27.4083  4076.98  3362.97 4.05 3.97 -73.2 -0.362    18.83 20.60 02a57833o0540c 0x000000  -7.722222
57833.560793 19.569016      NaN  -170    18 c    0   6.01 217.13336 27.4083  4057.82  3325.13 3.83 3.69  76.8 -0.396    18.88 20.51 02a57833o0598c 0x000000  -9.444444
57833.562878 19.454622      NaN  -114    20 c    0   3.75 217.13336 27.4083  4110.33  3403.36 3.81 3.64  80.2 -0.397    18.88 20.51 02a57833o0602c 0x000000  -5.700000
57833.579881 19.569016      NaN  -241    18 c    0   4.05 217.13336 27.4083  4127.27  3289.37 3.88 3.83  72.6 -0.386    18.83 20.49 02a57833o0631c 0x000000 -13.388889
57833.608843 19.569016      NaN  -132    18 c    0   4.36 217.13336 27.4083  4093.51  3349.06 3.91 3.82  86.3 -0.369    18.80 20.44 02a57833o0678c 0x000000  -7.333333
57837.526100 19.401649      NaN    12    17 c    0   3.03 217.13336 27.4083  3337.73  4446.53 3.79 3.63  68.9 -0.387    19.14 21.14 02a57837o0469c 0x000000   0.705882
57837.538469 19.569016      NaN   -65    18 c    0   3.72 217.13336 27.4083  3321.01  4407.88 4.37 3.84   2.4 -0.364    19.02 21.15 02a57837o0490c 0x000000  -3.611111
57837.559938 19.631075      NaN  -367    17 c    0   4.44 217.13336 27.4083  3372.86  4484.78 4.77 3.89   0.2 -0.365    18.95 21.14 02a57837o0525c 0x000000 -21.588235
57837.582217 19.841877      NaN  -229    14 c    0   4.91 217.13336 27.4083  3407.22  4370.39 4.05 3.81   4.5 -0.383    19.08 21.14 02a57837o0562c 0x000000 -16.357143
57837.589119 19.841877      NaN  -125    14 c    0   4.24 217.13336 27.4083  3356.50  4429.30 3.75 3.59  75.5 -0.399    19.14 21.14 02a57837o0575c 0x000000  -8.928571
57841.519225 19.454622      NaN  -188    20 c    0   5.29 217.13336 27.4083  3305.43  5783.42 3.92 3.78  24.4 -0.391    18.99 20.91 02a57841o0538c 0x000000  -9.400000
57841.530520 19.454622      NaN   -86    20 c    0   2.58 217.13336 27.4083  3283.86  5743.23 3.90 3.76  66.8 -0.386    19.00 20.92 02a57841o0557c 0x000000  -4.300000
57841.552064 19.454622      NaN  -286    20 c    0   3.16 217.13336 27.4083  3355.67  5820.96 4.75 3.88   1.8 -0.375    18.87 20.91 02a57841o0593c 0x000000 -14.300000
57841.559084 19.454622      NaN  -106    20 c    0   4.16 217.13336 27.4083  3374.86  5705.51 3.84 3.70  58.5 -0.395    19.01 20.92 02a57841o0605c 0x000000  -5.300000
57841.575637 19.302877      NaN  -288    23 c    0   2.88 217.13336 27.4083  3324.09  5763.49 4.40 3.72   2.0 -0.412    18.93 20.93 02a57841o0632c 0x000000 -12.521739
57869.589349 19.922338      NaN   -78    13 c    0   3.46 217.13336 27.4083  3231.55  6034.38 2.69 2.62  -2.9 -0.470    19.28 20.48 02a57869o0482c 0x000000  -6.000000
57869.604516 19.922338      NaN    -4    13 c    0   5.11 217.13336 27.4083  3214.41  5996.75 2.69 2.61  12.2 -0.467    19.20 20.34 02a57869o0511c 0x000000  -0.307692
