         MJD         m       dm     uJy   duJy F  err   chi/N        RA     Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs     Mask    __tmp_SN
57789.579259 19.631075      NaN    -278     17 o    0    9.11 217.13336 27.4083  5004.01  7072.95  3.23  3.05 -41.8 -0.409    19.65 21.42 02a57789o0650o 0x000000  -16.352941
57789.595956 19.401649      NaN     -90     21 o    0   10.08 217.13336 27.4083  5023.15  7112.40  3.19  2.98 -35.6 -0.402    19.68 21.47 02a57789o0674o 0x100001   -4.285714
57789.610004 19.454622      NaN    -291     20 o    0    7.85 217.13336 27.4083  4970.63  7036.32  3.25  3.14 -25.8 -0.411    19.70 21.54 02a57789o0696o 0x000000  -14.550000
57789.622458 19.696897      NaN    -312     16 o    0    6.95 217.13336 27.4083  4949.40  7156.17  3.43  3.33 -22.2 -0.466    19.68 21.60 02a57789o0714o 0x000000  -19.500000
57789.634297 19.510313      NaN    -345     19 o    0    8.24 217.13336 27.4083  4979.98  7099.90  3.57  3.37   0.4 -0.472    19.66 21.62 02a57789o0731o 0x000000  -18.157895
57793.538652 18.878500      NaN    -186     34 o    0    2.22 217.13336 27.4083  6876.50  5284.56  3.52  3.27 -85.8 -0.448    18.68 19.57 02a57793o0556o 0x000000   -5.470588
57793.569907 19.014394      NaN    -106     30 o    0    3.25 217.13336 27.4083  6890.14  5327.25  3.49  3.25 -84.2 -0.452    18.76 19.69 02a57793o0610o 0x000000   -3.533333
57793.577520 18.978793      NaN    -120     31 o    0    1.90 217.13336 27.4083  6838.73  5251.54  3.50  3.26 -84.0 -0.452    18.77 19.72 02a57793o0622o 0x000000   -3.870968
57793.587894 19.014394      NaN    -317     30 o    0    2.44 217.13336 27.4083  6823.11  5369.27  3.60  3.55  46.3 -0.421    18.74 19.78 02a57793o0638o 0x000000  -10.566667
57793.598557 19.014394      NaN     -48     30 o    0    2.11 217.13336 27.4083  6856.93  5312.61  3.54  3.51  52.8 -0.422    18.78 19.82 02a57793o0653o 0x000000   -1.600000
57797.590254 18.978793      NaN    -274     31 o    0    3.92 217.13336 27.4083  4487.06  4982.83  3.53  3.47 -70.7 -0.455    18.67 19.57 02a57797o0564o 0x000000   -8.838710
57797.603438 18.261819      NaN    -461     60 o    0    2.00 217.13336 27.4083  3671.19  5076.24  3.97  3.88 -47.4 -0.668    18.50 19.86 01a57797o0697o 0x100002   -7.683333
57797.608276 18.526952      NaN      51     30 o    0    2.39 217.13336 27.4083  4521.65  5022.99  3.34  3.21 -54.7 -0.416    18.74 19.60 02a57797o0590o 0x000000    1.700000
57797.622373 18.208845      NaN    -543     63 o    0    1.94 217.13336 27.4083  3649.88  5032.58  4.04  3.98 -53.1 -0.673    18.50 19.89 01a57797o0725o 0x100002   -8.619048
57797.626267 18.978793      NaN     -47     31 o    0    2.05 217.13336 27.4083  4451.72  4947.72  3.40  3.29 -47.8 -0.423    18.74 19.63 02a57797o0616o 0x000000   -1.516129
57797.639832 18.336727      NaN    -680     56 o    0    2.91 217.13336 27.4083  3714.41  5104.96  3.89  3.80 -42.3 -0.698    18.54 19.90 01a57797o0751o 0x100002  -12.142857
