         MJD         m       dm   uJy  duJy F  err  chi/N        RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  __tmp_SN c1_mean c1_mean_err c1_stdev c1_stdev_err c1_X2norm c1_Nvalid c1_Nnan c2_mean c2_mean_err c2_stdev c2_stdev_err c2_X2norm c2_Ngood c2_Nclip c2_Nmask c2_Nnan
57747.617896 19.510313      NaN     9    16 c    0   0.97 160.25912 -27.08345  3711.17  5830.83 3.96 3.85  54.9 -0.376    19.59 21.58 02a57747o0863c 0x000000  0.562500    8.65        5.80    11.18         2.79      0.41         8       0    8.65        5.80    11.18         2.79      0.41        8        0        0       0
57747.626599 19.351140      NaN    18    16 c    0   0.95 160.25912 -27.08345  3696.83  5791.32 3.80 3.68  57.7 -0.385    19.63 21.57 02a57747o0880c 0x000000  1.125000   -4.32        5.36    15.86         3.96      1.08         8       0   -4.32        5.36    15.86         3.96      1.08        8        0        0       0
57747.638110 19.419021      NaN    17    15 c    0   1.11 160.25912 -27.08345  3748.45  5869.20 3.90 3.80  38.2 -0.381    19.58 21.55 02a57747o0903c 0x000000  1.133333    2.87        5.65    12.83         3.21      0.66         8       0    2.87        5.65    12.83         3.21      0.66        8        0        0       0
57747.651580 19.529530      NaN     2    18 c    0   0.92 160.25912 -27.08345  3767.52  5752.52 4.52 3.88   3.7 -0.366    19.46 21.52 02a57747o0930c 0x000000  0.111111    5.90        6.57    11.11         2.78      0.36         8       0    5.90        6.57    11.11         2.78      0.36        8        0        0       0
57751.604071 19.696897      NaN   -10    16 c    0   1.06 160.25912 -27.08345  7105.90  4791.67 3.87 3.62  83.3 -0.389    19.72 21.78 02a57751o0354c 0x000000 -0.625000   -4.23        5.12    16.83         4.21      1.43         8       0   -4.23        5.12    16.83         4.21      1.43        8        0        0       0
57751.617616 19.287255      NaN    22    16 c    0   0.78 160.25912 -27.08345  7073.27  4755.14 3.84 3.60  83.6 -0.391    19.67 21.69 02a57751o0381c 0x000000  1.375000   -3.50        5.43    14.29         3.57      0.84         8       0   -3.50        5.43    14.29         3.57      0.84        8        0        0       0
57751.631659 19.743105      NaN     4    14 c    0   1.20 160.25912 -27.08345  7143.34  4834.82 3.85 3.60  85.0 -0.391    19.66 21.66 02a57751o0409c 0x000000  0.285714    2.23        4.98    17.57         4.39      1.49         8       0    2.23        4.98    17.57         4.39      1.49        8        0        0       0
57751.644682 19.631075      NaN   -21    17 c    0   0.82 160.25912 -27.08345  7160.54  4718.10 3.89 3.67  86.6 -0.391    19.64 21.65 02a57751o0435c 0x000000 -1.235294    0.03        5.60    19.79         4.95      1.59         8       0    0.03        5.60    19.79         4.95      1.59        8        0        0       0
57751.659753 19.589310      NaN     5    16 c    0   1.03 160.25912 -27.08345  7126.57  4777.34 3.87 3.65 -89.1 -0.393    19.52 21.42 02a57751o0465c 0x000000  0.312500    4.09        5.69     4.90         1.22      0.09         8       0    4.09        5.69     4.90         1.22      0.09        8        0        0       0
57755.593796 19.589310      NaN     8    15 c    0   0.95 160.25912 -27.08345  5893.20  7131.67 3.60 3.48  79.2 -0.430    19.76 21.75 02a57755o0768c 0x000000  0.533333    4.90        5.17    17.40         4.35      1.32         8       0    4.90        5.17    17.40         4.35      1.32        8        0        0       0
57755.607113 19.674510      NaN     7    14 c    0   1.07 160.25912 -27.08345  5877.83  7095.36 3.62 3.50  84.7 -0.430    19.73 21.73 02a57755o0794c 0x000000  0.500000   -5.39        5.38    12.99         3.25      0.63         8       0   -5.39        5.38    12.99         3.25      0.63        8        0        0       0
57755.621811 19.569016      NaN    12    14 c    0   1.08 160.25912 -27.08345  5947.76  7175.28 3.59 3.47  85.4 -0.432    19.72 21.69 02a57755o0822c 0x000000  0.857143   -1.04        5.20    18.59         4.65      1.67         8       0   -1.04        5.20    18.59         4.65      1.67        8        0        0       0
57755.640457 19.271854      NaN    23    16 c    0   0.72 160.25912 -27.08345  5966.65  7056.92 3.61 3.51  82.8 -0.427    19.70 21.67 02a57755o0858c 0x000000  1.437500   -5.88        5.32    11.36         2.84      0.58         8       0   -5.88        5.32    11.36         2.84      0.58        8        0        0       0
57755.649627 19.589310      NaN     8    15 c    0   1.07 160.25912 -27.08345  5932.41  7116.40 3.75 3.60  83.7 -0.413    19.64 21.60 02a57755o0876c 0x000000  0.533333    0.21        5.70    16.40         4.10      0.94         8       0    0.21        5.70    16.40         4.10      0.94        8        0        0       0
57779.531997 19.287255      NaN    22    16 c    0   0.86 160.25912 -27.08345  5375.65  7476.10 3.70 3.67  56.1 -0.433    19.73 21.81 02a57779o0611c 0x000000  1.375000   -7.34        5.39    19.48         4.87      1.66         8       0   -1.17        5.77    10.52         2.81      0.46        7        1        0       0
57779.548044 19.766969      NaN    -5    15 c    0   1.04 160.25912 -27.08345  5360.02  7437.55 3.81 3.70  69.3 -0.416    19.71 21.77 02a57779o0642c 0x000000 -0.333333    3.70        5.29    12.14         3.04      0.64         8       0    3.70        5.29    12.14         3.04      0.64        8        0        0       0
57779.564140 19.674510      NaN     1    16 c    0   0.93 160.25912 -27.08345  5414.29  7514.68 3.66 3.63  63.9 -0.435    19.71 21.74 02a57779o0673c 0x000000  0.062500    3.40        5.62    18.46         4.61      1.14         8       0    3.40        5.62    18.46         4.61      1.14        8        0        0       0
57779.579679 19.063754      NaN    38    16 c    0   1.12 160.25912 -27.08345  5432.78  7397.12 3.93 3.84  38.8 -0.409    19.68 21.78 02a57779o0703c 0x000000  2.375000    3.26        5.86    23.95         5.99      2.13         8       0    3.26        5.86    23.95         5.99      2.13        8        0        0       0
57779.595084 19.631075      NaN    -1    17 c    0   0.89 160.25912 -27.08345  5400.21  7455.21 3.88 3.80  23.2 -0.412    19.66 21.75 02a57779o0733c 0x000000 -0.058824    3.71        5.55    18.28         4.57      1.26         8       0    3.71        5.55    18.28         4.57      1.26        8        0        0       0
57783.527260 19.766969      NaN    -7    15 c    0   1.11 160.25912 -27.08345  4449.72  5650.56 3.87 3.76 -83.8 -0.381    19.69 21.81 02a57783o0594c 0x000000 -0.466667   12.04        5.41    21.07         5.27      1.62         8       0   12.04        5.41    21.07         5.27      1.62        8        0        0       0
57783.543369 19.318728      NaN    20    16 c    0   0.89 160.25912 -27.08345  4433.52  5611.40 3.86 3.75 -80.9 -0.380    19.69 21.79 02a57783o0625c 0x000000  1.250000   -3.59        5.46    16.41         4.10      1.21         8       0   -3.59        5.46    16.41         4.10      1.21        8        0        0       0
57783.559600 19.674510      NaN     1    16 c    0   0.84 160.25912 -27.08345  4488.37  5688.37 4.08 3.95 -74.5 -0.364    19.63 21.83 02a57783o0656c 0x000000  0.062500    4.42        5.56     9.61         2.40      0.39         8       0    4.42        5.56     9.61         2.40      0.39        8        0        0       0
57783.575718 19.696897      NaN   -10    16 c    0   0.77 160.25912 -27.08345  4508.31  5570.70 3.85 3.73 -76.4 -0.381    19.71 21.85 02a57783o0687c 0x000000 -0.625000   -1.77        5.24    13.36         3.34      0.84         8       0   -1.77        5.24    13.36         3.34      0.84        8        0        0       0
57783.591797 19.436675      NaN    13    16 c    0   0.99 160.25912 -27.08345  4476.76  5628.44 3.98 3.88 -78.3 -0.373    19.66 21.85 02a57783o0718c 0x000000  0.812500   -5.39        5.37    11.01         2.75      0.56         8       0   -5.39        5.37    11.01         2.75      0.56        8        0        0       0
57787.502251 19.609992      NaN     7    15 c    0   0.80 160.25912 -27.08345  3629.72  4442.07 3.88 3.77  72.7 -0.376    19.76 21.91 02a57787o0554c 0x400110  0.466667    4.24        5.20    24.11         6.03      2.76         8       0    4.24        5.20    24.11         6.03      2.76        8        0        0       0
57787.512155 19.841877      NaN    -1    14 c    0   1.14 160.25912 -27.08345  3614.13  4403.18 3.88 3.77  71.3 -0.378    19.76 21.91 02a57787o0574c 0x000000 -0.071429    2.62        5.10    17.82         4.45      1.43         8       0    2.62        5.10    17.82         4.45      1.43        8        0        0       0
57787.526990 19.766969      NaN   -22    15 c    0   0.84 160.25912 -27.08345  3667.07  4482.62 3.94 3.80  75.2 -0.373    19.74 21.90 02a57787o0602c 0x000000 -1.466667    5.71        5.24    14.35         3.59      0.90         8       0    5.71        5.24    14.35         3.59      0.90        8        0        0       0
57787.538664 19.549093      NaN     7    16 c    0   0.80 160.25912 -27.08345  3685.64  4367.12 3.75 3.63  80.4 -0.383    19.77 21.84 02a57787o0626c 0x000000  0.437500   -2.12        5.51    11.32         2.83      0.52         8       0   -2.12        5.51    11.32         2.83      0.52        8        0        0       0
57787.555365 19.766969      NaN    -4    15 c    0   0.83 160.25912 -27.08345  3652.32  4427.37 3.83 3.70  81.6 -0.379    19.76 21.88 02a57787o0659c 0x000000 -0.266667    1.11        4.97     9.42         2.35      0.43         8       0    1.11        4.97     9.42         2.35      0.43        8        0        0       0
57803.513764 19.510313      NaN   -27    19 c    0   0.94 160.25912 -27.08345  6458.30  5871.04 3.73 3.51  85.7 -0.401    19.33 20.97 02a57803o0573c 0x000000 -1.421053    1.02        6.91    21.51         5.38      1.11         8       0    1.02        6.91    21.51         5.38      1.11        8        0        0       0
57803.525435 19.169763      NaN    15    21 c    0   0.86 160.25912 -27.08345  6443.67  5831.14 3.73 3.52  86.0 -0.397    19.30 20.92 02a57803o0596c 0x000000  0.714286   -5.90        7.42    26.00         6.50      1.55         8       0   -5.90        7.42    26.00         6.50      1.55        8        0        0       0
57803.549325 19.302877      NaN   -34    23 c    0   0.82 160.25912 -27.08345  6516.22  5790.32 3.75 3.60  84.0 -0.394    19.18 20.75 02a57803o0643c 0x000000 -1.478261    6.49        8.12    28.86         7.22      1.47         8       0    6.49        8.12    28.86         7.22      1.47        8        0        0       0
57803.561013 19.454622      NaN   -27    20 c    0   1.25 160.25912 -27.08345  6483.16  5846.14 3.67 3.48  89.2 -0.404    19.16 20.68 02a57803o0666c 0x000000 -1.350000    7.67        7.59    29.83         7.46      2.17         8       0   18.05        8.28    20.47         5.47      0.89        7        1        0       0
57807.497762 19.696897      NaN   -15    16 c    0   0.96 160.25912 -27.08345  3729.30  7562.31 4.11 3.97  55.8 -0.378    19.59 21.73 02a57807o0522c 0x000000 -0.937500    1.29        6.09    14.94         3.73      0.79         8       0    1.29        6.09    14.94         3.73      0.79        8        0        0       0
57807.513012 19.631075      NaN   -11    17 c    0   0.86 160.25912 -27.08345  3698.11  7523.47 3.94 3.86  65.1 -0.375    19.63 21.72 02a57807o0551c 0x000000 -0.647059    7.65        5.86    13.62         3.40      0.64         8       0    7.65        5.86    13.62         3.40      0.64        8        0        0       0
57807.528616 19.491430      NaN     7    17 c    0   0.96 160.25912 -27.08345  3771.43  7599.78 3.88 3.77  80.0 -0.389    19.64 21.72 02a57807o0581c 0x000000  0.411765    9.49        5.87    16.02         4.01      0.91         8       0    9.49        5.87    16.02         4.01      0.91        8        0        0       0
57807.543715 19.569016      NaN     6    16 c    0   0.99 160.25912 -27.08345  3790.70  7480.40 3.72 3.67  86.5 -0.399    19.64 21.66 02a57807o0610c 0x000000  0.375000    3.77        5.66    13.60         3.40      0.70         8       0    3.77        5.66    13.60         3.40      0.70        8        0        0       0
57807.558757 19.766969      NaN    -1    15 c    0   0.93 160.25912 -27.08345  3757.45  7535.64 3.77 3.66  82.0 -0.401    19.58 21.59 02a57807o0639c 0x000000 -0.066667   -2.69        5.64    12.59         3.15      0.63         8       0   -2.69        5.64    12.59         3.15      0.63        8        0        0       0
57835.432723 19.454622      NaN   -10    20 c    0   1.01 160.25912 -27.08345  4783.88  6874.37 3.72 3.60  66.1 -0.419    18.98 20.92 02a57835o0329c 0x000000 -0.500000    6.14        6.95    27.34         6.83      1.96         8       0    6.14        6.95    27.34         6.83      1.96        8        0        0       0
57835.448972 19.454622      NaN   -11    20 c    0   1.02 160.25912 -27.08345  4769.53  6833.32 3.67 3.58  64.8 -0.417    18.95 20.83 02a57835o0360c 0x000000 -0.550000    1.67        7.07    24.39         6.10      1.56         8       0    1.67        7.07    24.39         6.10      1.56        8        0        0       0
57835.464835 19.401649      NaN   -35    21 c    0   1.06 160.25912 -27.08345  4824.57  6908.47 3.70 3.59  69.0 -0.411    18.91 20.77 02a57835o0390c 0x000000 -1.666667    4.38        7.36    12.14         3.03      0.39         8       0    4.38        7.36    12.14         3.03      0.39        8        0        0       0
57835.480662 18.967180      NaN    28    22 c    0   1.03 160.25912 -27.08345  4843.84  6790.39 3.75 3.65  73.5 -0.405    18.84 20.67 02a57835o0420c 0x000000  1.272727   -7.80        7.16    17.58         4.40      0.72         8       0   -7.80        7.16    17.58         4.40      0.72        8        0        0       0
57839.418472 18.786693      NaN    27    28 c    0   1.07 160.25912 -27.08345  4912.05  6407.32 3.89 3.74  17.1 -0.397    18.52 20.25 02a57839o0380c 0x100002  0.964286    4.85        9.83    37.05         9.26      1.70         8       0   -4.63       13.37    22.94         8.11      0.74        4        0        4       0
57839.449789 19.197966      NaN    16    20 c    0   1.20 160.25912 -27.08345  4949.59  6442.12 3.91 3.79  68.1 -0.390    18.82 20.63 02a57839o0439c 0x002000  0.800000   -4.58        7.04    19.68         4.92      0.98         8       0   -4.58        7.04    19.68         4.92      0.98        8        0        0       0
57839.481115 19.241693      NaN     4    23 c    0   0.81 160.25912 -27.08345  4937.74  6380.61 3.63 3.55  71.2 -0.418    18.80 20.53 02a57839o0498c 0x002000  0.173913    5.49        8.19    26.43         6.61      1.15         8       0    5.49        8.19    26.43         6.61      1.15        8        0        0       0
57843.409565 19.384550      NaN     4    20 c    0   1.02 160.25912 -27.08345  5836.24  7898.76 3.71 3.63  25.9 -0.429    18.91 20.77 02a57843o0340c 0x000000  0.200000    1.03        7.19    25.98         6.50      1.96         8       0   -9.04        7.85    14.90         3.98      0.57        7        1        0       0
57843.425226 19.401649      NaN    -4    21 c    0   1.03 160.25912 -27.08345  5821.17  7858.51 3.80 3.73  59.6 -0.414    18.87 20.74 02a57843o0370c 0x000000 -0.190476    5.06        7.62    18.35         4.59      0.73         8       0    5.06        7.62    18.35         4.59      0.73        8        0        0       0
57843.440893 18.955691      NaN    26    23 c    0   1.00 160.25912 -27.08345  5893.27  7934.34 3.89 3.80  67.3 -0.413    18.81 20.66 02a57843o0400c 0x000000  1.130435   10.40        7.87    13.67         3.42      0.39         8       0   10.40        7.87    13.67         3.42      0.39        8        0        0       0
57843.472239 19.212347      NaN    -2    25 c    0   0.99 160.25912 -27.08345  5862.59  7872.89 4.15 4.03  76.7 -0.388    18.63 20.44 02a57843o0460c 0x000000 -0.080000    7.70        8.81    18.44         4.61      0.57         8       0    7.70        8.81    18.44         4.61      0.57        8        0        0       0
57847.429650 18.816441      NaN   -10    36 c    0   1.03 160.25912 -27.08345  5690.93  6535.71 3.75 3.65  73.6 -0.412    18.26 19.42 02a57847o0390c 0x900002 -0.277778   15.70       12.51    49.28        12.32      2.04         8       0     NaN         NaN      NaN          NaN       NaN        0        0        8       0
57847.445276 18.786693      NaN    -5    37 c    0   1.05 160.25912 -27.08345  5710.27  6419.00 3.83 3.73  86.0 -0.394    18.23 19.42 02a57847o0420c 0x900002 -0.135135   -9.79       13.57    13.68         3.42      0.12         8       0     NaN         NaN      NaN          NaN       NaN        0        0        8       0
57847.460962 18.878500      NaN   -50    34 c    0   1.13 160.25912 -27.08345  5677.39  6473.88 3.77 3.68  85.1 -0.409    18.22 19.43 02a57847o0450c 0x900002 -1.470588    0.30       12.58    30.83         7.71      0.76         8       0     NaN         NaN      NaN          NaN       NaN        0        0        8       0
57863.380654 19.510313      NaN    -2    19 c    0   1.25 160.25912 -27.08345  3994.97  7645.79 3.74 3.61  53.7 -0.405    18.71 20.32 02a57863o0279c 0x000000 -0.105263    7.11        6.64    26.17         6.54      1.75         8       0    7.11        6.64    26.17         6.54      1.75        8        0        0       0
57863.392747 19.384550      NaN     7    19 c    0   1.14 160.25912 -27.08345  3980.07  7605.50 3.67 3.55  52.0 -0.414    18.69 20.26 02a57863o0302c 0x000000  0.368421    4.72        7.03    26.28         6.57      1.76         8       0    4.72        7.03    26.28         6.57      1.76        8        0        0       0
57863.404796 19.351140      NaN     3    21 c    0   1.09 160.25912 -27.08345  4051.15  7681.92 3.67 3.55  53.8 -0.414    18.66 20.24 02a57863o0325c 0x000000  0.142857   -2.92        7.62    16.99         4.25      0.63         8       0   -2.92        7.62    16.99         4.25      0.63        8        0        0       0
57863.416846 19.510313      NaN   -22    19 c    0   1.15 160.25912 -27.08345  4070.29  7564.65 3.71 3.58  58.1 -0.407    18.63 20.22 02a57863o0348c 0x000000 -1.157895    4.32        7.19    25.13         6.28      1.61         8       0    4.32        7.19    25.13         6.28      1.61        8        0        0       0
57863.428930 19.038793      NaN    19    23 c    0   0.87 160.25912 -27.08345  4036.43  7621.45 3.79 3.65  72.4 -0.400    18.56 20.17 02a57863o0371c 0x000000  0.826087   -6.09        7.42    10.34         2.58      0.24         8       0   -6.09        7.42    10.34         2.58      0.24        8        0        0       0
57867.370879 15.751015      NaN  -544   606 c    0   0.74 160.25912 -27.08345  7119.47  6277.80 2.76 2.51  36.5 -0.526    17.27 18.30 02a57867o0290c 0x900002 -0.897690  -60.32      193.91   529.90       132.48      0.97         8       0     NaN         NaN      NaN          NaN       NaN        0        0        8       0
57867.383505 16.141346      NaN   -52   423 c    0   0.70 160.25912 -27.08345  7104.29  6237.13 2.96 2.83  31.8 -0.503    16.87 17.97 02a57867o0314c 0x900002 -0.122931  141.93      124.06   476.04       119.01      1.82         8       0     NaN         NaN      NaN          NaN       NaN        0        0        8       0
57867.396615 14.689458      NaN -1747  1611 c    0   0.91 160.25912 -27.08345  7175.53  6312.90 2.87 2.66  35.5 -0.485    13.93 14.94 02a57867o0339c 0x900002 -1.084420 -174.91      592.12  1095.04       273.76      0.43         8       0     NaN         NaN      NaN          NaN       NaN        0        0        8       0
57867.409171 16.387049      NaN   232   260 c    0   1.38 160.25912 -27.08345  7194.44  6195.59 3.12 2.93  55.8 -0.509    15.82 16.97 02a57867o0363c 0x900002  0.892308  -42.37      106.27   466.13       116.53      2.46         8       0     NaN         NaN      NaN          NaN       NaN        0        0        8       0
57871.357263 20.321591      NaN   -24     9 c    0   1.15 160.25912 -27.08345  6987.85  6529.36 2.71 2.61 -85.1 -0.437    19.42 20.68 02a57871o0102c 0x000000 -2.666667   -3.40        3.47     6.63         1.66      0.49         8       0   -3.40        3.47     6.63         1.66      0.49        8        0        0       0
57871.373043 20.282105      NaN     4     8 c    0   1.96 160.25912 -27.08345  7040.73  6607.04 2.70 2.62 -75.3 -0.437    19.39 20.64 02a57871o0132c 0x000000  0.500000   -1.30        3.39     7.45         1.86      0.62         8       0   -1.30        3.39     7.45         1.86      0.62        8        0        0       0
57871.388799 20.321591      NaN   -11     9 c    0   1.31 160.25912 -27.08345  7058.72  6489.30 2.82 2.68 -85.3 -0.439    19.36 20.68 02a57871o0162c 0x000000 -1.222222    1.98        3.70     7.86         1.97      0.59         8       0    1.98        3.70     7.86         1.97      0.59        8        0        0       0
57871.404580 20.103715      NaN    -6    11 c    0   1.20 160.25912 -27.08345  7027.05  6547.70 2.86 2.74 -76.4 -0.439    19.27 20.57 02a57871o0192c 0x000000 -0.545455    0.85        4.10    10.99         2.75      0.92         8       0    0.85        4.10    10.99         2.75      0.92        8        0        0       0
57895.284362 19.922338      NaN    -7    13 c    0   0.99 160.25912 -27.08345  4320.47  7561.62 3.18 2.98  18.9 -0.469    19.41 21.44 02a57895o0095c 0x000000 -0.538462    3.01        4.51     8.92         2.23      0.50         8       0    3.01        4.51     8.92         2.23      0.50        8        0        0       0
57895.300769 19.922338      NaN    -4    13 c    0   1.03 160.25912 -27.08345  4288.83  7521.70 2.73 2.61   7.0 -0.488    19.39 21.26 02a57895o0126c 0x000000 -0.307692    2.60        4.09     6.00         1.50      0.26         8       0    2.60        4.09     6.00         1.50      0.26        8        0        0       0
57895.316085 19.791368      NaN    11    11 c    0   1.49 160.25912 -27.08345  4361.53  7597.87 3.02 2.92 -15.3 -0.480    19.31 21.28 02a57895o0155c 0x000000  1.000000   -2.26        4.38     9.18         2.29      0.57         8       0   -2.26        4.38     9.18         2.29      0.57        8        0        0       0
57895.332396 19.589310      NaN    11    14 c    0   0.97 160.25912 -27.08345  4381.84  7478.80 3.05 2.90   2.4 -0.465    19.33 21.27 02a57895o0186c 0x000000  0.785714   -7.09        4.50    15.81         3.95      1.73         8       0   -7.09        4.50    15.81         3.95      1.73        8        0        0       0
57895.349252 19.766969      NaN     0    15 c    0   1.05 160.25912 -27.08345  4347.92  7534.00 3.17 3.02  -1.2 -0.462    19.18 21.08 02a57895o0218c 0x000000  0.000000   -1.71        5.40    11.54         2.88      0.57         8       0   -1.71        5.40    11.54         2.88      0.57        8        0        0       0
57899.275103 19.719755      NaN    11    12 c    0   0.95 160.25912 -27.08345  4172.07  6360.80 2.65 2.47  35.7 -0.495    19.44 20.95 02a57899o0089c 0x000000  0.916667    0.01        4.53    11.58         2.89      0.76         8       0    0.01        4.53    11.58         2.89      0.76        8        0        0       0
57899.290519 19.894850      NaN     4    12 c    0   0.86 160.25912 -27.08345  4154.85  6320.77 2.55 2.42  25.0 -0.497    19.52 21.11 02a57899o0118c 0x000000  0.333333   -2.21        4.10    12.41         3.10      1.10         8       0   -2.21        4.10    12.41         3.10      1.10        8        0        0       0
57899.305846 19.894850      NaN     7    11 c    0   1.25 160.25912 -27.08345  4209.51  6397.24 2.48 2.43  42.8 -0.493    19.54 21.23 02a57899o0147c 0x000000  0.636364   -1.60        3.86    10.09         2.52      0.90         8       0   -1.60        3.86    10.09         2.52      0.90        8        0        0       0
57899.321696 19.743105      NaN    10    12 c    0   0.94 160.25912 -27.08345  4230.88  6277.76 2.57 2.55  60.4 -0.484    19.49 21.23 02a57899o0177c 0x000000  0.833333   -2.35        3.66    15.83         3.96      2.34         8       0   -2.35        3.66    15.83         3.96      2.34        8        0        0       0
57899.338026 20.009244      NaN    -6    12 c    0   1.12 160.25912 -27.08345  4197.01  6333.30 2.56 2.52 -55.3 -0.488    19.42 21.16 02a57899o0208c 0x000000 -0.500000    8.45        4.28    14.48         3.62      1.37         8       0    8.45        4.28    14.48         3.62      1.37        8        0        0       0
57903.267757 20.207197      NaN   -25    10 c    0   1.35 160.25912 -27.08345  5889.45  5279.88 2.60 2.55 -79.1 -0.446    19.44 20.73 02a57903o0063c 0x000000 -2.500000   -6.03        4.21    13.84         3.46      1.59         8       0   -6.03        4.21    13.84         3.46      1.59        8        0        0       0
57903.280064 19.652575      NaN    14    12 c    0   1.25 160.25912 -27.08345  5873.41  5240.47 2.64 2.58 -73.3 -0.445    19.38 20.70 02a57903o0087c 0x000000  1.166667   -2.75        4.44    15.65         3.91      1.47         8       0   -2.75        4.44    15.65         3.91      1.47        8        0        0       0
57903.295448 20.009244      NaN    -1    12 c    0   1.39 160.25912 -27.08345  5926.59  5316.33 2.70 2.62 -68.8 -0.452    19.34 20.63 02a57903o0117c 0x000000 -0.083333    2.71        5.11    15.85         3.96      1.16         8       0    2.71        5.11    15.85         3.96      1.16        8        0        0       0
57903.311400 19.922338      NaN   -11    13 c    0   1.09 160.25912 -27.08345  5943.94  5198.33 2.69 2.59 -75.9 -0.462    19.29 20.59 02a57903o0148c 0x000000 -0.846154    3.51        4.67    19.65         4.91      2.22         8       0    3.51        4.67    19.65         4.91      2.22        8        0        0       0
57903.326217 19.766969      NaN    -6    15 c    0   1.02 160.25912 -27.08345  5910.69  5255.93 2.75 2.60 -56.7 -0.456    19.21 20.47 02a57903o0177c 0x000000 -0.400000    1.91        5.81    18.30         4.57      1.20         8       0    1.91        5.81    18.30         4.57      1.20        8        0        0       0
58081.580987 19.841877      NaN    -3    14 c    0   1.59 160.25912 -27.08345  5739.95  9540.25 2.94 2.59  19.0 -0.468    19.36 21.11 02a58081o0676c 0x000000 -0.214286    4.49        5.25    19.18         4.80      1.70         8       0    4.49        5.25    19.18         4.80      1.70        8        0        0       0
58081.587904 19.766969      NaN   -12    15 c    0   1.14 160.25912 -27.08345  5756.58  9580.46 2.94 2.67  20.1 -0.455    19.40 21.14 02a58081o0691c 0x000000 -0.800000   -2.56        5.35    17.25         4.31      1.39         8       0   -2.56        5.35    17.25         4.31      1.39        8        0        0       0
58081.599050 19.652575      NaN     8    14 c    0   1.47 160.25912 -27.08345  5685.43  9483.92 3.18 2.85  21.8 -0.434    19.31 21.16 02a58081o0715c 0x000000  0.571429   -7.66        5.29    11.26         2.81      0.57         8       0   -7.66        5.29    11.26         2.81      0.57        8        0        0       0
58081.600459 19.841877      NaN    -6    14 c    0   1.28 160.25912 -27.08345  5668.97  9602.63 3.04 2.66  23.2 -0.449    19.42 21.17 02a58081o0718c 0x000000 -0.428571    0.74        5.36    11.02         2.75      0.56         8       0    0.74        5.36    11.02         2.75      0.56        8        0        0       0
58109.538821 19.766969      NaN    -4    15 c    0   1.24 160.25912 -27.08345  2918.98  8779.64 4.96 4.45  57.0 -0.381    19.13 21.92 02a58109o0381c 0x000000 -0.266667  -10.93        5.77    24.54         6.14      1.78         8       0  -10.93        5.77    24.54         6.14      1.78        8        0        0       0
58109.545741 19.696897      NaN    -5    16 c    0   1.50 160.25912 -27.08345  2934.68  8819.12 4.92 4.47  42.7 -0.378    19.20 21.94 02a58109o0396c 0x000000 -0.312500   -4.21        5.65    26.44         6.61      2.39         8       0   -4.21        5.65    26.44         6.61      2.39        8        0        0       0
