         MJD         m       dm  uJy  duJy F  err  chi/N        RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  __tmp_SN
57747.617896 19.529530      NaN   11    15 c    0   1.07 160.26443 -27.08345  3702.02  5830.74 3.96 3.85  54.8 -0.376    19.59 21.58 02a57747o0863c 0x000000  0.733333
57747.626599 19.841877      NaN   -7    14 c    0   1.21 160.26443 -27.08345  3687.67  5791.23 3.80 3.68  57.6 -0.385    19.63 21.57 02a57747o0880c 0x000000 -0.500000
57747.638110 19.436675      NaN   16    15 c    0   0.94 160.26443 -27.08345  3739.30  5869.11 3.90 3.80  38.1 -0.381    19.58 21.55 02a57747o0903c 0x000000  1.066667
57747.651580 19.241693      NaN   19    18 c    0   0.89 160.26443 -27.08345  3758.37  5752.43 4.52 3.88   3.7 -0.366    19.46 21.52 02a57747o0930c 0x000000  1.055556
57751.604071 19.841877      NaN  -13    14 c    0   1.01 160.26443 -27.08345  7096.74  4791.73 3.87 3.62  83.3 -0.389    19.72 21.78 02a57751o0354c 0x000000 -0.928571
57751.617616 19.696897      NaN  -23    16 c    0   0.80 160.26443 -27.08345  7064.11  4755.19 3.84 3.60  83.6 -0.391    19.67 21.69 02a57751o0381c 0x000000 -1.437500
57751.631659 19.922338      NaN   -1    13 c    0   1.32 160.26443 -27.08345  7134.18  4834.87 3.85 3.60  85.1 -0.391    19.66 21.66 02a57751o0409c 0x000000 -0.076923
57751.644682 19.696897      NaN   -3    16 c    0   0.83 160.26443 -27.08345  7151.38  4718.16 3.89 3.67  86.6 -0.391    19.64 21.65 02a57751o0435c 0x000000 -0.187500
57751.659753 19.652575      NaN    5    15 c    0   1.14 160.26443 -27.08345  7117.42  4777.39 3.86 3.65 -89.1 -0.393    19.52 21.42 02a57751o0465c 0x000000  0.333333
57755.593796 19.841877      NaN   -8    14 c    0   1.02 160.26443 -27.08345  5884.06  7131.66 3.60 3.48  79.1 -0.430    19.76 21.75 02a57755o0768c 0x000000 -0.571429
57755.607113 19.569016      NaN    6    16 c    0   1.00 160.26443 -27.08345  5868.68  7095.35 3.62 3.50  84.6 -0.430    19.73 21.73 02a57755o0794c 0x000000  0.375000
57755.621811 19.841877      NaN  -19    14 c    0   0.94 160.26443 -27.08345  5938.61  7175.28 3.59 3.47  85.3 -0.432    19.72 21.69 02a57755o0822c 0x000000 -1.357143
57755.640457 19.816329      NaN    1    14 c    0   1.18 160.26443 -27.08345  5957.50  7056.91 3.61 3.51  82.7 -0.427    19.70 21.67 02a57755o0858c 0x000000  0.071429
57755.649627 19.841877      NaN   -3    14 c    0   1.05 160.26443 -27.08345  5923.26  7116.39 3.75 3.60  83.7 -0.413    19.64 21.60 02a57755o0876c 0x000000 -0.214286
57779.531997 19.743105      NaN    1    15 c    0   0.95 160.26443 -27.08345  5366.51  7476.07 3.70 3.67  55.6 -0.433    19.73 21.81 02a57779o0611c 0x000000  0.066667
57779.548044 19.674510      NaN    4    15 c    0   0.84 160.26443 -27.08345  5350.87  7437.52 3.81 3.70  69.2 -0.416    19.71 21.77 02a57779o0642c 0x000000  0.266667
57779.564140 19.766969      NaN    0    15 c    0   0.88 160.26443 -27.08345  5405.14  7514.65 3.66 3.63  63.3 -0.435    19.71 21.74 02a57779o0673c 0x000000  0.000000
