         MJD         m       dm      uJy    duJy   F  err  chi/N        RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  __tmp_SN
57735.637639 18.623526      NaN    -82.0    43.0   o  0.0   0.88 160.26443 -27.08345  5241.06  6108.72 3.55 3.41  86.5 -0.434    18.43 19.18 02a57735o0771o 0x002000 -1.906977
57735.664525 18.136622      NaN     64.0    46.0   o  0.0   1.16 160.26443 -27.08345  5224.58  6067.68 3.71 3.58 -89.5 -0.425    18.29 19.01 02a57735o0822o 0x100002  1.391304
57735.671946 17.574501      NaN   -502.0   113.0   o  0.0   1.62 160.26443 -27.08345  5275.82  6144.23 3.51 3.32  89.9 -0.434    17.61 17.49 02a57735o0836o 0x500812 -4.442478
57763.571238 18.878500      NaN     -2.0    34.0   o  0.0   0.83 160.26443 -27.08345  3531.13  5687.64 3.47 3.41  69.5 -0.444    18.64 19.54 02a57763o0625o 0x000000 -0.058824
57763.593006 19.014394      NaN    -24.0    30.0   o  0.0   1.12 160.26443 -27.08345  3515.42  5651.65 3.44 3.38  71.9 -0.449    18.67 19.59 02a57763o0668o 0x000000 -0.800000
57763.598569 18.910912      NaN     -8.0    33.0   o  0.0   0.94 160.26443 -27.08345  3568.03  5729.92 3.41 3.37  60.8 -0.452    18.68 19.61 02a57763o0679o 0x000000 -0.242424
57763.612286 19.051202      NaN     -5.0    29.0   o  0.0   1.09 160.26443 -27.08345  3588.62  5612.79 3.35 3.34  53.7 -0.459    18.75 19.71 02a57763o0706o 0x000000 -0.172414
57763.626620 19.128787      NaN      0.0    27.0   o  0.0   1.19 160.26443 -27.08345  3556.07  5669.38 3.29 3.26  -8.9 -0.469    18.89 19.98 02a57763o0733o 0x000000  0.000000
57767.566282 18.623526      NaN    -26.0    43.0   o  0.0   0.90 160.26443 -27.08345  5736.02  5507.38 3.41 3.30 -79.4 -0.456    18.44 19.13 02a57767o0697o 0x000000 -0.604651
57767.581731 18.649074      NaN    -29.0    42.0   o  0.0   0.93 160.26443 -27.08345  5720.18  5471.55 3.41 3.32 -80.5 -0.454    18.44 19.14 02a57767o0727o 0x000000 -0.690476
57767.597158 18.757738      NaN      0.0    38.0   o  0.0   1.38 160.26443 -27.08345  5773.07  5549.25 3.41 3.32 -82.8 -0.447    18.43 19.13 02a57767o0757o 0x000000  0.000000
57767.613235 18.237955      NaN     67.0    39.0   o  0.0   1.22 160.26443 -27.08345  5810.50  5432.88 3.40 3.28 -77.4 -0.456    18.43 19.12 02a57767o0788o 0x000000  1.717949
57767.628664 18.675237      NaN    -54.0    41.0   o  0.0   1.08 160.26443 -27.08345  5760.81  5488.15 3.42 3.34 -86.3 -0.450    18.42 19.10 02a57767o0818o 0x080010 -1.317073
57771.559930 19.169763      NaN    -12.0    26.0   o  0.0   0.99 160.26443 -27.08345  3570.69  4175.82 3.66 3.58  82.3 -0.414    18.78 19.87 02a57771o0700o 0x000000 -0.461538
57771.575407 19.051202      NaN    -50.0    29.0   o  0.0   1.07 160.26443 -27.08345  3555.21  4138.64 3.62 3.57  46.1 -0.419    18.76 19.83 02a57771o0730o 0x000000 -1.724138
57771.591504 18.933071      NaN      7.0    30.0   o  0.0   1.03 160.26443 -27.08345  3608.09  4216.38 3.67 3.61  11.4 -0.413    18.73 19.81 02a57771o0761o 0x000000  0.233333
57771.607683 18.910912      NaN    -11.0    33.0   o  0.0   0.81 160.26443 -27.08345  3628.71  4099.44 3.98 3.73  -1.6 -0.401    18.65 19.79 02a57771o0792o 0x000000 -0.333333
57771.623188 19.089302      NaN    -49.0    28.0   o  0.0   1.43 160.26443 -27.08345  3596.54  4154.49 4.11 3.68  -1.2 -0.393    18.61 19.77 02a57771o0822o 0x000000 -1.750000
57799.486439 19.128787      NaN    -12.0    27.0   o  0.0   1.15 160.26443 -27.08345  5234.47  5153.27 3.54 3.44  81.0 -0.434    18.78 19.83 02a57799o0517o 0x000000 -0.444444
57799.501963 19.002397      NaN      4.0    29.0   o  0.0   0.78 160.26443 -27.08345  5219.15  5117.45 3.60 3.49  81.7 -0.423    18.75 19.83 02a57799o0547o 0x000000  0.137931
57799.518057 19.014394      NaN    -55.0    30.0   o  0.0   1.04 160.26443 -27.08345  5273.14  5194.28 3.50 3.40  86.8 -0.437    18.77 19.79 02a57799o0578o 0x000000 -1.833333
57799.534256 18.558199      NaN     50.0    29.0   o  0.0   1.43 160.26443 -27.08345  5292.83  5077.49 4.05 3.73   9.1 -0.402    18.60 19.74 02a57799o0609o 0x000000  1.724138
57799.549760 18.720295      NaN     28.0    30.0   o  0.0   1.06 160.26443 -27.08345  5259.44  5133.22 3.54 3.49  -5.7 -0.430    18.66 19.65 02a57799o0639o 0x000000  0.933333
57804.535068 18.675237      NaN     -8.0    41.0   o  0.0   1.01 160.26443 -27.08345  6521.01  2749.51 4.36 4.08  89.6 -0.584    18.66 20.54 01a57804o0504o 0x000000 -0.195122
57804.548814 18.702047      NaN    -33.0    40.0   o  0.0   1.10 160.26443 -27.08345  6451.56  2673.11 4.41 4.19 -89.6 -0.584    18.56 20.38 01a57804o0531o 0x000000 -0.825000
57804.562715 18.598565      NaN    -28.0    44.0   o  0.0   1.09 160.26443 -27.08345  6434.23  2791.74 4.70 4.48 -88.2 -0.580    18.41 20.25 01a57804o0558o 0x080010 -0.636364
