         MJD         m       dm   uJy  duJy F  err  chi/N        RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  __tmp_SN
57747.617896 19.696897      NaN    -4    16 c    0   0.83 160.26288 -27.08011  3704.62  5837.22 3.96 3.85  54.8 -0.376    19.59 21.58 02a57747o0863c 0x000000 -0.250000
57747.626599 19.419021      NaN    14    16 c    0   1.05 160.26288 -27.08011  3690.28  5797.71 3.80 3.68  57.6 -0.385    19.63 21.57 02a57747o0880c 0x000000  0.875000
57747.638110 19.419021      NaN    17    15 c    0   1.02 160.26288 -27.08011  3741.90  5875.60 3.90 3.80  38.1 -0.381    19.58 21.55 02a57747o0903c 0x000000  1.133333
57747.651580 19.419021      NaN     5    19 c    0   0.82 160.26288 -27.08011  3760.97  5758.91 4.52 3.88   3.8 -0.366    19.46 21.52 02a57747o0930c 0x000000  0.263158
57751.604071 19.766969      NaN   -25    15 c    0   0.90 160.26288 -27.08011  7099.45  4798.17 3.87 3.62  83.3 -0.389    19.72 21.78 02a57751o0354c 0x000000 -1.666667
57751.617616 19.766969      NaN   -24    15 c    0   1.05 160.26288 -27.08011  7066.82  4761.64 3.84 3.60  83.6 -0.391    19.67 21.69 02a57751o0381c 0x000000 -1.600000
57751.631659 19.491430      NaN    16    14 c    0   1.06 160.26288 -27.08011  7136.89  4841.31 3.85 3.60  85.1 -0.391    19.66 21.66 02a57751o0409c 0x000000  1.142857
57751.644682 19.401649      NaN    12    17 c    0   0.69 160.26288 -27.08011  7154.09  4724.60 3.89 3.67  86.6 -0.391    19.64 21.65 02a57751o0435c 0x000000  0.705882
57751.659753 19.510313      NaN     9    16 c    0   0.99 160.26288 -27.08011  7120.12  4783.83 3.87 3.65 -89.1 -0.393    19.52 21.42 02a57751o0465c 0x000000  0.562500
57755.593796 19.569016      NaN    15    13 c    0   1.01 160.26288 -27.08011  5886.73  7138.13 3.60 3.48  79.1 -0.430    19.76 21.75 02a57755o0768c 0x000000  1.153846
57755.607113 19.766969      NaN   -15    15 c    0   0.98 160.26288 -27.08011  5871.36  7101.83 3.62 3.50  84.7 -0.430    19.73 21.73 02a57755o0794c 0x000000 -1.000000
57755.621811 19.155932      NaN    37    14 c    0   1.05 160.26288 -27.08011  5941.29  7181.75 3.59 3.47  85.3 -0.432    19.72 21.69 02a57755o0822c 0x000000  2.642857
57755.640457 19.841877      NaN   -16    14 c    0   1.14 160.26288 -27.08011  5960.18  7063.38 3.61 3.51  82.7 -0.428    19.70 21.67 02a57755o0858c 0x000000 -1.142857
57755.649627 19.696897      NaN    -8    16 c    0   0.81 160.26288 -27.08011  5925.94  7122.87 3.75 3.60  83.7 -0.414    19.64 21.60 02a57755o0876c 0x000000 -0.500000
57779.531997 19.766969      NaN   -49    15 c    0   0.97 160.26288 -27.08011  5369.16  7482.56 3.70 3.67  55.4 -0.433    19.73 21.81 02a57779o0611c 0x001000 -3.266667
57779.548044 19.589310      NaN     8    15 c    0   0.89 160.26288 -27.08011  5353.52  7444.00 3.80 3.70  69.1 -0.416    19.71 21.77 02a57779o0642c 0x000000  0.533333
57779.564140 19.696897      NaN     3    15 c    0   0.98 160.26288 -27.08011  5407.80  7521.14 3.65 3.63  63.1 -0.435    19.71 21.74 02a57779o0673c 0x000000  0.200000
57779.579679 19.351140      NaN    18    16 c    0   1.11 160.26288 -27.08011  5426.29  7403.58 3.93 3.84  38.6 -0.409    19.68 21.78 02a57779o0703c 0x000000  1.125000
57779.595084 19.766969      NaN   -10    15 c    0   0.98 160.26288 -27.08011  5393.72  7461.67 3.88 3.80  23.0 -0.412    19.66 21.75 02a57779o0733c 0x000000 -0.666667
57783.527260 19.334813      NaN    22    15 c    0   0.88 160.26288 -27.08011  4443.20  5656.97 3.87 3.76 -83.8 -0.381    19.69 21.81 02a57783o0594c 0x000000  1.466667
57783.543369 19.696897      NaN   -10    16 c    0   0.81 160.26288 -27.08011  4427.00  5617.82 3.86 3.75 -80.9 -0.380    19.69 21.79 02a57783o0625c 0x000000 -0.625000
57783.559600 19.766969      NaN   -12    15 c    0   0.95 160.26288 -27.08011  4481.85  5694.79 4.08 3.95 -74.5 -0.364    19.63 21.83 02a57783o0656c 0x000000 -0.800000
57783.575718 19.791368      NaN     2    14 c    0   1.13 160.26288 -27.08011  4501.80  5577.11 3.85 3.73 -76.4 -0.381    19.71 21.85 02a57783o0687c 0x000000  0.142857
57783.591797 19.766969      NaN   -10    15 c    0   1.07 160.26288 -27.08011  4470.25  5634.85 3.98 3.88 -78.3 -0.373    19.66 21.85 02a57783o0718c 0x000000 -0.666667
57787.502251 19.334813      NaN    22    15 c    0   0.81 160.26288 -27.08011  3623.17  4448.46 3.88 3.77  72.7 -0.376    19.76 21.91 02a57787o0554c 0x400110  1.466667
57787.512155 19.922338      NaN     0    13 c    0   1.30 160.26288 -27.08011  3607.58  4409.57 3.88 3.77  71.2 -0.378    19.76 21.91 02a57787o0574c 0x000000  0.000000
57787.526990 19.766969      NaN   -17    15 c    0   0.82 160.26288 -27.08011  3660.52  4489.01 3.94 3.80  75.1 -0.373    19.74 21.90 02a57787o0602c 0x000000 -1.133333
57787.538664 19.631075      NaN     6    15 c    0   0.85 160.26288 -27.08011  3679.09  4373.51 3.75 3.63  80.4 -0.383    19.77 21.84 02a57787o0626c 0x000000  0.400000
57787.555365 19.719755      NaN     5    14 c    0   1.02 160.26288 -27.08011  3645.77  4433.76 3.83 3.70  81.5 -0.379    19.76 21.88 02a57787o0659c 0x000000  0.357143
57803.513764 19.569016      NaN   -14    18 c    0   1.02 160.26288 -27.08011  6451.84  5877.52 3.73 3.51  85.7 -0.401    19.33 20.97 02a57803o0573c 0x000000 -0.777778
57803.525435 19.401649      NaN   -11    21 c    0   0.84 160.26288 -27.08011  6437.21  5837.61 3.73 3.52  86.0 -0.397    19.30 20.92 02a57803o0596c 0x000000 -0.523810
57803.549325 19.302877      NaN   -11    23 c    0   1.00 160.26288 -27.08011  6509.77  5796.79 3.75 3.60  84.0 -0.394    19.18 20.75 02a57803o0643c 0x000000 -0.478261
57803.561013 19.051202      NaN    18    23 c    0   0.88 160.26288 -27.08011  6476.70  5852.61 3.67 3.48  89.2 -0.404    19.16 20.68 02a57803o0666c 0x000000  0.782609
57807.497762 19.318728      NaN    20    16 c    0   1.16 160.26288 -27.08011  3722.74  7568.73 4.11 3.97  55.7 -0.378    19.59 21.73 02a57807o0522c 0x000000  1.250000
57807.513012 19.472870      NaN    11    16 c    0   0.97 160.26288 -27.08011  3691.55  7529.89 3.94 3.86  64.8 -0.375    19.63 21.72 02a57807o0551c 0x000000  0.687500
57807.528616 19.384550      NaN    16    16 c    0   0.97 160.26288 -27.08011  3764.87  7606.21 3.88 3.77  79.9 -0.389    19.64 21.72 02a57807o0581c 0x000000  1.000000
57807.543715 19.841877      NaN     0    14 c    0   1.18 160.26288 -27.08011  3784.14  7486.82 3.72 3.68  86.3 -0.399    19.64 21.66 02a57807o0610c 0x000000  0.000000
57807.558757 19.696897      NaN   -14    16 c    0   0.80 160.26288 -27.08011  3750.89  7542.06 3.77 3.66  81.9 -0.401    19.58 21.59 02a57807o0639c 0x000000 -0.875000
57835.432723 19.454622      NaN   -38    20 c    0   1.07 160.26288 -27.08011  4777.37  6880.80 3.72 3.60  66.0 -0.419    18.98 20.92 02a57835o0329c 0x000000 -1.900000
57835.448972 19.212347      NaN     9    22 c    0   0.72 160.26288 -27.08011  4763.02  6839.76 3.67 3.58  64.6 -0.417    18.95 20.83 02a57835o0360c 0x000000  0.409091
57835.464835 19.128787      NaN    21    20 c    0   0.89 160.26288 -27.08011  4818.06  6914.91 3.70 3.59  68.8 -0.411    18.91 20.77 02a57835o0390c 0x000000  1.050000
57835.480662 19.454622      NaN     0    20 c    0   1.08 160.26288 -27.08011  4837.33  6796.82 3.75 3.65  73.4 -0.406    18.84 20.67 02a57835o0420c 0x000000  0.000000
57839.418472 19.089302      NaN     3    27 c    0   1.19 160.26288 -27.08011  4905.55  6413.75 3.89 3.74  17.1 -0.397    18.52 20.25 02a57839o0380c 0x000000  0.111111
57839.449789 19.510313      NaN   -27    19 c    0   1.21 160.26288 -27.08011  4943.08  6448.55 3.91 3.79  68.0 -0.390    18.82 20.63 02a57839o0439c 0x000000 -1.421053
57839.481115 18.944322      NaN    21    25 c    0   0.73 160.26288 -27.08011  4931.24  6387.04 3.63 3.55  71.1 -0.419    18.80 20.53 02a57839o0498c 0x000000  0.840000
57843.409565 19.569016 0.361912    54    18 c    0   1.25 160.26288 -27.08011  5829.76  7905.24 3.71 3.63  25.7 -0.429    18.91 20.77 02a57843o0340c 0x000000  3.000000
57843.425226 19.226921      NaN    11    21 c    0   0.96 160.26288 -27.08011  5814.69  7864.99 3.80 3.73  59.2 -0.414    18.87 20.74 02a57843o0370c 0x000000  0.523810
57843.440893 19.334813      NaN     1    22 c    0   1.03 160.26288 -27.08011  5886.79  7940.82 3.89 3.80  67.1 -0.413    18.81 20.66 02a57843o0400c 0x000000  0.045455
57843.472239 19.063754      NaN    11    25 c    0   1.02 160.26288 -27.08011  5856.12  7879.36 4.15 4.04  76.6 -0.388    18.63 20.44 02a57843o0460c 0x000000  0.440000
57847.429650 18.816441      NaN   -40    36 c    0   0.84 160.26288 -27.08011  5684.45  6542.16 3.75 3.65  73.4 -0.412    18.26 19.42 02a57847o0390c 0x900002 -1.111111
57847.445276 18.816441      NaN   -28    36 c    0   1.25 160.26288 -27.08011  5703.79  6425.45 3.83 3.73  86.0 -0.394    18.23 19.42 02a57847o0420c 0x900002 -0.777778
57847.460962 18.944322      NaN   -31    32 c    0   1.35 160.26288 -27.08011  5670.91  6480.33 3.77 3.68  85.0 -0.409    18.22 19.43 02a57847o0450c 0x900002 -0.968750
57863.380654 18.910912      NaN    42    19 c    0   1.19 160.26288 -27.08011  3988.42  7652.22 3.74 3.61  53.6 -0.405    18.71 20.32 02a57863o0279c 0x000000  2.210526
57863.392747 19.569016      NaN   -22    18 c    0   1.16 160.26288 -27.08011  3973.52  7611.92 3.67 3.55  51.8 -0.414    18.69 20.26 02a57863o0302c 0x000000 -1.222222
57863.404796 19.115465      NaN    16    22 c    0   0.82 160.26288 -27.08011  4044.60  7688.34 3.67 3.55  53.6 -0.414    18.66 20.24 02a57863o0325c 0x000000  0.727273
57863.416846 19.226921      NaN    14    20 c    0   1.04 160.26288 -27.08011  4063.74  7571.07 3.71 3.58  57.9 -0.407    18.63 20.22 02a57863o0348c 0x000000  0.700000
57863.428930 19.351140      NaN     0    22 c    0   0.85 160.26288 -27.08011  4029.88  7627.88 3.79 3.65  72.3 -0.400    18.56 20.17 02a57863o0371c 0x000000  0.000000
57867.370879 15.828999      NaN  -322   564 c    0   1.14 160.26288 -27.08011  7113.03  6284.29 2.76 2.51  36.5 -0.526    17.27 18.30 02a57867o0290c 0x900002 -0.570922
57867.383505 15.661632      NaN   915   353 c    0   1.26 160.26288 -27.08011  7097.85  6243.62 2.95 2.83  31.7 -0.502    16.87 17.97 02a57867o0314c 0x900002  2.592068
57867.396615 14.638766      NaN -2580  1688 c    0   0.95 160.26288 -27.08011  7169.09  6319.39 2.87 2.66  35.5 -0.485    13.93 14.94 02a57867o0339c 0x900002 -1.528436
57867.409171 16.503590      NaN  -128   303 c    0   1.09 160.26288 -27.08011  7188.00  6202.08 3.12 2.93  55.9 -0.509    15.82 16.97 02a57867o0363c 0x900002 -0.422442
57871.357263 20.039830      NaN     8     9 c    0   1.12 160.26288 -27.08011  6981.40  6535.85 2.71 2.61 -85.0 -0.437    19.42 20.68 02a57871o0102c 0x000000  0.888889
57871.373043 20.321591      NaN    -9     9 c    0   1.39 160.26288 -27.08011  7034.28  6613.53 2.70 2.62 -75.2 -0.437    19.39 20.64 02a57871o0132c 0x000000 -1.000000
57871.388799 19.841877      NaN    12    10 c    0   1.04 160.26288 -27.08011  7052.28  6495.79 2.82 2.68 -85.2 -0.439    19.36 20.68 02a57871o0162c 0x000000  1.200000
57871.404580 19.766969      NaN     9    12 c    0   1.02 160.26288 -27.08011  7020.61  6554.18 2.86 2.74 -76.3 -0.439    19.27 20.57 02a57871o0192c 0x000000  0.750000
57895.284362 19.589310      NaN    17    12 c    0   1.00 160.26288 -27.08011  4313.92  7568.07 3.18 2.98  18.8 -0.469    19.41 21.44 02a57895o0095c 0x000000  1.416667
57895.300769 20.103715      NaN    -2    11 c    0   1.05 160.26288 -27.08011  4282.28  7528.15 2.73 2.61   6.9 -0.488    19.39 21.26 02a57895o0126c 0x000000 -0.181818
57895.316085 19.696897      NaN     6    14 c    0   0.84 160.26288 -27.08011  4354.99  7604.32 3.02 2.92 -15.4 -0.480    19.31 21.28 02a57895o0155c 0x000000  0.428571
57895.332396 20.009244      NaN   -20    12 c    0   1.40 160.26288 -27.08011  4375.29  7485.25 3.05 2.90   2.3 -0.465    19.33 21.27 02a57895o0186c 0x000000 -1.666667
57895.349252 19.766969      NaN   -12    15 c    0   1.11 160.26288 -27.08011  4341.38  7540.44 3.17 3.02  -1.3 -0.462    19.18 21.08 02a57895o0218c 0x000000 -0.800000
57899.275103 19.841877      NaN   -21    14 c    0   0.63 160.26288 -27.08011  4165.52  6367.23 2.65 2.47  35.7 -0.495    19.44 20.95 02a57899o0089c 0x000000 -1.500000
57899.290519 19.922338      NaN     6    11 c    0   0.83 160.26288 -27.08011  4148.30  6327.19 2.55 2.42  25.0 -0.497    19.52 21.11 02a57899o0118c 0x000000  0.545455
57899.305846 19.743105      NaN    13    11 c    0   1.06 160.26288 -27.08011  4202.97  6403.67 2.48 2.43  42.8 -0.493    19.54 21.23 02a57899o0147c 0x000000  1.181818
57899.321696 19.743105      NaN    13    11 c    0   1.24 160.26288 -27.08011  4224.34  6284.18 2.57 2.55  60.5 -0.484    19.49 21.23 02a57899o0177c 0x000000  1.181818
57899.338026 19.631075      NaN    15    12 c    0   1.14 160.26288 -27.08011  4190.47  6339.72 2.56 2.52 -55.3 -0.488    19.42 21.16 02a57899o0208c 0x000000  1.250000
57903.267757 19.841877      NaN     9    11 c    0   1.37 160.26288 -27.08011  5882.97  5286.35 2.60 2.55 -79.1 -0.446    19.44 20.73 02a57903o0063c 0x000000  0.818182
57903.280064 20.009244      NaN    -8    12 c    0   1.13 160.26288 -27.08011  5866.92  5246.93 2.64 2.58 -73.3 -0.445    19.38 20.70 02a57903o0087c 0x000000 -0.666667
57903.295448 19.287255      NaN    28    14 c    0   0.99 160.26288 -27.08011  5920.10  5322.79 2.70 2.62 -68.8 -0.452    19.34 20.63 02a57903o0117c 0x000000  2.000000
57903.311400 19.510313      NaN    18    13 c    0   1.04 160.26288 -27.08011  5937.45  5204.79 2.69 2.59 -75.9 -0.462    19.29 20.59 02a57903o0148c 0x000000  1.384615
57903.326217 19.652575      NaN     5    15 c    0   1.01 160.26288 -27.08011  5904.21  5262.39 2.75 2.60 -56.7 -0.456    19.21 20.47 02a57903o0177c 0x000000  0.333333
