ControlID          MJD   MJDbin       uJy      duJy   stdev X2norm Nclip Ngood Nexcluded     Mask         m       dm  __tmp_SN
        2 57735.651082 57735.50    51.000    28.284   38.18  0.911     0     2         1 0x002000 18.567328      NaN  1.803122
        2          NaN 57736.50       NaN       NaN     NaN    NaN     0     0         0 0x800000       NaN      NaN       NaN
        2          NaN 57737.50       NaN       NaN     NaN    NaN     0     0         0 0x800000       NaN      NaN       NaN
        2          NaN 57738.50       NaN       NaN     NaN    NaN     0     0         0 0x800000       NaN      NaN       NaN
        2          NaN 57739.50       NaN       NaN     NaN    NaN     0     0         0 0x800000       NaN      NaN       NaN
        2          NaN 57740.50       NaN       NaN     NaN    NaN     0     0         0 0x800000       NaN      NaN       NaN
        2          NaN 57741.50       NaN       NaN     NaN    NaN     0     0         0 0x800000       NaN      NaN       NaN
        2          NaN 57742.50       NaN       NaN     NaN    NaN     0     0         0 0x800000       NaN      NaN       NaN
        2          NaN 57743.50       NaN       NaN     NaN    NaN     0     0         0 0x800000       NaN      NaN       NaN
        2          NaN 57744.50       NaN       NaN     NaN    NaN     0     0         0 0x800000       NaN      NaN       NaN
        2          NaN 57745.50       NaN       NaN     NaN    NaN     0     0         0 0x800000       NaN      NaN       NaN
        2          NaN 57746.50       NaN       NaN     NaN    NaN     0     0         0 0x800000       NaN      NaN       NaN
        2          NaN 57747.50       NaN       NaN     NaN    NaN     0     0         0 0x800000       NaN      NaN       NaN
        2          NaN 57748.50       NaN       NaN     NaN    NaN     0     0         0 0x800000       NaN      NaN       NaN
        2          NaN 57749.50       NaN       NaN     NaN    NaN     0     0         0 0x800000       NaN      NaN       NaN
        2          NaN 57750.50       NaN       NaN     NaN    NaN     0     0         0 0x800000       NaN      NaN       NaN
        2          NaN 57751.50       NaN       NaN     NaN    NaN     0     0         0 0x800000       NaN      NaN       NaN
        2          NaN 57752.50       NaN       NaN     NaN    NaN     0     0         0 0x800000       NaN      NaN       NaN
