         MJD         m       dm   uJy  duJy F  err  chi/N        RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  __tmp_SN
57735.637639 18.158337      NaN    78    40 o    0   0.96 160.26288 -27.08011  5243.71  6115.18 3.55 3.41  86.5 -0.435    18.43 19.18 02a57735o0771o 0x002000  1.950000
57735.664525 18.504094      NaN    24    40 o    0   1.34 160.26288 -27.08011  5227.22  6074.14 3.71 3.58 -89.6 -0.425    18.29 19.01 02a57735o0822o 0x002000  0.600000
57735.671946 17.473643      NaN  -212   124 o    0   1.50 160.26288 -27.08011  5278.46  6150.70 3.51 3.32  89.8 -0.434    17.61 17.49 02a57735o0836o 0x500812 -1.709677
57763.571238 18.826541      NaN    11    32 o    0   1.02 160.26288 -27.08011  3533.73  5694.13 3.47 3.41  69.4 -0.445    18.64 19.54 02a57763o0625o 0x000000  0.343750
57763.593006 18.467034      NaN    56    31 o    0   0.85 160.26288 -27.08011  3518.02  5658.14 3.44 3.38  71.9 -0.449    18.67 19.59 02a57763o0668o 0x000000  1.806452
57763.598569 18.847027      NaN     3    34 o    0   1.02 160.26288 -27.08011  3570.63  5736.41 3.41 3.37  60.7 -0.452    18.68 19.61 02a57763o0679o 0x000000  0.088235
57763.612286 18.711133      NaN    29    30 o    0   1.18 160.26288 -27.08011  3591.22  5619.28 3.35 3.33  53.3 -0.459    18.75 19.71 02a57763o0706o 0x000000  0.966667
57763.626620 18.598565      NaN    57    25 o    0   1.30 160.26288 -27.08011  3558.66  5675.87 3.29 3.26  -9.0 -0.469    18.89 19.98 02a57763o0733o 0x000000  2.280000
57767.566282 18.474346      NaN    22    42 o    0   0.84 160.26288 -27.08011  5738.68  5513.84 3.41 3.30 -79.3 -0.457    18.44 19.13 02a57767o0697o 0x000000  0.523810
57767.581731 18.481707      NaN    21    42 o    0   1.15 160.26288 -27.08011  5722.85  5478.01 3.41 3.32 -80.5 -0.454    18.44 19.14 02a57767o0727o 0x000000  0.500000
57767.597158 18.298627      NaN    57    39 o    0   1.10 160.26288 -27.08011  5775.73  5555.71 3.41 3.32 -82.7 -0.447    18.43 19.13 02a57767o0757o 0x000000  1.461538
57767.613235 18.376212      NaN    42    40 o    0   1.05 160.26288 -27.08011  5813.16  5439.34 3.40 3.28 -77.3 -0.456    18.43 19.12 02a57767o0788o 0x000000  1.050000
57767.628664 18.005163      NaN    99    43 o    0   0.89 160.26288 -27.08011  5763.47  5494.61 3.42 3.34 -86.2 -0.450    18.42 19.10 02a57767o0818o 0x080010  2.302326
57771.559930 18.933071      NaN    16    27 o    0   1.32 160.26288 -27.08011  3573.30  4182.31 3.66 3.58  82.2 -0.414    18.78 19.87 02a57771o0700o 0x000000  0.592593
57771.575407 18.474346      NaN    52    32 o    0   0.84 160.26288 -27.08011  3557.81  4145.13 3.62 3.57  46.1 -0.419    18.76 19.83 02a57771o0730o 0x000000  1.625000
57771.591504 19.128787      NaN   -16    27 o    0   1.29 160.26288 -27.08011  3610.70  4222.87 3.67 3.61  11.4 -0.413    18.73 19.81 02a57771o0761o 0x000000 -0.592593
57771.607683 18.504094      NaN    48    32 o    0   0.94 160.26288 -27.08011  3631.31  4105.93 3.98 3.73  -1.6 -0.401    18.65 19.79 02a57771o0792o 0x000000  1.500000
57771.623188 18.944322      NaN    -6    32 o    0   0.94 160.26288 -27.08011  3599.14  4160.98 4.11 3.68  -1.2 -0.393    18.61 19.77 02a57771o0822o 0x000000 -0.187500
57799.486439 18.978793      NaN     3    30 o    0   0.80 160.26288 -27.08011  5237.12  5159.73 3.54 3.44  81.0 -0.434    18.78 19.83 02a57799o0517o 0x000000  0.100000
57799.501963 18.955691      NaN     8    29 o    0   0.99 160.26288 -27.08011  5221.80  5123.91 3.60 3.49  81.7 -0.423    18.75 19.83 02a57799o0547o 0x000000  0.275862
57799.518057 19.014394      NaN   -14    30 o    0   1.01 160.26288 -27.08011  5275.79  5200.74 3.50 3.39  86.9 -0.437    18.77 19.79 02a57799o0578o 0x000000 -0.466667
57799.534256 18.910912      NaN     6    31 o    0   1.43 160.26288 -27.08011  5295.48  5083.95 4.05 3.73   9.1 -0.402    18.60 19.74 02a57799o0609o 0x000000  0.193548
57799.549760 18.836735      NaN    22    28 o    0   1.43 160.26288 -27.08011  5262.09  5139.69 3.54 3.49  -5.7 -0.430    18.66 19.65 02a57799o0639o 0x000000  0.785714
57804.535068 18.757738      NaN   -47    38 o    0   1.25 160.26288 -27.08011  6518.29  2743.05 4.36 4.08  89.6 -0.584    18.66 20.54 01a57804o0504o 0x000000 -1.236842
57804.548814 18.649074      NaN   -23    42 o    0   0.95 160.26288 -27.08011  6448.84  2666.65 4.42 4.19 -89.6 -0.584    18.56 20.38 01a57804o0531o 0x000000 -0.547619
57804.562715 18.504094      NaN   -23    48 o    0   0.93 160.26288 -27.08011  6431.51  2785.29 4.70 4.48 -88.2 -0.580    18.41 20.25 01a57804o0558o 0x080010 -0.479167
57806.514460 18.729535      NaN   -36    39 o    0   0.58 160.26288 -27.08011  5263.21  4304.51 4.24 4.05 -75.2 -0.543    18.66 20.53 01a57806o0584o 0x000000 -0.923077
57806.528701 18.438271      NaN   -34    51 o    0   0.76 160.26288 -27.08011  5280.14  4343.41 4.22 4.03 -75.6 -0.542    18.68 20.55 01a57806o0612o 0x500812 -0.666667
57806.542591 18.598565      NaN    18    38 o    0   0.88 160.26288 -27.08011  5227.82  4267.41 4.33 4.15 -84.5 -0.538    18.60 20.45 01a57806o0639o 0x000000  0.473684
57806.556553 18.702047      NaN    -6    40 o    0   0.92 160.26288 -27.08011  5211.02  4384.40 4.38 4.23 -77.4 -0.524    18.52 20.32 01a57806o0666o 0x000000 -0.150000
57808.525811 18.349730      NaN    28    46 o    0   0.69 160.26288 -27.08011  4225.11  3798.53 5.01 4.82 -76.2 -0.515    18.59 20.70 01a57808o0508o 0x000000  0.608696
57808.539666 18.816441      NaN   -60    36 o    0   0.88 160.26288 -27.08011  4172.23  3722.63 4.50 4.28 -88.2 -0.532    18.67 20.61 01a57808o0535o 0x000000 -1.666667
57808.553667 18.711133      NaN     8    37 o    0   1.04 160.26288 -27.08011  4138.63  3839.23 4.69 4.45 -85.9 -0.519    18.55 20.47 01a57808o0562o 0x000000  0.216216
57810.514746 15.416501      NaN   455   673 o    0   1.06 160.26288 -27.08011  4476.67  5496.21 3.91 3.84 -79.9 -0.642    15.45 17.25 01a57810o0577o 0x900002  0.676077
57816.483510 19.002397      NaN    22    23 o    0   1.22 160.26288 -27.08011  7133.69  5132.65 3.53 3.39 -10.7 -0.475    19.08 21.11 01a57816o0521o 0x000000  0.956522
57816.497482 19.271854      NaN     5    22 o    0   1.27 160.26288 -27.08011  7151.61  5171.53 3.47 3.35  -9.0 -0.479    19.08 21.08 01a57816o0549o 0x000000  0.227273
57816.512076 19.212347      NaN   -32    25 o    0   1.00 160.26288 -27.08011  7098.74  5095.21 3.58 3.48 -30.8 -0.469    19.01 21.03 01a57816o0578o 0x000000 -1.280000
57816.526679 19.256669      NaN   -21    24 o    0   1.20 160.26288 -27.08011  7066.49  5212.53 3.65 3.53 -36.8 -0.469    18.98 21.02 01a57816o0607o 0x000000 -0.875000
57818.473411 18.396507      NaN    66    31 o    0   1.06 160.26288 -27.08011  7112.44  4418.99 4.47 3.76 -40.2 -0.424    18.70 20.71 01a57818o0506o 0x000000  2.129032
57818.488337 18.878500      NaN    12    30 o    0   0.94 160.26288 -27.08011  7130.46  4457.27 4.39 3.70 -40.3 -0.428    18.80 20.89 01a57818o0536o 0x000000  0.400000
57818.503877 18.910912      NaN    24    25 o    0   0.97 160.26288 -27.08011  7076.06  4382.43 4.34 3.65 -46.9 -0.437    19.04 21.31 01a57818o0567o 0x000000  0.960000
57818.518527 19.128787      NaN   -12    27 o    0   0.87 160.26288 -27.08011  7058.95  4499.00 4.41 3.73 -40.9 -0.433    18.99 21.25 01a57818o0596o 0x000000 -0.444444
57819.467031 18.693037      NaN    13    36 o    0   0.98 160.26288 -27.08011  5690.95  6940.49 3.44 3.31  79.7 -0.457    18.85 20.07 02a57819o0360o 0x000000  0.361111
57819.482757 18.666446      NaN    10    38 o    0   0.82 160.26288 -27.08011  5675.98  6900.86 3.47 3.34  81.7 -0.453    18.85 20.09 02a57819o0390o 0x000000  0.263158
57819.498325 18.847027      NaN     0    35 o    0   1.05 160.26288 -27.08011  5733.26  6977.78 3.41 3.32  85.5 -0.458    18.85 20.10 02a57819o0420o 0x000000  0.000000
57819.513493 18.489118      NaN    44    34 o    0   0.75 160.26288 -27.08011  5769.38  6859.45 3.47 3.34  89.0 -0.453    18.87 20.17 02a57819o0449o 0x000000  1.294118
57819.528663 19.038793      NaN     1    29 o    0   1.48 160.26288 -27.08011  5720.47  6914.92 3.49 3.36  86.8 -0.448    18.92 20.29 02a57819o0478o 0x000000  0.034483
57820.453157 14.365047      NaN -2752  2172 o    0   0.91 160.26288 -27.08011  5120.93  4826.13 3.94 3.56 -45.6 -0.410    14.65 14.91 01a57820o0487o 0x900002 -1.267035
57820.491088 10.981094      NaN 35513 37190 o    0   0.99 160.26288 -27.08011  5067.25  4906.56 3.72 3.37 -25.6 -0.479    11.32 11.59 01a57820o0563o 0x900002  0.954907
57823.436620 18.208845      NaN   -44    63 o    0   1.10 160.26288 -27.08011  3773.81  7727.31 3.46 3.37  64.3 -0.445    18.03 18.45 02a57823o0414o 0x900002 -0.698413
57823.451223 18.079051      NaN  -182    71 o    0   1.16 160.26288 -27.08011  3757.80  7689.73 4.61 3.71   0.4 -0.433    17.81 18.44 02a57823o0442o 0x900002 -2.563380
57823.465764 17.766704      NaN    65    73 o    0   0.87 160.26288 -27.08011  3812.07  7768.17 3.90 3.53   5.7 -0.436    17.90 18.41 02a57823o0470o 0x900002  0.890411
57823.480303 17.805624      NaN    52    74 o    0   1.11 160.26288 -27.08011  3836.63  7649.73 3.74 3.46   5.3 -0.444    17.89 18.34 02a57823o0498o 0x900002  0.702703
57823.494142 17.862567      NaN    74    62 o    0   1.44 160.26288 -27.08011  3803.34  7706.51 3.70 3.44   4.5 -0.446    17.88 18.30 02a57823o0525o 0x900002  1.193548
57828.443715 18.558199      NaN    29    36 o    0   1.15 160.26288 -27.08011  7017.17  5193.35 3.54 3.23 -31.7 -0.474    18.44 19.79 01a57828o0450o 0x002000  0.805556
57828.454653 18.702047      NaN   -57    40 o    0   0.87 160.26288 -27.08011  7036.48  5231.90 3.58 3.21 -33.1 -0.472    18.36 19.68 01a57828o0472o 0x002000 -1.425000
57828.470517 16.516809      NaN    49   283 o    0   1.24 160.26288 -27.08011  6982.92  5156.12 3.49 3.20 -43.0 -0.488    16.52 17.00 01a57828o0504o 0x100002  0.173145
57828.484592 17.266969      NaN  -167   150 o    0   0.82 160.26288 -27.08011  6965.29  5273.07 3.57 3.32 -44.7 -0.475    17.25 18.13 01a57828o0532o 0x100002 -1.113333
57830.442062 19.169763      NaN   -36    26 o    0   1.03 160.26288 -27.08011  5773.82  3524.86 3.41 3.21 -49.5 -0.466    18.77 20.36 01a57830o0437o 0x000000 -1.384615
57830.460765 18.666446      NaN    28    32 o    0   0.79 160.26288 -27.08011  5806.30  3563.77 3.47 3.26 -60.2 -0.467    18.69 20.24 01a57830o0475o 0x000000  0.875000
57830.488684 18.816441      NaN   -24    36 o    0   0.88 160.26288 -27.08011  5721.87  3604.63 3.63 3.42 -58.0 -0.453    18.54 20.04 01a57830o0531o 0x000000 -0.666667
57831.440234 19.256669      NaN   -35    24 o    0   0.79 160.26288 -27.08011  4313.24  6604.50 3.78 3.67  81.1 -0.415    18.43 19.78 02a57831o0431o 0x000000 -1.458333
57831.454305 19.002397      NaN    25    22 o    0   1.05 160.26288 -27.08011  4298.17  6566.52 3.63 3.59  70.7 -0.426    18.40 19.66 02a57831o0459o 0x000000  1.136364
57831.468430 18.550302      NaN    66    24 o    0   1.07 160.26288 -27.08011  4351.59  6642.37 3.66 3.60  77.1 -0.440    18.33 19.55 02a57831o0487o 0x000000  2.750000
57831.483092 18.978793      NaN    15    26 o    0   0.95 160.26288 -27.08011  4372.33  6524.26 3.59 3.53  79.2 -0.430    18.31 19.47 02a57831o0516o 0x000000  0.576923
57831.497219 18.955691      NaN    11    28 o    0   1.12 160.26288 -27.08011  4340.28  6579.35 3.82 3.80  -3.6 -0.410    18.18 19.39 02a57831o0544o 0x000000  0.392857
57832.425516 19.051202      NaN     3    28 o    0   0.85 160.26288 -27.08011  4692.06  5163.38 3.73 3.54 -43.0 -0.444    18.94 20.84 01a57832o0414o 0x000000  0.107143
57832.440947 18.910912      NaN    15    28 o    0   1.09 160.26288 -27.08011  4709.99  5201.87 4.36 4.09 -67.2 -0.414    18.80 20.81 01a57832o0445o 0x000000  0.535714
57832.470858 19.051202      NaN   -13    29 o    0   1.04 160.26288 -27.08011  4639.06  5243.49 3.70 3.46 -57.6 -0.452    18.80 20.49 01a57832o0505o 0x000000 -0.448276
57833.422882 18.967180      NaN    16    26 o    0   1.18 160.26288 -27.08011  3948.91  2679.54 3.82 3.25 -68.7 -0.462    19.01 20.79 01a57833o0409o 0x000000  0.615385
57833.437766 18.323878      NaN    80    30 o    0   0.80 160.26288 -27.08011  3967.04  2718.77 3.80 3.29 -67.0 -0.468    18.97 20.74 01a57833o0439o 0x400110  2.666667
57833.452041 18.574166      NaN    45    30 o    0   0.91 160.26288 -27.08011  3914.73  2643.10 3.92 3.36 -70.3 -0.460    18.90 20.65 01a57833o0468o 0x000000  1.500000
57833.466969 18.967180      NaN     4    30 o    0   0.95 160.26288 -27.08011  3878.70  2761.13 3.97 3.40 -69.4 -0.454    18.85 20.58 01a57833o0498o 0x000000  0.133333
57834.420695 18.767304      NaN    26    29 o    0   0.76 160.26288 -27.08011  4324.13  3448.39 3.83 3.44 -64.7 -0.447    18.92 20.75 01a57834o0256o 0x000000  0.896552
57834.435557 19.102305      NaN    14    23 o    0   1.38 160.26288 -27.08011  4343.90  3488.50 3.81 3.47 -66.6 -0.442    18.92 20.75 01a57834o0286o 0x000000  0.608696
57834.450912 18.526952      NaN    51    30 o    0   0.88 160.26288 -27.08011  4274.69  3412.54 3.89 3.54 -67.1 -0.441    18.89 20.73 01a57834o0317o 0x400110  1.700000
57834.465420 19.197966      NaN     1    25 o    0   1.27 160.26288 -27.08011  4253.67  3528.70 4.04 3.58 -67.7 -0.435    18.89 20.77 01a57834o0346o 0x000000  0.040000
57837.408978 18.978793      NaN    -9    31 o    0   1.17 160.26288 -27.08011  3470.30  4105.30 4.74 4.27 -61.4 -0.393    18.69 20.60 01a57837o0228o 0x000000 -0.290323
57837.424641 18.675237      NaN    -5    41 o    0   0.69 160.26288 -27.08011  3489.30  4142.94 4.87 4.32 -65.5 -0.385    18.67 20.55 01a57837o0258o 0x000000 -0.121951
57837.439726 18.261819      NaN    63    39 o    0   0.95 160.26288 -27.08011  3437.28  4066.84 5.26 4.83 -53.7 -0.364    18.56 20.53 01a57837o0287o 0x000000  1.615385
57837.454324 18.590371      NaN    25    36 o    0   1.06 160.26288 -27.08011  3418.43  4184.40 4.93 4.33 -68.6 -0.391    18.63 20.52 01a57837o0315o 0x000000  0.694444
57838.403806 18.910912      NaN     3    32 o    0   0.79 160.26288 -27.08011  6013.32  3639.18 4.68 4.22 -46.9 -0.402    18.77 20.95 01a57838o0289o 0x002000  0.093750
57838.449164 18.702047      NaN   -32    40 o    0   0.97 160.26288 -27.08011  5960.94  3718.97 6.10 5.41 -61.1 -0.400    18.50 20.96 01a57838o0376o 0x002000 -0.800000
57842.394053 18.889197      NaN    20    27 o    0   0.97 160.26288 -27.08011  4626.42  6193.00 3.78 3.49 -47.2 -0.455    19.00 21.01 01a57842o0348o 0x000000  0.740741
57842.409406 19.302877      NaN   -35    23 o    0   1.05 160.26288 -27.08011  4643.26  6232.05 3.64 3.43 -51.3 -0.461    19.00 20.94 01a57842o0377o 0x000000 -1.521739
57842.424053 19.014394      NaN     3    29 o    0   1.04 160.26288 -27.08011  4590.55  6154.75 3.87 3.63 -46.4 -0.445    18.88 20.80 01a57842o0405o 0x000000  0.103448
57842.438781 18.640491      NaN    43    28 o    0   1.26 160.26288 -27.08011  4554.06  6271.47 4.22 3.86 -54.6 -0.415    18.79 20.71 01a57842o0433o 0x000000  1.535714
57845.380789 18.452558      NaN    37    38 o    0   0.89 160.26288 -27.08011  5773.82  6120.88 5.11 4.89 -38.0 -0.411    18.48 20.72 01a57845o0301o 0x000000  0.973684
57845.397059 18.978793      NaN   -28    31 o    0   0.89 160.26288 -27.08011  5791.21  6159.45 4.34 4.10 -37.3 -0.438    18.68 20.76 01a57845o0332o 0x000000 -0.903226
57845.413368 19.212347      NaN   -23    25 o    0   0.98 160.26288 -27.08011  5737.71  6082.40 3.85 3.63 -34.8 -0.459    18.89 20.94 01a57845o0363o 0x000000 -0.920000
57846.378637 18.598565      NaN     9    41 o    0   0.88 160.26288 -27.08011  4499.20  5384.02 4.67 4.50 -43.4 -0.423    18.40 20.34 01a57846o0081o 0x000000  0.219512
57846.394893 18.878500      NaN    -2    34 o    0   1.14 160.26288 -27.08011  4516.72  5422.52 4.19 4.11 -51.5 -0.437    18.49 20.34 01a57846o0112o 0x000000 -0.058824
57846.411120 19.014394      NaN   -42    30 o    0   1.22 160.26288 -27.08011  4463.25  5346.17 4.10 3.96 -76.3 -0.434    18.52 20.33 01a57846o0143o 0x000000 -1.400000
57846.427405 18.606822      NaN    29    34 o    0   1.03 160.26288 -27.08011  4446.67  5462.87 3.98 3.86 -58.7 -0.432    18.56 20.32 01a57846o0174o 0x000000  0.852941
57849.349075 18.511660      NaN    29    38 o    0   1.26 160.26288 -27.08011  4774.75  4589.14 3.63 3.50 -37.3 -0.468    18.30 19.72 01a57849o0254o 0x000000  0.763158
57849.363752 18.526952      NaN    21    40 o    0   0.99 160.26288 -27.08011  4791.95  4627.55 3.69 3.41  -9.8 -0.463    18.31 19.72 01a57849o0284o 0x000000  0.525000
57849.378569 18.582238      NaN    11    41 o    0   1.09 160.26288 -27.08011  4721.73  4551.36 3.69 3.54 -45.2 -0.468    18.29 19.69 01a57849o0314o 0x000000  0.268293
