         MJD         m  dm   uJy  duJy F  err  chi/N        RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  __tmp_SN
57747.617896 19.454622 NaN    12    16 c    0   1.00 160.25912 -27.07873  3711.08  5839.95 3.96 3.85  54.8 -0.376    19.59 21.58 02a57747o0863c 0x000000  0.750000
57747.626599 19.696897 NaN   -24    16 c    0   0.97 160.25912 -27.07873  3696.73  5800.44 3.80 3.68  57.6 -0.385    19.63 21.57 02a57747o0880c 0x000000 -1.500000
57747.638110 19.631075 NaN   -10    17 c    0   0.84 160.25912 -27.07873  3748.35  5878.33 3.90 3.80  38.1 -0.381    19.58 21.55 02a57747o0903c 0x000000 -0.588235
57747.651580 19.510313 NaN    -4    19 c    0   0.74 160.25912 -27.07873  3767.43  5761.65 4.52 3.88   3.7 -0.366    19.46 21.52 02a57747o0930c 0x000000 -0.210526
57751.604071 19.454622 NaN    12    16 c    0   0.88 160.25912 -27.07873  7105.94  4800.80 3.87 3.62  83.3 -0.389    19.72 21.78 02a57751o0354c 0x000000  0.750000
57751.617616 19.766969 NaN     0    15 c    0   1.13 160.25912 -27.07873  7073.31  4764.27 3.84 3.60  83.6 -0.391    19.67 21.69 02a57751o0381c 0x000000  0.000000
57751.631659 19.841877 NaN    -2    14 c    0   1.08 160.25912 -27.07873  7143.39  4843.94 3.85 3.60  85.0 -0.391    19.66 21.66 02a57751o0409c 0x000000 -0.142857
57751.644682 19.142275 NaN    32    16 c    0   0.82 160.25912 -27.07873  7160.59  4727.23 3.89 3.67  86.6 -0.391    19.64 21.65 02a57751o0435c 0x000000  2.000000
57751.659753 19.529530 NaN     8    16 c    0   1.17 160.25912 -27.07873  7126.62  4786.47 3.87 3.65 -89.1 -0.393    19.52 21.42 02a57751o0465c 0x000000  0.500000
57755.593796 19.766969 NaN    -6    15 c    0   1.07 160.25912 -27.07873  5893.21  7140.81 3.60 3.48  79.2 -0.430    19.76 21.75 02a57755o0768c 0x000000 -0.400000
57755.607113 19.696897 NaN   -12    16 c    0   0.85 160.25912 -27.07873  5877.84  7104.50 3.62 3.50  84.8 -0.430    19.73 21.73 02a57755o0794c 0x000000 -0.750000
57755.621811 19.766969 NaN    -9    15 c    0   0.98 160.25912 -27.07873  5947.77  7184.43 3.59 3.47  85.4 -0.432    19.72 21.69 02a57755o0822c 0x000000 -0.600000
57755.640457 19.696897 NaN    -3    16 c    0   0.88 160.25912 -27.07873  5966.66  7066.06 3.61 3.51  82.8 -0.428    19.70 21.67 02a57755o0858c 0x000000 -0.187500
57755.649627 19.652575 NaN     2    16 c    0   0.83 160.25912 -27.07873  5932.42  7125.54 3.75 3.60  83.7 -0.414    19.64 21.60 02a57755o0876c 0x000000  0.125000
57779.531997 19.766969 NaN   -10    15 c    0   1.03 160.25912 -27.07873  5375.63  7485.25 3.70 3.67  55.6 -0.433    19.73 21.81 02a57779o0611c 0x000000 -0.666667
57779.548044 19.510313 NaN    12    15 c    0   1.00 160.25912 -27.07873  5359.99  7446.70 3.80 3.70  69.2 -0.416    19.71 21.77 02a57779o0642c 0x000000  0.800000
57779.564140 19.351140 NaN    18    16 c    0   0.87 160.25912 -27.07873  5414.27  7523.83 3.65 3.63  63.3 -0.435    19.71 21.74 02a57779o0673c 0x000000  1.125000
57779.579679 19.696897 NaN    -1    16 c    0   1.18 160.25912 -27.07873  5432.76  7406.27 3.93 3.84  38.6 -0.409    19.68 21.78 02a57779o0703c 0x000000 -0.062500
57779.595084 19.696897 NaN    -6    16 c    0   1.05 160.25912 -27.07873  5400.19  7464.36 3.88 3.80  23.0 -0.412    19.66 21.75 02a57779o0733c 0x000000 -0.375000
57783.527260 19.569016 NaN     9    15 c    0   1.00 160.25912 -27.07873  4449.65  5659.68 3.87 3.76 -83.9 -0.381    19.69 21.81 02a57783o0594c 0x000000  0.600000
57783.543369 19.696897 NaN    -6    16 c    0   0.92 160.25912 -27.07873  4433.46  5620.53 3.86 3.75 -80.9 -0.380    19.69 21.79 02a57783o0625c 0x000000 -0.375000
57783.559600 19.696897 NaN     0    16 c    0   0.95 160.25912 -27.07873  4488.30  5697.50 4.08 3.95 -74.5 -0.364    19.63 21.83 02a57783o0656c 0x000000  0.000000
57783.575718 19.766969 NaN   -15    15 c    0   1.08 160.25912 -27.07873  4508.25  5579.83 3.85 3.73 -76.5 -0.381    19.71 21.85 02a57783o0687c 0x000000 -1.000000
57783.591797 19.841877 NaN     0    14 c    0   1.12 160.25912 -27.07873  4476.70  5637.56 3.98 3.88 -78.4 -0.373    19.66 21.85 02a57783o0718c 0x000000  0.000000
57787.502251 19.841877 NaN   -11    14 c    0   1.01 160.25912 -27.07873  3629.62  4451.20 3.88 3.77  72.7 -0.376    19.76 21.91 02a57787o0554c 0x400110 -0.785714
57787.512155 19.766969 NaN    -4    15 c    0   1.06 160.25912 -27.07873  3614.03  4412.31 3.88 3.77  71.2 -0.378    19.76 21.91 02a57787o0574c 0x000000 -0.266667
57787.526990 19.631075 NaN     6    15 c    0   0.96 160.25912 -27.07873  3666.97  4491.75 3.94 3.80  75.1 -0.373    19.74 21.90 02a57787o0602c 0x000000  0.400000
57787.538664 19.529530 NaN     5    17 c    0   0.85 160.25912 -27.07873  3685.55  4376.25 3.75 3.63  80.4 -0.383    19.77 21.84 02a57787o0626c 0x000000  0.294118
57787.555365 19.652575 NaN     8    14 c    0   1.04 160.25912 -27.07873  3652.22  4436.50 3.83 3.70  81.5 -0.379    19.76 21.88 02a57787o0659c 0x000000  0.571429
57803.513764 19.401649 NaN     6    19 c    0   0.95 160.25912 -27.07873  6458.33  5880.17 3.73 3.51  85.7 -0.401    19.33 20.97 02a57803o0573c 0x000000  0.315789
57803.525435 19.401649 NaN    -1    21 c    0   0.94 160.25912 -27.07873  6443.70  5840.26 3.73 3.52  86.0 -0.397    19.30 20.92 02a57803o0596c 0x000000 -0.047619
57803.549325 18.511660 NaN    71    24 c    0   0.76 160.25912 -27.07873  6516.25  5799.45 3.75 3.60  84.0 -0.394    19.18 20.75 02a57803o0643c 0x000000  2.958333
57803.561013 19.014394 NaN    18    24 c    0   0.82 160.25912 -27.07873  6483.19  5855.27 3.67 3.48  89.3 -0.404    19.16 20.68 02a57803o0666c 0x000000  0.750000
57807.497762 19.631075 NaN     3    16 c    0   1.23 160.25912 -27.07873  3729.19  7571.46 4.11 3.97  55.7 -0.378    19.59 21.73 02a57807o0522c 0x000000  0.187500
57807.513012 19.631075 NaN    -7    17 c    0   0.95 160.25912 -27.07873  3698.01  7532.62 3.94 3.86  64.9 -0.376    19.63 21.72 02a57807o0551c 0x000000 -0.411765
57807.528616 19.367717 NaN    14    17 c    0   0.90 160.25912 -27.07873  3771.32  7608.94 3.88 3.77  79.9 -0.389    19.64 21.72 02a57807o0581c 0x000000  0.823529
57807.543715 19.652575 NaN     2    16 c    0   1.08 160.25912 -27.07873  3790.59  7489.56 3.72 3.68  86.4 -0.399    19.64 21.66 02a57807o0610c 0x000000  0.125000
57807.558757 19.766969 NaN   -20    15 c    0   0.98 160.25912 -27.07873  3757.34  7544.80 3.77 3.66  82.0 -0.401    19.58 21.59 02a57807o0639c 0x000000 -1.333333
57835.432723 18.910912 NaN    45    18 c    0   1.21 160.25912 -27.07873  4783.83  6883.50 3.72 3.60  66.0 -0.420    18.98 20.92 02a57835o0329c 0x000000  2.500000
57835.448972 19.351140 NaN    12    18 c    0   1.27 160.25912 -27.07873  4769.48  6842.46 3.67 3.58  64.6 -0.417    18.95 20.83 02a57835o0360c 0x000000  0.666667
57835.464835 19.401649 NaN    -1    21 c    0   1.12 160.25912 -27.07873  4824.52  6917.61 3.70 3.59  68.9 -0.412    18.91 20.77 02a57835o0390c 0x000000 -0.047619
