         MJD         m       dm    uJy  duJy F  err  chi/N        RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  __tmp_SN
57735.637639 18.623526      NaN    -29    43 o    0   0.81 160.25912 -27.07873  5250.17  6117.87 3.55 3.41  86.5 -0.435    18.43 19.18 02a57735o0771o 0x002000 -0.674419
57735.664525 18.623526      NaN    -83    43 o    0   1.05 160.25912 -27.07873  5233.69  6076.83 3.71 3.58 -89.6 -0.425    18.29 19.01 02a57735o0822o 0x002000 -1.930233
57735.671946 17.217448      NaN     72   133 o    0   1.36 160.25912 -27.07873  5284.93  6153.38 3.51 3.32  89.8 -0.434    17.61 17.49 02a57735o0836o 0x500812  0.541353
57763.571238 18.944322      NaN    -20    32 o    0   1.17 160.25912 -27.07873  3540.18  5696.86 3.47 3.41  69.5 -0.445    18.64 19.54 02a57763o0625o 0x000000 -0.625000
57763.593006 18.657725      NaN     20    35 o    0   0.77 160.25912 -27.07873  3524.47  5660.88 3.44 3.38  71.9 -0.449    18.67 19.59 02a57763o0668o 0x000000  0.571429
57763.598569 18.878500      NaN     -6    34 o    0   1.15 160.25912 -27.07873  3577.08  5739.14 3.41 3.37  60.8 -0.452    18.68 19.61 02a57763o0679o 0x000000 -0.176471
57763.612286 19.014394      NaN    -67    30 o    0   1.17 160.25912 -27.07873  3597.67  5622.01 3.35 3.33  53.2 -0.459    18.75 19.71 02a57763o0706o 0x000000 -2.233333
57763.626620 18.978793      NaN    -61    31 o    0   0.86 160.25912 -27.07873  3565.12  5678.61 3.29 3.26  -9.2 -0.469    18.89 19.98 02a57763o0733o 0x000000 -1.967742
57767.566282 18.369531      NaN     25    46 o    0   0.78 160.25912 -27.07873  5745.16  5516.51 3.41 3.30 -79.3 -0.457    18.44 19.13 02a57767o0697o 0x000000  0.543478
57767.581731 18.356290      NaN     33    44 o    0   0.90 160.25912 -27.07873  5729.32  5480.69 3.41 3.32 -80.5 -0.454    18.44 19.14 02a57767o0727o 0x000000  0.750000
57767.597158 18.675237      NaN    -40    41 o    0   0.91 160.25912 -27.07873  5782.20  5558.38 3.41 3.32 -82.7 -0.447    18.43 19.13 02a57767o0757o 0x000000 -0.975610
57767.613235 18.574166      NaN    -38    45 o    0   0.80 160.25912 -27.07873  5819.64  5442.01 3.40 3.28 -77.3 -0.456    18.43 19.12 02a57767o0788o 0x000000 -0.844444
57767.628664 18.675237      NaN    -73    41 o    0   1.20 160.25912 -27.07873  5769.94  5497.29 3.42 3.34 -86.2 -0.450    18.42 19.10 02a57767o0818o 0x080010 -1.780488
57771.559930 19.051202      NaN    -36    29 o    0   1.05 160.25912 -27.07873  3579.76  4185.05 3.66 3.58  82.3 -0.414    18.78 19.87 02a57771o0700o 0x000000 -1.241379
