         MJD         m       dm      uJy    duJy   F  err  chi/N        RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57735.637639 18.550302      NaN    -21.0    46.0   o  0.0   0.65 160.25382 -27.08345  5259.32  6108.77 3.55 3.41  86.5 -0.435    18.43 19.18 02a57735o0771o 0x002000  -0.456522
57735.664525 18.598565      NaN    -17.0    44.0   o  0.0   1.12 160.25382 -27.08345  5242.84  6067.74 3.71 3.58 -89.6 -0.425    18.29 19.01 02a57735o0822o 0x002000  -0.386364
57735.671946 17.416785      NaN     14.0   126.0   o  0.0   1.00 160.25382 -27.08345  5294.08  6144.29 3.51 3.32  89.9 -0.433    17.61 17.49 02a57735o0836o 0x500812   0.111111
57763.571238 18.847027      NaN      0.0    35.0   o  0.0   0.87 160.25382 -27.08345  3549.43  5687.83 3.47 3.41  69.7 -0.445    18.64 19.54 02a57763o0625o 0x000000   0.000000
57763.593006 18.598565      NaN     36.0    32.0   o  0.0   1.21 160.25382 -27.08345  3533.71  5651.85 3.44 3.38  72.1 -0.449    18.67 19.59 02a57763o0668o 0x000000   1.125000
57763.598569 18.675237      NaN     24.0    33.0   o  0.0   1.08 160.25382 -27.08345  3586.32  5730.11 3.41 3.37  61.1 -0.452    18.68 19.61 02a57763o0679o 0x000000   0.727273
57763.612286 18.748255      NaN     10.0    35.0   o  0.0   0.80 160.25382 -27.08345  3606.91  5612.98 3.35 3.34  54.1 -0.459    18.75 19.71 02a57763o0706o 0x000000   0.285714
57763.626620 18.967180      NaN      7.0    29.0   o  0.0   1.24 160.25382 -27.08345  3574.36  5669.58 3.29 3.26  -9.5 -0.469    18.89 19.98 02a57763o0733o 0x000000   0.241379
57767.566282 18.649074      NaN    -55.0    42.0   o  0.0   1.22 160.25382 -27.08345  5754.29  5507.40 3.41 3.30 -79.4 -0.457    18.44 19.13 02a57767o0697o 0x000000  -1.309524
57767.581731 18.152867      NaN     58.0    47.0   o  0.0   0.83 160.25382 -27.08345  5738.45  5471.57 3.41 3.32 -80.6 -0.454    18.44 19.14 02a57767o0727o 0x000000   1.234043
57767.597158 18.389700      NaN     28.0    44.0   o  0.0   0.90 160.25382 -27.08345  5791.33  5549.27 3.42 3.32 -82.8 -0.447    18.43 19.13 02a57767o0757o 0x000000   0.636364
57767.613235 18.481707      NaN     27.0    40.0   o  0.0   1.12 160.25382 -27.08345  5828.76  5432.89 3.40 3.28 -77.5 -0.456    18.43 19.12 02a57767o0788o 0x000000   0.675000
57767.628664 18.029238      NaN    109.0    38.0   o  0.0   1.51 160.25382 -27.08345  5779.07  5488.17 3.42 3.34 -86.2 -0.450    18.42 19.10 02a57767o0818o 0x080010   2.868421
57771.559930 18.767304      NaN     23.0    30.0   o  0.0   1.35 160.25382 -27.08345  3588.99  4176.03 3.66 3.58  82.4 -0.414    18.78 19.87 02a57771o0700o 0x000000   0.766667
57771.575407 18.496580      NaN     46.0    33.0   o  0.0   0.91 160.25382 -27.08345  3573.50  4138.85 3.62 3.57  46.0 -0.419    18.76 19.83 02a57771o0730o 0x000000   1.393939
