ControlID          MJD   MJDbin     uJy    duJy  stdev X2norm Nclip Ngood Nexcluded     Mask         m  dm  __tmp_SN
        7 57747.632299 57747.50  -5.557   7.776  16.40  1.263     0     4         0 0x000000 20.480339 NaN -0.714612
        7          NaN 57748.50     NaN     NaN    NaN    NaN     0     0         0 0x800000       NaN NaN       NaN
        7          NaN 57749.50     NaN     NaN    NaN    NaN     0     0         0 0x800000       NaN NaN       NaN
        7          NaN 57750.50     NaN     NaN    NaN    NaN     0     0         0 0x800000       NaN NaN       NaN
        7 57751.631559 57751.50  11.288   7.059  13.55  0.761     0     5         0 0x000000 20.121477 NaN  1.599142
        7          NaN 57752.50     NaN     NaN    NaN    NaN     0     0         0 0x800000       NaN NaN       NaN
        7          NaN 57753.50     NaN     NaN    NaN    NaN     0     0         0 0x800000       NaN NaN       NaN
        7          NaN 57754.50     NaN     NaN    NaN    NaN     0     0         0 0x800000       NaN NaN       NaN
        7 57755.621986 57755.50   7.701   6.392  15.21  1.070     0     5         0 0x000000 20.326514 NaN  1.204638
        7          NaN 57756.50     NaN     NaN    NaN    NaN     0     0         0 0x800000       NaN NaN       NaN
        7          NaN 57757.50     NaN     NaN    NaN    NaN     0     0         0 0x800000       NaN NaN       NaN
        7          NaN 57758.50     NaN     NaN    NaN    NaN     0     0         0 0x800000       NaN NaN       NaN
        7          NaN 57759.50     NaN     NaN    NaN    NaN     0     0         0 0x800000       NaN NaN       NaN
        7          NaN 57760.50     NaN     NaN    NaN    NaN     0     0         0 0x800000       NaN NaN       NaN
        7          NaN 57761.50     NaN     NaN    NaN    NaN     0     0         0 0x800000       NaN NaN       NaN
        7          NaN 57762.50     NaN     NaN    NaN    NaN     0     0         0 0x800000       NaN NaN       NaN
        7          NaN 57763.50     NaN     NaN    NaN    NaN     0     0         0 0x800000       NaN NaN       NaN
        7          NaN 57764.50     NaN     NaN    NaN    NaN     0     0         0 0x800000       NaN NaN       NaN
        7          NaN 57765.50     NaN     NaN    NaN    NaN     0     0         0 0x800000       NaN NaN       NaN
