         MJD         m       dm     uJy    duJy   F  err  chi/N        RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  __tmp_SN
57735.637639 18.481707      NaN    24.0    41.0   o  0.0   0.78 160.25912 -27.08817  5250.23  6099.62 3.55 3.41  86.5 -0.434    18.43 19.18 02a57735o0771o 0x002000  0.585366
57735.664525 18.550302      NaN   -17.0    46.0   o  0.0   1.19 160.25912 -27.08817  5233.75  6058.58 3.71 3.58 -89.5 -0.425    18.29 19.01 02a57735o0822o 0x002000 -0.369565
57735.671946 17.329028      NaN    26.0   133.0   o  0.0   1.04 160.25912 -27.08817  5284.98  6135.13 3.51 3.32  89.9 -0.434    17.61 17.49 02a57735o0836o 0x500812  0.195489
57763.571238 18.623526      NaN    27.0    34.0   o  0.0   0.85 160.25912 -27.08817  3540.39  5678.61 3.47 3.41  69.7 -0.444    18.64 19.54 02a57763o0625o 0x000000  0.794118
57763.593006 18.847027      NaN     6.0    33.0   o  0.0   1.05 160.25912 -27.08817  3524.68  5642.62 3.44 3.38  72.1 -0.449    18.67 19.59 02a57763o0668o 0x000000  0.181818
57763.598569 18.921935      NaN     5.0    31.0   o  0.0   1.20 160.25912 -27.08817  3577.29  5720.89 3.41 3.37  61.2 -0.451    18.68 19.61 02a57763o0679o 0x000000  0.161290
57763.612286 18.786693      NaN    24.0    29.0   o  0.0   1.02 160.25912 -27.08817  3597.87  5603.76 3.35 3.34  54.5 -0.458    18.75 19.71 02a57763o0706o 0x000000  0.827586
57763.626620 18.776955      NaN    22.0    30.0   o  0.0   0.84 160.25912 -27.08817  3565.32  5660.35 3.29 3.26  -9.2 -0.469    18.89 19.98 02a57763o0733o 0x000000  0.733333
57767.566282 18.757738      NaN   -13.0    38.0   o  0.0   1.20 160.25912 -27.08817  5745.17  5498.27 3.41 3.30 -79.5 -0.456    18.44 19.13 02a57767o0697o 0x000000 -0.342105
57767.581731 18.311179      NaN    49.0    41.0   o  0.0   0.96 160.25912 -27.08817  5729.33  5462.44 3.41 3.32 -80.6 -0.454    18.44 19.14 02a57767o0727o 0x000000  1.195122
