ControlID          MJD   MJDbin      uJy    duJy  stdev X2norm Nclip Ngood Nexcluded     Mask         m  dm  __tmp_SN
        8 57747.632299 57747.50    6.310   7.776   3.30  0.046     0     4         0 0x000000 20.220389 NaN  0.811546
        8          NaN 57748.50      NaN     NaN    NaN    NaN     0     0         0 0x800000       NaN NaN       NaN
        8          NaN 57749.50      NaN     NaN    NaN    NaN     0     0         0 0x800000       NaN NaN       NaN
        8          NaN 57750.50      NaN     NaN    NaN    NaN     0     0         0 0x800000       NaN NaN       NaN
        8 57751.628639 57751.50   -0.832   6.542  16.41  1.367     0     5         0 0x000000 20.667981 NaN -0.127134
        8          NaN 57752.50      NaN     NaN    NaN    NaN     0     0         0 0x800000       NaN NaN       NaN
        8          NaN 57753.50      NaN     NaN    NaN    NaN     0     0         0 0x800000       NaN NaN       NaN
        8          NaN 57754.50      NaN     NaN    NaN    NaN     0     0         0 0x800000       NaN NaN       NaN
        8 57755.619954 57755.50    0.689   6.618  16.27  1.042     0     5         0 0x000000 20.618310 NaN  0.104060
        8          NaN 57756.50      NaN     NaN    NaN    NaN     0     0         0 0x800000       NaN NaN       NaN
        8          NaN 57757.50      NaN     NaN    NaN    NaN     0     0         0 0x800000       NaN NaN       NaN
        8          NaN 57758.50      NaN     NaN    NaN    NaN     0     0         0 0x800000       NaN NaN       NaN
        8          NaN 57759.50      NaN     NaN    NaN    NaN     0     0         0 0x800000       NaN NaN       NaN
        8          NaN 57760.50      NaN     NaN    NaN    NaN     0     0         0 0x800000       NaN NaN       NaN
        8          NaN 57761.50      NaN     NaN    NaN    NaN     0     0         0 0x800000       NaN NaN       NaN
        8          NaN 57762.50      NaN     NaN    NaN    NaN     0     0         0 0x800000       NaN NaN       NaN
        8          NaN 57763.50      NaN     NaN    NaN    NaN     0     0         0 0x800000       NaN NaN       NaN
        8          NaN 57764.50      NaN     NaN    NaN    NaN     0     0         0 0x800000       NaN NaN       NaN
        8          NaN 57765.50      NaN     NaN    NaN    NaN     0     0         0 0x800000       NaN NaN       NaN
        8          NaN 57766.50      NaN     NaN    NaN    NaN     0     0         0 0x800000       NaN NaN       NaN
        8          NaN 57767.50      NaN     NaN    NaN    NaN     0     0         0 0x800000       NaN NaN       NaN
        8          NaN 57768.50      NaN     NaN    NaN    NaN     0     0         0 0x800000       NaN NaN       NaN
