         MJD         m  dm  uJy  duJy F  err  chi/N        RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  __tmp_SN
57747.617896 19.491430 NaN   10    16 c    0   0.80 160.26288 -27.08679  3704.76  5824.30 3.96 3.85  54.9 -0.376    19.59 21.58 02a57747o0863c 0x000000  0.625000
57747.626599 19.766969 NaN    3    14 c    0   1.15 160.26288 -27.08679  3690.41  5784.79 3.80 3.68  57.7 -0.385    19.63 21.57 02a57747o0880c 0x000000  0.214286
57747.638110 19.652575 NaN    5    15 c    0   1.10 160.26288 -27.08679  3742.04  5862.68 3.90 3.80  38.2 -0.381    19.58 21.55 02a57747o0903c 0x000000  0.333333
57747.651580 19.401649 NaN    9    18 c    0   0.81 160.26288 -27.08679  3761.11  5746.00 4.52 3.88   3.7 -0.366    19.46 21.52 02a57747o0930c 0x000000  0.500000
57751.604071 19.472870 NaN   20    13 c    0   1.19 160.26288 -27.08679  7099.38  4785.25 3.87 3.62  83.3 -0.389    19.72 21.78 02a57751o0354c 0x000000  1.538462
57751.617616 19.766969 NaN   -5    15 c    0   1.07 160.26288 -27.08679  7066.75  4748.72 3.84 3.60  83.6 -0.391    19.67 21.69 02a57751o0381c 0x000000 -0.333333
57751.631659 19.841877 NaN    0    14 c    0   1.07 160.26288 -27.08679  7136.82  4828.39 3.85 3.60  85.1 -0.391    19.66 21.66 02a57751o0409c 0x000000  0.000000
57751.644682 19.766969 NaN  -26    15 c    0   1.18 160.26288 -27.08679  7154.02  4711.68 3.89 3.67  86.6 -0.391    19.64 21.65 02a57751o0435c 0x000000 -1.733333
57751.659753 19.631075 NaN    0    17 c    0   0.88 160.26288 -27.08679  7120.06  4770.92 3.87 3.65 -89.1 -0.393    19.52 21.42 02a57751o0465c 0x000000  0.000000
57755.593796 19.766969 NaN  -11    15 c    0   0.74 160.26288 -27.08679  5886.72  7125.19 3.60 3.48  79.1 -0.430    19.76 21.75 02a57755o0768c 0x000000 -0.733333
57755.607113 19.922338 NaN  -10    13 c    0   1.08 160.26288 -27.08679  5871.35  7088.89 3.62 3.50  84.7 -0.430    19.73 21.73 02a57755o0794c 0x000000 -0.769231
57755.621811 19.841877 NaN    0    14 c    0   0.96 160.26288 -27.08679  5941.28  7168.81 3.59 3.47  85.3 -0.432    19.72 21.69 02a57755o0822c 0x000000  0.000000
57755.640457 19.569016 NaN    6    16 c    0   0.87 160.26288 -27.08679  5960.17  7050.45 3.61 3.51  82.8 -0.427    19.70 21.67 02a57755o0858c 0x000000  0.375000
57755.649627 19.142275 NaN   29    17 c    0   0.97 160.26288 -27.08679  5925.93  7109.93 3.75 3.60  83.7 -0.413    19.64 21.60 02a57755o0876c 0x000000  1.705882
57779.531997 19.631075 NaN    6    15 c    0   0.95 160.26288 -27.08679  5369.19  7469.61 3.70 3.67  56.2 -0.433    19.73 21.81 02a57779o0611c 0x000000  0.400000
57779.548044 19.419021 NaN   17    15 c    0   1.01 160.26288 -27.08679  5353.56  7431.05 3.81 3.70  69.3 -0.416    19.71 21.77 02a57779o0642c 0x000000  1.133333
57779.564140 19.766969 NaN   -2    15 c    0   0.91 160.26288 -27.08679  5407.83  7508.18 3.66 3.63  63.8 -0.435    19.71 21.74 02a57779o0673c 0x000000 -0.133333
57779.579679 19.631075 NaN   -2    17 c    0   0.94 160.26288 -27.08679  5426.32  7390.63 3.93 3.84  38.8 -0.409    19.68 21.78 02a57779o0703c 0x000000 -0.117647
57779.595084 19.766969 NaN  -12    15 c    0   1.26 160.26288 -27.08679  5393.75  7448.72 3.88 3.80  23.2 -0.412    19.66 21.75 02a57779o0733c 0x000000 -0.800000
57783.527260 19.549093 NaN   13    14 c    0   1.22 160.26288 -27.08679  4443.29  5644.06 3.87 3.76 -83.8 -0.381    19.69 21.81 02a57783o0594c 0x000000  0.928571
57783.543369 19.631075 NaN    3    16 c    0   0.86 160.26288 -27.08679  4427.09  5604.90 3.86 3.75 -80.8 -0.379    19.69 21.79 02a57783o0625c 0x000000  0.187500
57783.559600 19.419021 NaN   14    16 c    0   0.82 160.26288 -27.08679  4481.94  5681.87 4.08 3.95 -74.4 -0.364    19.63 21.83 02a57783o0656c 0x000000  0.875000
57783.575718 19.841877 NaN   -6    14 c    0   0.98 160.26288 -27.08679  4501.88  5564.20 3.85 3.73 -76.4 -0.381    19.71 21.85 02a57783o0687c 0x000000 -0.428571
57783.591797 19.766969 NaN   -3    15 c    0   1.09 160.26288 -27.08679  4470.34  5621.94 3.98 3.88 -78.2 -0.373    19.66 21.85 02a57783o0718c 0x000000 -0.200000
57787.502251 19.766969 NaN  -38    15 c    0   0.92 160.26288 -27.08679  3623.30  4435.54 3.88 3.77  72.7 -0.376    19.76 21.91 02a57787o0554c 0x400110 -2.533333
57787.512155 19.271854 NaN   29    14 c    0   1.01 160.26288 -27.08679  3607.71  4396.65 3.88 3.77  71.3 -0.378    19.76 21.91 02a57787o0574c 0x000000  2.071429
57787.526990 19.719755 NaN    5    14 c    0   1.17 160.26288 -27.08679  3660.65  4476.09 3.94 3.80  75.1 -0.373    19.74 21.90 02a57787o0602c 0x000000  0.357143
57787.538664 19.696897 NaN  -11    16 c    0   0.75 160.26288 -27.08679  3679.22  4360.59 3.75 3.63  80.4 -0.383    19.77 21.84 02a57787o0626c 0x000000 -0.687500
57787.555365 19.510313 NaN   12    15 c    0   0.89 160.26288 -27.08679  3645.90  4420.84 3.83 3.70  81.6 -0.379    19.76 21.88 02a57787o0659c 0x000000  0.800000
57803.513764 19.510313 NaN   -8    19 c    0   0.94 160.26288 -27.08679  6451.81  5864.60 3.73 3.51  85.7 -0.400    19.33 20.97 02a57803o0573c 0x000000 -0.421053
57803.525435 19.454622 NaN  -40    20 c    0   0.97 160.26288 -27.08679  6437.18  5824.69 3.73 3.52  86.0 -0.397    19.30 20.92 02a57803o0596c 0x000000 -2.000000
57803.549325 19.384550 NaN    1    21 c    0   1.13 160.26288 -27.08679  6509.73  5783.88 3.75 3.60  84.0 -0.394    19.18 20.75 02a57803o0643c 0x000000  0.047619
57803.561013 19.510313 NaN  -47    19 c    0   1.12 160.26288 -27.08679  6476.67  5839.69 3.67 3.48  89.2 -0.404    19.16 20.68 02a57803o0666c 0x000000 -2.473684
57807.497762 19.510313 NaN    3    18 c    0   0.78 160.26288 -27.08679  3722.89  7555.77 4.11 3.97  55.9 -0.378    19.59 21.73 02a57807o0522c 0x000000  0.166667
57807.513012 19.334813 NaN   19    16 c    0   0.99 160.26288 -27.08679  3691.70  7516.93 3.94 3.86  65.1 -0.375    19.63 21.72 02a57807o0551c 0x000000  1.187500
